Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
74680,80390,73030,100900,94010,108000
74700,52640,74110,53730,72670,70800
74700,78530,89310,102400,76200,85150
75120,69650,84170,84350,79530,86720
75830,78740,67120,63600,68780,74500
76120,62870,73300,73550,80930,68250
76760,79430,97600,88400,89910,104400
77040,96020,82580,88570,85390,88140
77140,82460,106300,79240,105600,114300
77370,93810,97000,99480,82500,89670
77840,86640,88780,80890,88570,89640
78290,80630,78130,69720,81000,86170
78300,76630,80990,93890,69940,82220
78420,90240,111400,96650,85750,96480
79030,76390,78860,57690,79790,55450
79740,75360,76500,80190,88590,101100
80530,95050,81520,81490,101300,104200
81100,78150,114100,87830,103900,99870
81330,91030,89130,96330,110700,129800
81490,67630,71670,94050,85280,97380
81690,92310,101100,96750,99060,107000
81870,106500,97450,89790,70840,103200
82120,72150,76970,71850,71840,66860
82160,62530,83120,74340,77910,86080
82310,86330,56810,64290,82440,84730
82500,105100,110500,93680,83970,79460
83050,123600,108800,96150,104600,112200
83340,101900,94450,70330,122400,111900
83440,81830,69380,71190,98090,86900
83460,65330,73630,84140,76860,74480
83470,90050,93090,87100,111000,98530
83580,83860,77400,89730,90110,79230
83730,77420,72750,81410,86490,94920
84010,79290,92470,84100,77570,85240
84020,92600,76950,87320,100500,90300
84300,98040,92830,82970,104800,78230
84580,89360,104000,103100,92640,104900
84650,71240,68490,84640,92730,74270
84830,87040,89790,93170,87760,90930
84880,78460,94430,111200,87010,113300
84910,103600,107000,84160,91420,107600
85630,131900,102700,104000,93300,96400
85870,97930,112000,92190,119600,135800
86140,101000,100900,134500,149300,156700
86420,80570,74130,88890,82040,81170
86420,103200,88670,82740,86340,96340
86700,73990,69820,83640,88830,66890
86800,80520,70510,84700,74490,77200
87010,98000,99420,97550,102200,113200
87610,110800,98540,96670,96920,90810
87660,55250,61180,66990,74030,75940
87900,76550,90670,87960,88650,105900
87960,98180,87110,89720,86180,94980
88280,75660,79650,74020,106500,97550
88680,95610,86150,80990,96700,90080
89530,89480,91480,95530,99340,100700
90000,93400,108600,88360,98000,87070
90380,96510,92410,69840,79950,77620
