LFQ.intensity.1.LiCl_Fresh,LFQ.intensity.2.LiC_Fresh,LFQ.intensity.3.LiCl_Fresh,LFQ.intensity.4.LiCl_Paper,LFQ.intensity.5.LiCl_Paper,LFQ.intensity.6.LiCl_Paper,LFQ.intensity.7.LiCl_Frozen,LFQ.intensity.8.Li_Frozen,LFQ.intensity.9.Li_Frozen,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
29.288,29.422,29.263,29.024,28.922,28.969,29.129,29.604,29.215,27.874,27.993,27.901
28.373,28.401,28.314,27.819,27.794,27.910,28.339,28.748,28.213,27.070,27.053,26.925
22.607,24.306,23.447,21.646,20.979,23.797,23.470,22.944,23.589,21.078,22.170,22.253
27.663,27.765,27.907,27.484,27.121,27.600,27.266,28.019,27.730,27.284,27.273,26.882
23.967,23.807,22.406,23.466,22.443,23.754,22.699,20.828,23.941,24.570,24.560,24.378
23.678,21.718,21.393,22.687,23.054,22.975,22.378,21.963,21.753,22.712,21.715,22.513
28.028,25.490,27.593,27.614,27.011,27.542,25.734,26.247,28.190,27.459,21.904,21.543
23.618,21.130,24.030,24.002,24.348,23.935,23.884,23.462,24.143,23.354,22.639,21.994
25.688,26.313,25.514,25.435,25.516,25.858,25.444,26.435,25.661,24.234,24.574,24.154
24.719,24.976,20.615,23.030,21.933,21.515,21.490,24.640,22.266,21.761,21.988,21.250
28.024,28.188,28.179,28.310,28.511,28.339,28.023,27.660,28.415,27.812,28.163,27.861
25.549,26.010,24.114,20.875,21.670,22.657,20.643,25.700,20.490,23.624,21.337,22.354
25.503,25.359,25.006,25.594,25.753,25.892,25.259,24.784,24.996,25.305,25.453,25.287
22.192,22.158,23.846,23.873,23.679,23.859,23.386,22.907,24.047,21.913,22.682,23.178
23.918,24.019,24.039,23.639,23.746,23.822,23.632,24.113,24.190,23.758,23.021,21.946
25.928,26.044,25.757,26.449,26.362,26.436,25.126,25.557,25.707,25.790,25.832,25.649
21.593,21.904,22.119,25.215,25.294,25.175,22.965,22.762,21.472,21.568,23.191,23.097
22.131,24.675,21.233,21.075,24.468,24.828,24.883,21.157,21.498,23.013,21.091,21.602
26.816,26.908,26.442,27.228,26.823,26.838,26.069,26.424,26.539,26.250,26.513,26.188
25.425,25.493,21.663,21.914,22.589,20.972,22.852,25.283,22.665,21.792,22.958,22.444
22.427,21.901,22.588,24.891,24.929,25.334,22.247,21.780,21.475,22.518,24.311,21.721
25.968,25.872,22.228,22.668,21.404,21.861,21.193,25.917,23.651,21.756,21.516,22.940
26.518,26.503,26.619,27.067,26.522,26.557,26.760,26.545,26.699,25.748,26.384,26.381
22.311,23.507,22.536,24.065,22.224,23.777,22.270,21.426,20.740,24.721,24.733,24.755
22.604,23.385,22.765,22.956,22.766,22.936,23.185,22.279,21.945,22.860,22.545,22.065
21.768,25.174,24.493,24.893,24.626,24.929,24.376,21.600,24.548,22.434,24.211,21.591
25.334,25.925,25.510,25.836,25.992,25.847,25.559,25.207,25.824,25.090,22.152,25.035
26.809,26.841,26.965,26.688,26.486,26.604,26.495,26.700,26.801,25.846,25.419,25.778
28.601,28.459,28.336,28.104,28.074,28.069,28.133,28.824,28.411,27.182,27.312,26.967
25.301,25.121,25.243,25.542,25.360,25.426,24.857,24.887,25.138,25.326,25.114,24.681
25.598,25.965,25.999,22.666,26.369,25.745,22.291,25.167,26.042,24.526,24.872,24.691
21.907,22.428,24.299,24.255,24.141,24.266,21.336,22.073,24.318,23.809,23.746,22.557
23.607,23.621,24.006,23.971,24.074,24.184,23.417,23.521,23.964,22.762,23.067,21.964
24.518,24.454,24.384,22.857,24.163,24.102,24.179,24.761,24.225,21.840,24.287,21.165
28.678,28.647,28.966,28.641,28.601,28.712,28.612,28.312,28.745,27.666,27.773,27.604
26.014,26.309,26.327,25.913,26.042,26.122,26.601,26.692,26.505,24.387,24.890,23.797
24.357,24.287,24.145,24.522,22.451,24.241,21.314,21.514,24.530,23.437,23.391,22.473
26.339,26.389,27.246,27.000,27.454,28.026,26.953,26.659,27.250,25.958,26.529,25.163
22.017,21.778,22.959,22.695,22.805,21.651,21.184,22.741,22.900,21.366,22.967,21.267
28.865,29.100,28.805,28.547,28.715,28.608,28.874,29.160,28.821,27.998,27.825,27.647
22.868,21.921,21.722,22.730,23.605,21.029,21.232,22.295,21.487,23.271,21.354,23.371
