Intensity,Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle fiber1,Intensity Muscle fiber2,Intensity Muscle fiber3
210190000,0,9783900,0,0,0,0,41762000,17621000,33830000
0,0,0,0,0,0,0,0,0,0
29336000,0,0,0,0,0,29336000,0,0,0
1823400000,0,0,0,610750000,545900000,597880000,13262000,0,0
1823400000,0,0,0,610750000,545900000,597880000,13262000,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
294240000,90266000,91514000,112460000,0,0,0,0,0,0
2331100000,74916000,116040000,119850000,0,0,0,463020000,619990000,937310000
2331100000,74916000,116040000,119850000,0,0,0,463020000,619990000,937310000
2331100000,74916000,116040000,119850000,0,0,0,463020000,619990000,937310000
2802100000,678020000,645160000,844430000,37967000,0,0,17131000,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
7483200000,0,0,0,0,0,0,0,989450000,0
490340000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
290440000,0,0,0,0,124840000,124810000,16870000,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
239680000,66886000,31294000,29813000,0,0,0,0,0,0
22002000,0,11328000,10675000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
526710000,140860000,136600000,249250000,0,0,0,0,0,0
10673000,10673000,0,0,0,0,0,0,0,0
10673000,10673000,0,0,0,0,0,0,0,0
25723000,25723000,0,0,0,0,0,0,0,0
29020000,0,29020000,0,0,0,0,0,0,0
247690000,0,0,0,77402000,69117000,79346000,0,0,21828000
84116000,31252000,52864000,0,0,0,0,0,0,0
170100000,0,0,0,59613000,32779000,0,13165000,8772100,9878500
0,0,0,0,0,0,0,0,0,0
297550000,297550000,0,0,0,0,0,0,0,0
194000000,0,0,0,0,0,0,0,0,0
194000000,0,0,0,0,0,0,0,0,0
69420000,0,21206000,0,0,0,0,0,0,20592000
97603000,0,0,0,0,0,0,0,0,0
431570000,0,0,30751000,0,0,0,0,33448000,45366000
122480000,0,0,0,0,0,0,122480000,0,0
272610000,0,0,0,0,0,0,44673000,46922000,58284000
90094000,0,0,0,0,0,0,0,38769000,0
142650000,0,65752000,76900000,0,0,0,0,0,0
113110000,113110000,0,0,0,0,0,0,0,0
23940000,0,13302000,10638000,0,0,0,0,0,0
5866300,0,0,0,0,0,0,0,0,0
5866300,0,0,0,0,0,0,0,0,0
5866300,0,0,0,0,0,0,0,0,0
19888000,19888000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
335520000,111670000,164370000,59484000,0,0,0,0,0,0
181620000,63832000,89647000,28143000,0,0,0,0,0,0
1779500000,43192000,85240000,0,0,0,0,0,159490000,169940000
62382000,62382000,0,0,0,0,0,0,0,0
71065000,71065000,0,0,0,0,0,0,0,0
110480000,0,58010000,52468000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
25350000,0,0,0,25350000,0,0,0,0,0
25350000,0,0,0,25350000,0,0,0,0,0
55135000,0,0,0,0,0,0,0,0,0
21201000,0,0,0,0,9698300,11502000,0,0,0
21201000,0,0,0,0,9698300,11502000,0,0,0
154400000,0,0,154400000,0,0,0,0,0,0
154400000,0,0,154400000,0,0,0,0,0,0
624410000,0,54360000,57464000,98753000,81433000,114670000,0,22919000,32713000
624410000,0,54360000,57464000,98753000,81433000,114670000,0,22919000,32713000
19947000,0,0,0,0,0,0,0,0,0
1015200000,0,0,0,0,0,975080000,24504000,15598000,0
318380000,0,0,0,0,0,0,0,318380000,0
318380000,0,0,0,0,0,0,0,318380000,0
2693300000,0,192470000,223210000,0,0,0,350200000,334680000,513610000
2506900000,0,0,0,11153000,52737000,34936000,243390000,286240000,411510000
101220000,0,0,0,0,0,0,13697000,14262000,13371000
0,0,0,0,0,0,0,0,0,0
1109100000,338900000,414090000,356070000,0,0,0,0,0,0
93912000,50676000,43236000,0,0,0,0,0,0,0
236500000,0,120880000,103730000,0,0,0,0,8234000,3661900
92566000,92566000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
390760000,0,0,0,0,0,0,0,0,0
390760000,0,0,0,0,0,0,0,0,0
184030,0,0,0,0,184030,0,0,0,0
184030,0,0,0,0,184030,0,0,0,0
184030,0,0,0,0,184030,0,0,0,0
56371000,24344000,0,32027000,0,0,0,0,0,0
112760000,40644000,36134000,35978000,0,0,0,0,0,0
41274000,0,0,0,0,41274000,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
340630000,0,0,0,0,174000000,166630000,0,0,0
140060000,0,0,0,140060000,0,0,0,0,0
178970000,45581000,68879000,64507000,0,0,0,0,0,0
566320000,0,9857900,10665000,244290000,206900000,0,0,55389000,39214000
0,0,0,0,0,0,0,0,0,0
8028700000,0,0,0,0,0,0,544580000,1025100000,957860000
8028700000,0,0,0,0,0,0,544580000,1025100000,957860000
29838000,12933000,16906000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
275700000,0,136950000,138750000,0,0,0,0,0,0
1645500000,463280000,503420000,584860000,0,0,0,0,30289000,0
119380000,0,0,0,47580000,25847000,45955000,0,0,0
119380000,0,0,0,47580000,25847000,45955000,0,0,0
35162000,0,0,0,0,35162000,0,0,0,0
0,0,0,0,0,0,0,0,0,0
350480000,0,0,0,0,0,0,0,0,58034000
350480000,0,0,0,0,0,0,0,0,58034000
350480000,0,0,0,0,0,0,0,0,58034000
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
677200000,220470000,249310000,207420000,0,0,0,0,0,0
853000000,160030000,155270000,121900000,94817000,132330000,174960000,0,13698000,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
65404000,0,8881600,0,0,0,0,15506000,14465000,0
65404000,0,8881600,0,0,0,0,15506000,14465000,0
9340500000,0,0,0,0,0,0,0,2409000000,1944500000
9340500000,0,0,0,0,0,0,0,2409000000,1944500000
9340500000,0,0,0,0,0,0,0,2409000000,1944500000
328820000,0,0,0,50298000,104610000,121660000,20770000,0,31487000
328820000,0,0,0,50298000,104610000,121660000,20770000,0,31487000
328820000,0,0,0,50298000,104610000,121660000,20770000,0,31487000
328820000,0,0,0,50298000,104610000,121660000,20770000,0,31487000
0,0,0,0,0,0,0,0,0,0
122340000,0,0,0,32642000,49032000,40670000,0,0,0
190580000,0,0,0,0,0,0,0,0,0
1927800000,699660000,625560000,602540000,0,0,0,0,0,0
190580000,0,0,0,0,0,0,0,0,0
190580000,0,0,0,0,0,0,0,0,0
205520000,0,0,0,0,0,0,74365000,57711000,73446000
224420000,0,15233000,0,0,0,0,0,0,0
224420000,0,15233000,0,0,0,0,0,0,0
406930000,0,149520000,141670000,0,0,0,0,0,0
406930000,0,149520000,141670000,0,0,0,0,0,0
406930000,0,149520000,141670000,0,0,0,0,0,0
59426000,0,0,59426000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
9283700,0,0,0,0,0,0,0,0,0
50783000,0,0,0,50783000,0,0,0,0,0
50783000,0,0,0,50783000,0,0,0,0,0
1660400000,411250000,487440000,404990000,176210000,80464000,100010000,0,0,0
453260000,0,0,0,0,0,0,0,0,0
453260000,0,0,0,0,0,0,0,0,0
