Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
ND,ND,ND,ND,ND,0.3568,ND,ND,ND,ND,ND,-0.1579,
0.1873,-0.3483,0.3273,0.6192,0.1758,0.1636,0.5328,-0.7166,0.1616,0.1373,0.4517,0.1122,
0.2288,0.4951,0.2129,0.7769,0.9614,0.6413,0.4426,0.1882,0.1327,0.1360,-0.2128,0.1392,
ND,ND,ND,0.3849,0.1642,-0.3935,ND,ND,ND,0.2867,0.2940,-0.2322,
ND,ND,ND,0.1445,0.4116,-0.9770,ND,ND,ND,-0.1388,0.3167,0.5133,
ND,ND,ND,0.2148,0.1627,0.1861,ND,ND,ND,0.1340,0.2597,0.6468,
ND,ND,ND,ND,0.2156,0.3659,ND,ND,ND,ND,0.6823,0.3198,
ND,ND,ND,0.1839,0.1494,0.8798,ND,ND,ND,0.2644,0.3895,0.5000,
ND,ND,ND,0.7582,-0.5574,ND,ND,ND,ND,0.1644,-0.1919,ND,
0.6952,ND,0.5453,ND,ND,0.3569,0.5445,ND,0.8949,ND,ND,0.1263,
-0.1766,0.7976,-0.2994,ND,ND,ND,-0.5687,0.2433,0.4600,ND,ND,ND,
-1.2166,ND,ND,ND,ND,ND,-0.5922,ND,ND,ND,ND,ND,
ND,0.2558,0.2813,ND,ND,ND,-0.2268,0.3963,0.5484,ND,ND,ND,
ND,0.2135,ND,0.7227,0.6329,0.1226,ND,0.2122,ND,0.1232,0.1116,0.2328,
ND,1.1769,ND,ND,ND,ND,ND,0.7330,ND,ND,ND,ND,
0.1315,ND,ND,ND,ND,ND,0.4339,ND,ND,ND,ND,ND,
ND,ND,ND,-0.7571,0.6252,ND,ND,ND,ND,0.9573,0.6742,ND,
ND,ND,ND,ND,1.4765,ND,ND,ND,ND,ND,-0.2315,ND,
0.2741,0.6883,ND,0.6614,0.8462,0.4712,0.4113,0.5533,ND,0.1224,0.2493,0.8730,
0.1682,0.9419,0.2279,ND,ND,ND,0.3292,0.1715,0.2243,ND,ND,ND,
ND,ND,ND,ND,0.1128,ND,ND,ND,ND,ND,0.1946,ND,
ND,ND,ND,ND,ND,-0.4284,ND,ND,ND,ND,ND,-0.1940,
0.2677,-0.8897,0.1163,0.1972,0.4166,0.1444,0.4363,-0.3870,ND,0.1699,0.7567,-0.1328,
0.1552,0.2235,0.1886,0.1496,ND,ND,0.4548,0.1879,0.5314,0.1212,ND,ND,
0.1674,0.1330,0.1374,0.1637,0.8796,0.2117,0.3764,0.1138,0.7679,0.6625,0.7470,0.2418,
ND,-0.1439,ND,ND,ND,ND,ND,-0.3522,ND,ND,ND,ND,
ND,ND,-0.5243,ND,ND,ND,ND,ND,0.3437,ND,ND,ND,
0.3255,0.6293,0.2317,ND,ND,ND,0.9130,0.3653,0.6912,ND,ND,ND,
-0.2919,ND,0.3973,-0.4962,-0.1136,0.3432,0.6229,ND,0.4431,0.3341,-0.3599,0.5830,
0.2414,0.1682,ND,ND,ND,ND,-0.1237,0.2782,ND,ND,ND,ND,
ND,ND,0.8745,ND,ND,ND,ND,ND,0.6688,ND,ND,ND,
-0.2459,ND,ND,ND,ND,ND,-0.1235,ND,ND,ND,ND,ND,
ND,ND,0.1483,0.2392,ND,-0.3483,ND,ND,-0.6582,0.2285,ND,-0.3499,
0.2977,-0.8326,0.9163,-0.1893,0.2788,0.4825,0.3833,-0.8328,0.2933,-0.1553,-0.6369,0.7858,
ND,ND,ND,-0.2198,0.2155,0.3878,ND,ND,ND,-0.9263,-0.6255,0.8274,
ND,ND,ND,-0.1480,0.8649,ND,ND,ND,ND,0.2362,ND,ND,
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,
ND,ND,ND,0.1516,0.5994,ND,ND,ND,ND,-0.1959,0.3548,ND,
-0.9333,ND,ND,ND,ND,ND,0.7459,ND,ND,ND,ND,ND,
ND,ND,-0.1862,0.8914,ND,ND,ND,ND,0.1728,0.2583,ND,ND,
0.5257,0.6429,-0.5595,ND,ND,ND,-0.3116,1.2160,-0.3422,ND,ND,ND,
0.2999,ND,0.1594,ND,ND,ND,-0.1162,ND,-0.2488,ND,ND,ND,
0.5419,-0.1827,0.2743,0.2425,0.3426,-0.1294,0.5849,-0.2638,0.1568,-0.4352,0.1676,0.2945,
0.5714,-0.2379,0.2693,0.1216,0.3882,-0.1414,0.5616,-0.3358,0.9812,0.1342,0.2582,0.8316,
-0.3422,0.1478,0.5148,0.7550,ND,ND,0.2754,-0.3124,0.9538,0.8628,ND,ND,
0.6196,ND,0.3152,0.2411,0.3797,ND,0.5829,ND,0.9635,0.4613,0.1594,ND,
ND,ND,ND,0.7789,ND,-0.6217,ND,ND,ND,-0.2265,ND,0.1796,
ND,ND,ND,ND,0.5869,0.4790,ND,ND,ND,ND,0.2245,0.5399,
ND,ND,-0.1315,ND,ND,ND,ND,ND,0.1574,ND,ND,ND,
ND,0.4563,ND,ND,ND,ND,ND,0.1238,ND,ND,ND,ND,
0.1658,ND,0.1315,ND,0.1992,-0.1755,0.2946,ND,0.2877,ND,0.1713,0.1214,
ND,-0.1963,ND,0.1264,0.1465,-0.9812,ND,-0.1293,ND,0.9853,0.9976,0.2773,
0.1133,ND,0.1324,-0.8768,0.1642,0.9240,0.2593,ND,0.4681,0.3777,0.2234,0.8774,
-0.2983,-0.3316,0.3422,0.3112,ND,-0.1675,0.3329,-0.2487,0.1850,0.2254,ND,0.2512,
ND,ND,ND,ND,ND,-0.3512,ND,ND,ND,ND,ND,0.2245,
ND,ND,ND,ND,ND,-0.7286,ND,ND,ND,ND,ND,0.1272,
ND,ND,0.5818,ND,ND,ND,ND,ND,0.8643,ND,ND,ND,
ND,ND,ND,ND,0.8555,ND,ND,ND,ND,ND,0.7200,ND,
ND,ND,ND,ND,ND,0.1272,ND,ND,ND,ND,ND,-0.1379,
0.3487,0.4434,-0.1946,ND,ND,ND,-0.1675,0.8875,0.5559,ND,ND,ND,
0.3491,0.6245,ND,ND,ND,ND,0.1186,0.6433,ND,ND,ND,ND,
0.3767,ND,0.2925,ND,ND,ND,0.5621,ND,0.2574,ND,ND,ND,
ND,ND,ND,0.5112,ND,0.1519,ND,ND,ND,0.1227,ND,0.2437,
ND,ND,ND,ND,0.1223,1.5349,ND,ND,ND,ND,0.3890,0.5269,
-1.1651,ND,ND,ND,ND,ND,0.3292,ND,ND,ND,ND,ND,
ND,ND,ND,0.1185,0.1265,0.2320,ND,ND,ND,-0.3791,0.8983,0.2694,
0.3258,1.5233,-0.5881,ND,ND,ND,-1.1142,1.7385,-0.1942,ND,ND,ND,
0.1960,0.5951,-0.9717,ND,ND,ND,-0.2811,0.8144,-0.3193,ND,ND,ND,
-0.1412,0.5738,0.6639,ND,ND,ND,-0.2120,0.6312,-0.1277,ND,ND,ND,
ND,ND,ND,ND,-0.8171,ND,ND,ND,ND,ND,-0.2949,ND,
-0.9116,-0.1338,0.7512,-0.6858,0.2589,0.2478,0.2845,0.8490,0.2785,-0.1356,0.2513,0.6545,
ND,ND,ND,0.2622,ND,ND,ND,ND,ND,0.8425,ND,ND,
ND,ND,ND,ND,ND,0.1777,ND,ND,ND,ND,ND,0.9875,
0.2262,0.2853,0.4319,-0.8935,0.3469,-0.5482,0.1472,0.2986,0.1845,-0.4195,0.3355,-0.2588,
ND,-0.4189,0.4217,0.4426,-0.1938,0.1624,ND,-0.1255,0.6633,0.1319,0.4973,0.7930,
0.4979,-0.3276,0.5139,0.8596,0.2755,0.1235,0.6163,-0.5916,0.5781,-0.2764,-0.8648,0.4831,
ND,0.9392,0.7719,ND,ND,ND,ND,0.5159,-0.2563,ND,ND,ND,
0.2784,-0.9142,0.2275,ND,ND,ND,0.2717,0.4624,0.8252,ND,ND,ND,
-0.1448,0.8225,0.8948,ND,ND,ND,-0.3787,0.9669,-0.1524,ND,ND,ND,
ND,ND,ND,-0.1192,ND,ND,ND,ND,ND,-0.1811,ND,ND,
0.4447,ND,ND,0.1452,0.2473,0.4145,0.4111,ND,ND,0.1837,0.2978,0.5659,
ND,ND,ND,-0.1282,ND,-0.1811,ND,ND,ND,0.3754,ND,-0.9448,
ND,0.7663,0.7796,ND,ND,ND,ND,0.1158,0.1299,ND,ND,ND,
ND,ND,ND,0.1840,ND,ND,ND,ND,ND,0.1611,ND,ND,
0.2564,0.2289,ND,ND,ND,ND,0.1791,0.7371,ND,ND,ND,ND,
ND,0.7699,0.2124,ND,0.8770,0.2258,ND,-0.6912,0.2616,ND,-0.1912,0.2248,
ND,ND,ND,0.7944,0.1184,0.1218,ND,ND,ND,-0.3198,-0.1314,0.3663,
0.7138,-0.3151,0.2148,ND,0.9439,0.6134,0.3369,-0.1462,0.1759,ND,0.1744,-0.1194,
0.3561,-0.1717,0.2886,0.1820,0.2429,-0.1742,0.5712,-0.5726,0.1285,-0.5834,0.1234,0.3589,
-0.6691,0.4759,-0.7248,ND,ND,ND,-0.9713,0.6729,-0.2436,ND,ND,ND,
0.1518,0.6928,-0.8580,ND,ND,ND,-0.3679,0.8384,-0.2252,ND,ND,ND,
0.3514,0.8319,ND,ND,ND,ND,-0.2675,0.4578,ND,ND,ND,ND,
0.6516,0.6736,0.1579,ND,ND,ND,-0.1495,0.6497,0.1713,ND,ND,ND,
-0.3416,-0.7137,0.4632,ND,ND,ND,0.6566,-0.2822,1.2396,ND,ND,ND,
ND,ND,0.3570,ND,ND,ND,ND,ND,0.2557,ND,ND,ND,
0.2632,0.7288,0.2719,-0.9498,-0.1739,-0.1273,-0.8287,0.6357,0.4440,ND,ND,ND,
-0.8950,0.6542,0.2684,ND,ND,ND,-0.7934,0.7257,0.2242,ND,ND,ND,
0.8459,1.1188,-0.1867,ND,ND,ND,-0.6535,1.3531,-0.1457,ND,ND,ND,
ND,ND,0.1286,ND,ND,ND,ND,ND,-0.9552,ND,ND,ND,
ND,ND,0.3329,ND,ND,ND,ND,ND,0.1549,ND,ND,ND,
-0.2938,ND,ND,ND,ND,ND,-0.5949,ND,ND,ND,ND,ND,
0.2377,ND,0.2687,0.4117,ND,0.1323,0.5438,ND,0.1340,0.1356,ND,0.1517,
ND,0.4354,0.3199,ND,ND,ND,ND,0.7365,0.4927,ND,ND,ND,
ND,ND,0.3789,ND,ND,ND,ND,ND,-0.1837,ND,ND,ND,
0.1955,ND,ND,ND,ND,ND,0.3489,ND,ND,ND,ND,ND,
0.8778,0.1259,-0.3374,ND,ND,ND,-0.4297,0.1919,-0.1532,ND,ND,ND,
ND,0.4760,ND,ND,ND,ND,ND,0.3999,ND,ND,ND,ND,
ND,0.7384,ND,ND,ND,ND,ND,0.8889,ND,ND,ND,ND,
ND,ND,ND,0.7742,0.2217,0.3984,ND,ND,ND,0.1224,0.7960,0.1744,
ND,ND,ND,-0.9634,0.1795,0.7569,ND,ND,ND,0.1322,0.1865,0.1722,
ND,ND,ND,-1.5712,0.2327,ND,ND,ND,ND,-1.7355,1.1537,ND,
0.8931,ND,0.1316,-0.9737,ND,ND,-0.7299,ND,0.5153,-0.2181,ND,ND,
-0.1162,ND,0.2184,ND,ND,ND,0.3875,ND,0.2599,ND,ND,ND,
0.1346,0.6918,-0.3299,ND,ND,ND,-0.6567,0.5785,0.1538,ND,ND,ND,
ND,0.8345,ND,0.2526,ND,ND,ND,-0.6215,ND,0.1584,ND,ND,
0.3759,ND,-0.4999,ND,ND,ND,0.1986,ND,0.2364,ND,ND,ND,
ND,ND,ND,0.1791,0.1129,-0.1635,ND,ND,ND,-0.1235,-0.4427,0.9384,
0.1713,ND,-0.2442,ND,ND,ND,-0.1139,ND,0.2147,ND,ND,ND,
0.7776,0.9738,-0.8592,0.1672,-0.4882,0.9764,-0.2127,1.2898,-0.2171,0.4154,-0.2966,0.3693,
0.4257,0.3397,-0.1877,0.2414,-0.2293,0.8692,0.2458,0.2755,-0.7769,0.2278,-0.2486,0.1182,
ND,0.8636,-0.6923,ND,ND,ND,ND,0.6693,0.9160,ND,ND,ND,
0.1118,ND,0.5565,ND,ND,ND,0.1684,ND,-0.3172,ND,ND,ND,
-0.1421,-0.6685,0.6215,ND,ND,ND,-0.2586,0.9198,0.1467,ND,ND,ND,
ND,ND,1.1719,ND,ND,ND,ND,ND,0.3573,ND,ND,ND,
0.6970,ND,ND,0.3553,ND,ND,0.5772,ND,ND,0.1886,ND,ND,
0.1294,0.3438,0.2283,0.8967,0.2464,0.1762,0.1392,0.5234,0.4478,0.4417,0.3287,0.6565,
0.1625,0.8558,0.4590,ND,ND,ND,0.1714,0.8315,0.2662,ND,ND,ND,
0.7436,0.6000,0.1467,ND,ND,ND,-0.4187,0.5625,0.3128,-0.1173,ND,ND,
-0.6666,0.7411,0.8290,ND,ND,ND,-0.5542,0.6973,0.6513,ND,ND,ND,
-0.1469,0.6412,-0.1893,ND,ND,ND,0.1770,0.3415,-0.3151,ND,ND,ND,
0.1229,0.9150,-0.1532,ND,ND,ND,-0.1888,0.9142,0.3879,ND,ND,ND,
ND,0.1266,0.2685,-0.1566,0.9533,ND,ND,0.2700,-0.6614,0.1750,0.1283,ND,
0.6164,0.9425,-0.4891,0.2769,ND,0.5397,0.8798,0.2237,0.3377,0.1818,ND,0.1326,
ND,ND,ND,0.3299,ND,ND,ND,ND,ND,-0.1930,ND,ND,
-0.1677,0.2685,ND,0.1469,0.5878,-0.6178,0.2739,0.2975,ND,-0.4933,0.4169,-0.1194,
0.1338,0.7264,-0.9164,ND,ND,ND,0.9146,0.6876,-0.2560,ND,ND,ND,
-0.3760,ND,ND,ND,ND,ND,-0.2982,ND,ND,ND,ND,ND,
ND,ND,ND,-0.4589,ND,0.2376,ND,ND,ND,0.1725,ND,-0.1274,
ND,ND,ND,ND,0.5883,0.1947,ND,ND,ND,ND,-0.2255,0.2153,
0.2866,0.3215,0.1393,ND,0.2534,ND,0.3471,0.4337,-0.1946,ND,0.3123,ND,
0.1383,ND,0.2211,ND,ND,ND,0.1669,ND,0.3443,ND,ND,ND,
ND,ND,ND,0.1911,ND,ND,ND,ND,ND,0.4438,ND,ND,
ND,ND,ND,ND,ND,0.2292,ND,ND,ND,ND,ND,0.7987,
ND,ND,ND,0.9568,-0.3568,0.1564,ND,ND,ND,0.1697,-0.3651,0.2991,
0.1646,0.6245,-0.3341,0.1558,0.2424,0.5570,0.2269,0.3954,0.1272,0.1993,-0.6981,0.1762,
ND,ND,ND,0.3135,0.5294,-0.2756,ND,ND,ND,0.2656,0.4127,-0.2565,
ND,ND,ND,-0.4466,-0.8478,0.3672,ND,ND,ND,0.1747,0.7892,0.9427,
0.3697,ND,ND,ND,ND,ND,0.1687,ND,ND,ND,ND,ND,
0.4194,-0.1695,-0.7793,0.2212,-0.3518,0.8658,0.2634,-0.2771,0.1852,0.1519,0.2196,-0.1269,
0.4987,0.2442,-0.3446,0.2453,ND,0.3159,0.4199,0.1424,0.3986,0.1344,ND,0.3835,
ND,ND,ND,ND,ND,0.1417,ND,ND,ND,ND,ND,0.3927,
ND,ND,ND,ND,ND,0.8419,ND,ND,ND,ND,ND,-0.2668,
ND,0.2831,-0.5242,ND,ND,ND,ND,-0.1599,0.3126,ND,ND,ND,
ND,ND,ND,-0.2998,0.6964,-0.1225,ND,ND,ND,-0.1733,0.3237,0.7861,
ND,ND,ND,0.4954,-0.1963,0.8812,ND,ND,ND,0.1913,0.2846,0.3213,
ND,ND,ND,0.3183,0.1311,-0.1959,ND,ND,ND,-0.4185,0.1942,0.8357,
0.2656,0.5664,-0.1533,ND,ND,ND,-0.4588,0.7889,-0.1533,ND,ND,ND,
ND,ND,ND,0.1942,0.1188,0.1548,ND,ND,ND,0.2986,-0.8438,0.1621,
ND,ND,ND,ND,-0.3370,ND,ND,ND,ND,ND,0.1873,ND,
-0.9529,0.6470,0.2675,ND,ND,ND,-0.3251,0.6525,-0.5914,ND,ND,ND,
ND,ND,ND,ND,0.1168,0.1115,ND,ND,ND,ND,0.8525,0.7932,
0.3987,0.8183,ND,0.1390,0.4234,0.1885,0.2845,0.6718,ND,-0.5639,0.3716,0.2168,
0.1315,0.8475,-0.2489,0.5458,0.2647,-0.8679,0.1480,0.4616,-0.1523,0.1856,0.5232,-0.4818,
ND,ND,ND,-0.2490,0.1479,0.2929,ND,ND,ND,0.2841,0.1762,-0.6381,
ND,ND,ND,0.1413,0.1769,-0.1433,ND,ND,ND,0.5760,0.3486,0.5757,
ND,ND,0.2397,ND,ND,ND,ND,ND,1.1998,ND,ND,ND,
0.2383,1.4993,-0.4338,ND,ND,ND,-0.8745,1.4337,0.1914,ND,ND,ND,
0.6755,ND,-0.1668,ND,ND,ND,0.5993,ND,-0.1559,ND,ND,ND,
0.5481,ND,ND,ND,ND,ND,0.1659,ND,ND,ND,-0.4166,ND,
0.6988,ND,-0.4987,ND,ND,ND,0.4317,ND,-0.4759,ND,ND,ND,
0.1154,0.6563,0.5131,ND,ND,ND,0.8358,0.4282,0.1359,-0.9769,0.1792,0.9184,
0.3557,-0.3135,0.4175,0.1295,-0.1639,0.4384,0.1733,-0.3312,0.5833,-0.1589,-0.2577,0.7563,
0.1634,-0.9236,0.1732,0.3499,ND,ND,0.2265,-0.4742,0.1279,-0.1574,ND,ND,
-0.1190,0.7458,-0.1285,ND,ND,ND,-0.1614,0.9118,-0.5356,ND,ND,ND,
0.3613,0.1724,0.1136,ND,ND,ND,0.1775,0.2629,0.3390,ND,ND,ND,
ND,ND,-0.4359,ND,ND,ND,ND,ND,-0.6422,ND,ND,ND,
0.1774,0.3532,ND,ND,ND,ND,0.3158,0.1894,ND,ND,ND,ND,
0.7193,0.5525,ND,ND,ND,ND,-0.3374,-0.8225,ND,ND,ND,ND,
-0.6778,1.3157,ND,ND,ND,ND,0.1131,-0.5667,ND,ND,ND,ND,
0.1456,-0.3732,ND,ND,ND,ND,0.3838,0.4799,ND,ND,ND,ND,
0.1448,0.5393,0.7354,ND,ND,ND,0.6561,0.5550,0.8730,ND,ND,ND,
ND,ND,ND,ND,ND,-0.6245,ND,ND,ND,ND,ND,0.9427,
ND,ND,ND,0.2972,-0.1362,ND,ND,ND,ND,0.2565,-0.1730,ND,
ND,1.2462,0.1433,ND,ND,ND,ND,0.2829,0.3745,0.1227,-0.1164,0.7582,
-0.4632,0.1279,0.4392,-0.4473,ND,0.1135,0.5996,-0.8580,0.1711,0.2228,ND,0.4546,
ND,ND,ND,0.3654,ND,-0.1157,ND,ND,ND,0.4271,ND,0.1313,
0.2246,0.7825,0.4889,0.2134,0.5372,0.7785,0.4983,-0.4217,0.4224,0.1281,0.3652,0.1692,
0.6761,ND,0.5834,0.1185,0.1552,0.2441,0.4621,ND,0.1512,0.9164,0.1448,0.1153,
ND,ND,ND,0.9495,0.2826,0.9638,ND,ND,ND,0.1130,0.1317,0.9569,
-0.4282,ND,0.1687,-0.4448,0.9480,0.2456,-0.5954,ND,0.3765,0.3515,0.5913,0.1258,
ND,ND,ND,0.1664,ND,0.5224,ND,ND,ND,0.2547,ND,0.1490,
0.2333,-0.2167,0.3279,0.1484,0.3760,-0.5892,0.5688,-0.4414,0.1436,-0.1563,0.2765,-0.3332,
ND,ND,ND,ND,ND,-0.4800,ND,ND,ND,ND,ND,0.4342,
ND,ND,ND,0.1424,-0.5640,-0.2519,ND,ND,ND,0.2139,-0.2926,0.3423,
ND,ND,ND,ND,ND,0.4317,ND,ND,ND,ND,ND,0.2386,
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,
ND,ND,ND,ND,ND,0.1772,ND,ND,ND,ND,ND,0.2948,
ND,ND,0.1364,ND,ND,ND,ND,ND,0.3167,ND,ND,ND,
ND,ND,ND,-0.5670,-1.9562,0.6198,ND,ND,ND,0.8387,-0.5165,-0.6623,
-0.1316,0.9214,0.1196,ND,ND,ND,-0.1885,0.8451,0.1712,ND,ND,ND,
0.3247,0.4628,0.5313,0.5472,0.3435,0.5734,0.2623,0.3782,0.1772,0.8370,0.2719,0.1524,
ND,ND,ND,0.3774,ND,ND,ND,ND,ND,0.3725,ND,ND,
-0.9688,ND,ND,ND,ND,ND,-0.1269,ND,ND,ND,ND,ND,
0.5255,0.3152,0.4670,0.7489,0.7411,-0.1397,0.1816,0.1978,0.3172,0.1739,0.3337,0.1764,
ND,ND,-0.3255,ND,ND,ND,ND,ND,-0.4252,ND,ND,ND,
ND,ND,0.5367,ND,ND,ND,ND,ND,-0.4867,ND,ND,ND,
0.2662,0.5573,ND,ND,-0.2623,ND,-0.1490,0.6142,ND,ND,ND,ND,
0.2453,0.5393,0.1517,-0.2522,-0.4248,0.3358,-0.1133,0.6165,0.1938,0.1875,0.2616,ND,
ND,0.6323,-0.2875,ND,ND,ND,ND,0.8166,-0.4380,ND,ND,ND,
0.6612,0.7653,0.6240,-0.9925,-0.4457,ND,-0.3769,0.7493,0.3666,ND,ND,ND,
ND,ND,ND,0.2186,0.1890,0.2777,ND,ND,ND,0.1948,-0.1590,0.2376,
-0.9389,0.6277,0.1748,ND,ND,ND,-0.2130,0.6624,0.6775,ND,ND,ND,
0.1685,0.1326,0.7866,0.2719,0.2933,-0.1321,0.3954,0.2817,-0.1225,0.1592,0.4895,0.9162,
ND,ND,ND,-0.9450,0.3494,0.1560,ND,ND,ND,0.1388,0.3645,0.7330,
ND,ND,ND,-0.2393,1.1949,ND,ND,ND,ND,0.4359,0.2451,ND,
ND,ND,ND,ND,ND,0.4880,ND,ND,ND,ND,ND,0.2838,
ND,0.5881,ND,ND,ND,0.8567,ND,0.2590,ND,ND,ND,0.3112,
ND,ND,ND,ND,0.3325,-0.3344,ND,ND,ND,ND,-0.4716,-0.2285,
-0.9318,0.4328,ND,-0.4875,ND,0.2966,-0.2761,-0.3272,ND,-0.1434,ND,0.7129,
-1.6865,-0.7199,1.6399,ND,ND,ND,-0.7719,-1.6998,1.6117,ND,ND,ND,
0.2119,0.3539,0.1946,ND,ND,ND,0.6932,0.2396,0.1932,ND,ND,ND,
0.6545,0.3468,0.8155,ND,ND,ND,0.1234,0.5285,0.2877,ND,ND,ND,
0.9369,ND,ND,ND,ND,ND,0.2174,ND,ND,ND,ND,ND,
0.1268,0.4177,-0.2176,0.4321,ND,-0.2715,0.1548,0.2657,0.1761,0.6848,ND,0.2258,
-1.9436,ND,0.3277,ND,ND,0.1387,-0.3723,ND,0.4693,ND,ND,0.1919,
-1.3175,ND,ND,ND,ND,ND,-0.1549,ND,ND,ND,ND,ND,
-0.7857,ND,0.7877,ND,ND,ND,0.8313,ND,1.1825,ND,ND,ND,
ND,ND,0.4582,ND,ND,ND,ND,ND,0.5864,ND,ND,ND,
ND,ND,-0.2681,ND,ND,0.6182,ND,ND,-0.1321,ND,ND,0.1529,
ND,ND,0.3549,ND,ND,0.8176,ND,ND,0.7946,ND,ND,0.1437,
0.3984,ND,ND,ND,ND,ND,0.1360,ND,ND,ND,ND,ND,
ND,ND,ND,ND,ND,0.2648,ND,ND,ND,ND,ND,0.3276,
0.2935,0.6193,-0.1955,0.6760,0.1798,0.1188,0.9845,0.2322,0.3424,0.1458,0.2774,0.1878,
0.1482,ND,-0.2243,ND,ND,ND,0.3694,ND,0.2589,ND,ND,ND,
ND,ND,ND,ND,ND,0.7333,ND,ND,ND,ND,ND,0.2862,
ND,ND,ND,ND,0.3797,ND,ND,ND,ND,ND,0.1976,ND,
ND,ND,-0.1933,-0.1571,0.3725,-0.2469,ND,ND,-0.2757,-0.3946,0.6326,-0.3186,
0.1245,0.3552,0.1170,-0.7175,0.1957,0.8558,0.2185,0.2362,0.8700,0.4992,0.1479,0.8892,
-0.9732,0.5644,ND,ND,ND,ND,0.6373,-0.3474,ND,ND,ND,ND,
ND,ND,ND,ND,ND,0.1246,ND,ND,ND,ND,ND,0.1389,
ND,ND,ND,0.7965,ND,0.6590,ND,ND,ND,-0.4693,ND,0.1658,
ND,ND,ND,ND,ND,0.5146,ND,ND,ND,ND,ND,0.1568,
ND,ND,ND,ND,ND,0.1259,ND,ND,ND,ND,ND,0.6365,
0.1897,0.5327,ND,0.2780,0.1346,ND,0.2954,0.1849,ND,-0.1766,0.2419,ND,
ND,ND,ND,0.6491,0.3581,-0.7928,ND,ND,ND,0.6113,0.5129,0.3259,
0.1472,0.4665,0.5376,0.8516,0.1793,0.1137,0.1476,0.2336,0.1648,0.6576,0.1591,0.2426,
0.2267,ND,ND,ND,ND,ND,0.6436,ND,ND,ND,ND,ND,
ND,0.3377,-0.3670,ND,ND,ND,ND,0.3396,-0.7624,ND,ND,ND,
-0.7223,0.1918,0.2618,-0.1470,ND,0.1473,-0.3834,0.1161,0.4138,0.1477,ND,0.1572,
0.5911,0.4115,-0.2156,ND,ND,ND,0.2282,0.2879,0.5825,ND,ND,ND,
ND,ND,ND,ND,ND,0.1336,ND,ND,ND,ND,ND,0.9663,
0.1383,ND,-0.4181,0.8258,0.1417,0.1312,-0.1366,ND,0.1775,0.2193,0.2683,0.1286,
0.3639,0.6638,-0.4564,0.2534,0.1671,-0.9632,0.2893,0.6770,-0.2961,0.1622,0.3593,-0.1749,
0.2540,ND,0.1276,0.1889,0.1654,0.8239,-0.1819,ND,0.1669,0.1896,0.1373,0.1384,
ND,ND,ND,ND,0.3320,0.2594,ND,ND,ND,ND,0.8896,0.1221,
ND,ND,ND,ND,0.2388,ND,ND,ND,ND,ND,0.4496,ND,
ND,ND,-0.5642,0.1982,ND,0.1636,ND,ND,0.3339,0.1800,ND,0.2420,
-0.7744,ND,0.1816,0.1695,0.1442,0.1227,-0.8562,ND,ND,0.1495,0.1930,0.1556,
ND,ND,ND,ND,ND,-0.1477,ND,ND,ND,ND,ND,0.3149,
ND,ND,ND,0.2734,ND,0.1564,ND,ND,ND,0.3549,ND,0.1333,
0.1488,0.6214,-0.1645,0.6520,ND,-0.1158,0.3356,0.4639,0.4554,0.5694,ND,0.2887,
ND,ND,1.1333,ND,ND,ND,ND,ND,1.5268,ND,ND,ND,
ND,ND,0.9535,ND,ND,ND,ND,ND,1.4346,ND,ND,ND,
ND,ND,ND,ND,ND,0.1163,ND,ND,ND,ND,ND,0.1230,
ND,ND,ND,0.9912,0.1874,0.2523,ND,ND,ND,0.2184,0.5158,0.2714,
ND,ND,ND,0.8850,0.2336,0.1985,ND,ND,ND,0.2329,0.9895,0.1477,
0.1917,ND,-0.1880,ND,0.1979,0.2190,0.4775,ND,0.2643,ND,0.1925,0.1335,
ND,ND,ND,ND,ND,0.3262,ND,ND,ND,ND,ND,0.5343,
ND,ND,ND,0.2186,ND,0.9586,ND,ND,ND,0.1828,ND,0.1194,
ND,ND,ND,0.8688,ND,ND,ND,ND,ND,-0.3645,ND,ND,
ND,ND,ND,ND,0.4926,ND,ND,ND,ND,ND,0.5680,ND,
ND,0.3959,-0.2783,0.6583,0.3620,0.1264,ND,0.1268,-0.4734,0.2639,0.3638,0.1296,
ND,ND,ND,0.1782,0.5667,-0.5283,ND,ND,ND,-0.2716,0.6271,0.1920,
ND,ND,ND,0.2188,0.2173,ND,ND,ND,ND,0.1365,0.4165,ND,
0.5387,0.9926,0.1485,0.2634,-0.1456,0.1365,0.2647,0.1696,0.1995,0.1459,-0.1522,0.2630,
0.3935,ND,ND,0.2885,-0.6569,0.1195,0.2487,ND,ND,0.1482,-0.7546,0.2918,
-0.4762,-0.4165,0.5519,0.5829,-2.3213,0.7594,0.2782,-0.7385,0.3464,1.6339,-1.8436,-1.1965,
ND,ND,ND,ND,ND,0.1971,ND,ND,ND,ND,ND,0.2759,
-0.9522,-0.7465,ND,ND,ND,ND,-0.5814,0.3989,ND,ND,ND,ND,
ND,ND,ND,0.1461,0.8964,0.3400,ND,ND,ND,0.1766,0.2183,-0.7517,
ND,ND,0.9290,ND,ND,ND,ND,ND,0.1458,ND,ND,ND,
ND,ND,ND,ND,ND,-0.3483,ND,ND,ND,ND,ND,0.1275,
