Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
ND,ND,1.1725,ND,ND,ND,ND,ND,1.5789,ND,ND,ND,
-1.3175,-1.2548,1.1737,ND,ND,ND,0.2877,-1.3467,1.4379,ND,ND,ND,
ND,-0.9432,ND,ND,ND,ND,ND,-1.2298,ND,ND,ND,ND,
0.2315,ND,0.2317,ND,ND,ND,0.5538,ND,0.1625,ND,ND,ND,
-0.8985,-0.3134,1.4684,0.5695,0.1689,-0.1161,0.2785,-0.7598,1.1141,-0.9635,-0.1416,0.2913,
-0.7274,-0.1614,1.5949,ND,ND,ND,0.1867,-0.7767,1.4212,ND,ND,ND,
-0.3188,0.1179,1.2235,ND,ND,ND,0.4375,-0.4646,0.9869,ND,ND,ND,
0.5778,ND,-0.1985,ND,ND,ND,0.4927,ND,0.5453,ND,ND,ND,
0.1567,ND,0.5777,ND,ND,ND,0.3941,ND,0.4219,ND,ND,ND,
-1.2187,-0.6579,1.6581,ND,ND,ND,0.8455,-1.5625,1.6446,ND,ND,ND,
0.1369,-0.2213,0.4686,0.8411,0.2964,-0.1833,0.5660,-0.3186,0.2242,-0.4676,0.2786,0.1365,
0.3647,ND,ND,ND,ND,ND,0.4116,ND,ND,ND,ND,ND,
-1.6929,ND,0.9426,ND,ND,ND,-0.3692,ND,0.8744,ND,ND,ND,
ND,ND,ND,ND,ND,-0.1149,ND,ND,ND,ND,ND,0.3164,
0.3724,-0.1319,ND,0.3122,ND,-0.2212,0.5638,-0.1482,ND,-0.5817,ND,0.1188,
-0.6461,-0.7168,1.7734,ND,0.1414,ND,0.1760,-0.8485,1.1467,ND,-0.5783,ND,
0.3363,ND,ND,ND,ND,ND,0.4575,ND,ND,ND,ND,ND,
0.2564,ND,1.7734,ND,ND,ND,-0.1311,ND,1.5354,ND,ND,ND,
ND,-0.2872,0.5336,0.1822,0.1667,-0.1177,ND,-0.1566,0.2746,-0.8528,0.4945,0.3281,
ND,ND,ND,ND,ND,0.9966,ND,ND,ND,ND,ND,1.7348,
0.4776,-0.1294,0.4486,0.1484,0.2281,-0.1755,0.6157,-0.1727,0.3316,-0.9231,0.1319,0.3152,
ND,ND,ND,0.2235,ND,ND,ND,ND,ND,-0.7489,ND,ND,
-0.1439,0.3743,0.3875,0.3121,ND,ND,0.5876,-0.3853,0.1446,-0.8755,ND,ND,
0.5555,0.4755,0.3845,ND,ND,ND,0.6537,-0.9969,0.4543,ND,ND,ND,
ND,ND,ND,ND,-1.7869,ND,ND,ND,ND,ND,-1.4936,ND,
ND,ND,ND,ND,ND,-0.5448,ND,ND,ND,ND,ND,0.4623,
ND,ND,ND,0.9923,-0.3958,ND,ND,ND,ND,-0.1979,-0.3956,ND,
ND,ND,ND,ND,0.2600,ND,ND,ND,ND,ND,0.5612,ND,
ND,ND,ND,ND,0.2263,ND,ND,ND,ND,ND,0.1536,ND,
ND,ND,ND,-0.2466,-0.1815,0.3955,ND,ND,ND,-0.1953,0.3468,-0.1860,
0.5247,0.2789,0.1457,ND,ND,ND,0.7387,0.2798,0.2814,ND,ND,ND,
-0.2614,0.6845,0.2662,ND,ND,ND,-0.8412,0.5692,0.2246,ND,ND,ND,
0.1329,ND,0.2646,ND,ND,ND,0.5955,ND,0.3193,ND,ND,ND,
-0.4840,0.7675,ND,ND,0.1977,-0.2141,-0.5457,0.9352,ND,ND,0.2456,-0.6130,
ND,ND,ND,0.1997,0.3379,-0.3638,ND,ND,ND,-0.2343,0.6753,-0.3820,
ND,ND,ND,-0.7534,-0.7118,0.2455,ND,ND,ND,0.1364,0.1143,0.2144,
ND,ND,ND,ND,0.8438,-0.4679,ND,ND,ND,ND,0.1342,-0.4592,
0.5918,-0.1385,0.3620,0.5364,0.1325,0.1687,0.4726,-0.2153,0.1117,0.9195,0.9699,0.1138,
0.1554,-0.6643,0.6612,ND,0.8623,0.1769,0.6624,-0.2886,-0.1424,ND,0.1249,0.8894,
ND,ND,ND,-0.8295,ND,0.5554,ND,ND,ND,0.5533,ND,0.6862,
ND,ND,ND,0.7652,0.9265,-0.1814,ND,ND,ND,0.4142,0.5788,0.9495,
ND,ND,ND,ND,0.2356,0.4685,ND,ND,ND,ND,0.2614,0.1836,
ND,0.8750,ND,ND,ND,ND,ND,0.4987,ND,ND,ND,ND,
ND,ND,ND,ND,0.1574,0.3550,ND,ND,ND,ND,0.8493,0.2777,
