Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
52220,28840,32910,18190,28640,19230
68310,305300,81540,89630,78300,105000
626100,503300,413000,347600,377400,351300
55220,50890,56790,32860,45500,36350
329200,163800,180900,163600,159000,158300
2328000,2358000,2015000,1640000,1658000,1522000
17260,17370,17350,16250,11590,11700
38020,39480,32510,19480,21250,43590
855400,720900,571900,502900,569000,588400
47120,54450,46450,40110,39130,37180
13810,31020,29230,20660,12790,24860
38910,15940,34560,17990,33070,19670
48250,47600,44370,37380,37070,37940
693200,1550000,727300,760800,746600,894000
45380,52860,33220,37130,38220,31790
1444000,2408000,1413000,1425000,1446000,1421000
1156000,1179000,990400,930500,892600,895700
81070,78050,80830,59090,81540,56650
228400,225200,249300,172800,214500,195600
63520,55100,70590,46630,58300,52280
2946000,3122000,2716000,2410000,2505000,2414000
1769000,3187000,1784000,1825000,1820000,2032000
38400,21610,45170,11670,38740,38760
171300,178300,195800,135100,176700,155300
1599000,1790000,1676000,1490000,1541000,1307000
43590,58320,57070,36940,44390,55070
3487000,4788000,3427000,3273000,3254000,3520000
56590,62250,48270,41320,56840,45450
42750,35540,37270,16620,33650,49400
1188000,1757000,1159000,1133000,1168000,1251000
134100,131900,142900,108200,124300,121900
67550,55920,57470,43360,52740,60750
987100,1058000,1189000,890200,940700,976400
338700,298100,352600,290100,298400,270500
617700,523300,479200,450900,472600,485400
2107000,2575000,2736000,2052000,2248000,2154000
223500,249300,253500,209300,200500,222800
259200,241000,249600,209400,230300,218900
128500,145400,136100,124700,121300,114900
169400,164100,173100,146600,148800,152000
303100,535400,338800,313600,345000,381400
62190,63920,65040,60510,57270,51080
98670,80580,85360,76290,74340,83150
3926000,4176000,3616000,3382000,3233000,3746000
558500,576400,426100,434600,399400,546700
146300,157700,177300,144800,139400,141800
194200,179500,226100,175600,181700,174900
99380,112100,116400,91710,103700,95520
78570,101100,95120,77250,78680,88230
716100,536100,518100,513000,540700,519900
290200,430200,302000,290600,305800,314400
4142000,4103000,3992000,3647000,3754000,3536000
533500,497400,530300,451700,510700,434800
104500,88030,78510,68730,99980,74030
147300,153100,149900,140600,136700,126400
536100,548800,483600,516000,427700,466100
1398000,1833000,1429000,1310000,1384000,1495000
32710,18270,18500,15580,16590,30360
1576000,1401000,1513000,1288000,1442000,1311000
199500,179700,205100,162000,184500,179500
392300,467700,387600,364100,368800,393800
525200,598000,546600,509100,535900,463000
1004000,1054000,989900,850600,927200,978600
1166000,1108000,1056000,1056000,1019000,938200
1115000,1142000,1159000,1022000,1009000,1061000
1352000,1968000,1417000,1371000,1427000,1495000
