TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
339808.3212,633690.8047,340373.8219,343061.318,699444.3177,350961.2868,727950.8208,765744.7828,339239.6746,753565.1651
3434387.019,891854.292,3314257.87,3810670.519,821714.1405,3614482.91,853343.3301,967751.5817,3207044.23,878690.2057
40444014.97,74166712.29,37349554.4,42237128.51,56968926.21,38211579.6,64595966.91,79419341.2,31148529.28,71148657.85
564310.5266,903448.0851,545535.0372,568604.5299,809446.5265,545417.0668,793011.7483,883821.6668,493356.9617,842829.3451
1017499.413,465823.448,923351.4077,819454.0598,638877.0731,681155.4799,733507.0364,525340.4858,881233.2568,779051.4902
7906032.658,3174497.785,7434822.1,8490713.131,4851425.589,6486760.625,5288999.547,3726219.097,7406530.298,5882771.625
346365.4613,260782.3764,308024.0643,384310.4412,280823.232,325806.3723,283775.296,288539.8557,318730.1675,311332.6082
3445044.846,1717336.693,3238863.923,3166088.5,1814211.313,2706465.584,2080090.351,1969680.221,3011182.314,2243709.129
19943500.8,24106509.56,17938604.91,18727751.81,21215268.19,17983356.24,23385271.22,28441268.89,17656842.55,24881998.16
804018.1747,2039517.591,776753.5535,876315.6844,1533897.574,723557.5442,1948712.286,2195446.343,737125.4158,2111563.498
11549259.2,13883537.97,10905308.18,13020761.33,10778709.79,11632000.71,11646769.27,14082716.45,10495242.73,12487407.15
37963336.22,22582216.06,34766179.86,40841405.34,19200187.2,36270907.96,20940062.8,24374490.6,33548994.15,22084717.43
542636.5685,647171.3492,513262.2146,544096.3248,648703.3958,513531.9252,693586.9411,762788.087,524368.4376,666463.1373
8203174.627,8178628.388,7881890.446,7311550.136,12223635.11,6852225.865,12478760.76,9286929.861,7980780.867,13399867.56
29449232.71,8147868.802,27771264.3,32419473.48,7811133.009,29233944.46,8475724.828,9451371.768,26448613.68,8899276.302
4750220.44,5289928.392,4394027.104,4753379.635,4583183.191,4438112.331,5160964.762,5729104.737,4301279.439,5343919.83
78205481.91,76557971.55,70628904.78,79745664.71,71021601.55,66632627.03,82652263.75,85662928.91,63340094.28,87453892.15
1134398.116,944347.3455,1064003.549,1054522.473,1140510.107,963214.9303,1180111.902,1082112.086,1037943.695,1162627.063
9735075.681,8742308.955,9113471.218,9735854.918,7436464.481,9771220.802,7747695.501,9192701.343,8662630.286,8285195.174
5387105.817,6667061.617,5158602.851,5466157.772,6081795.582,4994504.392,6701788.972,7244694.993,4845912.093,7087890.809
13103073.29,13579793.48,11757263.87,12515676.73,13385247.7,11513895.28,14134660.56,15319373.18,11396700.62,14524696.79
10326314.98,11868043.08,9821896.843,10632450.29,10827066.7,9936773.776,11505704.08,12871684.35,9689594.359,12095946.88
7466083.933,5472523.75,6873972.733,8052005.027,4532811.994,7281506.518,5024243.716,6110080.367,6730876.809,5177584.056
2124387.973,1472108.22,1935116.141,2233453.632,1132558.699,2036134.251,1412063.116,1540199.178,1855582.736,1484115.204
4163991.502,6188292.815,3831852.032,4172418.162,5212882.571,3637958.199,5480942.79,6366069.904,3602619.068,5587249.123
2252501.835,1905273.967,2283124.901,2482662.278,1979815.272,2223511.748,1987964.563,2095733.435,2188735.022,2105209.664
27066232.3,20836362.15,25318015.73,28232001.9,18087180.07,26554015.94,18793623.57,23013243.99,24799569.86,19084849
1891146.863,6386847.342,1896256.48,1846534.091,5285067.873,1923390.493,5768772.541,6846813.804,1854035.579,6300377.538
6551437.364,5404195.009,6250433.444,6741994.988,5349163.821,6354584.557,6098321.008,6420449.259,6035872.166,6487166.865
22042968.49,12777923.15,20448639.84,22321625.45,11959811.97,19637751.39,13212461.18,14082955.75,18945540.07,13227956.71
8073676.47,6023453.237,7536177.067,8601587.969,5374065.739,7705100.766,5927998.249,6739991.703,7320253.305,6349296.429
7766900.778,3443101.574,6877551.007,8088452.237,3475285.717,7701180.1,3836868.846,4420440.351,6886763.321,3914978.469
22337535.06,16225222.79,20856677.43,23258705.58,15175210.5,20672059.86,16996812.32,18698341.42,20188813.9,18245543.9
998583.7382,906144.8486,945222.4035,1095252.832,944887.3763,922816.5737,1068972.28,1102644.747,939101.4261,1091431.892
873146.0411,1460000.949,938354.5087,812625.1977,1370110.246,876650.2109,1559752.557,1847988.273,796158.4047,1981832.45
161886.7697,114000.7889,156683.0215,149979.8115,141450.004,146579.5713,132686.2472,129061.9902,145636.4706,127060.6376
118678939.9,63584696.1,109980824.6,119223562.2,56325600.31,105866170.7,62415514.97,68221541.74,98311330.65,65136688.77
584266.6432,1569719.988,553216.5262,597916.7505,1389776.31,519972.451,1489741.731,1733886.739,538899.4649,1626706.076
52476371.62,48210129.6,47077453.8,51508026.19,44188963.93,43591392.7,46647348.76,53483164.18,43890580.26,49980147.91
965284.5789,815593.406,872921.5161,873949.3485,920303.3244,767337.6448,969167.8396,925346.4295,849256.6418,1052751.646
24644468.44,13218755.55,22411566.22,26582216.26,11681040.19,23786386.89,12842144.02,14827461.46,21143980.48,13851492.61
294920.3401,235636.9546,508878.5372,972439.3273,123428.6948,404874.5309,149520.9495,224067.7884,359744.2976,179514.8421
25813255.07,23459357.8,24140770.61,27537151.69,20162010.43,25477632.84,20938058.13,26124628.19,23361414.52,21663562.56
4311817.698,2585722.209,4078011.304,2880579.394,5535565.983,2406588.698,5372841.897,2613980.704,3799261.611,5355677.189
18285901.21,9053092.906,17252954.49,20167078.84,8341578.612,17967757.94,8751758.369,9543164.845,16470306,9489243.551
3515561.086,1908759.46,3309762.745,3732254.171,1881572.729,3395636.634,1830953.089,2008094.281,3230098.883,1875700.445
50055605.88,36555826.3,49819160.46,45616899.15,30833414.65,40929434.85,33072495.6,39241592.75,47223071.16,37887907.98
4904731.66,2646116.216,4216966.438,4668476.513,2597226.949,4273631.465,2962242.428,3176596.187,4241346.966,3101160.212
5133224.195,4580529.458,4915839.408,5541587.343,4054098.682,4883532.739,4545171.135,5251517.195,4743582.536,4888462.501
300905.1858,436514.1415,281396.7177,278099.9808,451902.7476,307883.7116,460697.647,521893.0703,288423.254,483689.1875
8994.46303,11373.61876,14900.87364,11886.27942,12055.99645,12579.90436,13906.70782,13266.03013,10310.50817,11538.76285
468300975.1,263626489.7,429775043.9,474836377.3,217560998,413784428.1,238311796.3,279044591,405674533.7,258306887.7
2058616.022,4192820.432,2096081.105,2003903.537,3625654.682,2323514.288,3612530.521,4410513.323,2022998.909,3834702.601
289604.4197,298898.9961,278465.6564,305631.8974,334483.5388,279348.4873,342650.2722,344280.5965,288831.7225,366891.622
4869128.417,4941396.467,4734747.185,5217646.661,4678916.38,4718890.937,5025627.653,5464447.407,4510052.117,5303267.975
8225010.123,7709189.798,7882932.17,8561268.546,7226652.04,8325453.37,7706720.611,8786074.896,7726461.053,8306919.46
3557497.885,3135648.022,3416978.25,3861229.174,2745533.039,3636756.031,2939156.525,3456037.297,3287592.108,3040076.081
8211620.553,15278718.18,8327023.236,8911030.592,12482287.59,8953363.073,12894483.38,15800098.92,7952351.636,13770745.56
7118713.052,7969321.129,6356225.686,8115132.514,6836081.156,7778168.295,6450842.969,8334237.85,6370899.579,6560168.023
557035.1437,939466.3302,585190.4225,598163.4647,779247.7495,529483.7903,788662.5834,745804.2539,538868.6775,585009.1173
12345624.48,5733455.748,11394229.67,9739693.885,8844133.342,8713755.713,9909477.149,6509776.674,11007766.85,10399560.84
3217026.325,3373874.195,3054986.627,3325559.233,3147156.275,3148086.97,3194527.48,3660508.201,2941185.524,3445552.803
4051237.973,4952077.287,3663916.949,3775266.5,4524607.299,3764513.382,4799463.555,5527876.117,3621216.297,4960380.68
1298613.528,1005834.87,1278580.272,1317622.116,1122811.603,1278761.437,1110782.533,1130677.744,1247196.064,1156789.227
501311.3448,373082.6055,472334.0056,535452.6093,334428.2404,486419.5053,338717.2382,402383.3982,459517.7999,365071.6328
773919.8003,322238.4021,812790.3309,813828.7704,495107.9893,896752.9105,575015.5564,360734.2603,629267.0678,511624.2737
623241.9806,585578.9891,625457.0447,621106.7879,589490.6339,631031.8939,577291.9283,624316.5253,611068.6949,586113.6693
2763929.393,2481889.509,2553190.138,2708220.205,2144794.035,2622986.767,2321674.536,2496091.437,2532874.634,2526340.222
1693553.174,3295733.301,1615785.099,1670317.989,3095575.655,1592703.789,3235710.565,3602628.564,1593321.741,3439924.974
10229177.66,14416386.72,9288249.749,10624383.97,10899526.92,9894294.365,11282670.44,14970583.31,9066506.827,12194917.92
212508.515,306640.8525,203820.8042,214776.5017,362126.647,185594.6748,365625.3688,343518.503,209193.1336,377314.1862
7924939.336,8868516.005,7676482.605,8856364.393,8327268.745,8023105.356,8333141.855,9895029.647,7526195.424,8963542.039
1582562.073,983386.9448,1535529.751,1037624.6,2105989.461,888419.5537,2167354.532,1123310.364,1465566.377,2153755.3
10410947.12,8877074.702,9440819.218,9423218.256,7840140.475,9724475.775,8792473.04,9837028.412,8944132.367,8843738.384
4811788.087,3963727.061,4418918.129,4722813.033,3697864.925,4218048.592,4106945.154,4376084.214,4172657.476,4356110.923
4400924.551,2337667.446,3952567.006,3490370.023,3591553.34,3047979.287,3821511.267,2836432.982,3979067.591,3787318.295
229832.9574,223455.1113,216793.94,228374.5682,229591.8429,204641.1669,228303.1653,248894.6033,203136.2101,242457.2598
7681349.666,5720284.527,7291350.557,8246821.547,5861853.014,7173106.026,6874958.752,6877712.174,7172011.87,7457396.311
318065.6946,202712.1243,319231.3939,294209.8578,251716.8332,277281.9499,249106.585,228006.2182,317585.0516,274099.3979
8331030.149,7982971.242,9409874.41,8981632.646,7224075.531,9081847.628,7251826.676,8868482.302,8012544.889,8113516.269
2765061.1,3677459.697,3024958.085,2745662.031,4135592.387,2461692.287,4417688.729,4401293.578,2978260.571,4832480.803
32910111.14,6162849.517,30038946.88,34112156.02,5816749.29,30442981.93,6306701.175,6608193.123,28734481.42,6484776.448
26824295.13,21410027.76,25203259.79,29044041.72,17079730.15,26651086.59,18509264.87,22122064.36,24388938.66,18631330.94
74750359.84,32521654.46,68448071.64,76325240.11,28100819.94,64229311.06,35699606.16,36452109.81,62758073.75,36869869.83
