Bcells_H9_ne,Bcells_H10_ne,Bcells_H11_ne,Bcells_H3_ne,Bcells_H1_ne,Bcells_H2_ne,CLL1_ne,CLL10_ne,CLL11_ne,CLL14_ne,CLL15_ne,CLL16_ne,CLL2_ne,CLL4_ne,CLL8_ne,,,,,,,,,,,,,,,,,,,,,,,,,
23.8249,24.9649,24.0708,24.5962,23.9515,23.6517,20.8478,25.3269,26.1885,23.7664,25.3029,24.097,26.1306,23.1408,27.62,,,,,,,,,,,,,,,,,,,,,,,,,
18.2763,23.2922,16.8992,16.2603,17.9868,21.0319,18.6793,17.5176,16.9556,20.6151,17.7225,21.4158,16.4204,17.4632,20.2942,,,,,,,,,,,,,,,,,,,,,,,,,
16.874,20.0487,18.721,17.1892,17.0137,19.9953,19.8081,17.982,15.9834,17.4846,18.1726,18.8914,18.416,17.6616,17.7354,,,,,,,,,,,,,,,,,,,,,,,,,
17.4272,17.9397,19.1922,16.8827,17.1618,18.5267,21.7355,17.1282,18.0595,17.9458,17.3451,20.8445,18.6368,20.4834,17.517,,,,,,,,,,,,,,,,,,,,,,,,,
17.9954,21.5219,20.6126,18.2972,18.5006,15.709,16.3751,18.5537,18.2892,17.0978,18.7266,16.7644,18.9588,18.1043,17.7246,,,,,,,,,,,,,,,,,,,,,,,,,
20.8256,22.0662,21.4077,15.9953,18.3375,17.7437,18.7763,19.3474,18.6242,20.5091,18.9226,21.7477,18.8722,17.2904,20.9644,,,,,,,,,,,,,,,,,,,,,,,,,
26.0544,25.5093,25.5325,24.6925,25.0792,24.9419,25.4434,26.1629,25.1657,25.7642,25.6035,23.6489,25.0295,25.3158,26.3441,,,,,,,,,,,,,,,,,,,,,,,,,
18.8136,20.6666,20.2629,18.3942,17.4101,16.7541,19.7312,16.689,18.5342,19.389,16.9194,20.2136,19.6207,18.6493,20.9972,,,,,,,,,,,,,,,,,,,,,,,,,
23.711,23.77,23.6818,24.406,23.7659,24.3927,23.7484,24.6653,23.8739,24.5682,23.8716,22.9363,22.4837,23.8053,22.7928,,,,,,,,,,,,,,,,,,,,,,,,,
29.398,30.5436,29.918,24.7635,24.3217,26.0445,28.8091,24.3015,25.4815,24.2392,23.7848,25.2556,30.3083,29.5715,26.495,,,,,,,,,,,,,,,,,,,,,,,,,
23.8237,23.8216,23.9724,23.5541,22.6535,23.0964,22.898,24.0511,23.9416,24.4723,23.6313,21.3229,22.6465,21.9158,23.9183,,,,,,,,,,,,,,,,,,,,,,,,,
17.2549,18.1115,16.4771,15.5537,18.7576,16.9047,18.8282,20.6825,18.8324,18.5136,20.4663,21.2532,18.5036,16.8717,18.9561,,,,,,,,,,,,,,,,,,,,,,,,,
24.2498,21.3234,18.4376,17.6048,18.2064,18.2662,21.7303,19.3392,18.1506,16.6616,23.2354,21.3363,18.3044,20.5024,22.8139,,,,,,,,,,,,,,,,,,,,,,,,,
30.3,30.3943,30.3203,30.3762,29.936,29.7613,26.1793,28.622,29.1128,29.1321,28.2725,30.56,26.9822,28.578,30.5689,,,,,,,,,,,,,,,,,,,,,,,,,
19.2806,17.9587,17.4841,16.6072,27.2446,22.1939,15.933,15.6925,17.9435,15.6719,15.9536,17.8419,16.4183,15.9218,18.1878,,,,,,,,,,,,,,,,,,,,,,,,,
18.1733,17.6456,19.2637,24.1729,24.2066,24.8475,17.9861,17.8206,15.9812,21.6563,25.2215,17.57,17.0434,17.9504,17.3362,,,,,,,,,,,,,,,,,,,,,,,,,
