C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung,C1_liver,C2_liver,C3_liver,V1_liver,V2_liver,V3_liver
0.667850256,1.222717047,2.507568598,0.815071642,0.9780339,0.801753402,0.723920882,0.943925202,0.495198488,0.085101433,0.657332778,0.406055212,0.044337217,0.038991347
19.95252609,14.94497395,18.05737495,12.12780571,12.00777721,7.781580448,14.31274128,10.58057308,2.530629396,2.704233885,2.186798811,3.796260357,2.344555616,2.665130377
2.145426512,1.562111259,1.483974934,1.188146472,2.603699446,1.938208938,2.680132866,1.935535192,0.263577729,0.734944701,0.253581673,0.422048092,0.623414814,0.284922063
46.07873154,34.16062927,22.19538116,32.16343307,44.30001831,29.42380524,31.14347076,25.7671299,5.411683083,5.460930347,3.466486931,6.839892864,5.0792799,5.337230206
4.813971519,1.23372221,11.2095871,3.166615725,2.505640268,1.340600967,4.674183846,4.255876064,0.046312194,0.802816629,0.463031828,0.445485324,0.439257473,0.369926542
9.175607681,11.74757862,16.75761414,13.72576904,10.49257278,10.30928135,18.58017349,13.48874378,7.579476357,6.747774124,7.794412136,3.703294516,4.409617901,4.513264656
5.783481121,3.651367426,9.280974388,7.505938053,4.336112499,3.479338169,6.827614784,6.507717133,0.701404035,0.750748038,0.880425155,0.397649139,1.334213257,0.959794641
16.56541824,18.13022041,31.66370964,23.07869339,15.55913639,11.00638866,20.08958435,15.50056744,5.023054123,3.385067225,3.265637875,5.166519165,5.175184727,3.539568424
24.47935104,38.94511414,65.03924561,39.31882477,42.0193367,55.06453323,49.64028549,54.69060135,61.46992111,70.5559845,60.72192764,70.87443542,64.80091858,97.51950073
20.05673599,21.30001068,14.96589279,12.60937786,8.578684807,12.75257492,15.46451378,21.52931213,19.67412186,22.53175735,20.55049324,8.344790459,5.229319096,8.142985344
26.30760765,32.47451019,52.00430298,49.62837601,39.40232849,27.39636803,26.65294838,27.34919548,6.923903942,26.49083328,8.968443871,16.99376488,12.73963642,5.324490547
0.31448862,0.302046448,0.223675177,0.270036787,0.553075969,0.595261395,0.588855863,0.392558753,0.367932051,0.70136714,0.270599842,0.264174551,0.433075488,0.37859714
0.244025469,0.143122673,0.124373943,0.379480511,0.143848076,0.17155309,0.084619559,0.113450497,10.32414722,17.17690086,12.82024288,38.93855286,32.74665451,18.92648125
0.965766132,1.151385784,1.564427137,0.616734326,0.492642969,0.557978094,0.685805202,0.970652699,0.509724379,0.52735126,0.621499777,0.289182574,0.255457729,0.268236667
2.626476288,1.994589448,11.51280117,5.961995125,3.002137184,2.403076649,4.413738251,2.893514633,7.907089233,5.271362782,5.765522957,7.616741657,7.169805527,6.202787399
2.336318016,2.416687965,5.255559444,3.935713768,5.450882435,5.402490139,5.010722637,3.763452291,4.869128227,3.917865515,3.922543049,4.664648533,2.898063421,6.695893764
0.367182583,0.67455554,0.540693283,0.364711523,0.551814735,0.561888933,0.509926677,0.372097135,0.479840517,0.773575127,0.680563331,0.668281376,1.159780145,1.294364572
0.53956002,0.050311755,0.62301439,0.548923433,0.323279828,0.308848262,0.072699264,0.379885316,0.288445145,0.273573309,0.621039152,0.197902054,0.18004711,0.491194546
0.393323034,0.228392646,0.129290134,0.171583831,0.123910449,0.121470466,0.285756797,0.25240016,0.458519667,0.237784684,0.453292072,0.154603764,0.055078994,0.112927154
0.984793484,0.826162159,1.33334887,0.544134557,0.622582674,0.9676705,1.201715589,0.533949256,17.09551239,29.43864059,24.25981712,35.01905823,17.46470642,40.10791779
0.51215744,0.457249075,0.235040173,0.354264051,0.402571499,0.909399033,0.239457682,0.323789299,0.378055125,0.254537642,0.308614403,0.230162069,0.309939682,0.258498222
2.067001104,2.373771429,2.520136356,2.395295382,0.940022349,0.692967057,1.381018281,2.63303566,0.358120978,0.648617625,0.659339964,0.419305444,0.566306353,0.517123818
0.900154412,1.462328315,1.676882744,1.208681226,0.783246934,1.464281201,0.836988091,1.395426154,0.263186008,0.085496858,0.278579175,0.710311711,0.374129087,0.149497896
1.758124232,1.942728877,1.904597282,1.299862027,2.456838608,2.311009169,1.640944958,2.018620729,0.650615394,0.463134497,0.775591433,1.740730286,1.965815187,2.790092945
0.551177144,0.728514135,0.828770339,0.757260025,0.886981487,0.998989701,0.817342281,0.682561576,0.452626109,0.100819074,0.390115499,0.616064131,2.174800873,1.158872962
1.300115824,0.686186492,1.090777397,0.974791169,0.67247051,0.702385604,0.918096304,0.806676567,1.106465578,1.23058176,1.279918432,1.252680421,2.468931198,1.738833904
0.734426856,1.040229678,0.573444188,0.576507509,0.543967187,0.67673707,0.782304943,1.435145736,0.364985257,0.755334914,0.491592914,1.483526349,0.749461174,0.979354024
2.212582111,1.313776731,2.824518681,4.001608849,1.63000977,2.223145723,1.421624303,1.51773572,0.299421042,0.50559926,0.118572056,3.703650713,2.057509422,1.865107894
1.478849888,2.784570456,3.076013565,2.560991526,3.040534019,3.335289001,2.934491158,2.760478497,2.078939199,1.946103811,1.12796545,3.14204812,3.234265089,1.987110257
1.602971911,1.344547033,1.914595366,2.24706912,2.805633307,3.287706852,2.261690617,2.220050812,0.939157546,1.146118164,0.890592635,1.195120215,1.899884701,1.041366935
1.231069088,0.694762409,0.255245149,0.767067671,1.634984493,0.75042367,0.586849749,0.679233909,0.110622108,0.063972875,0.070843346,0.1633268,0.094033614,0.378484726
1.34504056,1.303176403,0.846804261,1.414527655,0.950392365,0.651088536,1.030575514,1.517523289,0.74141103,0.681872725,0.39748612,0.530721247,0.756044149,0.701214075
0.934890032,1.382053137,0.871472597,1.25637877,2.053040743,1.864750504,1.380637884,1.278249741,0.259625584,0.662772536,0.40199402,0.295333922,1.090842247,0.736248493
18.5754509,11.59483337,21.63800812,23.27292633,19.3693924,20.69971657,25.93075562,25.43968201,61.08165359,27.48562431,25.90701675,53.98397827,60.52698517,54.75870132
0.725125432,0.791674316,1.068772197,0.792123199,1.358499169,0.726730525,0.682899833,0.748548567,0.073683478,0.035446782,0.077763155,0.542974174,1.157541156,0.763376772
0.6740641,0.696418703,0.633164585,1.081181526,0.796384513,0.823132575,0.452511072,0.731414616,0.060202759,0.032787152,0.284571081,0.333923429,0.893518865,0.582321644
4.971439838,4.00345993,6.15959549,4.749444962,3.866662025,3.598944664,3.90011096,6.602590561,2.307782888,1.907473445,2.492514133,2.470240593,1.510751724,2.341913939
0.651601732,1.108027577,1.908288121,0.633093238,1.244850039,0.857124269,0.672385156,0.892558753,0.793655753,0.097612388,0.529630482,0.52398932,0.536031127,0.752398074
1.5329988,1.705804348,1.265184045,1.366255403,0.620060265,0.483281225,1.040675163,1.726210713,0.104496434,0.17166917,0.078868091,0.13907747,0.2939533,0.128990561
14.36781216,13.77673244,14.21836853,15.42908478,13.56607437,17.85686302,19.86407089,9.266850471,44.04576111,114.923584,52.65045929,147.6829834,117.0105896,132.02565
1.143265247,0.612793982,0.933610559,0.626350462,0.862633109,1.153826118,1.285002708,0.994725287,3.790605068,2.850118876,2.436444998,4.000712872,6.887770653,9.777802467
1.911617279,1.687290668,2.264810324,2.74427247,2.115715981,2.084962845,5.294342041,1.07894361,1.102340102,1.554030538,0.965252936,3.150454044,2.051594734,3.447879076
2.332960129,2.243660212,2.101149321,1.711937785,3.494639874,2.855234146,3.047385216,2.382681847,4.110590935,2.687247992,2.139712334,6.517899036,10.00217247,7.075464725
0.670127392,0.720490277,0.152618885,0.133166328,0.273003072,0.481586486,0.460397065,0.367388844,0.65446353,1.167081833,0.096381187,1.094995618,1.187816381,1.642648339
8.331532478,13.5084095,10.14483166,11.4094696,19.7565136,13.49107075,20.84255409,10.05628777,9.57219696,12.14491844,7.671020508,46.66785812,46.48209763,37.47751617
0.260555774,0.453642011,0.427214533,0.300563157,0.48230803,0.433189958,0.604247391,0.391461313,1.277171016,0.753328145,0.837978363,4.727338314,5.251039982,4.820893288
