LFQ.intensity.1 Healthy,LFQ.intensity.3 Healthy,LFQ.intensity.5 Healthy,LFQ.intensity.7 Healthy,LFQ.intensity.9 Healthy,LFQ.intensity.2 Stage3,LFQ.intensity.4 Stage 3,LFQ.intensity.6 Stage 3,LFQ.intensity.8 Stage 3,LFQ.intensity.10 Stage3
21.190,23.483,20.845,22.179,21.113,21.376,23.478,21.583,23.679,23.722
21.087,21.092,21.820,19.979,21.291,21.715,22.194,20.587,23.353,21.638
27.990,28.543,29.163,31.406,27.085,29.309,29.879,29.644,31.817,29.249
26.294,26.325,26.693,28.262,23.483,26.423,27.799,27.159,27.995,27.148
23.592,24.060,23.785,20.720,21.965,23.546,24.020,23.360,23.669,24.198
21.817,21.312,20.979,21.568,20.566,20.413,24.611,20.971,24.591,21.602
21.555,23.210,20.215,23.221,22.223,21.589,21.521,20.554,21.384,20.997
21.302,23.423,21.874,21.599,20.700,21.529,23.902,20.891,24.951,23.300
21.361,21.894,21.117,20.984,23.147,20.825,21.549,20.581,20.169,21.525
21.596,23.357,23.821,23.168,21.703,21.647,22.127,21.511,22.697,21.751
20.345,20.219,22.598,22.978,20.757,21.537,23.123,20.953,23.221,23.044
21.411,22.231,22.372,19.496,21.781,21.857,22.367,22.619,22.281,22.187
22.420,20.463,22.906,22.946,22.265,20.647,22.343,20.987,20.979,21.942
20.874,20.552,21.038,20.895,22.813,21.071,23.962,20.486,24.842,21.640
20.911,23.616,22.415,24.028,21.885,22.804,23.919,21.938,26.080,23.659
26.621,26.334,26.702,27.876,20.621,26.420,27.651,26.251,28.420,27.127
28.470,27.218,28.242,28.143,26.861,27.788,29.150,28.436,28.524,28.420
20.727,23.723,21.347,23.961,20.898,21.517,25.063,21.326,25.885,23.630
21.448,24.352,22.086,23.993,21.397,23.248,24.091,21.828,25.652,23.919
21.003,21.215,19.874,22.206,21.864,21.341,23.820,20.861,23.372,21.456
23.818,23.617,24.063,24.402,21.208,24.109,24.402,23.470,24.920,24.456
21.576,22.967,21.299,23.043,21.125,20.837,20.220,20.517,22.504,21.802
20.878,21.848,21.952,22.439,20.960,21.201,22.302,22.338,22.889,22.836
21.501,20.752,21.106,22.700,21.906,22.469,23.515,22.178,22.539,21.073
24.586,22.939,23.601,20.474,20.561,21.967,25.527,23.375,23.113,24.161
20.906,21.713,24.427,24.163,21.424,24.229,25.073,23.563,24.232,21.318
24.636,23.773,24.865,24.537,20.706,24.298,24.895,24.276,24.893,25.090
26.288,27.526,27.249,27.867,21.633,26.494,28.299,25.679,29.639,27.988
22.426,20.335,19.886,21.496,20.697,21.856,22.354,21.093,20.995,22.369
22.877,23.489,23.569,23.807,20.960,23.114,24.439,22.864,23.939,24.477
22.061,23.743,23.304,22.627,21.858,22.339,22.735,22.033,21.991,20.935
27.231,25.387,27.170,28.617,22.996,26.248,28.436,26.607,28.764,27.512
21.752,22.492,22.023,20.800,20.562,20.881,20.746,20.744,20.930,21.122
27.444,30.175,28.933,29.979,26.498,29.422,29.707,28.422,31.062,29.404
20.432,26.633,25.411,25.736,22.563,25.423,26.950,22.584,28.558,25.453
21.572,20.522,25.833,24.466,21.937,25.322,26.088,20.578,23.729,26.520
21.981,22.787,20.925,21.668,20.979,21.220,23.333,21.039,24.489,22.808
21.777,26.481,24.644,26.986,22.288,23.955,28.187,24.670,25.402,27.159
20.990,21.941,20.924,21.966,21.041,22.140,22.269,22.283,21.960,21.202
25.575,25.708,26.015,25.451,22.352,25.379,25.984,25.983,25.697,26.356
23.673,22.572,23.380,23.262,20.522,23.141,24.038,22.544,23.684,24.080
23.573,25.914,25.891,26.232,21.359,25.203,25.995,25.121,26.291,25.815
27.455,29.711,29.023,29.889,27.527,29.108,30.013,28.323,31.175,29.336
20.856,22.852,20.797,23.828,20.822,21.911,23.433,20.754,24.818,23.634
24.522,24.148,25.022,24.642,21.424,24.878,24.962,23.795,25.186,25.170
27.526,26.970,28.054,28.501,21.635,27.109,28.271,27.865,28.162,27.930
21.980,23.892,21.268,20.279,19.301,21.058,23.520,20.713,24.983,22.389
23.254,23.098,23.749,23.398,21.180,22.729,21.029,22.312,22.918,22.040
