Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
-0.0401,0.3149,-4.0943,ND,ND,ND
-0.3062,-0.2982,-0.3076,ND,ND,ND
ND,ND,ND,ND,ND,-0.3441
-0.0905,ND,-0.2031,ND,ND,ND
-0.0209,0.1836,-0.1901,ND,ND,ND
ND,-0.0318,ND,ND,ND,ND
ND,ND,0.1137,ND,ND,ND
ND,ND,0.1488,ND,ND,ND
ND,0.0092,-0.1526,ND,ND,ND
ND,-0.4736,ND,ND,ND,ND
0.4098,ND,ND,ND,ND,ND
0.1409,0.1204,0.0252,ND,ND,ND
-0.0686,0.1071,-0.0865,ND,ND,ND
ND,-0.2436,0.2055,ND,ND,ND
ND,0.3128,-0.1938,ND,ND,ND
-0.1398,-0.1219,0.0286,ND,ND,ND
-0.2118,0.0412,-0.1173,ND,ND,ND
ND,0.1101,-0.5015,ND,ND,ND
-0.2050,0.2341,-0.2393,ND,ND,ND
0.0232,-0.0626,0.0060,ND,ND,ND
-0.0744,0.1073,-0.2400,ND,ND,ND
-0.2148,0.1041,-0.4027,ND,ND,ND
ND,0.3461,-0.2328,ND,ND,ND
0.2537,ND,-0.0588,ND,0.0617,0.1091
-0.0384,0.0443,-0.2077,ND,ND,ND
ND,ND,ND,0.2504,ND,ND
0.4162,0.0570,0.3509,ND,ND,ND
0.6672,1.1216,ND,ND,ND,ND
ND,ND,ND,-0.1673,ND,-0.1078
ND,ND,ND,ND,0.1263,0.0470
ND,ND,ND,0.1280,ND,0.1352
ND,ND,ND,ND,ND,0.2541
ND,ND,ND,-0.3805,0.1393,-0.8245
0.2081,-0.0596,-0.0314,ND,ND,ND
-0.0314,0.2656,-0.1515,ND,ND,ND
0.0282,0.1600,-0.0867,ND,ND,ND
-0.1522,0.1623,-0.1208,ND,ND,ND
0.8629,-0.2940,0.1841,0.0840,0.0218,0.1731
ND,ND,ND,0.1228,0.0933,0.0266
0.1005,0.4353,ND,ND,ND,ND
0.0737,1.4804,-0.2715,ND,ND,ND
-0.0122,-0.0031,-0.0638,ND,ND,ND
-0.0553,0.2864,-0.1502,ND,ND,ND
-0.0697,0.4188,-0.0443,ND,ND,ND
0.0964,0.3402,-0.0638,ND,ND,ND
-0.1509,0.0813,-0.3014,ND,ND,ND
-0.0470,0.1482,-0.0316,ND,ND,ND
0.0153,0.0790,-0.0801,ND,ND,ND
0.1676,ND,0.3156,ND,ND,ND
ND,ND,ND,0.1548,ND,0.1761
ND,-0.1163,ND,ND,ND,ND
ND,0.1702,ND,ND,ND,ND
ND,0.2057,-0.2358,ND,ND,ND
-0.0490,0.0989,-0.2151,ND,ND,ND
-0.0687,ND,ND,ND,ND,ND
0.0999,-0.0897,0.2016,ND,ND,ND
ND,ND,ND,0.1051,0.0157,0.2087
ND,0.1450,0.2944,ND,ND,ND
ND,0.6722,-0.0984,ND,ND,ND
0.1786,0.0585,0.1449,ND,ND,ND
ND,ND,0.0732,ND,ND,ND
-0.1809,0.2983,ND,ND,ND,ND
0.2302,0.5391,0.1114,ND,ND,ND
ND,ND,ND,ND,ND,ND
-0.3021,0.2503,-0.1723,ND,ND,ND
0.1714,-0.0803,0.2265,-0.0227,ND,0.2993
ND,ND,ND,ND,ND,0.0492
ND,0.0396,0.2622,ND,ND,0.2921
0.1813,ND,0.0339,ND,ND,ND
0.3512,ND,ND,ND,ND,ND
-0.1076,0.3176,-0.2466,ND,ND,ND
ND,ND,ND,ND,ND,-0.0466
ND,ND,ND,0.0518,ND,-0.0446
ND,ND,ND,0.0913,ND,ND
0.0667,0.0847,0.0045,ND,ND,ND
ND,ND,-0.0511,ND,ND,ND
ND,0.1137,ND,ND,ND,ND
ND,0.4258,-0.2566,ND,ND,ND
-0.1152,-0.1722,ND,ND,ND,ND
ND,ND,ND,0.1601,0.3520,0.2117
ND,ND,ND,0.1881,-0.2343,0.3103
ND,ND,ND,0.1673,-0.0592,0.3360
ND,ND,ND,0.0728,0.1823,0.1290
-0.0266,0.0480,-0.0093,ND,ND,ND
-0.0040,-0.0353,0.0303,ND,ND,ND
0.3070,0.2478,0.1306,ND,ND,ND
ND,ND,ND,ND,ND,0.0487
-0.3484,0.2466,-0.0480,ND,ND,ND
