TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
13654804.46,13707404.97,5794202.453,12834534.25,12562164.6,6333841.972,12635963.84,12480666.08,6357142.699,13487914.43
186198.3828,194460.6666,79134.12361,211704.2643,236901.2104,117366.5927,245324.5992,240751.1516,129777.555,206437.9435
777712.8684,725249.2401,345710.1526,615265.8406,613813.6205,305767.1662,632103.2408,589133.8182,307864.2772,653338.8614
6550520.21,6280039.929,2690927.3,5890010.178,5693834.973,2710818.327,5852572.184,6012553.228,2930214.873,6314452.908
975373.2548,970251.5982,423099.9381,1026569.241,992513.8485,478377.8224,1046255.744,1046309.986,505745.3018,1026168.687
1027296.96,1087193.817,501833.2516,1208331.578,1134098.605,537980.7268,1092358.75,1074012.105,520013.8627,1140595.637
24293287.89,22387999.68,10158048.22,17632786.39,17857293.7,8350493.315,17312250.23,17680948.09,8905281.871,19838031.08
11428012.82,12040774.18,5731791.017,11838190.22,9380747.989,3977338.185,11427118.58,9845268.639,5845915.055,11382678.62
26591099.77,26164279.63,11154262.39,18419555.56,17951395.92,8444080.616,18951239.79,18844066.26,9456237.268,21889890.01
66006202.33,63547571.45,28599979.92,72531914.76,72427759.9,33960411.7,67518032.19,65184032.83,34528027.31,65956996.41
1956348.458,2037251.796,869641.9303,1912103.645,1841100.558,940402.4516,1925216.669,2005803.942,975405.9907,2029321.938
1217651.21,1222616.89,574804.6803,1066653.798,1048930.176,586704.5296,1028324.557,1084281.203,539067.7683,1182286.92
25695690.36,25268577.65,10734496.71,19638943.83,20481026.16,8673265.014,19628598.01,19126957.49,9843021.502,19906904.04
4612642.872,4583103.523,1729278.08,3900679.516,3909065.033,1731582.76,3830855.09,3777737.497,1880878.958,4173875.201
11033909.67,11076704.06,4313491.991,11885765.44,10860130.74,4908514.191,11652719.24,11315794.62,5444920.267,11780094.57
1511872.69,1485699.666,672544.2537,1464128.346,1460446.219,717562.6796,1507892.327,1491474.528,766857.3586,1601342.248
5407271.452,5156247.857,2276004.468,3991789.814,3945107.274,1920004.498,3934932.196,3827231.462,2006354.201,4697385.318
1856545.165,1791797.351,772794.3585,2063904.744,2097811.959,875105.7792,2098792.414,2023124.077,1060751.326,2036909.46
9827930.43,9788459.975,4428572.137,10255134.82,10508658.31,4736133.339,10184032.5,10082317.37,5105052.613,10645772.89
21354186.03,20605495.62,8460451.159,17813284.82,16941436.53,7577026.702,17335279.36,17129236.99,8884992.418,19429864.83
42611946.7,39955661.03,17336656.32,39614311.15,37965104.2,17490480.52,35646288.52,36599471.18,18257301.16,40523765.81
7971174.09,8035513.265,3793842.244,8737231.022,8264283.015,4036221.208,8917310.932,8916761.389,4493502.844,8879966.285
26360064.77,25708843.82,11339861.95,23254369.74,24266219.55,11754345.89,24105372.61,23987383.19,12466540.51,25044828.33
4710188.198,4911123.466,2027844.671,8965402.041,8737498.728,3979812.081,9914795.369,9853791.675,5026146.232,8214628.214
3692349.331,3688477.618,1636299.588,4022067.894,3978562.369,1922394.646,4419593.769,4394856.151,2196072.818,4235973.359
22586353.63,22129006.62,9692424.512,19994527.48,19751238.67,9366958.901,19887766.09,19530454.87,9893607.787,21928105.67
5786104.729,5545714.464,2224894.391,4249096.474,4323076.736,2021225.889,4190457.47,4209321.969,2029366.334,4929440.664
10970623.37,10752708.94,4779449.93,16921044,15412316.26,7058228.66,18932186.81,18249418.39,9345302.741,16005619.7
102052.9661,89503.22326,43492.07809,123419.3134,120830.2444,55047.82589,127259.5299,120029.2353,62528.08553,109568.5172
11866370.39,11605591.76,5114419.335,10648176.29,10296585.53,4999708.266,10517265.39,10183444.15,5250505.784,10733781.03
10876030.34,11180398.86,4831922.944,10938059.63,10798036.03,5323759.241,10973597.38,10658218.3,5376834.092,11225719.27
8802656.293,8359123.056,3549227.69,7266239.889,6888404.674,3150992.532,7178649.011,7031279.647,3517314.845,7908590.759
4000411.724,4420096.568,1834504.786,6315259.328,6085503.114,2789883.98,6027887.135,5957485.378,2973082.02,5738498.543
4735328.18,4790737.871,2079737.3,5098411.156,4827923.808,2324012.833,5406512.951,5238632.727,2564738.159,4942742.908
8824815.52,8848525.677,4294537.83,7516523.576,7166656.017,3013551.551,7234498.584,6944554.961,3495495.429,7979681.503
10813389.72,10720015.68,4659240.793,12257492.25,12143607.32,5620799.422,12580957.23,12471467.98,6397604.676,12433500.77
1350180.36,1343029.271,554882.0248,1017399.36,995858.4434,447115.2892,1029089.304,1053078.688,533155.8291,1128368.758
832438.1339,843150.0137,410528.6966,792426.254,778052.171,389513.7892,750478.3783,753937.2064,400649.1844,813846.169
30586.08436,33461.42044,18320.0109,24499.52307,32571.73493,14191.06773,32854.9629,40065.92252,18969.25905,24440.80467
4200316.675,4173884.802,2403310.512,4728157.495,4610680.437,2228144.741,4575800.378,4659613.625,2375320.426,4646462.537
8181662.414,9294430.301,4112484.561,10734955.98,10745642.01,4986390.843,12386349.35,13025197.43,5494473.465,11236388.77
33713942.13,30735387.27,16756268.54,32069651.22,30739299.89,14140833.89,34569255.04,30915732.46,16701762.74,32571795.14
6462093.085,6781567.664,2947021.727,8526078.736,8586376.299,4126485.447,9416227.608,9591825.791,4935496.627,8834042.29
6939704.381,6680788.679,2667405.588,5890866.575,5891083.395,2713676.261,5641215.881,5806956.971,3050760.933,6897853.338
7650287.435,7802306.607,3598544.48,7105178.543,7126182.637,3686192.834,7126448.567,7216892.433,3824228.049,7067091.478
23853542.1,23674225.04,10652239.39,26619881.7,23761641.83,10522951.16,26733476.42,26184549.59,11951195.17,25948905.9
