Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
-0.6414,0.4271,-0.4391,ND,ND,ND,0.9251,0.5654,-0.8527
ND,ND,-0.4439,0.5468,ND,-0.1675,ND,ND,-0.2583
ND,ND,-0.4442,ND,ND,ND,ND,ND,0.1154
ND,-0.4445,ND,ND,ND,ND,ND,0.3852,ND
-0.4534,ND,ND,ND,ND,ND,0.2429,ND,ND
-0.4552,0.9641,-0.5369,ND,ND,ND,-0.1851,0.7773,0.1324
-0.4619,ND,ND,0.2655,0.3426,0.7872,0.4295,ND,ND
-0.4753,-0.5138,1.4563,ND,ND,ND,0.1143,-0.6735,1.3916
-0.5785,-0.3832,ND,ND,ND,ND,-0.3612,-0.7892,ND
-1.6383,ND,0.6662,ND,ND,ND,0.1980,ND,0.5798
-0.6162,-0.4862,0.8746,ND,ND,ND,0.3479,-0.3287,0.8674
ND,ND,-0.4877,ND,ND,ND,ND,ND,0.2296
ND,ND,-0.4994,ND,ND,ND,ND,ND,0.8817
-0.5448,-0.4754,ND,ND,ND,ND,0.1793,-0.2652,ND
-0.5165,0.6179,-0.7737,ND,ND,ND,-0.6937,0.7778,-0.1329
-0.7546,ND,-0.2872,0.1645,-0.2132,0.8362,0.4817,ND,-0.1749
ND,ND,-0.5243,ND,ND,ND,ND,ND,0.3437
-0.5552,-0.4959,ND,-0.2232,0.4153,0.4281,-0.2355,-0.2683,ND
ND,-0.5311,ND,ND,ND,ND,ND,-0.1382,ND
ND,ND,-0.5313,ND,ND,ND,ND,ND,0.1473
-0.7912,-0.2840,ND,ND,ND,ND,0.1559,-0.4934,ND
0.3370,-0.5380,-0.6761,0.2199,0.3194,-0.1455,0.5250,-0.2223,-0.2796
-0.5436,-0.7455,1.1273,ND,ND,0.6479,0.9633,-1.4938,1.3384
-0.5491,ND,ND,ND,ND,ND,0.5855,ND,ND
-1.7558,ND,0.6315,ND,ND,ND,0.2728,ND,1.9544
-0.5628,-1.2324,1.3567,-0.1668,-0.9199,ND,1.5675,-1.2932,-0.1442
ND,ND,-0.5642,0.1982,ND,0.1636,ND,ND,0.3339
-1.1323,-0.5769,1.1238,-0.1112,-0.1212,ND,0.2274,-1.1436,1.1287
-1.9161,ND,0.7486,ND,ND,ND,0.6556,ND,0.6144
-0.5872,ND,ND,ND,ND,ND,0.8514,ND,ND
ND,ND,-0.5951,ND,ND,ND,ND,ND,0.2139
ND,-0.5963,ND,ND,ND,ND,ND,0.1788,ND
ND,ND,-0.6280,ND,ND,ND,ND,ND,-0.3852
-0.6425,ND,ND,ND,ND,ND,0.1176,ND,ND
-0.6461,-0.7168,1.7734,ND,0.1414,ND,0.1760,-0.8485,1.1467
-0.8985,-0.3985,ND,ND,0.4565,ND,0.1342,-0.8579,ND
-1.2187,-0.6579,1.6581,ND,ND,ND,0.8455,-1.5625,1.6446
-1.3832,-0.6619,1.5432,ND,ND,ND,-0.2231,-1.1981,0.8515
-0.6691,0.4759,-0.7248,ND,ND,ND,-0.9713,0.6729,-0.2436
ND,ND,-0.6728,ND,ND,ND,ND,ND,0.2946
-1.7359,ND,0.3832,ND,ND,ND,-0.2746,ND,0.4298
-1.6865,-0.7199,1.6399,ND,ND,ND,-0.7719,-1.6998,1.6117
-0.7226,ND,ND,ND,ND,ND,0.1123,ND,ND
-0.7289,ND,ND,ND,ND,ND,0.3788,ND,ND
-0.8768,-0.5843,ND,ND,ND,ND,0.2539,-0.5222,ND
-1.5142,-0.7342,1.5487,-0.1138,0.3366,0.1166,-0.1895,-0.8352,1.1117
-0.7548,ND,ND,ND,ND,ND,0.1187,ND,ND
-0.7612,ND,ND,ND,ND,ND,0.1832,ND,ND
-0.7612,ND,ND,ND,ND,ND,0.1371,ND,ND
ND,-0.7354,-0.7997,-0.5358,ND,-0.1133,ND,0.2882,-0.1622
-1.2889,-0.2482,ND,ND,ND,ND,-0.1544,0.6584,ND
-1.8129,-0.7762,1.1672,ND,ND,ND,-0.2686,0.6336,0.8716
-0.8994,-0.7876,1.3278,-0.2977,-0.3800,0.6645,0.1156,-1.1479,1.3123
-1.9436,ND,0.3277,ND,ND,0.1387,-0.3723,ND,0.4693
-0.8173,0.8747,-0.9497,ND,ND,ND,-0.2624,0.9614,-0.5638
-0.8188,ND,ND,0.1175,0.1394,0.4197,0.1936,ND,ND
-0.8189,-0.8283,0.5228,ND,-1.8847,ND,0.3388,-0.7235,-0.2326
ND,-0.8286,ND,ND,ND,ND,ND,1.1620,ND
-0.9522,-0.7465,ND,ND,ND,ND,-0.5814,0.3989,ND
ND,-0.8836,ND,ND,ND,ND,ND,-0.4361,ND
-1.6157,-0.8943,1.2245,ND,ND,ND,0.2966,-1.8723,1.2378
-0.9333,ND,ND,ND,ND,ND,0.7459,ND,ND
-0.9688,ND,ND,ND,ND,ND,-0.1269,ND,ND
ND,ND,-0.9772,ND,ND,ND,ND,ND,0.1122
-0.9785,ND,ND,ND,ND,ND,0.9948,ND,ND
ND,ND,-0.9915,ND,ND,ND,ND,ND,0.9149
-2.2820,0.1556,ND,ND,ND,ND,0.2956,-0.2892,ND
-1.6237,-0.5919,ND,ND,ND,ND,-0.5852,-0.7281,ND
-1.1488,ND,ND,ND,ND,ND,0.3113,ND,ND
-1.1600,ND,ND,ND,ND,ND,-0.1667,ND,ND
-1.1651,ND,ND,ND,ND,ND,0.3292,ND,ND
-1.1878,-1.2713,0.4648,0.5915,ND,0.1493,0.9720,-1.1731,0.9276
-1.2166,ND,ND,ND,ND,ND,-0.5922,ND,ND
-1.2217,ND,ND,ND,ND,ND,-1.7541,ND,ND
-1.3175,-1.2548,1.1737,ND,ND,ND,0.2877,-1.3467,1.4379
-0.8914,-1.6589,ND,ND,ND,ND,1.1528,-1.5916,ND
-1.3175,ND,ND,ND,ND,ND,-0.1549,ND,ND
-1.3894,ND,ND,ND,ND,ND,-0.4947,ND,ND
ND,ND,-1.5443,ND,ND,ND,ND,ND,-0.1869
ND,-1.6527,ND,ND,ND,ND,ND,-1.7484,ND
-1.9285,ND,ND,ND,ND,ND,-0.3000,ND,ND
ND,-1.9291,ND,ND,ND,ND,ND,-0.9161,ND
-1.9667,ND,ND,ND,ND,ND,-0.1123,ND,ND
ND,-2.4660,ND,0.3458,ND,0.2647,ND,-2.3343,ND
ND,ND,-2.8175,ND,ND,ND,ND,ND,3.5934
ND,ND,ND,ND,2.5564,ND,ND,ND,ND
ND,ND,ND,ND,ND,1.9391,ND,ND,ND
ND,ND,ND,ND,1.4765,ND,ND,ND,ND
ND,ND,ND,1.3843,ND,ND,ND,ND,ND
ND,ND,ND,1.2990,ND,ND,ND,ND,ND
ND,ND,ND,ND,0.5738,1.6694,ND,ND,ND
ND,ND,ND,ND,ND,0.9966,ND,ND,ND
ND,ND,ND,ND,0.9937,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.9868,ND,ND,ND
ND,ND,ND,ND,ND,0.9835,ND,ND,ND
ND,ND,ND,ND,ND,0.9835,ND,ND,ND
ND,ND,ND,ND,ND,0.9832,ND,ND,ND
ND,ND,ND,ND,ND,0.9738,ND,ND,ND
ND,ND,ND,ND,ND,0.9712,ND,ND,ND
ND,ND,ND,ND,ND,0.9699,ND,ND,ND
ND,ND,ND,ND,ND,0.9632,ND,ND,ND
ND,ND,ND,ND,ND,0.9519,ND,ND,ND
ND,ND,ND,0.9495,0.2826,0.9638,ND,ND,ND
ND,ND,ND,0.9490,ND,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.9488,ND,ND,ND
ND,ND,ND,ND,0.9480,ND,ND,ND,ND
ND,ND,ND,ND,0.8716,ND,ND,ND,ND
ND,ND,ND,0.8688,ND,ND,ND,ND,ND
ND,ND,ND,ND,0.8555,ND,ND,ND,ND
ND,ND,ND,ND,0.8462,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.8419,ND,ND,ND
ND,ND,ND,ND,0.1223,1.5349,ND,ND,ND
ND,ND,ND,ND,ND,0.8245,ND,ND,ND
ND,ND,ND,0.6638,0.8119,0.9944,ND,ND,ND
ND,ND,ND,ND,0.8115,ND,ND,ND,ND
ND,ND,ND,ND,0.8132,0.7983,ND,ND,ND
ND,ND,ND,ND,ND,0.7999,ND,ND,ND
ND,ND,ND,ND,ND,0.7997,ND,ND,ND
ND,ND,ND,0.1116,0.9217,0.7997,ND,ND,ND
ND,ND,ND,ND,ND,0.7933,ND,ND,ND
ND,ND,ND,0.9344,0.7890,0.1216,ND,ND,ND
ND,ND,ND,ND,-0.3984,ND,ND,ND,ND
ND,ND,ND,ND,ND,-0.3990,ND,ND,ND
ND,ND,ND,-0.1553,-0.6437,ND,ND,ND,ND
ND,ND,ND,ND,-0.9580,0.1579,ND,ND,ND
ND,ND,ND,0.1969,-0.8644,-0.4129,ND,ND,ND
ND,ND,ND,-0.3117,ND,-0.5148,ND,ND,ND
ND,ND,ND,ND,ND,-0.4171,ND,ND,ND
ND,ND,ND,ND,ND,-0.4224,ND,ND,ND
ND,ND,ND,ND,ND,-0.4284,ND,ND,ND
ND,ND,ND,-0.4419,ND,ND,ND,ND,ND
ND,ND,ND,-0.4466,-0.8478,0.3672,ND,ND,ND
ND,ND,ND,ND,-0.6364,-0.3177,ND,ND,ND
ND,ND,ND,ND,ND,-0.4800,ND,ND,ND
ND,ND,ND,ND,-0.4875,ND,ND,ND,ND
ND,ND,ND,ND,ND,-0.4984,ND,ND,ND
ND,ND,ND,ND,ND,-0.5174,ND,ND,ND
ND,ND,ND,-1.7287,ND,0.6848,ND,ND,ND
ND,ND,ND,ND,ND,-0.5567,ND,ND,ND
ND,ND,ND,ND,ND,-0.5623,ND,ND,ND
ND,ND,ND,-0.5670,-1.9562,0.6198,ND,ND,ND
ND,ND,ND,ND,-0.5769,ND,ND,ND,ND
ND,ND,ND,ND,-0.2618,-0.9483,ND,ND,ND
ND,ND,ND,ND,ND,-0.6245,ND,ND,ND
ND,ND,ND,-0.9165,0.1615,-0.6377,ND,ND,ND
ND,ND,ND,ND,ND,-0.6569,ND,ND,ND
ND,ND,ND,-0.6666,ND,ND,ND,ND,ND
ND,ND,ND,-1.5712,0.2327,ND,ND,ND,ND
ND,ND,ND,ND,-0.6896,ND,ND,ND,ND
ND,ND,ND,-0.7534,-0.7118,0.2455,ND,ND,ND
ND,ND,ND,ND,ND,-0.7286,ND,ND,ND
ND,ND,ND,ND,-0.7647,-0.7557,ND,ND,ND
ND,ND,ND,ND,ND,-0.7677,ND,ND,ND
ND,ND,ND,-0.7912,ND,ND,ND,ND,ND
ND,ND,ND,-0.8953,0.8620,-0.8114,ND,ND,ND
ND,ND,ND,ND,-0.8171,ND,ND,ND,ND
ND,ND,ND,ND,ND,-0.8498,ND,ND,ND
ND,ND,ND,-0.8528,ND,ND,ND,ND,ND
ND,ND,ND,ND,ND,-0.8915,ND,ND,ND
ND,ND,ND,ND,ND,-0.9312,ND,ND,ND
ND,ND,ND,-0.9330,ND,ND,ND,ND,ND
ND,ND,ND,ND,-1.7869,ND,ND,ND,ND
0.9345,0.7180,0.1942,-0.8750,-0.3649,ND,-0.1756,0.8955,-0.7279
0.6612,0.7653,0.6240,-0.9925,-0.4457,ND,-0.3769,0.7493,0.3666
1.8479,0.6468,-0.8254,1.9996,0.3614,ND,-0.9426,2.1194,0.5466
ND,0.5881,ND,ND,ND,0.8567,ND,0.2590,ND
ND,0.5966,0.4576,0.2789,0.9914,0.8292,ND,0.5148,-0.9771
0.5636,0.5196,-0.4259,-0.5822,ND,ND,-0.8146,0.3493,0.3392
0.8931,ND,0.1316,-0.9737,ND,ND,-0.7299,ND,0.5153
-0.6559,0.4667,0.8828,ND,ND,0.8146,-0.2830,-0.4935,1.3483
0.8578,0.1234,0.4380,0.8457,ND,ND,0.2769,0.8159,0.5954
0.4259,0.3865,-0.8297,0.3163,-0.4826,-0.8189,0.1796,0.3232,0.3833
ND,ND,0.3772,-0.2553,ND,-0.8581,ND,ND,0.3634
ND,ND,0.3655,0.8155,0.9870,0.7875,ND,ND,-0.4826
ND,ND,0.3549,ND,ND,0.8176,ND,ND,0.7946
0.1461,0.5466,ND,0.8466,0.9413,0.2674,0.1658,0.4894,ND
