LFQ intensity IN_1,LFQ intensity IN_2,LFQ intensity IN_3,LFQ intensity IN_5,LFQ intensity IN_6,LFQ intensity PD_1,LFQ intensity PD_2,LFQ intensity PD_3,LFQ intensity PD_5,LFQ intensity PD_6
0,2333600,5078100,0,0,0,0,0,0,0
77755000,153850000,49072000,89018000,2324400000,62885000,87980000,363290000,556260000,0
715790000,54795000,879070000,1000500000,22022000,0,0,0,0,0
531150000,525630000,469210000,641960000,562660000,0,0,0,0,0
36588000,31067000,23234000,56810000,33543000,0,0,0,0,0
116830000,136510000,146240000,107830000,118270000,0,0,0,0,0
130700000,40688000,85309000,255130000,101840000,0,0,0,0,0
210650000,272100000,227300000,159510000,240760000,0,0,0,0,0
31938000,29571000,34653000,59006000,51105000,0,0,0,0,0
10375000,0,10763000,0,13269000,0,0,0,0,0
107470000,98479000,95791000,131420000,108810000,0,0,0,0,0
6114500,15842000,0,0,13756000,0,0,0,0,0
22750000,0,31568000,46453000,18591000,0,0,0,0,0
88246000,130200000,65554000,81474000,63352000,0,0,0,0,0
206450000,179960000,229400000,98766000,154600000,0,0,0,0,0
311330000,93146000,134280000,209430000,163330000,0,0,0,0,0
220100000,181940000,253460000,220590000,148950000,0,0,0,0,0
14754000,0,31813000,14199000,24500000,0,0,0,0,0
0,0,0,0,0,15588000,18753000,13525000,0,23204000
26054000000,24477000000,25553000000,23145000000,27318000000,23915000000,20693000000,24216000000,51863000000,17108000000
251150000,199530000,457280000,285360000,215600000,156550000,258810000,118090000,78795000,85748000
52179000,62354000,53194000,80246000,40838000,0,0,0,0,0
749500000,576030000,523490000,622580000,559180000,0,0,0,0,0
0,0,0,3832700,11536000,0,0,0,0,0
454350000,411020000,492870000,415300000,515170000,796630000,534100000,510190000,520530000,555310000
0,0,0,0,0,38085000,34756000,50723000,26202000,49408000
90218000,77821000,120660000,91277000,135820000,0,0,0,0,0
0,0,0,0,0,5678100,6462600,11915000,0,0
38967000,117570000,69594000,118380000,82508000,0,0,0,0,0
0,0,0,0,9618700,0,0,0,0,0
0,18068000,0,60365000,17116000,0,0,0,0,0
688410000,614640000,546280000,629570000,528850000,0,0,0,0,0
75303000,44870000,57260000,116150000,84267000,0,0,0,0,0
2959000000,2782200000,2865900000,2599400000,2287600000,0,0,0,0,0
531920000,319580000,498880000,272060000,293590000,610910000,631950000,727220000,259270000,355810000
242090000,323430000,280520000,349340000,282500000,0,0,0,0,0
1281000000,2523800000,2057800000,1212400000,713640000,97016000,94582000,75316000,41085000,94332000
243330000,253440000,231670000,217010000,151690000,0,0,0,0,0
60459000,49242000,68028000,0,41800000,213440000,127880000,229980000,44241000,78032000
166900000,175490000,125100000,61877000,483410000,122640000,37235000,86718000,0,44167000
0,4369500,8648700,7878200,7698700,0,0,0,0,0
0,32048000,30863000,33963000,33005000,0,0,0,0,0
53572000000,53849000000,65156000000,49833000000,49022000000,28065000000,19071000000,21374000000,14144000000,22672000000
21323000,0,0,19440000,0,0,0,0,0,0
0,0,0,0,32198000,0,0,0,0,0
55135000,32540000,38914000,49217000,33726000,0,66308000,30218000,26226000,35461000
0,0,27822000,45819000,18783000,0,0,0,0,0
96918000,72704000,104790000,131420000,128690000,0,0,0,0,0
18135000,10727000,12348000,17972000,12932000,0,0,0,0,0
1535700000,1342900000,1477600000,1306100000,1434400000,1291400000,1353400000,1406700000,947880000,987110000
95611000,190310000,158340000,185070000,128540000,0,0,0,0,0
0,0,0,0,0,369480000,232780000,220850000,256090000,435230000
33464000,32710000,39749000,60723000,47882000,0,0,0,0,0
22349000,85124000,54401000,45736000,45390000,0,0,0,0,0
69470000,61165000,56674000,0,93971000,0,0,0,0,0
24502000,52485000,29239000,37746000,48818000,0,0,0,0,0
36363000,34919000,38446000,35806000,29460000,0,0,0,0,0
0,0,0,0,44590000,0,0,0,0,0
344160000,310640000,58555000,354670000,254300000,0,0,0,0,0
949400000,874340000,745420000,1167700000,581400000,0,0,0,0,0
36171000,27671000,21690000,30783000,33485000,0,0,0,0,0
1204700000,997640000,1544000000,833790000,1579000000,15300000,32690000,33031000,32632000,31439000
164560000,435010000,522960000,332720000,317390000,0,0,0,0,0
52628000,62352000,40664000,34035000,40835000,0,0,0,0,0
22859000,29463000,37113000,41842000,26881000,0,0,0,0,0
