Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
24226.2,16986.7,15922.5,10307.1,8638.2,4563.9
250445,242477.9,212973.4,82287.9,55701,14503.1
7199.1,10822.8,8593.9,3279.5,2820.1,1750.1
267849.3,252633.8,216906.3,77388,59367.8,12374.6
185032.7,187308.2,152618.2,53937.9,39017.5,7257.2
219805.2,217030.7,178368.7,63447.1,50091.4,11106.7
205284.5,223596.2,183937.6,63308.1,44906.4,8312.8
89139.4,92550.4,79929.8,27309.5,20386.4,3420.5
128139.5,123314.9,102028.1,36886.4,28667.8,5185.6
7365.9,7432.5,6539.5,2709.7,2316.8,1015.9
194584.6,195509.6,165208.1,54991.7,40473.2,6948.6
17671.6,17523.1,14559,5754.8,3917.6,1231.9
1371.8,1650.1,1187,537.7,547.2,242.8
291516.1,314527,284176.4,197065.9,196123.2,24339.7
27379.6,27475.6,25520.6,11087.7,6085.3,2346.9
140023.9,140386.9,113470.4,45272.8,33194,11130.3
11703.3,11470.4,9857.7,4160.1,2950.2,1035.8
3883.1,3742.8,3461.5,1406.7,919.8,358.7
2006.7,1853.4,1770.1,736.4,529.3,198.3
2722.2,3308.8,2578.7,1012.9,742.8,276
4503,4424.8,3910.6,1541,1042.1,364.2
769.4,850.1,780.5,839.1,293.8,97.4
2486.3,2430.1,2108.9,858.6,631.1,219.6
7241.9,7506.5,6690.8,4897.5,4848.6,3576.4
1983.1,1761.7,1874.1,1127,966.5,685
1490.6,1622,1244.1,607.6,465.5,113.4
6864.5,6771.9,6023.2,2688.1,1758.2,678
3452.8,3418.6,2904.6,1216.9,717.6,184.3
3889.9,3877,3133.7,1230.7,839.7,290.2
1045.8,703.5,940.1,462.2,240.6,121
1756.6,1435.6,1475.7,645.7,448.2,224.9
645.3,698.5,622.7,274.2,222.3,102.8
941.2,888.2,776.5,281.8,206.6,44
1356.6,1416,1216.6,592.5,464.1,235.7
3232.1,3331.5,2738.1,1147.5,752.6,297
263.2,196.1,288.3,157,109.6,68.5
781.2,721.6,789.8,465.2,423.8,326.5
940.2,915.2,866.4,407.9,271,135.2
991.5,955.8,890.8,501.8,309.3,130.9
2528.1,2596.7,2206.6,1055.5,790.5,444.9
2177.8,2030.7,1860.3,729.8,536.1,168.8
2515.2,2943.6,2592.1,1669.3,1466,1112.3
3286.1,2924,2788.8,1068.5,857.8,266.1
2423.8,2386.1,2106.1,877.6,722,283.2
400.9,301.6,347.5,164.7,122.7,86.6
1799.8,1568.8,1580.6,713.1,459.1,222.8
149.5,135.2,111.6,61.9,39.5,12.3
