Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
64894,53984,75198,43292,103476,55069,67214,41167,104862,59045
1453079,1500188,1333062,1348289,1268249,3145077,1441065,1430473,1312528,3266355
228159,239030,294353,229439,283037,236429,230241,224786,280985,226625
480,2189,341,930,402,3548,411,1032,710,4188
88467,115415,105058,56388,117261,114742,88119,56448,117327,114322
85530,130870,131915,105058,196047,176795,90747,104209,197664,163768
3386727,4935059,3563783,4430478,3572847,4265562,3410134,4434284,3584488,4196056
310476,453225,363604,532779,449816,576699,323473,528193,440970,548530
18454,8498,14271,11705,11859,7864,19637,11270,11829,7938
22270,23143,28407,26795,21945,24473,21597,24424,23338,22006
18031,16036,24004,22439,18072,19359,17357,23859,16915,20316
42862,46482,35971,50770,31982,44156,38244,49112,31555,42062
12453,7460,6943,12792,8361,9013,11773,11934,7532,8116
304436,50460,41313,35694,33305,36353,282654,34580,35974,34748
34577,30198,43733,46605,45932,40221,34045,43313,49878,40102
16483,15120,10235,7383,11608,10243,17333,7785,11553,9809
177486,137775,194632,159813,163095,156059,178741,161727,166355,154167
35512,37571,40390,33393,34701,45209,36116,32268,31587,43112
13931,9710,13924,16006,8560,5268,13275,15572,6614,4789
8242,11326,10662,12052,9223,10578,9315,12012,10859,11419
7169,13057,9949,17788,5742,11720,7873,16974,5949,9900
22500,23037,53079,29692,25934,25037,19183,20652,25571,18111
558199,286425,477157,528951,413010,322892,535597,535291,406756,316744
47874,33098,33397,72874,44862,41804,49380,76643,44982,41733
151302,131393,126859,198821,109961,136586,154142,198082,111716,133194
1177591,1117615,1027922,1017805,1147284,1185036,1208283,1017055,1246749,1178528
22894,26710,30334,21000,49773,25899,25181,22497,54352,23232
73696,235072,88690,96678,193584,183202,84330,96655,200894,190031
121103,121180,154215,120758,137561,122353,123419,118475,134315,122463
104109,227854,133481,159860,107061,215242,108072,157183,112833,214353
238009,359618,371154,392996,365895,316878,251663,390062,372336,321705
9101,6617,10253,11283,8602,6727,8757,11653,7815,6124
27717,30179,26006,32276,28149,36045,31366,35219,34663,36336
319859,241583,279000,277350,314113,266569,327046,284999,296195,256398
15739,18012,22494,23039,17491,18539,15253,20895,18160,19647
647419,726327,739474,734347,781796,749302,662034,751642,788100,775474
54750,77973,65720,75603,103109,74156,55168,74223,105356,77920
256777,141942,253289,148788,164912,154482,249538,152347,162029,169528
338024,541934,317002,530842,350154,475885,326639,489244,348691,424916
148356,229676,118994,111391,204598,161143,151988,103686,198050,146576
75220,54801,63932,88588,54509,52857,73437,92463,59561,56836
8267,8389,11021,10586,8547,11949,8853,10670,9548,13072
108571,152816,126806,120991,120608,176012,104807,118978,117850,165068
12914,36459,18000,19200,8861,33622,13024,20209,7995,35042
102752,83826,107350,120768,87512,79083,102355,123724,94640,84295
170536,125091,84081,227363,89285,136116,172120,237806,85336,153087
251192,440181,120315,87476,481090,356177,251464,83800,480753,368070
520868,295639,489597,344769,396623,327457,519347,356834,382183,311884
23012,15849,21011,16312,17672,15429,22953,14770,16895,15392
23800,31993,33897,25882,36387,24818,25379,24983,36017,23728
12892,41148,15333,21843,48141,25165,15666,21021,52377,27287
35103,37108,31663,41271,36182,36525,36685,40872,34225,33473
30108,32023,43153,51563,35571,32695,30229,48366,32488,30586
26442,21322,5445,17915,16566,19846,21338,12182,13718,10135
632985,726640,684456,774463,643093,701305,613582,721510,635157,675133
79499,108620,86752,111139,252696,110031,97592,116807,253044,117353
3669,5471,5150,4776,5114,4972,3907,5640,3883,4370
314968,194907,249518,207332,312812,219816,308047,200626,332720,220384
