Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
2889945.75,3593408.25,3117727.25,8183841.625,8272268,20987621.38,,,,,,,,,
1612603.125,1032502.313,0,3105583,2256444.25,2169620.75,,,,,,,,,
1774587909,1472014913,1626768243,1751676916,2967966492,2711677343,,,,,,,,,
29894275.5,0,0,56202424,1833136.875,0,,,,,,,,,
60433587.5,62848458.63,87013132.94,95308358.5,71148084.25,78400646.25,,,,,,,,,
5139088.375,10318203.56,60881056.31,210618381.9,18766216.75,37883702.5,,,,,,,,,
952565.8125,1283672.5,1408822.125,2288594.25,2222111.25,0,,,,,,,,,
14051512,15791901.06,0,33927350.75,33851147.31,39058644.06,,,,,,,,,
6330045.5,4776964,0,3859010,14648309.06,18094285.19,,,,,,,,,
677520.0625,3887952.625,0,1674462,1047157.813,899470.5,,,,,,,,,
75419381.25,112297626.5,70705840,73105858,136447690.8,124650204.1,,,,,,,,,
250995322,241393130.4,372038019.1,192232486.6,589073245.3,411535811.6,,,,,,,,,
19673824,6411370.563,9714714.5,24472711.5,28109057.13,30994837,,,,,,,,,
6879417.125,6118257.125,0,320485.4375,8412441.813,11195404.13,,,,,,,,,
14106961.75,26689963.25,30880536.25,17249015.88,40117637.31,20708666,,,,,,,,,
1025377.125,0,2747564.5,1071207.25,9810587.938,3638777.813,,,,,,,,,
91184504.19,62973548.19,130778071.6,179154350.1,282645644.6,216481754.1,,,,,,,,,
5837821.313,8665827.25,6823724.75,3779432.336,26531969.25,14041212.38,,,,,,,,,
6993015.75,3002893,0,0,750087.3594,0,,,,,,,,,
22843962.63,31991054,31223492.5,34105231.5,53796936.88,46530584.5,,,,,,,,,
1893568.875,3905857,0,0,6522725.75,2181884.25,,,,,,,,,
798743.6875,0,0,0,788343.5625,703317.125,,,,,,,,,
7582909.5,0,0,0,6997602.625,7383648.125,,,,,,,,,
6316549.375,6986954.375,8009028,8471864,8208448.125,3367001,,,,,,,,,
147571358.3,153656864.6,141854614,181624082.8,350230141.1,306325148.3,,,,,,,,,
1266870.813,1700446.75,1398332.75,1230626.75,7210219.688,7437583.5,,,,,,,,,
15174698.75,554312,0,21087152,26791006,22120897.31,,,,,,,,,
3684384.75,4261969.75,0,5380177,5326978.5,5394920,,,,,,,,,
22587718.25,26524633.56,29924949,54937703.13,32652759.88,6786489.125,,,,,,,,,
44696864.75,11966869.5,7856572.313,4416776.875,109679283.1,61176100.13,,,,,,,,,
7124221.938,0,4347609.5,10767301.5,23615068.06,23513273.25,,,,,,,,,
544318639.3,518144954.6,447290313.5,839703785,559844394.1,450195376.3,,,,,,,,,
345731.8438,0,0,0,6644732.563,7796421.531,,,,,,,,,
15531341.63,42084556.63,22253407.25,46693689.5,119903175.3,63504989.88,,,,,,,,,
5727832.5,0,0,3036097.25,9433746.625,0,,,,,,,,,
73995173.25,61445937,32321033.47,46161110.5,125477781.4,162380880.8,,,,,,,,,
2328762.75,1404694,0,935834.6875,1388082.5,2379033.75,,,,,,,,,
0,0,0,1291500.25,929611.625,0,,,,,,,,,
44635705.88,60739198.13,101382438.1,94053886,12542813.63,18596018.56,,,,,,,,,
0,1441224.313,5000067,1010725.813,13819254.56,5854259.344,,,,,,,,,
31718252.38,70083398.25,20513992,30674647.56,40330260.75,31007848.94,,,,,,,,,
3235303.063,2076481,3074537.063,2989556.25,5769511.5,2624877.25,,,,,,,,,
6711417.5,12079641.38,12611588.5,24017039.5,14832949.63,2841097.688,,,,,,,,,
804700.3125,1950888.188,2534938,6000155.75,12296613.13,3173247.75,,,,,,,,,
1036860.375,1253052.125,0,0,0,0,,,,,,,,,
1008980.563,6941201.188,2345336.25,1831418,15577425.75,11809445.5,,,,,,,,,
22393266.88,9758327.281,3158734.5,30393338.5,42588184.75,25372660.13,,,,,,,,,
51703282.5,45706315,107312915.4,119801562.3,207917470.7,157021094.1,,,,,,,,,
11375017.75,3143615.25,12149021.5,5253324.25,14152337.75,9638255.625,,,,,,,,,
26323999.5,19720330.97,2827885.188,4431593.313,12516620,19807661,,,,,,,,,
37053848.13,169550671.8,176493127.3,239758331.8,314126898.3,238959051,,,,,,,,,
14804182.5,50568370.17,43422160.75,42414453.44,26039950.13,28294032.75,,,,,,,,,
3082340.5,4449224.25,2150516.938,2777585.5,24035185.88,26028908.88,,,,,,,,,
1323857.75,0,0,0,0,1995547.125,,,,,,,,,
622057.1875,693033.9375,0,0,1010114.25,382484.1875,,,,,,,,,
3684601.438,7840128.063,2524593.75,12258546.25,7488432.125,17212738.25,,,,,,,,,
2013541.125,7063010.25,9291023.688,12926505.63,6534570.063,7450663.688,,,,,,,,,
2413010,0,2731429.25,4204713.5,4514146.25,4694890.875,,,,,,,,,
69462632.88,121089659.5,72991643.88,40825871.94,0,1731027.625,,,,,,,,,
2461859.75,2939259.75,7525709.125,7919179.75,6786219.563,55876128.5,,,,,,,,,
3665180.063,1473126.625,5143300.031,6511469.063,6281226.156,10073046.13,,,,,,,,,
1263763,876017.625,2092393.25,0,4173049.625,0,,,,,,,,,
132711549.6,268666082.7,225465639.8,285576618.1,350307269.3,257628603.9,,,,,,,,,
12794302.69,21270476.94,29351649.5,10524483,84547362,69600260.5,,,,,,,,,
3182362.375,3351834.5,1102579.875,4481086.813,31976812.5,26190322.25,,,,,,,,,
50504563,122912689.8,71537557.13,118138085.4,142472208.7,134081865.3,,,,,,,,,
11411687.72,23780677.47,34048386.69,34009160.49,152559721,101114465,,,,,,,,,
14068200.81,6121758,10577182.31,22399309.22,18487553.09,18401417.5,,,,,,,,,
228318435.8,318874549.1,371610709.3,553763824.9,644283435.7,552132805.9,,,,,,,,,
647875.1875,3521989.813,1871487.75,2945494.5,1215163.625,3527675.375,,,,,,,,,
129038344,175393140.3,187792949.4,91797520.38,404646802.9,277042049,,,,,,,,,
0,949962.625,0,3188417.5,2484020.375,1204790.625,,,,,,,,,
93774472.88,76217654.63,124418846.6,184396089.6,195218564.8,129665792.1,,,,,,,,,
4370827,3022646.375,3399387.75,3708567,13495865,8577640,,,,,,,,,
