Intensity A1,Intensity A10,Intensity A11,Intensity A2,Intensity A3,Intensity A4,Intensity A5,Intensity A6,Intensity A7,Intensity A8,Intensity A9
5.78E+08,3.90E+08,2.45E+08,7.20E+08,6.22E+08,1.72E+08,4.52E+08,3.58E+08,3.58E+08,3.96E+08,2.44E+08
0,1.29E+07,1.13E+08,8856500,1.41E+07,2.67E+07,2.98E+07,5.76E+07,1.35E+08,1.90E+08,9.19E+07
3.18E+09,3.83E+09,9.12E+08,4.30E+09,4.64E+09,3.73E+09,2.36E+09,1.78E+09,1.31E+09,1.13E+09,9.86E+08
7.63E+09,1.00E+10,5.66E+08,1.26E+10,9.35E+09,7.08E+09,3.72E+09,3.08E+09,1.32E+09,3.46E+08,4.51E+07
3.90E+09,5.26E+09,1.37E+08,7.81E+09,5.62E+09,5.28E+09,2.17E+09,1.35E+09,6.14E+08,2.47E+08,1.37E+08
1.01E+10,1.76E+10,6.03E+07,1.52E+10,9.86E+09,8.36E+09,4.76E+09,5.24E+09,1.58E+09,7.10E+08,2.20E+08
3.91E+09,4.04E+09,1.53E+07,6.09E+09,4.19E+09,3.43E+09,1.65E+09,1.39E+09,5.79E+08,2.25E+08,0
1.49E+10,2.41E+10,6.12E+08,2.90E+10,2.00E+10,1.67E+10,8.06E+09,7.02E+09,2.35E+09,1.88E+09,1.20E+09
1.85E+07,1.76E+08,0,2.40E+08,7.71E+07,3.79E+07,4.53E+07,2.14E+07,0,0,0
4.51E+09,9.16E+09,6.25E+07,9.51E+09,6.62E+09,6.61E+09,2.94E+09,1.97E+09,5.18E+08,2.41E+08,1.10E+08
0,0,2.02E+07,0,0,0,3.47E+07,7.88E+07,3.68E+07,0,0
2.18E+09,2.82E+09,4.58E+08,3.73E+09,3.43E+09,3.02E+09,1.33E+09,1.79E+09,1.19E+09,1.02E+09,1.09E+09
8.31E+07,1.46E+08,8.85E+07,1.27E+08,1.42E+08,1.83E+08,1.07E+08,1.34E+08,1.26E+08,1.16E+08,1.07E+08
2.55E+10,2.81E+10,1.04E+09,3.23E+10,3.13E+10,2.51E+10,1.54E+10,8.70E+09,4.20E+09,2.51E+09,1.64E+09
0,1.82E+08,4.27E+08,9.70E+07,1.69E+08,1.13E+08,8.61E+07,3.54E+08,3.38E+08,2.93E+08,1.97E+08
3.58E+08,4.30E+08,0,4.74E+08,3.85E+08,4.25E+08,3.74E+08,1.95E+08,8.96E+07,1.33E+07,3.46E+07
6.04E+08,6.28E+08,5.12E+09,9.72E+08,1.25E+09,1.95E+09,3.49E+09,4.34E+09,6.02E+09,4.53E+09,3.66E+09
1.76E+08,3.18E+08,1.37E+08,2.46E+08,2.06E+08,3.14E+08,1.83E+08,1.48E+08,1.58E+08,1.57E+08,2.80E+08
2.65E+07,2.73E+07,1.05E+07,1.69E+07,6528600,5.41E+07,1.97E+07,3.76E+07,1.36E+07,1.72E+07,2.29E+07
1.79E+07,5.39E+07,1.34E+07,4.36E+07,2.52E+07,2.40E+07,0,0,0,1.81E+07,2.48E+07
2.53E+09,2.56E+09,6.98E+09,2.95E+09,3.21E+09,5.27E+09,6.61E+09,6.91E+09,9.10E+09,6.59E+09,6.22E+09
9.12E+08,4.55E+08,1.91E+08,5.84E+08,8.03E+07,4.04E+08,8.55E+08,3.29E+08,2.61E+08,2.48E+08,1.48E+08
0,0,5.88E+07,0,0,1.74E+07,0,9.58E+07,1.11E+08,7.83E+07,6.25E+07
3.18E+08,3.50E+08,0,1.46E+08,5.68E+08,8.94E+08,6.66E+07,3.49E+07,0,0,0
4.49E+08,5.07E+08,2005800,5.25E+08,5.51E+08,4.12E+08,2.59E+08,1.02E+08,9.69E+07,0,0
9.17E+07,2.04E+08,1.12E+08,1.18E+08,4.53E+08,7.60E+07,7.21E+07,8.05E+07,5.19E+07,0,8551600
1.13E+07,3.04E+07,8.28E+07,0,0,1.56E+08,0,1.86E+08,2.01E+08,1.61E+08,8.15E+07
2.54E+08,4.61E+08,0,5.55E+08,6.10E+08,5.29E+08,2.02E+08,1.49E+08,2.11E+07,1.98E+07,0
6.49E+08,1.06E+09,1.13E+09,6.66E+08,8.83E+08,1.07E+09,9.44E+08,9.34E+08,1.09E+09,9.16E+08,8.36E+08
5.88E+07,8.72E+07,4.31E+07,9.95E+07,1.66E+08,8.69E+07,9215000,2.48E+07,1.47E+07,0,0
0,0,5.09E+07,4.13E+07,1.57E+07,1.39E+08,7.66E+07,1.05E+08,1.24E+08,6.70E+07,5.35E+07
0,0,0,0,0,0,0,0,0,0,0
4.47E+07,2.52E+08,1.55E+08,6.96E+07,8.85E+07,6.95E+07,0,4.45E+07,3.04E+07,1.18E+08,1.42E+08
4.92E+08,3.81E+08,5.07E+07,6.17E+08,6.56E+08,6.80E+08,5.81E+08,3.16E+08,1.42E+08,7.94E+07,3.65E+07
1.85E+09,2.31E+09,1.16E+07,2.66E+09,1.85E+09,1.78E+09,7.95E+08,3.48E+08,9.30E+07,5.74E+07,2.12E+07
4287100,5.44E+07,0,6.56E+07,2.89E+07,1.11E+08,3.76E+07,0,0,0,2.20E+07
3.00E+08,4.65E+08,5.17E+08,4.06E+08,3.82E+08,5.30E+08,3.11E+08,3.12E+08,5.13E+08,4.15E+08,4.02E+08
3.33E+08,3.44E+08,3566600,6.06E+08,3.57E+08,2.11E+08,2.45E+08,1.78E+08,7.50E+07,2.00E+07,0
0,0,0,0,0,0,1.76E+08,0,0,0,0
4.48E+08,7.00E+08,7.14E+07,6.32E+08,7.08E+08,6.04E+08,2.69E+08,1.53E+08,1.49E+08,6.23E+07,3.70E+07
2.01E+08,5.29E+07,0,1.32E+08,1.46E+08,1.59E+08,2.73E+07,1.71E+07,0,0,0
7.05E+08,6.85E+08,7.42E+08,6.56E+08,9.82E+08,9.44E+08,1.28E+09,1.06E+09,1.34E+09,1.19E+09,8.19E+08
0,7705800,3.45E+07,0,4752500,0,3350900,8227000,3.38E+07,4.47E+07,1.28E+08
4.93E+08,5.48E+08,1.75E+07,5.54E+08,5.56E+08,5.35E+08,2.03E+08,1.26E+08,6.26E+07,3.15E+07,2.12E+07
1.46E+07,2.76E+07,0,2.20E+07,2.22E+07,2.42E+07,2.31E+07,2.98E+07,3.10E+07,0,0
1.24E+08,1.50E+08,1.16E+10,4.52E+08,7.01E+08,2.60E+09,4.97E+09,1.05E+10,9.84E+09,1.34E+10,1.22E+10
8.57E+07,1.73E+08,9.70E+07,1.74E+08,2.02E+08,2.41E+08,1.53E+08,1.29E+08,9.96E+07,1.44E+08,7.84E+07
2.69E+10,2.71E+10,1.71E+10,4.62E+10,3.08E+10,3.49E+10,2.08E+10,2.09E+10,1.94E+10,1.66E+10,1.36E+10
8713100,0,1.15E+08,1.96E+07,1.68E+07,1.51E+07,4.94E+07,8.25E+07,6.78E+07,8.78E+07,9.23E+07
2.27E+08,1.75E+08,3.94E+07,2.72E+08,2.33E+08,2.61E+08,1.09E+08,1.13E+08,5.86E+07,7.47E+07,4.03E+07
1.97E+07,3.58E+07,0,3.81E+07,5.36E+07,3.23E+07,2.26E+07,0,0,0,0
0,5.54E+07,0,0,0,0,4.89E+07,3.70E+07,0,1.97E+07,0
1.81E+07,1.34E+09,2984500,1.06E+09,2.16E+07,1.74E+07,1.09E+09,6682000,0,0,0
0,0,1.46E+07,0,0,0,0,0,5.90E+07,1.87E+07,1.18E+07
2.20E+08,2.60E+08,1.43E+07,5.08E+08,4.34E+08,3.77E+08,1.54E+08,1.76E+08,1.61E+08,1.17E+08,8.17E+07
2.08E+07,3.58E+07,0,5.93E+07,2.33E+07,2.84E+07,2.17E+07,0,1.01E+07,0,0
0,0,6.36E+07,0,0,0,1.77E+07,3.59E+07,7.78E+07,9.88E+07,3.89E+07
5.16E+08,1.13E+09,0,6.86E+08,5.99E+08,5.39E+08,3.25E+08,1.03E+08,9.65E+07,2.10E+07,3.30E+07
9.07E+07,1.01E+08,9300700,7.25E+07,5.68E+07,7.22E+07,5.54E+07,2.25E+07,0,7.56E+07,4.48E+07
8.55E+07,1.41E+08,8619500,1.53E+08,1.45E+08,1.39E+08,3.69E+07,2.95E+07,2.79E+07,1.16E+07,9057500
2.11E+07,4.14E+07,1.93E+08,0,1.71E+07,3.20E+07,6.37E+07,2.08E+08,4.16E+08,3.23E+08,3.64E+08
2.24E+08,4.32E+08,4910300,4.08E+08,2.82E+08,3.87E+08,1.10E+08,2.94E+07,3.39E+07,1.29E+07,5229700
0,0,1.50E+08,5.89E+07,0,1.85E+07,1.35E+07,1.41E+08,8.29E+07,2.70E+08,1.26E+08
4.14E+08,2.70E+08,2549100,3.87E+08,1.48E+08,3.79E+08,1.40E+08,5.09E+07,4.28E+07,9990100,1.18E+07
2.82E+09,3.78E+09,1.30E+09,3.81E+09,3.37E+09,2.96E+09,1.82E+09,2.42E+09,1.67E+09,1.52E+09,1.74E+09
1.68E+08,2.61E+08,2.01E+07,4.04E+08,2.36E+08,8.28E+07,7.70E+07,3.43E+07,4.10E+07,2.17E+07,3.44E+07
3.14E+08,7.19E+08,3291400,6.26E+08,4.76E+08,7.03E+08,2.92E+08,1.30E+08,8.53E+07,1.49E+07,6162900
1.61E+08,1.22E+08,0,8.96E+07,1.19E+08,1.21E+08,5.65E+07,6.13E+07,3.15E+07,0,0
4.93E+08,6.68E+08,1.09E+09,4.36E+08,6.42E+08,9.22E+08,8.81E+08,1.19E+09,1.32E+09,1.29E+09,1.14E+09
6.58E+08,7.97E+08,3.11E+08,6.87E+08,6.99E+08,6.66E+08,5.64E+08,4.39E+08,3.45E+08,2.33E+08,2.78E+08
8.17E+07,1.95E+08,0,1.27E+08,1.07E+08,1.19E+08,0,0,0,0,0
0,0,1.36E+09,0,5.28E+07,1.76E+08,1.01E+09,1.24E+09,1.64E+09,1.60E+09,1.54E+09
5.69E+07,7.37E+07,0,7.56E+07,7.46E+07,2.98E+07,1.85E+07,0,0,0,0
1.01E+08,4.21E+07,2.78E+08,1.06E+08,5.95E+07,9.97E+07,1.94E+08,2.77E+08,4.46E+08,6.28E+08,4.31E+08
1.75E+07,0,0,2.48E+07,1.94E+07,1.56E+07,2.19E+07,0,0,0,0
4.50E+08,9.49E+08,0,9.91E+08,1.02E+09,9.79E+08,2.52E+08,2.26E+08,4.41E+07,1.70E+07,0
5.20E+07,4.98E+07,1.93E+07,6.29E+07,1.52E+07,6.26E+07,5.03E+07,4.01E+07,2.43E+07,2.01E+07,1.58E+07
5.81E+08,7.45E+08,1.73E+09,8.87E+08,8.49E+08,1.15E+09,1.42E+09,1.98E+09,1.90E+09,2.00E+09,1.63E+09
3.17E+07,5.84E+07,1.15E+10,2.42E+08,1.60E+09,4.49E+09,6.43E+09,1.03E+10,1.16E+10,1.24E+10,1.13E+10
1.21E+08,0,9.36E+09,2.66E+08,7.52E+08,2.23E+09,4.52E+09,7.72E+09,9.60E+09,9.48E+09,9.07E+09
2.38E+07,0,0,0,0,0,0,0,0,0,0
9.13E+09,1.22E+10,1.22E+08,1.37E+10,1.18E+10,9.89E+09,4.95E+09,2.68E+09,1.50E+09,3.70E+08,1.64E+08
3.20E+08,1.81E+08,3.41E+07,1.74E+08,3.19E+08,2.22E+08,2.49E+08,1.23E+08,8.02E+07,1.04E+08,6.70E+07
6.64E+09,8.21E+09,4.83E+09,7.38E+09,1.38E+10,1.43E+10,6.32E+09,7.40E+09,6.08E+09,5.49E+09,4.54E+09
3.70E+08,4.41E+08,2.68E+08,4.31E+08,3.56E+08,4.98E+08,2.26E+08,2.50E+08,3.81E+08,3.15E+08,3.66E+08
6.80E+08,9.03E+08,3.34E+08,9.14E+08,8.72E+08,8.94E+08,5.79E+08,5.25E+08,4.25E+08,5.33E+08,2.02E+08
2.09E+07,0,2.42E+07,0,1.31E+07,2.67E+07,1.36E+07,3.12E+07,2.15E+07,2.64E+07,2.10E+07
1.56E+08,3.72E+08,1.22E+10,3.89E+08,1.22E+09,3.79E+09,4.77E+09,1.05E+10,1.17E+10,1.25E+10,1.27E+10
0,1.21E+08,0,1.01E+08,1.08E+08,1.26E+08,8.42E+07,4.46E+07,0,0,0
3.74E+10,4.51E+10,1.58E+10,4.12E+10,3.61E+10,4.13E+10,3.23E+10,2.54E+10,2.01E+10,1.89E+10,1.75E+10
2.90E+08,3.61E+08,1.73E+08,2.71E+08,3.14E+08,2.49E+08,2.55E+08,2.55E+08,3.13E+08,1.47E+08,1.83E+08
4.76E+08,6.00E+08,0,4.77E+08,3.95E+08,3.92E+08,2.05E+08,7.89E+07,5.33E+07,1.31E+07,1.35E+07
4.61E+08,9.19E+08,2.91E+08,5.62E+08,8.22E+08,8.91E+08,2.49E+08,3.33E+08,2.64E+08,1.71E+08,1.69E+08
4.95E+07,9.49E+07,0,7.33E+07,6.41E+07,9.35E+07,1.58E+07,1.99E+07,0,0,0
4.51E+07,4.17E+07,9.95E+08,1.79E+08,1.23E+07,1.99E+08,4.07E+08,7.77E+08,9.04E+08,1.21E+09,9.07E+08
8.83E+07,2.79E+08,1.37E+09,2.62E+08,2.83E+08,8.55E+08,6.98E+08,1.54E+09,1.97E+09,2.17E+09,2.35E+09
7.40E+07,1.34E+08,4.04E+07,8.92E+07,1.06E+08,2.05E+08,9.17E+07,9.94E+07,3.02E+08,3.28E+08,9.90E+07
3.93E+08,3.94E+08,7.62E+08,2.92E+08,6.02E+08,5.97E+08,5.29E+08,6.04E+08,8.97E+08,8.75E+08,6.34E+08
1.76E+08,4.21E+08,7.08E+09,3.44E+08,6.37E+08,1.42E+09,2.81E+09,6.54E+09,7.89E+09,7.46E+09,7.23E+09
5.47E+08,5.35E+08,1.31E+08,4.30E+08,5.20E+08,3.50E+08,2.61E+08,2.08E+08,9.43E+07,1.28E+08,8.51E+07
3.19E+07,2.83E+07,4.37E+08,2.22E+07,3.78E+07,1.71E+08,2.79E+08,5.03E+08,5.38E+08,5.88E+08,4.10E+08
7.49E+07,9.80E+07,5.63E+07,8.30E+07,8.00E+07,1.15E+08,9.02E+07,3.15E+07,6.35E+07,4.90E+07,3.85E+07
1.03E+09,1.73E+09,1.15E+09,1.78E+09,1.56E+09,1.78E+09,1.19E+09,1.53E+09,1.47E+09,1.36E+09,9.35E+08
1.20E+09,1.52E+09,5.56E+08,1.56E+09,1.49E+09,1.50E+09,9.90E+08,1.27E+09,1.22E+09,7.30E+08,4.84E+08
1.17E+08,8.84E+07,0,1.38E+08,6.54E+07,1.32E+08,5.36E+07,1.34E+07,3926400,0,0
1.38E+07,3.44E+07,0,2.76E+07,0,2.62E+07,0,0,0,0,0
3779300,6001400,1.76E+09,5226400,9.73E+07,2.41E+08,6.44E+08,1.22E+09,1.79E+09,1.74E+09,1.39E+09
1.08E+08,1.97E+08,7.53E+08,2.21E+08,2.38E+08,3.99E+08,4.86E+08,6.78E+08,8.54E+08,7.56E+08,6.83E+08
1.84E+08,1.24E+08,0,2.01E+08,1.64E+08,1.71E+08,1.46E+08,1.01E+07,0,0,0
0,2.37E+07,1.68E+09,5.01E+07,4.98E+07,2.65E+08,5.94E+08,1.23E+09,2.05E+09,1.73E+09,1.31E+09
7.97E+08,6.74E+08,1.04E+07,6.61E+08,4.28E+08,1.00E+09,5.69E+08,2.53E+08,6.66E+07,7744100,4.60E+07
0,0,7.67E+07,1.46E+07,3.53E+07,5.67E+07,9.95E+07,7.65E+07,1.03E+08,1.07E+08,7.68E+07
2.39E+07,4.15E+07,0,2.35E+07,3.31E+07,2.40E+07,4.97E+07,1.11E+07,0,0,0
6.78E+08,1.53E+09,1.51E+10,9.09E+08,2.12E+09,5.34E+09,8.79E+09,1.42E+10,1.65E+10,1.45E+10,1.54E+10
0,1.32E+07,2.05E+07,0,1.15E+07,3.05E+07,2.18E+07,4.28E+07,4.13E+07,5.85E+07,2.59E+07
1.34E+09,1.71E+09,3.02E+09,1.27E+09,1.54E+09,2.30E+09,2.43E+09,2.92E+09,3.14E+09,2.85E+09,2.60E+09
2.52E+08,3.42E+08,3.85E+08,4.38E+08,4.44E+08,4.52E+08,3.86E+08,5.35E+08,5.89E+08,5.99E+08,4.85E+08
5.21E+08,5.81E+08,3.41E+08,4.32E+08,4.88E+08,5.53E+08,3.41E+08,5.01E+08,3.89E+08,3.93E+08,3.61E+08
3.06E+08,5.01E+08,5.11E+08,5.42E+08,5.22E+08,2.36E+08,3.23E+08,4.62E+08,6.01E+08,3.25E+08,3.88E+08
1.27E+09,1.57E+09,0,2.21E+08,1.82E+09,1.35E+09,5.32E+08,0,0,1.14E+08,8.09E+07
7.64E+07,1.88E+08,3.52E+08,1.80E+08,1.37E+08,2.07E+08,1.84E+08,3.04E+08,3.22E+08,3.85E+08,2.74E+08
0,0,7.69E+07,0,0,1.67E+07,2.39E+07,3.76E+07,6.89E+07,8.95E+07,6.27E+07
0,0,1.15E+08,0,0,0,1.82E+07,4.24E+07,3.95E+07,8.72E+07,7.41E+07
1.17E+08,7.52E+07,4.08E+08,1.89E+08,2.04E+08,2.27E+08,2.05E+08,3.49E+08,3.33E+08,2.74E+08,2.68E+08
1.68E+08,2.34E+08,0,2.56E+08,2.60E+08,2.23E+08,5.65E+07,5.93E+07,0,0,2198700
3.79E+08,2.74E+08,6.59E+08,5.56E+08,5.10E+08,5.59E+08,1.06E+09,9.28E+08,1.12E+09,1.09E+09,8.75E+08
1.69E+09,1.92E+09,1.47E+08,2.66E+09,1.88E+09,2.11E+09,1.26E+09,5.42E+08,3.76E+08,3.34E+08,1.88E+08
1.02E+07,2.41E+07,6552400,1.35E+07,1.40E+07,1.41E+07,9664400,7116400,4588900,6157200,3993400
4.46E+08,6.03E+08,8.17E+09,6.93E+08,1.27E+09,3.20E+09,4.08E+09,6.64E+09,8.07E+09,9.35E+09,8.10E+09
0,2.09E+07,1.64E+08,0,0,5.47E+07,5.23E+07,3.48E+07,1.37E+08,1.02E+08,1.42E+08
2.82E+09,2.90E+09,4.06E+08,3.23E+09,2.91E+09,2.92E+09,2.32E+09,1.31E+09,1.11E+09,4.15E+08,4.15E+08
2.36E+08,3.31E+08,2.00E+08,3.31E+08,3.67E+08,1.72E+08,1.32E+08,2.38E+08,8.20E+07,2.80E+08,1.91E+08
3.62E+08,4.26E+08,1.66E+08,4.75E+08,4.55E+08,5.84E+08,3.24E+08,3.36E+08,2.53E+08,1.58E+08,1.45E+08
5.30E+07,1.91E+08,2.82E+08,7.46E+07,1.97E+07,3.86E+07,1.68E+08,2.37E+08,2.70E+08,2.37E+08,1.79E+08
4.88E+08,7.59E+08,2.49E+08,7.27E+08,6.90E+08,6.75E+08,4.65E+08,4.06E+08,3.35E+08,2.37E+08,2.18E+08
1.68E+09,2.58E+09,1.12E+08,1.73E+09,2.23E+09,1.55E+09,1.27E+09,6.71E+08,1.68E+08,8.16E+07,8.12E+07
5.01E+09,5.30E+09,3.82E+07,5.29E+09,5.04E+09,4.39E+09,2.59E+09,1.62E+09,6.05E+08,3.31E+08,1.82E+08
2.44E+08,2.77E+08,0,1.01E+08,4.18E+08,2.84E+08,1.86E+08,6.81E+07,2.23E+07,7.64E+07,0
2.21E+09,2.50E+09,1.98E+08,2.67E+09,2.43E+09,2.12E+09,1.18E+09,8.52E+08,3.18E+08,2.47E+08,2.31E+08
1.53E+09,1.49E+09,1.93E+07,1.63E+09,1.56E+09,1.53E+09,1.03E+09,6.05E+08,2.02E+08,4.00E+07,0
5.36E+07,1.03E+08,0,6.19E+07,8.99E+07,3.61E+07,2.99E+07,0,6974600,0,2.02E+07
2.03E+09,3.30E+09,1.82E+07,4.26E+09,2.98E+09,2.55E+09,8.21E+08,6.72E+08,2.10E+08,3.58E+07,4.71E+07
2.05E+09,2.31E+09,2.61E+10,3.61E+09,6.31E+09,1.20E+10,1.66E+10,2.32E+10,2.66E+10,2.75E+10,2.69E+10
0,0,8.96E+07,0,0,2.85E+07,5.80E+07,6.92E+07,1.29E+08,1.14E+08,1.41E+08
9.19E+07,2.78E+07,8.94E+09,3.17E+08,9.85E+08,2.73E+09,5.46E+09,6.47E+09,8.58E+09,8.67E+09,7.59E+09
1.09E+10,9.04E+09,1.77E+11,2.10E+10,4.19E+10,9.25E+10,1.19E+11,1.63E+11,1.90E+11,1.74E+11,1.69E+11
1.88E+09,2.68E+09,4.58E+09,2.76E+09,2.85E+09,3.45E+09,3.10E+09,4.40E+09,4.76E+09,4.95E+09,3.78E+09
9.50E+07,0,4.57E+08,1.05E+07,0,7.97E+07,1.63E+08,3.77E+08,9.83E+08,5.18E+08,9.26E+08
1.57E+09,1.05E+09,4.78E+09,1.36E+09,1.44E+09,2.32E+09,4.03E+09,5.12E+09,6.12E+09,5.94E+09,4.87E+09
2.32E+08,1.78E+08,7.64E+09,4.88E+08,9.08E+08,2.29E+09,5.63E+09,8.26E+09,1.04E+10,8.55E+09,7.45E+09
1.96E+08,1.45E+08,4.86E+08,2.27E+08,3.46E+08,2.56E+08,4.85E+08,4.93E+08,5.31E+08,5.53E+08,4.42E+08
8.19E+08,1.28E+09,2.08E+09,1.25E+09,1.24E+09,1.60E+09,1.73E+09,2.08E+09,2.57E+09,2.36E+09,2.02E+09
2.95E+09,3.79E+09,2.62E+09,3.44E+09,3.83E+09,3.67E+09,2.78E+09,2.78E+09,3.28E+09,3.62E+09,3.19E+09
2.77E+09,5.33E+09,1.31E+10,6.20E+09,7.51E+09,1.10E+10,7.89E+09,1.43E+10,1.54E+10,1.68E+10,1.55E+10
2.13E+09,2.27E+09,1.27E+10,2.58E+09,4.31E+09,7.65E+09,9.12E+09,1.52E+10,1.50E+10,1.73E+10,1.59E+10
8.44E+08,7.15E+08,2.43E+10,1.62E+09,3.86E+09,9.39E+09,1.32E+10,2.21E+10,2.58E+10,2.91E+10,2.66E+10
2.18E+09,2.89E+09,5.92E+09,2.98E+09,3.06E+09,5.09E+09,6.11E+09,6.04E+09,6.71E+09,5.61E+09,6.36E+09
2.46E+09,3.99E+09,2.42E+10,3.94E+09,5.53E+09,1.10E+10,1.47E+10,2.05E+10,2.52E+10,2.54E+10,2.50E+10
6.72E+08,7.95E+08,2.35E+07,7.17E+08,6.13E+08,7.15E+08,3.26E+08,1.49E+08,1.19E+08,8.91E+08,7.17E+08
4.61E+08,6.04E+08,5.42E+07,7.62E+08,5.43E+08,3.87E+08,1.39E+08,1.88E+08,7.05E+07,6.69E+07,4.40E+07
6.37E+07,3.79E+07,2.00E+08,5.54E+07,5.82E+07,6.29E+07,6.20E+07,2.23E+08,2.76E+07,1.16E+07,1.88E+08
1.91E+10,2.44E+10,2.27E+10,2.63E+10,2.47E+10,2.76E+10,2.40E+10,2.67E+10,2.65E+10,2.52E+10,2.43E+10
1.79E+09,2.68E+09,1.31E+10,2.61E+09,3.95E+09,6.54E+09,6.30E+09,1.27E+10,1.37E+10,1.67E+10,1.70E+10
0,3.16E+07,9.98E+08,2.07E+08,2.32E+08,6.47E+08,1.02E+09,1.38E+09,7.26E+08,1.26E+09,1.66E+09
5.09E+08,6.22E+08,4.07E+08,5.19E+08,7.44E+08,6.93E+08,4.32E+08,6.22E+08,6.12E+08,3.27E+08,4.68E+08
4.92E+08,3.78E+08,3.74E+09,5.38E+08,7.42E+08,1.18E+09,2.30E+09,3.85E+09,3.94E+09,4.04E+09,4.29E+09
3.65E+08,3.24E+08,5.45E+07,4.48E+08,3.61E+08,4.06E+08,1.82E+08,8.44E+07,7.16E+07,5.99E+07,0
1.79E+07,1.84E+07,0,1.59E+07,1.34E+07,3.35E+07,0,0,0,0,0
5.56E+08,5.26E+08,2.65E+08,5.27E+08,3.83E+08,2.96E+08,2.57E+08,3.53E+08,5.12E+08,1.75E+07,1.97E+08
3.22E+08,4.92E+08,0,3.96E+08,3.70E+08,3.85E+08,2.19E+08,1.19E+08,4.40E+07,1.01E+07,0
1.89E+08,3.18E+08,9.35E+07,3.02E+08,3.79E+08,3.52E+08,1.08E+08,2.37E+08,1.34E+08,1.29E+08,2.98E+08
1.07E+10,1.26E+10,1.09E+10,1.44E+10,1.34E+10,1.37E+10,1.01E+10,1.53E+10,1.30E+10,1.34E+10,1.28E+10
0,0,6.43E+08,0,1.62E+07,1.05E+08,1.87E+08,6.39E+08,9.28E+08,1.06E+09,6.83E+08
1.98E+07,1.76E+07,9.28E+08,4.84E+07,7.77E+07,2.19E+08,3.36E+08,4.91E+08,6.14E+08,1.07E+09,1.01E+09
0,1.16E+07,9.08E+07,0,1.01E+07,5.92E+07,1.06E+08,3.77E+08,8.12E+07,1.33E+08,8.03E+07
2.67E+09,4.44E+09,2.22E+10,4.70E+09,5.59E+09,1.04E+10,1.24E+10,1.73E+10,2.20E+10,2.45E+10,2.26E+10
1.04E+11,1.33E+11,2.17E+10,1.61E+11,1.34E+11,1.11E+11,6.07E+10,5.39E+10,3.40E+10,3.09E+10,3.09E+10
1.28E+09,1.48E+09,1.27E+09,2.00E+09,2.43E+09,1.66E+09,1.84E+09,1.64E+09,1.62E+09,1.52E+09,1.00E+09
0,0,0,0,0,0,4.17E+08,8.06E+08,0,0,0
2.56E+09,2.92E+09,0,3.00E+09,2.88E+09,2.33E+09,1.27E+09,6.01E+08,1.33E+08,2.21E+07,5436500
0,0,6.86E+08,0,1.75E+07,1.50E+08,3.29E+08,7.37E+08,1.08E+09,7.98E+08,9.14E+08
1.63E+09,3.21E+09,1.64E+09,2.60E+09,2.46E+09,2.24E+09,1.41E+09,1.91E+09,1.87E+09,2.02E+09,1.19E+09
3.10E+08,2.80E+08,7.18E+07,6.36E+08,2.76E+08,2.93E+08,2.44E+08,2.09E+08,1.43E+08,1.03E+07,6.81E+07
0,0,2.81E+07,0,0,0,2.05E+07,0,6489700,3.16E+07,0
0,0,6831300,0,0,0,0,6688100,0,9787000,0
1.06E+10,1.34E+10,1.09E+08,1.50E+10,1.11E+10,1.15E+10,6.37E+09,3.33E+09,2.12E+09,6.48E+08,2.11E+08
6.36E+07,1.08E+08,3.11E+08,6.88E+07,8.72E+07,1.81E+08,4.58E+08,3.11E+08,2.23E+08,3.47E+08,4.22E+08
2.33E+09,3.90E+09,8.56E+07,3.74E+09,3.83E+09,3.64E+09,1.56E+09,1.43E+09,4.60E+08,2.01E+08,1.62E+08
0,0,0,0,0,0,0,7.47E+07,0,0,0
7.90E+08,7.74E+08,3.25E+10,2.42E+09,4.34E+09,1.15E+10,1.50E+10,2.88E+10,3.44E+10,4.11E+10,3.47E+10
1.65E+08,2.25E+08,1.72E+10,9.07E+08,2.63E+09,8.25E+09,1.43E+10,2.12E+10,2.26E+10,1.89E+10,1.74E+10
1.14E+08,1.97E+08,3.74E+08,1.88E+08,2.43E+08,2.68E+08,1.85E+08,4.04E+08,4.81E+08,3.43E+08,3.91E+08
2.61E+09,2.95E+09,1.45E+09,2.63E+09,2.81E+09,1.23E+09,7.07E+08,2.96E+09,2.31E+09,1.67E+09,1.20E+09
1.87E+08,0,3.33E+07,2.76E+08,2.19E+08,2.14E+08,8.82E+07,1.05E+08,8.94E+07,6.91E+07,6.16E+07
1.81E+08,3.44E+08,2.79E+07,2.53E+08,2.63E+08,2.54E+08,5.41E+07,6.88E+07,6.29E+07,4.67E+07,2.93E+07
1.37E+07,3.98E+07,8.32E+07,2.56E+07,4.61E+07,0,1.92E+07,6.36E+07,3.38E+07,1.00E+08,8.81E+07
8.89E+08,1.07E+09,9.77E+08,1.57E+09,1.19E+09,1.54E+09,1.68E+09,2.29E+09,1.93E+09,1.96E+09,1.79E+09
5.25E+09,7.20E+09,0,6.52E+09,6.25E+09,6.21E+09,3.04E+09,1.54E+09,4.96E+08,1.56E+08,6.07E+07
0,0,5.31E+07,0,0,0,0,0,0,0,0
2.36E+09,2.51E+09,2.01E+10,3.41E+09,4.37E+09,9.64E+09,1.18E+10,1.71E+10,1.94E+10,2.27E+10,2.06E+10
