Intensity A1,Intensity A10,Intensity A11,Intensity A2,Intensity A3,Intensity A4,Intensity A5,Intensity A6,Intensity A7,Intensity A8,Intensity A9
2.71E+08,3.01E+08,1.69E+08,3.48E+08,4.05E+08,2.74E+08,1.60E+08,2.77E+08,5.38E+08,5.77E+08,3.73E+08
1.34E+10,1.33E+10,1.52E+10,1.37E+10,1.47E+10,1.78E+10,1.70E+10,2.05E+10,2.18E+10,2.00E+10,1.72E+10
1.79E+10,2.60E+10,4.22E+10,2.94E+10,2.75E+10,3.57E+10,3.26E+10,4.68E+10,4.29E+10,5.10E+10,4.50E+10
1.87E+07,0,0,0,3.66E+07,3.19E+07,0,0,1.57E+07,0,1.53E+07
1.54E+08,1.97E+08,3.87E+08,1.38E+08,1.77E+08,3.63E+08,6.35E+08,4.81E+08,5.00E+08,4.63E+08,4.26E+08
2.76E+07,7.08E+07,3283500,9717200,7.15E+07,6.52E+07,5.05E+07,3910600,6423700,1.83E+07,1.36E+07
0,0,0,0,0,0,0,2.18E+07,1.15E+07,1.05E+07,0
2.04E+09,2.62E+09,2.38E+07,1.85E+09,2.29E+09,2.14E+09,7.56E+08,2.35E+08,6.22E+07,1.24E+08,4.48E+07
8.82E+09,1.06E+10,8.76E+08,1.29E+10,1.07E+10,1.04E+10,6.61E+09,4.51E+09,1.96E+09,1.26E+09,1.03E+09
3.49E+07,4.95E+07,0,4.31E+07,1.02E+08,6.12E+07,7197800,9303700,0,0,0
3.96E+08,4.39E+08,0,4.50E+08,3.58E+08,3.03E+08,2.01E+08,5.66E+07,0,0,3144300
9.02E+07,8.70E+07,6.63E+07,2.33E+08,2.51E+08,2.59E+08,7.46E+07,1.15E+08,9.22E+07,4.04E+07,7.32E+07
1.11E+09,1.74E+09,6.86E+07,1.64E+09,1.76E+09,1.43E+09,4.59E+08,3.94E+08,1.40E+08,4.96E+07,5.28E+07
2.58E+08,8.67E+08,2.52E+08,5.01E+08,9.40E+08,1.34E+09,2.75E+08,3.20E+08,7.25E+08,3.23E+08,3.84E+08
1.18E+09,2.27E+09,7.26E+08,1.81E+09,1.55E+09,1.50E+09,1.16E+09,1.30E+09,1.19E+09,1.17E+09,7.97E+08
1.41E+07,2.32E+07,2.09E+08,0,0,6.17E+07,4.66E+07,2.31E+08,2.06E+08,3.15E+08,2.59E+08
3.68E+08,5.18E+08,3.39E+09,6.91E+08,7.92E+08,1.57E+09,2.43E+09,3.43E+09,3.71E+09,3.79E+09,3.39E+09
8.04E+07,3.09E+07,3.45E+07,9.64E+07,4.60E+07,4.03E+07,8.74E+07,3.77E+07,3.05E+07,1.95E+07,3.69E+07
1.56E+08,1.72E+08,5.40E+07,2.45E+08,1.70E+08,3.49E+08,3.99E+07,8.45E+07,1.30E+08,1.19E+08,3.33E+07
2.29E+09,4.35E+09,9.94E+08,4.14E+09,4.07E+09,3.92E+09,1.91E+09,1.41E+09,1.21E+09,1.18E+09,1.39E+09
3.03E+08,4.64E+08,5.74E+07,3.50E+08,1.95E+08,2.39E+08,1.54E+08,9.63E+07,9.85E+07,5.90E+07,5.07E+07
4.94E+09,5.56E+09,1.48E+09,7.10E+09,5.71E+09,5.29E+09,4.14E+09,3.15E+09,2.47E+09,2.06E+09,1.78E+09
6.73E+08,1.09E+09,1.28E+08,7.50E+08,9.56E+08,8.20E+08,5.46E+08,4.35E+08,4.16E+08,1.35E+08,1.71E+08
6.79E+08,1.16E+09,2.65E+10,1.92E+09,2.52E+09,8.31E+09,1.26E+10,2.10E+10,2.62E+10,2.72E+10,2.60E+10
5.05E+07,1.04E+08,1.85E+08,7.07E+07,6.63E+07,5.91E+07,5.56E+07,3.39E+08,2.71E+08,1.91E+08,1.82E+08
7.87E+07,3.41E+07,0,8.31E+07,3.03E+07,0,1.01E+07,0,0,0,0
