Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle1,Intensity Muscle2,Intensity Muscle3
6186000,0,2.56E+08,1.19E+07,2.21E+08,1.41E+08,3.01E+07,2.47E+07,0
0,0,0,0,2.08E+07,6.72E+08,0,0,0
0,9389100,0,6276200,4.52E+07,0,4.60E+07,3.58E+07,4.78E+07
2.24E+08,2.63E+08,3.03E+08,1.33E+08,3.01E+08,4.80E+08,1.21E+09,7.09E+08,1.87E+09
0,1.99E+07,0,7772500,1.35E+08,0,0,0,0
5.27E+08,4.35E+08,8.62E+08,4.18E+07,1.94E+08,1.85E+08,4.68E+09,5.91E+08,9.29E+09
3.37E+09,2.06E+09,5.04E+09,7896200,6991000,2.18E+07,1.15E+07,6702800,1513400
2.04E+10,1.53E+10,2.20E+10,1.19E+11,1.19E+11,9.95E+10,3.27E+09,3.37E+09,2.67E+09
0,2.65E+07,1.49E+07,0,0,5438300,1.15E+08,8.78E+07,1.04E+08
9.22E+09,2.91E+09,9.24E+09,4.67E+11,4.61E+11,2.59E+11,8.99E+09,4.11E+09,6.01E+09
2.25E+08,2.79E+08,3.58E+08,2.94E+09,2.45E+09,1.92E+09,3.53E+08,2.82E+08,3.93E+08
1.15E+10,9.21E+09,1.06E+10,4.04E+07,9.27E+07,1.35E+08,1.70E+08,1.28E+08,1.02E+08
4.24E+09,2.85E+09,5.20E+09,6.59E+09,7.57E+09,7.59E+09,1.93E+07,7405500,9694800
1.77E+08,9.60E+07,9.66E+07,1.07E+08,3.46E+08,4.21E+08,3.31E+08,3.44E+08,9.86E+08
2.06E+07,7.33E+07,9449900,1.71E+10,1.72E+10,1.22E+10,4.29E+07,1.29E+08,1.54E+07
7.61E+07,4.66E+07,1.01E+08,6.99E+07,1.90E+07,8527300,8.77E+08,9.53E+08,8.02E+08
0,0,0,0,0,0,2.40E+07,5580800,0
2.43E+10,1.97E+10,2.27E+10,4.29E+10,3.62E+10,3.04E+10,4.33E+09,3.16E+09,4.28E+09
2.09E+09,9.16E+08,1.28E+09,0,0,3.26E+07,1.15E+08,2.15E+07,2.03E+07
4.45E+10,3.47E+10,2.96E+10,6.84E+07,5.74E+08,1.08E+08,6.73E+09,6.81E+09,7.09E+09
3.51E+09,2.38E+09,2.73E+09,1.28E+09,2.06E+09,6.30E+08,1.68E+09,1.58E+09,1.67E+09
3.83E+08,1.59E+08,1.44E+08,7.89E+08,7.28E+08,3.34E+08,1.39E+09,8.33E+08,6.14E+08
1.85E+11,1.34E+11,1.57E+11,1.94E+08,3.44E+08,6.67E+08,2.60E+08,4.92E+08,4.37E+08
1.94E+07,2.07E+07,1.55E+07,0,0,0,2.63E+07,0,0
3.61E+08,2.27E+08,6.17E+07,0,780750,5.88E+07,8.66E+09,7.94E+09,9.23E+09
2551100,1376600,1526700,3.39E+08,3.80E+08,2.42E+08,2707800,1040500,0
7.30E+08,3.40E+08,4.55E+08,5.09E+09,6.07E+09,3.50E+09,6.27E+08,5.67E+08,6.13E+08
0,0,0,0,0,2.80E+07,1.99E+08,4.70E+07,4.65E+07
5.27E+08,6.11E+08,6.66E+08,1.23E+09,1.13E+09,1.50E+09,1.57E+07,0,2.17E+07
6.31E+07,3.55E+07,6.92E+07,1.18E+07,1.27E+08,6.10E+07,1.54E+07,1.10E+07,1.96E+07
4.32E+08,1.75E+08,2.36E+08,3.79E+07,1.32E+08,1.47E+08,9659400,2.06E+07,3.63E+07
2.06E+08,4.92E+07,2.97E+08,2937900,6458700,0,7603800,0,6163900
1.57E+09,8.64E+08,9.98E+08,0,7377900,1.19E+07,0,6.50E+07,4.41E+07
7.87E+10,6.00E+10,5.84E+10,2.81E+10,2.36E+10,1.64E+10,5.84E+11,5.12E+11,5.41E+11
3.26E+09,2.67E+09,3.40E+09,1.69E+10,1.47E+10,1.18E+10,1.14E+09,8.13E+08,1.15E+09
4.49E+07,6.23E+07,1.36E+08,0,0,0,0,6.21E+07,8.31E+07
2.48E+07,1.58E+07,1.76E+07,0,0,0,0,0,0
5.21E+07,1.90E+07,1.46E+07,0,2734600,0,9.52E+07,5.79E+07,7.35E+07
1.94E+09,1.63E+09,1.77E+09,2.44E+10,2.25E+10,1.46E+10,1.95E+09,1.78E+09,2.01E+09
6.80E+07,4.62E+07,7.85E+07,0,0,0,0,0,0
1.32E+09,7.70E+08,1.63E+09,2.06E+10,1.97E+10,1.71E+10,4.37E+09,1.50E+09,2.93E+09
2.33E+08,9.82E+07,2.45E+08,2.13E+07,3.14E+07,0,8837800,9816300,0
0,0,0,4.00E+07,3.57E+07,2.04E+07,0,0,0
2.01E+08,9.96E+07,9.86E+07,2.03E+09,2.49E+09,1.16E+09,2.58E+08,1.36E+08,5.47E+07
2.40E+08,8.23E+07,1.91E+08,0,0,0,0,6306000,0
2.40E+09,2.78E+09,3.11E+09,2.24E+10,2.18E+10,1.34E+10,1.49E+09,8.78E+08,1.15E+09
5.80E+09,4.38E+09,4.23E+09,6.54E+08,6.96E+08,4.74E+08,3.31E+08,4.30E+08,5.39E+08
3.74E+07,6449300,0,2.88E+08,4.37E+08,5.69E+08,0,2.00E+07,5018200
2.60E+09,2.28E+09,2.67E+09,1.83E+10,1.68E+10,1.41E+10,6.87E+08,5.97E+08,9.75E+08
3404500,0,0,9.60E+07,1.52E+08,6.68E+07,0,1830200,0
7.39E+08,4.93E+08,8.14E+08,4.32E+09,4.36E+09,2.68E+09,2.44E+08,3.58E+08,3.63E+08
1.84E+07,1.23E+08,7.12E+07,1.64E+07,1.82E+07,0,1.15E+07,7397700,7768100
2.18E+07,1.27E+07,1.12E+07,0,0,0,0,0,0
2.17E+08,2.39E+08,3.59E+08,0,0,0,3.19E+07,7806000,0
0,0,0,1.36E+07,1.93E+07,0,7463800,0,0
6.41E+08,1.95E+08,3.72E+08,5.09E+07,1.77E+08,2.15E+07,2.79E+10,9.05E+09,1.16E+10
1.52E+08,0,0,2.38E+08,1.67E+08,1.84E+08,0,0,0
1.44E+09,1.16E+09,1.94E+09,5.25E+09,7.34E+09,6.26E+09,2.01E+09,1.85E+09,1.79E+09
2.32E+09,1.27E+09,1.87E+09,1.24E+11,1.18E+11,7.38E+10,3.49E+09,1.46E+09,1.84E+09
3.02E+09,2.25E+09,2.64E+09,1.22E+10,9.71E+09,6.47E+09,6.94E+08,3.89E+08,4.54E+08
0,1.28E+07,0,1.22E+10,1.06E+10,8.69E+09,0,2.33E+07,1.30E+07
1.27E+09,2.83E+08,5.33E+08,7.98E+09,4.98E+09,8.30E+09,7.28E+07,3.16E+07,4.09E+07
1.80E+10,1.48E+10,1.99E+10,1.38E+10,1.30E+10,1.16E+10,7.31E+09,5.10E+09,4.94E+09
2.73E+08,1.78E+08,1.87E+08,0,0,0,1.35E+08,7128000,2.42E+07
1.02E+09,6.44E+08,9.36E+08,4.03E+09,3.51E+09,2.72E+09,7.88E+08,7.59E+08,8.97E+08
4.94E+09,4.58E+09,5.31E+09,2.98E+11,2.84E+11,2.24E+11,3.75E+09,2.19E+09,2.32E+09
2.86E+07,9228800,1.02E+08,4.98E+08,4.09E+08,2.61E+08,1.83E+07,0,835290
2.31E+08,8.65E+07,1.35E+08,4.82E+08,1.45E+09,1.63E+09,0,0,0
1.58E+08,1.36E+08,1.40E+08,2.26E+07,5.30E+07,4.01E+07,0,3.45E+07,5.81E+07
1.80E+07,0,2.84E+07,0,0,0,0,0,0
4.11E+07,0,9327900,0,0,0,0,0,0
1.31E+10,6.85E+09,1.04E+10,5.20E+10,5.14E+10,4.95E+10,3.59E+08,3.21E+08,2.64E+08
0,2.07E+07,6.84E+07,1.48E+10,1.38E+10,1.35E+10,4.91E+07,8002100,5.22E+07
1.83E+08,1.40E+08,1.73E+08,0,0,5327500,0,0,0
5.46E+07,3.06E+07,6.16E+07,7.58E+07,9.54E+07,8.18E+07,2.69E+07,6146400,0
3.06E+09,1.88E+09,3.12E+09,1.17E+09,1.60E+09,1.04E+09,5.01E+07,3.65E+07,2.48E+07
3.81E+09,1.71E+09,2.81E+09,2.99E+09,2.19E+09,2.02E+09,1.95E+09,1.30E+09,1.46E+09
0,2.68E+07,5.93E+08,7.56E+08,1.42E+09,8.71E+08,0,5.29E+08,1.02E+09
0,0,0,0,9447200,0,0,0,0
3.03E+08,2.82E+08,3.16E+08,5.12E+08,3.02E+08,9.66E+07,1383200,2.44E+07,3.01E+07
1.26E+08,9.14E+07,8.39E+07,9.24E+08,8.12E+08,8.26E+08,1.07E+08,8.34E+07,1.07E+08
8.08E+08,9.64E+08,1.10E+09,0,0,0,0,0,0
2.63E+09,1.08E+10,1.19E+10,5.41E+09,2.83E+09,2.04E+09,1.29E+09,7.52E+08,1.45E+09
1.40E+09,7.23E+08,1.93E+09,3.92E+08,8.28E+08,8.42E+08,7.56E+07,8.33E+07,9.93E+07
4.15E+10,3.10E+10,4.14E+10,3.61E+10,3.30E+10,2.50E+10,2.54E+09,2.39E+09,2.33E+09
1.59E+08,6.81E+07,2.13E+08,1.89E+08,1.98E+08,3.52E+08,2.23E+07,0,1.39E+07
2.24E+09,1.74E+09,2.75E+09,8.13E+09,4.46E+09,4.92E+09,1.39E+09,1.75E+09,1.68E+09
1.21E+10,1.60E+10,1.43E+10,6.32E+08,8.81E+08,3.11E+08,1.64E+09,1.34E+09,1.38E+09
9.45E+09,8.89E+09,1.14E+10,6.02E+09,6.31E+09,3.97E+09,3.10E+09,2.89E+09,2.30E+09
0,0,0,3.64E+08,2.50E+08,1.98E+08,0,0,0
0,0,0,3.31E+07,7.19E+07,7.95E+07,0,0,0
1.64E+10,1.10E+10,1.57E+10,2.68E+09,3.12E+09,2.77E+09,4.85E+09,4.73E+09,3.85E+09
2.99E+08,1.51E+07,1.41E+07,0,0,3588000,1.85E+09,4.62E+08,4.57E+08
3.06E+09,2.39E+09,2.90E+09,2.87E+09,4.07E+09,3.29E+09,2.16E+09,1.85E+09,2.22E+09
1.82E+08,1.45E+08,2.23E+08,1.46E+08,6.63E+08,3.42E+08,9316900,2.84E+07,3.20E+07
0,0,0,4.42E+07,2.50E+07,2.62E+07,0,0,0
4.73E+09,3.61E+09,5.05E+09,3.78E+10,3.10E+10,2.81E+10,1.16E+08,1.01E+07,4.39E+07
1.23E+08,1.00E+08,2.44E+08,9778500,1.31E+09,1.57E+09,9.93E+07,8.83E+07,9.36E+08
3.31E+10,2.27E+10,2.74E+10,3.19E+10,2.69E+10,2.19E+10,4.51E+09,2.82E+09,3.28E+09
2.88E+08,3.48E+08,3.52E+08,6.38E+07,4.21E+07,1.70E+07,2841900,1.03E+07,0
1.69E+09,1.60E+09,2.00E+09,1.99E+09,2.29E+09,1.81E+09,4.88E+07,2.66E+08,7.23E+07
7.60E+07,0,5.59E+07,8.52E+08,1.14E+09,7.87E+08,7.44E+07,7222300,1.21E+07
3.65E+09,5.42E+09,3.67E+09,0,0,0,0,0,0
3.09E+09,2.13E+09,2.65E+09,2.06E+09,2.21E+09,1.09E+09,6.75E+08,2.44E+08,4.60E+08
9.48E+09,8.45E+09,9.60E+09,1.20E+11,1.18E+11,1.04E+11,1.16E+10,1.16E+10,1.22E+10
2.21E+09,2.78E+09,3.62E+09,3.57E+09,3.11E+09,3.15E+09,2.64E+10,1.94E+10,1.63E+10
1.54E+10,1.47E+10,1.29E+10,2.00E+09,1.76E+09,1.41E+09,1.37E+07,0,1.98E+07
0,4.83E+07,4.20E+07,0,2.11E+08,3.69E+07,4.36E+08,5.17E+08,1.39E+09
2.82E+09,3.35E+09,2.45E+09,4.43E+08,5.98E+08,9.50E+08,7.35E+07,8.02E+07,8.76E+07
4.62E+08,2.20E+08,4.52E+08,4.14E+08,6.65E+08,2.34E+08,1.61E+07,2.86E+07,1.67E+08
1.55E+09,1.03E+09,1.36E+09,2.17E+08,1.98E+08,2.25E+08,4621200,9366000,2.82E+07
1.03E+10,6.05E+09,1.01E+10,5.68E+07,1.66E+08,7.73E+07,1058400,0,0
9.51E+09,5.11E+09,6.46E+09,5.34E+10,4.77E+10,4.28E+10,1.04E+10,8.52E+09,1.05E+10
5.75E+08,4.86E+08,7.23E+08,1.19E+08,1.37E+08,5.76E+07,0,6146100,4848600
0,7688100,8079600,5.27E+07,1.52E+07,1.66E+07,8201200,1.73E+07,1.07E+07
0,1.41E+07,2.88E+07,3753400,4380400,0,0,0,0
0,3216800,0,1.78E+08,4.29E+07,8.94E+07,0,1.38E+07,0
8.23E+08,3.99E+08,9.21E+08,0,1.04E+07,0,5.21E+07,3.77E+07,5.29E+07
6.96E+09,5.73E+09,7.29E+09,3.22E+10,2.72E+10,2.19E+10,4.24E+08,3.20E+08,6.86E+08
5.37E+07,5.71E+07,8.15E+07,5.18E+08,5.36E+08,4.54E+08,1.48E+07,1.51E+07,1.66E+07
2.35E+09,1.71E+09,2.42E+09,2.27E+10,1.85E+10,1.46E+10,1.79E+09,9.33E+08,1.22E+09
8.97E+07,6.13E+07,1.16E+08,0,0,0,0,0,0
1.10E+09,3.13E+09,7.08E+08,4.47E+08,1.01E+09,3.89E+08,6.66E+08,1.57E+09,1.55E+09
3.86E+09,2.36E+09,3.93E+09,1.43E+10,1.32E+10,1.32E+10,7.23E+09,1.10E+10,1.26E+10
3.21E+09,2.53E+09,2.97E+09,9.80E+07,2.41E+08,1.11E+08,2.52E+08,2.58E+08,4.34E+08
2.33E+07,0,7.15E+07,2.20E+08,5.12E+08,2.00E+08,1.28E+07,0,1.07E+07
3.67E+08,6.84E+08,8.57E+08,9.20E+10,8.66E+10,6.31E+10,2.76E+08,3.37E+08,3.03E+08
3.36E+08,2.32E+08,4.03E+08,0,0,0,0,0,0
4.16E+09,1.79E+09,4.20E+09,0,5.82E+07,1.34E+08,0,3948700,737660
0,4390300,3.05E+07,0,0,0,1.64E+08,1.97E+08,1.75E+08
1.28E+10,9.97E+09,1.49E+10,1.90E+10,1.61E+10,1.19E+10,1.83E+09,1.17E+09,1.43E+09
9.30E+08,8.51E+08,1.11E+09,1.23E+08,1.37E+08,2.56E+07,1.35E+08,4.23E+07,8.55E+07
5.97E+07,4.97E+07,6.31E+07,5074100,0,2.61E+07,9.71E+08,5.65E+08,5.06E+08
2.44E+09,2.06E+09,2.65E+09,1.43E+07,1.60E+07,8574900,2.99E+07,8958900,1765900
3707500,0,0,1.00E+09,1.02E+09,8.17E+08,4847100,0,3567300
7.09E+08,4.06E+08,3.39E+08,0,0,0,0,0,0
0,0,9437300,7.42E+08,7.22E+08,4.06E+08,8692300,0,3.91E+07
2.91E+08,3.34E+08,5.32E+08,3.85E+07,5.71E+07,4.76E+07,2.23E+07,5017300,1.70E+07
3.58E+10,1.07E+10,2.94E+10,4.68E+10,4.88E+10,3.62E+10,2.11E+09,1.02E+10,9.23E+09
3.33E+09,1.87E+09,2.72E+09,2.16E+09,1.68E+09,2.25E+09,4.89E+08,5.68E+08,5.58E+08
1.78E+09,1.05E+09,1.59E+09,1.36E+11,1.15E+11,9.48E+10,9.96E+08,4.78E+08,6.12E+08
3.54E+07,1.94E+07,2.57E+07,0,0,0,0,0,0
3.96E+09,3.94E+09,5.11E+09,2.43E+09,2.21E+09,1.88E+09,2.34E+08,1.77E+08,2.19E+08
7.48E+08,2.25E+08,6.73E+08,2.51E+09,1.69E+09,1.96E+09,1.06E+08,1.82E+08,8.88E+07
1.02E+09,8.77E+08,8.73E+08,9.75E+09,8.49E+09,1.05E+10,2.16E+09,2.00E+09,1.79E+09
2.33E+07,0,1.84E+07,0,0,0,0,0,0
1.10E+11,7.31E+10,7.78E+10,2.39E+09,2.43E+09,6.05E+09,8.78E+11,7.81E+11,9.37E+11
2.85E+08,2.04E+08,1.03E+07,0,0,0,0,0,2.24E+07
5.72E+09,4.15E+09,6.94E+09,2.92E+09,2.17E+09,1.75E+09,1.57E+09,1.17E+09,1.15E+09
7.26E+08,6.56E+08,6.84E+08,8448500,4379200,1.97E+07,3702600,8579300,9302300
2.51E+08,1107500,1.49E+08,1.38E+10,1.57E+10,1.36E+10,2.62E+07,3.56E+07,3.09E+07
0,0,0,0,2085700,0,0,3430500,0
2.47E+08,1.27E+08,1.22E+08,0,0,0,5.75E+07,3.84E+07,3.29E+07
4.07E+09,1.72E+09,3.89E+09,5.01E+09,3.66E+09,2.12E+09,9.69E+08,3.85E+08,2.68E+08
1.68E+08,1.06E+08,2.27E+08,1.73E+10,1.52E+10,1.04E+10,1.64E+08,1.50E+08,1.42E+08
1.29E+09,1.23E+09,1.66E+09,9.29E+10,8.48E+10,6.16E+10,1.78E+09,1.87E+09,1.44E+09
0,0,0,2.37E+09,2.51E+09,4.27E+09,1.12E+07,2.27E+07,7947600
1.01E+08,5.79E+07,1.62E+08,1.22E+09,1.52E+09,8.38E+08,9.07E+07,1.14E+08,6.06E+07
7.67E+08,7.63E+08,1.01E+09,3.52E+09,2.79E+09,2.28E+09,8.28E+08,7.15E+08,1.19E+09
0,0,0,0,1.91E+07,0,3.72E+07,1.04E+07,6.23E+07
3.11E+09,3.56E+09,3.64E+09,1.10E+09,1.13E+09,1.09E+09,7.72E+08,4.78E+08,6.43E+08
2.11E+09,1.50E+09,1.45E+09,2.09E+09,1.38E+09,1.98E+09,3.11E+08,4.15E+08,4.63E+08
2.17E+09,2.61E+09,3.48E+09,7.66E+08,8.26E+08,8.45E+08,1.00E+07,5.87E+07,1.15E+08
2.25E+08,1.65E+08,2.00E+08,0,0,1.37E+07,0,0,0
5.20E+08,6.58E+07,9.08E+08,1.57E+08,2.79E+07,5.51E+08,0,0,0
0,0,0,4.80E+07,2.33E+07,0,0,0,0
1.18E+09,4.54E+08,1.10E+09,2.02E+09,2.07E+09,1.84E+09,2.79E+08,1.51E+08,1.89E+08
0,3947700,0,0,1.24E+08,5.23E+07,8.91E+08,7.13E+08,5.87E+08
3.66E+09,2.75E+09,2.74E+09,0,2313300,0,0,0,0
3.35E+09,3.26E+09,3.61E+09,0,3763300,0,0,0,0
5.01E+09,3.62E+09,4.37E+09,1.81E+08,4.88E+08,6.36E+08,3.34E+09,3.92E+09,4.33E+09
2.14E+08,2.73E+08,5.43E+07,3.13E+10,3.07E+10,2.16E+10,4.97E+08,9.20E+07,1.04E+08
1.93E+09,1.64E+09,1.97E+09,1.19E+11,1.19E+11,8.98E+10,1.59E+08,2.55E+08,1.50E+08
1.45E+07,0,0,0,0,0,0,0,0
2.94E+09,2.37E+09,3.68E+09,3.93E+09,4.17E+09,3.18E+09,7.61E+08,5.15E+08,5.08E+08
3.74E+07,2.37E+07,2.88E+07,1.97E+07,3.50E+07,3.22E+07,1.96E+08,1.91E+08,1.31E+08
4280000,0,0,1.18E+08,6.72E+07,1.63E+08,0,0,0
9.49E+08,1.15E+09,1.55E+09,1.06E+09,1.18E+09,7.83E+08,2.09E+08,2.11E+08,1.04E+08
4.05E+10,3.55E+10,4.28E+10,1.76E+11,1.80E+11,1.38E+11,5.51E+10,3.94E+10,4.52E+10
2.92E+08,1.45E+08,2.15E+08,3.66E+07,3.75E+07,0,1.41E+07,3.02E+07,1.06E+07
1.45E+09,8.34E+08,1.06E+09,2.24E+07,7.73E+07,3.93E+07,3.24E+08,1.65E+08,2.43E+08
9.75E+07,2.91E+07,7.70E+07,5059500,4.52E+07,1005200,2243100,1.39E+07,0
1.91E+07,0,9643900,0,0,0,2.37E+07,0,0
6.18E+08,3.42E+08,5.68E+08,5587800,6826800,5.60E+07,2604700,1.43E+07,4698900
0,0,0,0,0,7.78E+07,0,0,0
6.08E+09,4.70E+09,4.70E+09,1.43E+10,9.97E+09,8.53E+09,1.30E+08,6.69E+07,7.20E+07
6.67E+09,7.17E+08,4.54E+09,1.54E+10,1.64E+10,1.19E+10,7.05E+07,8.71E+07,8.29E+07
0,0,3.03E+07,0,1.00E+07,1.12E+07,0,6106300,0
1.51E+07,7.37E+07,9.48E+07,9.28E+07,1.14E+08,9.78E+07,7.14E+08,2.21E+08,2.45E+08
0,0,0,1.77E+07,2.92E+07,1.32E+07,0,0,0
2.73E+08,1.51E+08,4.55E+08,2.19E+09,2.12E+09,2.21E+09,1.91E+08,1.18E+08,1.85E+08
1.26E+09,1.09E+09,1.46E+09,1.89E+08,2.79E+08,2.57E+08,7.98E+07,3.76E+07,4.83E+07
5.89E+07,2.31E+07,4.83E+07,0,1.98E+07,0,0,8.03E+07,1.13E+08
1.22E+09,9.31E+08,1.58E+09,5.10E+09,5.93E+09,3.40E+09,9.94E+08,8.42E+07,1.20E+08
2.30E+09,1.54E+09,2.16E+09,8.62E+08,1.22E+09,9.16E+08,1.81E+09,1.31E+09,2.09E+09
8.47E+08,4.81E+08,7.57E+08,5.85E+09,4.60E+09,2.52E+09,6.94E+08,1.87E+08,2.91E+08
1.93E+08,1.37E+08,2.73E+08,1.40E+07,0,6663700,1.41E+07,0,0
1.20E+10,8.54E+09,1.23E+10,9.77E+09,1.39E+10,7.82E+09,4.17E+09,3.00E+09,3.75E+09
3.01E+07,0,0,4.00E+08,1.75E+08,7.04E+08,4.52E+07,2.97E+07,1.35E+08
3.98E+09,3.40E+08,1.40E+09,0,0,0,0,0,0
3.73E+10,2.37E+10,3.13E+10,6.21E+08,6.68E+08,8.99E+08,2.30E+08,1.88E+08,2.51E+08
2.27E+07,0,0,0,0,0,0,0,0
8.99E+08,5.68E+08,9.66E+08,2.38E+09,1.78E+09,1.75E+09,3.02E+08,2.02E+08,1.64E+08
0,4.79E+07,8722600,0,0,0,6.26E+07,0,0
7.92E+07,1.65E+07,4.46E+07,1.89E+07,1.36E+07,2.22E+07,1.52E+07,5182500,0
0,0,0,0,0,0,0,0,2.90E+07
1.99E+10,1.42E+10,1.73E+10,1.19E+10,1.45E+10,1.30E+10,3.30E+08,5.20E+08,3.07E+08
5.01E+10,3.66E+10,4.40E+10,9.58E+10,7.35E+10,9.41E+10,2.41E+09,2.89E+09,3.17E+09
1.36E+09,7.36E+08,1.20E+09,1.58E+09,1.66E+09,1.24E+09,3.55E+08,6.00E+08,1.02E+09
0,0,0,2.38E+07,0,0,0,0,0
6.83E+07,4.82E+07,4.25E+07,1.08E+07,0,0,2.53E+07,0,5.17E+08
5.78E+08,1.34E+08,1.88E+08,4.05E+10,2.83E+10,2.72E+10,5.95E+08,7.41E+08,1.11E+09
3.55E+09,5.30E+09,5.55E+09,9.50E+09,6.12E+09,5.32E+09,1.96E+08,1.54E+07,4.23E+07
6793200,0,8266800,0,0,0,0,0,0
5.43E+07,2.39E+07,3.90E+07,0,0,0,0,0,0
2.11E+07,1.96E+07,0,0,0,0,1.79E+07,1.67E+07,0
9.75E+08,4.33E+08,7.83E+08,6.53E+08,6.40E+08,7.38E+08,1.50E+08,3.00E+07,4.06E+07
5.39E+07,4.35E+07,7.28E+07,6.02E+08,6.03E+08,6.90E+08,3.17E+07,1.37E+08,1.02E+08
5.71E+07,6.95E+07,6.74E+07,0,0,0,0,0,0
8.70E+07,1.49E+08,9.70E+07,4.28E+07,1.26E+08,3.81E+07,0,0,0
8.52E+08,6.29E+08,9.23E+08,6.57E+08,8.48E+08,1.48E+09,2.93E+08,1.61E+08,1.80E+08
2.07E+08,2.57E+08,2.02E+08,4.66E+09,3.59E+09,3.35E+09,9.91E+07,1.24E+08,9.61E+07
0,0,0,3.06E+07,2.13E+07,9964500,0,0,0
5.18E+08,3.47E+08,3.40E+08,8.34E+08,8.90E+08,8.77E+08,7.96E+08,9.70E+08,7.86E+08
1.23E+08,1.47E+08,3.17E+08,2.74E+07,1.10E+08,1.23E+08,1.20E+07,2474800,1747000
1.01E+09,3.13E+08,1.08E+09,5.28E+08,5.66E+08,6.84E+08,4.40E+08,2.03E+08,2.45E+08
7.81E+09,4.49E+09,7.20E+09,2.82E+09,2.42E+09,2.36E+09,1.09E+08,3.85E+07,1.95E+07
5.34E+07,4.25E+07,1.29E+08,2.75E+08,4.19E+08,3.07E+08,1.27E+07,1.06E+07,7589800
1.44E+10,1.26E+10,1.51E+10,8.53E+09,7.30E+09,5.47E+09,7.34E+09,5.33E+09,6.63E+09
1.65E+09,1.14E+09,1.29E+09,9741000,1.08E+07,8582900,0,0,2540700
7.33E+08,1.84E+08,2.36E+08,2.67E+07,8487500,4711400,0,0,0
4.76E+09,4.35E+09,5.40E+09,3.27E+09,2.68E+09,2.81E+09,5.01E+07,2.67E+07,3.80E+07
0,5951200,7.94E+07,0,0,0,0,0,0
9.36E+08,4.36E+08,8.29E+08,4.26E+07,1.29E+08,0,3.18E+07,6603100,4.09E+07
1.74E+09,1.35E+09,1.09E+09,5.29E+08,2.99E+08,9.41E+08,0,0,0
0,0,0,8347900,0,0,3.78E+08,5.46E+07,5.70E+08
630280,0,2.66E+07,8.18E+08,4.45E+08,6.01E+08,0,0,0
2.93E+08,1.56E+08,2.39E+08,6.53E+08,1.19E+09,9.72E+08,2.08E+08,1.23E+08,1.28E+08
9.43E+09,7.76E+09,8.55E+09,5.21E+09,3.84E+09,5.09E+09,1.65E+10,1.91E+10,1.87E+10
9.22E+07,2.32E+08,4.06E+07,0,2.08E+07,0,0,0,0
1.93E+09,1.57E+09,1.62E+09,1.23E+09,1.01E+09,8.42E+08,1.08E+08,1.15E+07,1.24E+07
1.10E+09,6.32E+08,1.11E+09,3.47E+09,3.44E+09,2.57E+09,3.42E+09,2.08E+09,2.82E+09
8.42E+08,1.30E+09,1.00E+09,0,0,0,0,0,0
2.92E+09,2.58E+09,1.63E+09,0,1.57E+07,651330,2060100,7.84E+07,2.31E+07
1.47E+08,1.54E+08,1.82E+08,4.91E+08,4.60E+08,5.44E+08,4.05E+08,4.47E+08,3.98E+08
9.32E+08,1.04E+09,1.58E+09,7227200,6256300,1.64E+07,2.09E+08,4.97E+07,5.11E+07
0,0,0,0,7.41E+07,1.91E+07,0,0,0
2.62E+10,1.88E+10,2.22E+10,1.49E+08,4.48E+08,3.42E+08,1.24E+08,4.23E+08,6.12E+08
6.39E+08,1.93E+08,4.21E+08,9.73E+08,1.07E+09,7.84E+08,6.43E+07,2.35E+07,2.16E+07
6.79E+09,2.27E+09,4.85E+09,5.28E+09,4.44E+09,4.26E+09,4.27E+08,2.88E+08,3.02E+08
6.10E+07,7.01E+07,0,5.38E+08,8.63E+07,5.67E+07,0,0,0
1.14E+10,1.11E+10,1.02E+10,3.36E+07,2.47E+07,3.07E+07,1633400,1.61E+07,9134900
3.42E+09,1.94E+09,3.34E+09,3.63E+09,3.82E+09,4.76E+09,6.63E+07,1.26E+08,1.65E+07
2.34E+07,0,1.34E+07,0,8.52E+07,1.42E+07,9447900,9701100,1.23E+07
3.43E+08,2.18E+08,2.83E+08,1.55E+09,1.08E+09,7.77E+08,3.71E+08,1.56E+08,2.06E+08
1.27E+09,7.76E+08,1.15E+09,2.58E+09,1.12E+09,1.12E+09,5.46E+08,3.58E+08,4.64E+08
6.02E+07,8.49E+07,1.37E+08,5.75E+08,6.53E+08,3.00E+08,1.21E+08,8.21E+07,5.52E+07
5014500,9430900,6647900,3.84E+08,3.68E+08,7.82E+07,3454100,1.82E+07,1.98E+07
2.56E+09,1.67E+09,3.17E+09,1.36E+10,1.17E+10,1.46E+10,8.91E+08,8.92E+08,1.36E+09
9.41E+08,5.17E+08,6.23E+08,0,0,0,0,0,2536600
0,0,2.65E+07,0,0,0,0,0,0
5.05E+09,3.73E+09,4.83E+09,2.81E+10,2.33E+10,2.25E+10,2.99E+09,3.46E+09,4.16E+09
3.31E+09,3.70E+09,3.73E+09,4.52E+09,5.44E+09,3.37E+09,1.91E+08,3.15E+08,3.13E+08
9.24E+07,7.04E+07,7.20E+07,0,0,6064600,0,0,0
6.75E+09,6.02E+09,7.00E+09,1.33E+10,9.98E+09,8.89E+09,1.31E+09,1.29E+09,7.78E+08
