Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle1,Intensity Muscle2,Intensity Muscle3
4.40E+08,2.03E+08,4.21E+08,0,0,0,0,0,0
3.42E+09,2.72E+09,3.32E+09,2.99E+08,2.98E+08,4.98E+08,6.54E+07,1.96E+08,7.67E+07
1.01E+07,0,1.08E+07,0,0,0,0,0,0
6.03E+08,5.98E+08,9.06E+08,7.85E+08,9.64E+08,6.29E+08,5531900,1.06E+08,3.69E+07
0,3475500,0,0,0,4.24E+07,0,4.85E+07,6.92E+07
1.99E+09,6.50E+08,1.24E+09,5.04E+08,6.45E+08,6.02E+08,1.92E+07,8.90E+07,1.47E+08
1.18E+08,1.60E+08,2.05E+08,0,1.32E+07,7342700,1704400,0,0
0,1.17E+07,1.67E+07,0,0,0,0,0,0
2.38E+07,8551900,1.32E+07,6.59E+07,5.46E+07,0,0,0,4679000
9.50E+08,7.44E+08,7.55E+08,1.84E+07,1.68E+07,2.22E+07,1.60E+08,1.78E+08,8.23E+07
0,0,0,3.09E+07,4.71E+07,3.42E+07,0,0,0
0,6726900,1.85E+07,0,1.93E+07,1.53E+07,0,0,4826600
9.55E+08,7.54E+08,1.00E+09,1.64E+07,5.16E+07,4.04E+07,0,0,1345900
1.10E+09,1.12E+09,5.78E+08,7.77E+07,2.94E+08,1.62E+08,2.28E+10,1.54E+10,2.47E+10
0,3.06E+07,8.77E+07,0,5.21E+07,1.11E+08,2.79E+07,2.68E+07,0
0,3.51E+08,0,0,0,0,0,0,0
1.26E+09,6.37E+08,1.29E+09,1.44E+09,1.53E+09,1.20E+09,1.17E+08,1.28E+08,4.71E+07
8.89E+07,6.56E+07,8.98E+07,0,0,0,0,0,0
1.54E+07,0,0,0,0,0,0,0,0
3613500,2.06E+07,6.23E+07,7.64E+09,6.35E+09,5.88E+09,1.50E+07,1.20E+07,4165500
3.84E+07,1.76E+07,7.14E+07,8538200,5242300,1.46E+07,1.38E+08,3.73E+07,2.26E+07
1.54E+08,8.53E+07,1.35E+08,0,1.67E+07,0,0,9148600,1.07E+07
2.31E+08,1.85E+08,7.31E+07,0,0,0,0,0,0
6863200,0,3.84E+07,2.70E+08,1.99E+08,2.51E+08,605380,3099500,4692300
6.03E+07,5.48E+07,7.24E+07,1.06E+07,1.00E+07,1.29E+07,0,6679400,0
2.52E+08,1.79E+08,3.44E+08,2603300,6.37E+07,6.78E+07,1.50E+09,5.32E+08,4.45E+08
4.37E+07,6.23E+07,8.12E+07,9.75E+07,3.24E+08,2.65E+08,1.93E+08,0,0
0,0,0,3.05E+08,4.00E+08,4.12E+08,0,0,0
0,0,0,0,0,0,0,7.97E+07,4.16E+07
4489000,4221300,4541700,0,0,0,2.62E+08,2.83E+08,3.78E+08
0,3.81E+07,0,1.15E+07,2.22E+07,1.25E+07,0,0,0
5.45E+08,5.04E+08,5.77E+08,1.22E+09,1.81E+09,1.07E+09,5.91E+08,6.67E+08,1.01E+09
2.55E+07,9.28E+07,1.08E+08,0,0,8.67E+07,0,0,0
1.36E+10,1.17E+10,1.34E+10,1.91E+08,1.57E+08,1.31E+09,7408000,2.72E+07,4958500
5.07E+07,0,6.90E+07,0,5.79E+07,6.68E+07,2.68E+07,0,0
2.65E+07,1.47E+07,2.61E+07,0,0,0,0,0,0
0,0,0,0,1997400,0,4.68E+08,5.05E+08,6.72E+08
4.34E+09,4.27E+09,3.98E+09,8.24E+09,7.93E+09,5.49E+09,1.13E+08,1.61E+08,8.55E+07
3.63E+09,2.50E+09,3.71E+09,2.81E+09,3.90E+09,2.86E+09,1.52E+09,1.60E+09,1.62E+09
5.30E+07,7.18E+07,7.43E+07,0,0,0,0,0,0
3.31E+07,1.68E+07,2.11E+07,4.32E+08,3.04E+08,3.37E+08,0,0,2941200
0,0,0,0,1.34E+08,4.96E+07,0,0,0
1.21E+08,4.95E+07,9.75E+07,2.34E+08,2.26E+08,1.48E+08,3.51E+07,2.89E+07,1.19E+07
