"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
177.3,43,57.6,48,38.1,34.2,35.4,27.7,7.4
65.6,50.4,59,39.4,40.8,31,34.6,32.5,19
68.1,38.8,59,68.3,36.9,44.5,70.8,65.5,55.2
50.1,64.2,61.1,45.2,36.1,32.2,33.2,38.5,30.8
51.6,52.5,81.1,113.1,48.3,85,73.7,85.8,83.5
43.6,55.7,96.2,77.5,73.1,70.8,69.3,79.8,42.5
52.5,54.2,63.8,56.1,36.4,44.8,40.9,39.7,32.3
329,38.2,64.3,28.6,28.2,23.4,20.7,25.2,18.2
65.7,56.7,59,33.9,30.2,23.3,25,17.7,17.4
31.4,57.5,101.4,115.9,100.9,90.2,90.7,89.5,70.9
49.3,58,70.1,44.4,32.7,30.1,32,30.7,27.5
57.2,59.7,58.9,34.9,28,24.7,24,25.8,16
52.7,62.6,77.2,65.8,45.7,47.5,57.9,60.6,53.8
59.5,58.3,81.5,58.2,56.5,61.7,66.4,65.3,50
79.6,63.9,66.9,55.2,38.8,36.9,39.5,42.5,34
39.2,64.9,89.2,104.7,68.5,70,85.8,92.4,75.2
66.6,65.9,81.6,52.1,32.3,39.6,33.1,25.9,22.9
68,65.8,82,76.8,49.9,45.6,49.6,56.4,43
54.8,73,82,75.3,37.5,54.9,58,62.5,50.8
,54.4,109.1,78.9,92.6,94.1,96.3,93.4,82.2
68,71,92.7,77.6,47.4,75.2,68.1,80.7,70.5
69.8,71.9,83.1,46.3,37.9,36.9,43.9,43.6,37.9
63.1,75.8,88.4,90.5,59,86.1,83.6,97.2,87.6
66.2,78.4,86.9,115.2,86.4,86.2,88.3,91.1,87.6
72.6,66.1,117.9,90.6,71.3,67.6,72.7,82.3,54.8
67.7,80.9,101.2,60.6,47.3,42.7,49.8,49.3,35.5
73.1,85.1,101.8,53.9,45.3,34.7,37.6,34.7,23.8
83.9,81.8,105.1,68.5,55.4,59,61.5,60.4,48.5
74.5,107.5,104.7,42.6,54.5,26.6,28.6,27.7,18.7
86.6,85.5,138,90.7,63,59.3,88.2,79,49.4
84.1,93.2,119.8,80,47.2,48.5,56.5,54.6,39.5
81.1,93.2,158.4,91.9,66.2,79.1,61.5,70.2,74.5
88.4,43.8,124,53.1,48.7,23.8,23,18.5,28.8
63.5,95.6,131.2,119.1,128.7,244.5,93.4,145.2,48.6
82.4,95.8,109.1,85.9,61.7,66.3,64.9,70.6,61.5
88.5,101.4,126.6,172.6,134.9,152.6,145.9,123.6,105.8
97.3,100.9,122.5,100,62.9,74.6,81.1,67.9,70.4
137,68.6,120.2,66.9,34.3,23.6,65.7,36.2,15.6
128.9,61.3,121,71.1,32,34.4,43.3,28.4,21.7
93.6,107.6,130.9,83.8,52.3,62.6,67,65,61.2
74.2,109.6,134.6,89.7,79.1,72.9,69.5,71.8,83
87.9,113.6,131.1,114.4,93.3,95.8,68.5,78.6,58
118.2,93.4,129.3,117.2,91,76.2,97.1,104.9,91.5
90.4,131.5,130.6,38.1,69.5,55.2,24.2,30.7,26.5
108.6,99.7,147.1,146.1,124.2,135.8,108.1,97.4,69.3
94.7,121.5,131.5,105.5,62.7,78.7,80.1,87,65.1
110.3,101.4,131.8,110.8,76.1,80.1,79.5,78.1,72.1
90.9,121.7,166,137.1,123.3,104.2,93.9,98,96.4
122.8,116.8,139.6,103.1,57,55.7,58.3,61.3,45.2
116.4,90.8,142.1,119.4,71.4,71.1,94.7,72.7,55.9
113,125.1,156.6,90.7,61,55.2,54.3,57.5,44.1
137.4,84,144.4,95.1,64.5,72.1,79.4,75.8,65.2
77.2,127.3,148.1,120.1,88,94.4,99.7,133.2,87.1
162.6,53.5,149.7,79.5,38.8,30.5,66.3,33.3,26.2
