"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
127.2,121,161.7,104,84.7,79.7,88.1,85.6,67.8
132.3,139.6,226.3,245.3,124.2,181.7,173.2,182,177.5
136.3,142,200.4,189.3,130.6,166,156.2,161,150.6
132.3,145.2,174.3,152.5,86.6,110.4,111.2,103.2,101.5
124.2,145.8,175.9,123,91.2,87.1,96.4,97.1,69.7
141.6,160,158.2,247.2,169.2,245.1,237.7,231.2,181.8
145,158.5,214,256,138.2,231.2,198.6,206.7,176.8
135.2,177.3,187.6,176.4,112.7,122.2,135.7,146.3,113
140.7,166.4,212.8,322.8,148.6,254.1,275.5,301.3,245.3
131.9,166.7,198.9,187.8,122.4,135.5,149.7,159.5,123.9
162.8,170.7,216,156,112.6,104.3,118.4,94.3,93.2
117.5,178.1,314.9,452.6,290.8,321.4,339.6,336.2,286.3
124.3,180,221.2,208.5,121.3,151.5,149.3,154.3,135.7
147.1,184.3,207.1,211.9,143.8,223,160.5,196.8,152.8
166.9,183.8,398.9,492.4,317.4,353,394.8,402.5,334.6
219.7,187.5,185.6,118.7,76.3,79.3,91.3,78,63
88.5,188.1,248.7,383.7,224.6,291.9,296.9,345.9,257
178.8,195.5,222.1,222.4,151.8,177.9,173.4,160.3,131
151.7,197.9,285.8,179.6,144.7,158.8,154.7,150.3,107.9
186.3,183.8,256.7,267.6,201.4,208.2,195.1,205,148.9
180.7,200.4,239.3,265.5,157.2,180.7,197.5,211,154.1
294.4,196.1,230.8,141,96,93.1,88.3,93.2,74.1
192.1,173.7,279.9,283.7,151.7,222.7,219.4,214.5,190.8
227.5,209.5,218.2,135.2,80.1,93.1,91.5,93.7,74.7
184.7,212.3,274.3,228.3,193.4,171.5,188.5,200.8,171.8
214.8,215.9,221.5,121.3,68.9,87.2,80.3,77.5,78.7
156.2,217.8,326.3,348.6,254.3,246.5,243.4,258.5,209.2
277.5,199.8,247.8,210.3,147.8,135,140.6,130.5,117.4
272.9,181.2,249.5,165.2,119.8,123.1,140.5,130.1,125.3
178.9,257.4,249.6,146.7,116.4,103.7,130.8,122.6,105.3
165.9,219.9,268.7,207.4,136,158.4,168.8,201.5,148.6
209.5,240.5,308.9,244.9,171.5,167.8,153,131.9,123.1
238.1,201.9,282,180,147.2,137.5,128.8,133.2,95
166.5,252,299.7,176.5,121.4,132.7,139.3,138,120.2
175.6,254.8,318.2,99.1,108.2,66.8,75.9,70.9,61.8
201.1,263.8,364.7,277.4,195.5,206.6,228,231.2,185.2
258.2,256.5,317.9,170.1,99.3,124.6,169.8,164.9,120.4
245.2,279.2,336.5,176,113.6,121.7,163.9,142.2,146
263.7,275.6,347.2,273.3,202.1,187.8,192.6,185.1,159.6
265.1,261,341.8,249.3,162.3,175.1,154.6,156.3,121.3
248.4,285.8,408,395.5,295.3,313.9,326.3,345.2,267.9
276.6,228.1,326.3,197.6,171.5,173.6,162.5,167.9,133.5
272,264.1,364.2,319.7,240.2,252.2,234.6,254.5,195.5
280.2,290.7,332.7,234.8,175.9,155.4,195.8,168.3,133.2
219.7,310,337.1,208.1,161.3,147.5,151.5,153.5,123.5
283.7,323.6,343.7,199.9,174.8,136,129.2,127,98.7
224.6,304,404.2,287.2,228.5,266.9,278,311.1,245.4
217.6,316.6,354.5,201,194.3,170.9,150.4,151.5,108.2
241,312.7,384.4,381.7,225.4,271.9,271.7,263.6,253
280.6,321,439.6,240.9,165.9,159.6,180.5,183.3,149.6
387.5,331.1,340.4,247.8,231.2,188.2,213.8,232.3,195.7
261.6,337,385.4,311.7,231.8,210.5,261.7,247.7,193.4
329.4,345.7,495.6,400.5,299.1,312.6,219.4,191.9,198.3
288.2,364.1,400.1,220.6,148.2,156.1,167.3,156.1,122.6
402.1,350.5,410.8,352.9,265.8,252.5,272.9,273.4,256.6
330.4,364,412.3,197.4,142,102.4,133.4,122.3,116.5
410.4,331.3,414.1,381.1,257,254.7,216.2,186.2,166.6
255.5,399.3,585.4,423.4,222.3,218.6,210.8,158.3,136.2
294.1,399.7,549.5,494.5,298.8,375.1,407.6,403.4,353.1
407.6,396,454.7,176.6,152.8,121.8,125.8,128.2,102.4
376.4,533,354.9,232.5,142.6,166.2,202.6,160.9,132.2
316.6,410.9,481.1,808.1,476.7,570.9,425.8,416.1,312.8
374,415.3,563.6,338.8,289.7,255.7,295.5,274.9,230.8
376.2,416.7,533.9,342.4,259,243.6,242.7,246.9,191.7
399.1,413,542.3,377.1,276.4,286.9,281.5,307.5,229.6
399.2,392.5,545.5,559.5,437.9,425.5,461.4,484.7,377.4
409.5,454.4,403.5,167.8,105,112.5,109.7,116.9,91.8
360.5,466.4,535,359.7,249.5,300.8,281.8,310.1,275.4
584.8,469.6,490.8,178.5,233.5,115.6,134.2,129.2,76
432.5,480,558.9,406.2,272.1,298,290.8,297.8,261.1
457,490,526.3,835.6,477.1,596.7,686.9,678,594.4
406.6,518.2,561.4,258.3,239.4,175.2,161.1,172.5,128.3
487.2,499.1,544.2,336.8,237,243.4,272.9,257,216.6
479.2,354.8,1407.4,1291.4,537.5,420.1,505.4,211.8,109.7
408.7,544.5,584.4,331.4,281,226.7,264.1,245.1,198.8
552.6,507.4,597.7,590.3,479,460.3,357.3,319,311
389.9,554.4,612.7,658.7,481.6,548.8,445.5,428.1,333.5
445.6,544.9,688.3,552.9,356.1,410.5,456.9,405.6,414.9
486.6,549.9,635.2,489.2,367.1,359.3,325.9,381.3,285.6
446.5,551.2,646.1,416.4,340.6,300.9,299.8,311.5,266.2
523.5,558,592.6,469.6,364.1,363,372.5,365.8,285.2
705.1,561.4,652.6,383.1,289.8,246.3,295.3,304.6,270.2
562.6,586.8,717,647.2,480.1,484.2,469.1,472.4,360.1
571.7,740.7,648.9,305.7,236.5,196.8,207.4,214.2,198.7
574.9,677.2,570.2,316.4,251,220.9,240.1,211.2,181.1
869.6,641.1,731.1,452.6,442.8,366.7,365.2,388.8,293.4
721.1,647.1,440.5,147.5,233.1,80.2,93.3,85.1,81.7
570.2,666.9,765.1,644.8,444.2,488.1,472.9,447.4,415.9
584.2,672.6,814.2,517.2,413.6,361.7,327.8,326.8,265
618.8,685.6,907.6,603.8,413.7,428.2,483.9,460.3,399.3
907.4,691.3,808.4,419.6,306.7,301.3,321.1,294.9,198.6
723.6,603.4,809.1,337.1,431.1,231.1,239.5,226.6,196.2
982.7,730.1,516.1,187.2,189.3,115.2,122.8,124.5,99.2
464.7,819.9,861.8,459.6,342.2,355.9,357.3,365.4,295.5
506.1,762.9,895.7,521.4,380,371.7,384,409.8,337.8
624.9,796.6,983.5,606.3,471.6,435.9,471.9,501,447.6
766.1,741.6,989.1,804.6,589.9,613.9,618.1,572.7,465.9
807.8,697.4,935.9,893.2,1274.3,1385.7,581.3,775.9,299.6
455.3,831.8,1041.3,582.9,366,379.2,403.1,389.3,302.4
804.9,929.1,1001,335.9,432.5,225.5,247.8,207.4,137.2
1049,762.3,1066.1,503.3,662.7,310.7,349,267.3,216.8
1597.9,958.3,1053.3,391.2,453.1,292.4,272.4,246.2,188.5
1147.5,979.8,1029.3,666,480.6,441.7,546.3,525.3,431.3
1190.9,872,1146.4,710.7,426.2,413.4,600.5,519,344
778.1,1024.4,1291.2,818.1,613,601.9,651.5,647.8,542.8
1094.2,1083.5,1001.3,614.6,377.6,372.3,452.5,431.9,463.1
551.8,1120.7,1423.3,1181.1,1137.1,1157.8,580.6,559.4,261.9
1106.5,1449.1,1287.3,757.1,617.4,534.4,535.8,548.9,430.2
2227,1207.2,1379.1,695.1,502.7,504.6,461.4,467.6,391.3
1415.4,1425.8,1736.6,1583.5,1094.5,1196.8,1405.1,1149.2,1130.3
2291.4,1402.4,1974.1,973.1,692.2,581,581.2,386.2,303.4
2326.3,2039.1,2176.9,620.6,686.9,350.9,385.2,280.1,229.4
31.2,37.2,64.6,68.3,46.9,53.8,49.8,53.3,43.7
45.9,23.3,101.5,49.4,34.7,20.1,15,16.8,31.6
59.7,68.4,82,59.4,49.8,37.8,40.4,38.8,34.2
72.6,77.9,97.1,72.4,68.7,69.8,54.9,53,42.4
83,88.4,113.6,98.4,63.8,70.7,67.3,66.4,63.2
176.7,65.1,100.4,80.6,296.5,213.3,54.3,44,11.6
108.8,88.2,108.6,111.8,70.5,74.9,96.9,96.6,90.7
108.5,117.9,146.6,124.2,86,95.6,94.8,97.6,84.5
118,109.3,173.5,114.9,88.5,83.1,89.6,86.2,75.5
206.2,131.9,60.7,40.7,30.4,27,30.2,32.3,28.7
126.7,114.7,158,139.7,103.1,88.7,119,124,106.3
142.5,143.6,163.1,155.1,133.3,137.9,116.2,121.1,92.4
145,150.2,134.5,78.4,56,64.3,61.2,61.5,49.4
204.8,120.1,172.9,335.9,83.8,171.3,248.6,139.2,118.1
99,155.2,236.2,262.6,146,180.7,241.2,200.8,143.1
153.7,150.7,188.9,169.1,120.8,137.3,120.7,114.8,97.6
161.3,150.2,187,113.4,85.6,87.3,93,92.1,76.7
162.4,179.5,186.9,110.5,79.4,81.3,81.1,78.8,69.6
169.9,177.4,199.7,139.5,104.3,99.2,104.1,108.1,80.7
169.7,193.1,206.5,357.8,205.8,230.2,263.2,283.4,227.4
231.7,186.5,201.8,242.6,134,174.4,186.8,179.4,135.5
213.8,189.3,201.4,168.8,134.8,117.9,105.1,102,81.7
172.8,192.8,240.1,206.6,141.6,138.6,147.9,134.1,117
204.9,138.4,229.8,114.8,81.6,65.4,105.5,76.8,57.9
159.6,211.1,238,467.1,164.7,340.7,395.1,407.5,396.4
214.4,215.2,361.3,290.1,202.9,238.4,230.1,242.8,182.2
230,217.9,263.4,199,136.9,154.6,150.3,154.5,110.8
205.8,234.5,297.8,259.5,170.5,230.2,207.5,219.1,190.1
223.7,238.5,259.2,173.6,134.1,124.9,112,118.2,91
236.4,252.1,283.9,231,165.2,176.7,203.7,195.8,146.3
163.4,265,293.7,205.2,143.4,154.3,152.7,186,152.9
252.6,293.1,285.7,145.8,109.6,96.8,102.8,106.6,87
253,251,311.7,250.9,182.2,194.4,193.8,205.5,175.6
249.9,269.3,372,238.6,179.1,178.1,194.9,184.7,181.7
216.5,272.3,308.1,281.1,226.8,200.2,181.2,173.5,121.4
179.7,272.5,357,452.2,312,380.7,373.2,390.8,313.4
259.3,282.7,351.9,298,200.9,225.8,227.6,247.9,207.8
281.2,283.7,311.5,212.2,152.5,148,148.3,138.3,114.5
249.8,287,373.9,445.2,228.1,303.2,305.2,315.7,299.3
265,292.8,385.7,322.2,227.7,279,268.4,265,182.1
140.4,295.2,425.4,715.9,446.2,575.3,419.7,515.1,383.9
271.5,312.8,337.5,213.7,162.9,164.2,146.1,138,121.3
209.1,298.7,406.5,286,219.6,203.8,206.1,210.1,171
308.7,302.9,329.9,178.1,144.3,139.5,123.6,113.4,91.2
209.1,304,379,239.6,201,189.8,184.6,199.8,152.6
287.2,287.5,433.1,349.8,217.7,277.2,281.8,287.9,246.2
299.6,321.5,433.5,268.5,207.5,195.4,199.6,179.2,151.3
317.8,337.1,890,442.1,291,208,233.5,233.5,211.1
271.9,339.9,496.3,1047.5,548.5,749.4,774.8,801.3,609.9
335.1,322.4,427.9,336.1,290,296.3,305.8,284.8,232.8
399.9,360.8,245.6,77.6,80.7,43.5,41.6,45.4,38.1
313.6,385.3,425.8,324.3,224.1,283.6,267.4,280.1,228.7
290.8,381.2,531.6,403.6,258.9,262.6,260.9,283.7,218.4
477.3,402.9,481.9,273.7,280.4,198.2,190.9,186.5,152.8
413.4,385.3,627.6,496.7,409.1,466,392.3,411.4,199.5
304,519.5,499.9,364,273.6,236.7,246.7,244,192.6
344.1,442.8,599.1,780.3,468.3,526.5,583.6,596.3,471.2
389.6,447.5,624.3,420.9,280.3,309.5,317.3,299.1,274.5
539.5,330,522.3,469.1,311.4,358.2,423,393.1,296.7
467.3,468.5,495.8,315.5,372.9,345.7,231,272.4,205.5
325.6,486.1,589,767.2,394.1,492,523.9,442.3,350
543.7,487.8,488.8,496.6,336.3,441.6,405.8,330,287
458.9,455.1,632.5,496,332.4,397,434.4,478.3,337.5
474.3,476,597.6,349,232.6,213.7,249.7,214.1,169.2
479.2,587.3,442.3,172.8,160.7,115.6,141.6,105.3,105.2
392.4,520.3,738.7,390.5,249.4,253.6,346.7,411.6,254.2
427.7,522.9,615.5,461.8,277,320.2,373.1,356.1,311.2
467.9,533.7,677.3,516.8,422.1,382.5,361.4,371.1,334
431.7,542.3,650.4,401,266.5,297.4,302.6,296.2,260.7
486.6,556.8,675.3,424.1,292.9,287.8,301.3,321.5,274.8
425.3,575.5,761.9,490.4,439.4,366,403.8,419.6,298.7
762,556,671.6,372.8,317.4,263.9,303.9,317.6,235.4
713,592.6,667.8,428.6,353.3,339.6,347,363.7,295
578.1,559.5,734.6,795.7,555.9,586.6,681.5,675,484.5
591.6,651.6,663.4,423.6,316.4,306.3,284.9,320.7,283.8
534.1,631.9,742,520.1,375,367.4,426.5,421.9,379.6
530.2,637.8,797.9,473,375.6,364.7,315.8,322.6,256.2
472,650.1,726.3,444.5,370.5,349.2,325.8,303.1,232.9
675.9,640.2,708.6,266.5,230.3,211,204.1,201.9,160.2
690.1,657.9,710.7,375.4,249.2,257.8,253.3,244.1,216.1
624.7,599.2,750.7,579.3,457.2,450.8,417,441.1,354.1
594,677.8,815.4,504.1,407.7,385.7,410.5,444.3,313.1
742.1,690.1,806.9,494.5,390.6,387.3,372.5,380.6,309.4
677.5,693.6,878.3,522,395.2,411.7,419.4,438.5,368
864.3,720.9,790.8,567,394.2,426.1,379,372.7,321.9
630.5,733.6,882.3,462.2,329.6,336.7,371,345.6,350.6
760.1,781.6,856.4,454,313.4,311.2,348.8,313.5,258.9
566.3,794,988.5,808.2,558.2,528.5,557.8,597,511.9
530.5,822.1,1006.6,700,530.5,559.5,495.5,503.6,424.3
877.8,810.9,1009.4,721.6,556.4,546.5,543.7,525,396.3
745,899.2,1034.7,635.2,474.8,413.8,427.4,467.6,389.2
860.2,832.3,1023.3,499.3,450.8,350,358.4,268.1,255.4
1063.3,933.5,1030.1,594.8,448,418.8,443.1,428.3,357.5
834.6,935.9,1749.9,1271.8,950.8,969.5,979.8,884.1,850.9
948,1060.1,1322.3,652.2,476.5,444.4,438.8,403.2,373.5
930.6,1123,1216.3,689.8,411.2,445.4,538.3,477.4,376.2
1049.3,1186.9,1340.2,851.4,626.5,660.8,614.7,621.3,515.5
983.1,1215.9,1581.7,757.3,520.6,421.3,450.6,418.4,348.1
1153.4,1225.1,1392.3,711.8,524.1,496.7,522.6,505,442.9
1763.8,1513.2,1357.1,712.1,464.9,396.1,425.3,419.9,303.6
2167.3,1439.6,1736.3,783.8,612.5,505.5,520.1,530.4,420.9
1883.2,1318.9,1737.1,1193.8,712.9,794.5,970,869,785.7
1440.4,1628.4,1641.2,1063.5,716.7,729,749.7,761.9,750.5
1436.7,1897.9,2114.3,1287,1056.1,987.4,1110.4,1059.2,843.1
2539.3,2608.1,2820.1,955.5,569.8,419,485.3,413.6,358.9
8,16.8,17.2,34.4,18.8,32.4,24.1,31.5,17.6
,15.3,29.5,20.3,28.5,30.4,24.5,32.1,19.2
22.4,23.3,42,78.9,68,95,50.9,54.6,37.9
62.5,55.6,74.5,124.6,62.9,71.8,47.5,41.1,28.8
61.3,68.3,74.8,37.5,29.7,27.2,28.2,24.1,24.6
63.9,72.5,176.4,274.6,180.9,208.3,242.5,245.8,176.8
102.8,114,154.4,184.4,120.6,153.6,139.1,153.6,141.3
130.2,111.4,135.1,287.3,141.9,210.5,233.1,230.9,196.5
112.4,122.2,164.3,150.2,113.8,119.4,162,155.5,139.2
116.4,123.7,144.1,123.8,85,81.4,97.3,99.9,74
83.3,134.9,270,423.7,224.4,283.6,329.6,336.7,302.6
209.2,136.3,154.1,85.2,78.2,53,66.3,66.5,52.5
122.6,138.1,183.6,155.5,114.8,152.5,136.5,139.8,107.9
131,123.8,185.5,169.9,147,148.6,156.2,161.8,133
105,147.8,170.6,167,110.7,112.4,126.5,128.4,106.2
124.1,151.7,254.9,313.1,216.8,252.5,230.9,239.2,204.3
153.3,160.5,173.5,126.6,94.5,88.4,95.6,94.5,81.7
148,160.8,256.5,210,134.5,172.6,178.7,172.9,139.9
129.4,162.9,190.7,160.3,114.9,134.2,132.7,145.9,117.8
175.2,129.6,186,266.6,155.9,196.5,242.4,240.9,174.1
143.9,185.9,264,213.9,130.8,150.5,148.9,149.5,116.4
175.4,188.5,258.5,249.6,168,185,194.6,184.5,183.7
205.1,196.8,209.9,141.2,139.9,118.8,99.9,126.2,85.9
163.7,198.3,392.4,332,213.3,248.8,233.9,260.9,222
177.7,203.3,249.9,185.1,123.9,127.4,153.6,171.2,138.1
150.6,206.2,247,182,113.1,147.7,135.5,145.5,116.6
230.4,215.6,242.6,99.6,94.9,73.6,79.2,86.9,69.5
167.1,219.8,308.1,358.7,191.4,240.2,260.9,233.5,166.2
178.4,262.8,260.2,103.8,111.9,59,62.4,65.8,46.9
195.2,229.6,296.4,337.3,227.3,256.7,253.4,256.2,199.8
184.3,232.5,335.2,285.7,281,296.5,182.9,196,132.6
189.2,244.4,335,219.2,141.2,167,149.6,151.3,149
281,256.3,224.8,249.4,134.8,185.8,173.7,179.1,150.4
264,254.7,298.6,174.6,138.3,151.5,131.5,144.1,129
239.4,290.5,380.2,248.3,172.1,190.8,185.2,211.1,163.7
237.4,296.5,377.9,307.9,187.8,251.6,217,218.2,178
654.4,139,340.5,218.5,118,103.7,105.1,77.2,51.6
293.7,338,239,402,165.3,279.8,314.5,363.3,345
301.7,271.7,359.3,337.5,248.4,253.2,250.5,234.7,201.6
284.3,327.1,395,264.8,181,185.5,191.7,178,140.4
341.7,306.9,384.4,306.6,209.6,214.7,221.7,216.9,189.6
411.1,266.7,396,203.5,124.9,154.9,167.4,166.1,132.6
282.9,348.6,567.1,949.4,389.2,681.4,717.3,663,562.6
390.4,326.4,399.5,202.5,188.7,164.7,147.3,159.6,123.3
425.9,346.7,413.4,249.9,211.2,193.3,208.1,217.8,170.3
267,400.3,483.3,331,248.3,234.2,252.8,278.9,234.7
313.8,402.6,565,467.2,369.5,373.2,356.8,337.7,287.5
388.5,396.2,468.1,350.8,265.8,291.3,272.5,245.9,180
328.8,413.4,529.5,278.5,234.5,210.5,192.6,186.2,180.9
391.5,413.4,444.6,332.9,262,238.2,268.7,247.3,213
380.4,437.7,571.1,765.6,355.4,541,566.7,586,481
413,393.6,618.8,716.4,664.6,720.4,632.3,760.9,457.7
454.4,442.7,495.4,348.2,259.2,240.8,255.2,275.2,222.4
420.3,427,582.6,215.4,277.5,143.5,151.4,146.7,117.5
703.4,447,510.9,68.4,110,64.4,49.9,31.9,41
419.2,456.3,668.1,659.9,483,446.4,501.2,460.6,371.5
430.1,402.7,555.3,549.4,334.5,368.2,434.8,452.8,370.5
499.1,462,412.4,115.7,124.3,55.9,56,61.6,42.9
463.9,493.5,615.3,462,376.1,360.4,347,342,285.5
466.9,494.2,582.8,350.7,262.9,245.3,257,255.9,232.3
601.2,500.9,540.4,499.9,295.6,360.9,397.9,408.3,317.4
556.6,471.2,600,432,308.6,326.7,330.1,329.5,267.5
416,545.7,695.8,412.8,294.4,280.4,330.2,341.1,306.3
525.2,618,628.7,430.1,307.2,333.4,281,277.3,241.8
562.4,590.6,846.5,546.4,386.1,424.1,470.6,463.9,441.4
451.3,605.7,686.6,436.1,283.5,310.9,352.5,337.1,285.2
475,621.9,864.1,598.5,418.8,443.8,434.1,405.7,328.9
495,634.9,775.1,399,266.9,221.3,280.7,275.8,222.8
617.5,566.1,766.7,391.3,303.2,237.8,260.2,261.4,232.8
593.1,670.6,796.3,414.2,696,473.7,325,404.5,233.7
726.7,675.1,738.9,606.8,292.5,323.7,406.2,377.1,358.1
636,688.1,724.2,453.2,382.1,336,365.4,350.1,291.1
621.3,681.3,844,658.9,470.6,512.8,477.1,493.2,398.7
550.7,709,969.9,453.3,437.6,335.3,337.7,289.6,248.1
1051.2,597.8,841.5,833,748.2,703.7,491.5,460.6,258.5
566.7,748.7,847,483.5,370.1,349,368.1,374,303.6
702.6,756.8,764.6,326.9,265.9,233.6,205.7,217.5,168.7
870.8,743.4,878.6,458.8,354.4,338.7,385.2,392.8,299.7
671.2,773.6,914.2,622.2,502.6,520.3,591.4,611.9,449.7
809.4,753.2,889.4,585.2,274.8,371.6,473.4,378.1,286.9
467.6,819.4,1133.1,1156.9,692,914.5,897.6,923.6,738.1
801.2,828.1,889.4,724.6,487.8,534.1,500.7,494.8,453
601.9,837.2,1247.1,715.7,424.3,533.9,478.8,514.2,433
828.6,867.4,922.7,493.7,418.1,352.3,338.4,321.7,239.6
903.9,873.6,971.7,438.6,368.5,316,327.9,310.9,275.5
862.3,894.2,1048.5,768.9,703.3,672.5,464.9,456.3,334.5
952.8,750.6,1049.3,692.2,356.9,340.3,499.6,370.2,221.5
929.5,861.4,1075.1,815.5,435.3,460.3,670.7,680.8,494.1
1364,925.5,1097.3,799.9,764,731.3,572.8,690.1,438.5
1441.5,981.3,1068.7,663.1,590.6,509.3,523.9,537.9,368.9
1194.5,1253.1,1674.3,1334.6,1039.3,1034.2,795.3,752.6,592.9
1237.7,1354.1,1648.5,1267.8,799.4,941.5,1018.7,1020.1,862
1278.9,1452.8,1300.3,370.6,323,284.7,236.5,234.9,213.5
1974.2,1384.7,1626.2,895.9,627,649.8,653.4,701,539.6
1446.4,1462.8,1667.5,1482,1034.6,1032,922.7,911.4,730.6
1793.3,1389.2,1748.2,321.1,352.2,162.6,227.1,151.7,105.4
2551.9,1698.8,1942,908.5,860.6,666.2,742.1,733.7,557.1
1494.7,1785.8,2627,1201.8,899.2,910.4,946.4,910.6,701.3
46.5,27.9,27.1,24.8,17.5,17.8,17.3,17.8,14.2
25.5,37.5,38.5,22.6,17.9,17.7,11.6,13.1,12.8
72.4,81.7,110.4,123.4,72.2,103,119.8,129,116.9
65.6,82.7,94.3,60.6,52.9,46.5,52,56.4,39
58.4,87.3,138.1,109.6,95.5,97.4,81.3,68.6,42.6
76.7,91,117,123.9,94.8,101.5,110,101.5,85.1
114.3,100.6,102.7,32.7,42.7,20,27.1,23.1,12.5
66.4,120.6,176.5,156.2,123.1,124.3,130.9,148.6,115.1
123,110.5,149.6,94.1,84,61.6,83.6,88.1,74.6
125,147.4,215.9,194.9,107.7,123.4,130.9,112.3,96.2
141.1,121,223.6,171.8,80.8,117.7,179.8,181.4,129.8
149.1,178.3,104.4,195.7,151,153,143.7,172,124.4
173.2,162.6,156.7,92.7,72.3,64.6,55,57,51.1
156.3,212.7,144.5,26.7,32.3,6.2,9.9,9.2,8.3
131.9,172.3,216.8,280.7,178.9,223.5,214.6,208.6,164.8
195.1,200.1,255.2,202.4,135.9,144,149.7,163.4,135.4
184.9,220.3,327,393.2,263.7,320,296.9,301,239.8
211.2,212.4,261.2,165.8,152,138.5,134.7,127.5,108
172.1,230,352.5,347.1,203,304.3,265.2,348,226
279.7,216.5,268,209,147.1,171.4,180.5,210.7,178.5
154.4,242,299.9,346.6,269.5,258.7,327.3,341.6,253
287.7,265.9,304.5,214.5,129.9,136.1,157.9,138.6,101.9
263.4,235.6,369.4,1051,634.4,770.8,764.3,703.8,616.3
201.4,285.6,798.5,1696.9,1108.7,1256.8,1418,1213.7,1231.7
378.3,281.6,340.7,790.1,541.3,687.4,558.2,725.3,430.4
298.2,308.6,493.1,671.9,414.6,617,505.4,525.1,432.6
281.7,317.9,382.4,730.7,490.6,559.4,517.7,549,385
299.8,315.4,420.4,350.8,268,279.5,284.2,310.8,267.1
145,345.6,432.7,457.6,246.6,302.2,257.5,356.2,95.5
327.6,309.7,428.2,317,261.6,233.9,233.5,250,194.7
301,351.4,402.1,344.8,281.3,253.9,261.6,248.8,212.2
270,353.1,422.3,302.8,246.8,207.3,240.4,232.2,217.6
386.7,337,406.1,201.1,167.2,160.1,150.9,155,146.8
503.5,365.1,411.8,196,161.6,140.2,163.8,155.3,121.6
358.9,350.3,415.3,270.3,242.5,224.9,231.1,251.4,185.5
352.9,351.6,487.8,264,210.7,219.5,237.8,235.6,203.2
354.8,413.4,430.6,321.1,196.5,188.9,235.9,239.7,174
167.7,414.2,443.7,187.1,280.2,225.3,147.5,205,143.3
367.6,157.5,671.1,626,230.6,281.6,214.7,281.9,195
375.6,388.7,452.2,336.8,295.2,242.6,250.1,238.5,188.5
223.7,400.6,475.2,376.6,291.8,284.6,272.3,316.1,245.6
309,403.1,512.3,331.9,280.7,248.5,291.3,278.6,209.2
311.7,406.3,465.7,257.7,195.6,181,183.5,182.3,156.3
394.4,313.6,484.2,412.3,328.3,315.6,372,305.5,187.6
399.2,375.9,556.2,390.4,289.3,303,314,285.8,241
377.2,427.9,487.4,759.2,375.9,587.9,574.7,579,511
411.7,408.3,496.1,304,238.1,235.5,250,249.9,226.8
419.4,441.7,564.7,397.1,261.3,291.7,293.7,327,252.8
307.8,459.6,601.7,393.4,297.9,274.4,293,300.4,266.7
318.7,471.2,798.2,957.7,755.9,845.9,807.1,876.3,620.5
290.2,474.1,549,340.1,285.9,225.6,279.6,243.2,196.9
359.1,508.2,587,326.8,227.2,225,284.5,277.8,231.8
329.8,510.2,639,481.8,333.3,366.8,386.9,466.6,389.3
405.6,512.6,703.7,536.8,389.3,429.8,403.2,405,335.9
447.8,533.8,630.6,466.9,331.3,330.7,396.8,401.8,320.4
548.1,475.8,612.3,578.1,394.6,493.6,409.3,411.6,368.9
586.4,542.5,535.3,404.4,277.7,323,330.2,342.1,272.7
489.2,547.8,758.3,615.9,377,446.6,429.4,395.7,426.3
486.2,598.8,661.9,461.1,343.9,315.8,323.6,368.1,291.1
537.9,596.8,739.1,558.7,354,434.6,443.4,357.3,322.7
463,598.6,774.1,725.4,476.2,571.1,505.1,516.6,406
541.2,600.7,762.3,453.1,413,297.1,373.8,379.7,245.2
569.2,530.6,781.7,553.5,400.6,425,417.6,402.4,283
611.1,617.4,641,435.9,315.9,309.3,320,312.5,261
673,590.9,714,563.1,416.7,435.7,440.7,461.4,365
557.8,635.9,788.8,626.9,416.9,480.3,492.1,549.1,424.3
566.3,770.1,727.9,419.8,332.1,295.4,251,248.5,216.4
604.8,695.3,723.2,479.6,334.3,324.5,353.7,365.3,322.9
466.1,647.1,733.2,411.6,326,331.2,299.4,294.8,254.2
491.7,647.8,762.3,489.2,294,333.3,362.8,366.1,298.9
243.4,657.5,873.4,906.3,979.1,1057.7,823.5,982.1,643.6
631.7,661.3,688.2,348.2,389.1,224.6,240.2,203.9,187.9
804,673,751.8,524.2,387.4,376.1,402.5,365.8,314
571.2,701,784.7,387.2,309.5,258.7,221.9,217.3,196.2
679.8,748.6,874.3,525.6,449,404.1,394.1,397.8,413.1
746.3,676.5,866.8,632.5,489.9,431.2,471.3,462.2,383.5
853.4,785.4,913.7,465,428.5,290.8,336,305,184.7
739.8,1024.7,989.2,583.6,434.4,398.1,445.9,447.3,355.2
900.6,895.2,1037.5,827.4,563.8,639.8,575.8,587,480.8
1207.9,1012.2,1090,663.9,543.4,493.3,496.2,488,406.1
968.8,995.9,1338.7,1152.6,496.2,627.9,696.4,585.6,467.3
1359.9,1097.5,1233.5,529.1,414.4,300,361.3,272.5,198.2
494.7,1437.1,1402.7,1036.2,807,748.8,741.9,767.3,614.9
1222.5,1353.1,1427.2,784.3,580.8,583,617.9,613.7,517.5
1388.1,1866.8,1621.2,883.8,670.9,595.8,630.4,630,561.6
