Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
6250.7,5798.4,5045.6,3688,1913.5,449.7
75752.6,65944.5,51623.3,30869.7,17797.9,6234.7
4491.4,3847.8,2715.1,1444.4,845.1,562.5
4310.8,4267.5,3785.5,3066.5,2633.7,1856.5
4898.9,4317.7,3310.7,1686.2,911.2,293.2
62860.1,56032.1,48230.5,31235.3,15910.2,6736.1
89850.3,89440.8,80895.7,74075.3,60223.8,52902.1
19497,18395.4,16250.6,13403.7,10023.9,7413.8
2376.2,2210.1,2152.8,1958.9,872.8,670.1
42845,44013.2,40815.7,37812.5,36852.7,26293.3
24961.4,24631.8,21823.6,19908.5,17240,10668.4
21656.2,22120.7,18933.7,10566.4,6727.6,1524
1557.2,1352.4,1011.2,613.1,320.2,74.5
28170.7,25572.8,18287.5,10462.3,5838.1,1561.5
2966.8,2893.7,2459,1631.4,733,262.5
14513.7,12772.8,9580.6,5573,3077.2,965.2
77611.8,70217.3,54481.2,32203,15916.7,4242.6
11567.2,9249,7049.6,4386.3,2744.8,1339.2
64694.6,56380.1,42410.7,23031.3,11959.7,3870.6
345.3,254.6,265.2,187.6,79,46.3
16778.7,14677.8,11862.3,7585.2,4627,1925.5
12644.6,12780.4,10348.7,7127.8,4177,1342
2546,2243.9,1988.7,1371.5,826.8,388
7592.4,6661.6,5822.6,3834.3,2152.9,980.2
639.6,510.2,536.7,384.8,198.5,126.3
46216.3,44800.9,37429.6,23706.3,12120,4095.5
2285.8,2003.8,1769.1,1122.7,506.3,183.5
38677.8,35860.5,27383.1,14815.3,7831.2,3647.3
49229.3,43306,35081.8,20063.3,12392.9,8756.9
51476,45836.8,35723.6,18770.3,9569.9,2946.1
29656.9,25948,21649.9,13451.6,7390.8,3190.5
30510,27334,21304.7,11156.1,6883.1,3260.5
14494.5,13067.1,9774.9,5436.6,3041.6,891.7
2541.5,1888.7,1968.8,1578.5,1466.1,914.5
102651.1,93486.4,72497.7,48778.1,27479.7,6917.1
9139,8438.6,6721,3848.5,2006.6,730.3
31574.9,28312.4,25791.1,14566.2,7260.5,1355
13450.6,14062.1,9848.7,8200.1,5437.8,1766.7
401.2,366.4,260.8,166.8,87.7,23.1
92413.9,82875.6,64492.9,37600.6,19559,5696
29728.4,26294,20828.8,11542.4,6036.9,2108
39465.8,35344.6,28242.7,15768.4,8444.8,2954.5
24879.2,22778.7,17473.1,9825,4840.6,1703.5
16052.8,13920.1,10450.8,5231.8,2682.3,821.1
45814.5,38760.4,32997.8,19398.6,9567.9,3144.9
34935.2,31575.9,24340.1,12583,6174.5,2256.8
15535.6,13865.1,12584.7,9558.5,5505.9,2628.1
3718.5,2959.7,3327.7,2753.8,1744.2,983
7267.5,6620.1,4988.9,2977.6,1788.3,848.7
202643.1,172743.2,130657.5,75786.6,36068.2,12190.2
18194.5,15344.6,11792.1,6258.1,3185.7,1060.5
6093.1,5210.5,4670.9,3710.8,2632.5,527.4
2805.4,2528.8,2063.4,1455.3,930.8,173.1
16437.9,14583.7,11184.3,7676.8,4829.1,3020.6
1096,980.8,922.8,715.8,485,323.1
4024.9,4291.7,3331.2,2364.4,1070.3,335.5
15136,13928.7,11601.6,6391.4,3091.2,922.2
4713.6,4291.3,3489.8,1801.2,981.2,351.5
1144.9,1035.9,887.5,539.3,299.7,111.8
1326.6,1085.4,1063.9,722.1,395.2,288.1
2274.6,1843.4,1509,990.1,569.9,214.5
3857.3,3036.7,2460.3,1455.9,744.5,166.2
1257,1157.1,1033.8,715.7,365.8,171.2
2800.8,2528.6,2117.4,1473.7,885.8,206.5
760.1,652.1,526,295.6,155.5,37.7
1418.2,1215,1143.1,810.6,473.2,180.8
2553.3,2121,2086.2,1701.8,1104.8,617.7
3827.9,3330.4,2909.5,1821,1086,404.6
868.4,672.6,656.5,474,242.7,169.3
595.2,535.8,480,335.1,169.8,79.6
470.9,400.9,352.8,232.5,115.8,46.5
521.3,439,387.5,271.6,144.4,67
1168.8,1110.6,902,500.1,327.3,161.1
4270.1,4029.9,3100.2,2050.1,1383.5,556
11596.1,10233.7,7749.7,4399.8,2365.1,967.8
3054.7,2847.2,2476.8,2172.5,1791.2,167.5
28097.2,26140.7,21849.9,19543.7,13808,1801.1
2084.6,1887.8,1270.9,533.9,220.8,27.5
196769.1,167599.9,123138.4,60098.1,30307.1,6296.1
76614.2,72852.3,56741.7,35657.5,20439.3,1728.7
370774.8,335115.3,266624.3,167474.9,93237.9,12729.1
178747.4,155877.3,124462.2,69566.8,38078.9,10599.3
121447,109690.7,85554.8,50382,27805.3,4130.9
165780.3,172884.5,134487.2,78919.5,39575.4,5938.3
199078.4,167560.9,130749.7,73960.2,42264.3,6043.5
155304,149943.4,124999.5,74504.4,41376.9,8899.5
157948.6,125772.2,108230.7,64078.5,38237.8,10094.3
197516,164752.4,132198.8,77303.4,42516.6,4287
125290.9,103427,89881.9,57423.3,42362.6,22694.3
297926.9,257277.5,200069.6,118268.5,59834.4,13979
362647.4,309532.2,252364.9,142639.6,77977.7,26723.7
250992.1,209279.9,164915.2,99659.9,56000.4,4677
210270.1,191816.3,150524.6,85504.7,43688.3,10378.6
73257.6,44126.4,43997.3,43174,49367,39476
27114.3,13518.2,10194.4,9460,14668.2,10996
238835.4,192439.4,159316.8,89048.9,44923.6,15803.6
146645.4,126602,101304.7,61661.3,34212.9,5736.1
181572.2,164643.5,125240.8,76002.7,43502,8470.4
96363.1,85058.6,69106.5,42461.9,24019.5,4219.8
40135,38110.9,34600,24176.4,18658.1,10729.7
2876.6,2825.8,2271.2,1744.8,1415.4,728.8
33528.2,42656.5,35467.2,20856.9,12702.5,4922
109630.4,93314.3,88350,61480.1,46402.9,32089.3
33371,25217.7,22991.9,13851.5,8856.4,4555.5
27831.9,22022.6,18814.9,11296.6,7297.3,2926.9
402925.1,325983.1,282023.8,167302.4,85281.1,19591.5
14008.6,14561.5,11412.4,7750.9,5606.9,3374.7
351896,303963.6,238292.7,146396.7,80628.2,13326.9
202677,173730.8,128619.1,73960,38540.1,5636.2
357059.4,310818,254579.8,162492,92408.9,22799.9
216270.9,198483.9,158874.2,86798.4,46876.8,6531
90616.2,79263.5,69725.2,36529,20147.8,3102.5
181478.9,161384.8,127247.1,78993.7,43964.4,6652.6
2722.6,2413.9,2041.1,1342.9,785.3,242.9
304825.4,281325.5,222220.6,132746.1,74443.4,11218.3
26252.7,22298.2,17309.6,9550,5090,1732.7
1329,1168.7,1077.9,766.1,362.7,178.3
1532.1,1231.4,1038.4,595.8,347.5,108
422432,398656.4,342922.2,322102.6,285234,35036.3
17543.7,16487.6,13586.7,7899,3760.7,1516.5
85754,76712.8,59526.9,37185.3,20582.7,6154.6
7148.1,6331.3,5176.4,3303.1,1891.9,733.4
6526.3,5853.2,4733.9,2778.6,1624.9,528.4
3886,3429.4,3114.7,2168.8,1205.4,496.7
3215.9,2923.8,2352.6,1503.2,918.6,341.8
10738.7,9350.2,7729.8,6936.3,6171.7,4057.5
1691.5,1533,1480.2,1043.6,695.8,446
2061.2,1685.7,1319.1,687.1,337.3,81.6
2509.9,2082.4,1795.2,1021.1,518.1,265
2429.4,2440.7,1651.8,976.5,576.4,168.2
1200.3,1059.3,858.5,532.9,276.9,83.3
1954.7,1521.5,1370.2,978.9,592.2,282.9
1095.3,1096,916.9,554.2,294.4,65.8
2247.6,1872.7,1562.4,892.1,543.9,191.6
2054.6,1973.6,1744.4,1110.7,553.7,208.7
709.2,534.6,531.4,361.9,160.4,78.5
1173.4,961.5,752.9,491.1,278.6,147.4
2422.6,2074.7,1652.7,1035.5,603.4,237
1011.1,840.9,678,359.7,200.6,37.7
2108,1966.5,1459.4,949.5,545,114.1
1151.3,816.1,544.3,341.1,192,57.2
2821.7,2486.9,2150.6,1444.7,806.9,358.3
213610.6,199762.4,133084.1,62744.4,29327.4,6709.9
485.4,388,349.7,230.5,95.5,17.3
7250.8,5821.4,4455,2550.4,1527.7,366.6
89075.1,78827.6,66977.5,57887.2,54608.6,14449.3
201640.9,201639.3,162811.9,121518.6,55593,9091.9
26712.3,26876.2,19223,16850.5,10807.2,14851.2
78373.5,78822,64101.5,51065,30132.1,34813
219583.8,214818.6,181327.8,143677.5,99190.4,137939.8
201128,187181.6,163102.7,139949.9,93217.7,133953
22721.2,20904.4,16294.7,10247.2,5993,1751.1
256296.2,243457,195113.7,105139.9,54401.5,8885
