Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
46430000,46400000,46200000,45490000,45970000,45910000
46380000,46540000,46640000,45770000,45890000,45750000
41720000,41810000,42600000,41150000,41750000,41900000
29200000,28920000,29210000,28400000,28830000,28370000
20470000,20610000,20670000,20230000,20470000,20530000
29910000,30150000,29810000,29510000,29350000,29350000
50440000,49930000,49750000,49560000,50250000,49780000
24390000,24110000,24200000,23760000,23840000,23750000
20440000,20310000,20230000,20030000,20900000,20050000
18360000,18230000,18140000,17800000,17930000,18030000
892100,899300,998300,966400,1074000,1139000
19290000,19060000,19210000,19180000,19270000,19230000
16570000,16660000,16710000,16250000,16450000,16570000
19670000,19920000,19560000,19450000,19220000,19670000
10550000,10710000,10690000,10390000,10650000,10660000
42400000,41600000,42580000,41530000,42200000,41970000
16210000,16290000,16440000,16130000,16250000,16060000
15180000,15080000,14830000,14800000,14690000,14780000
294900000,294100000,296400000,287000000,288900000,289200000
28720000,28290000,28360000,27750000,27820000,27890000
219200000,220800000,218500000,214500000,213100000,210700000
83830000,84720000,84410000,84660000,82600000,82610000
13350000,13510000,13370000,13200000,13350000,13320000
113900000,115800000,115900000,113800000,113100000,112300000
21930000,21680000,22080000,21210000,21680000,21620000
206400000,203100000,203700000,200000000,199600000,201400000
54540000,55010000,55060000,54600000,54410000,54200000
39050000,38180000,38930000,38020000,37890000,37530000
19860000,19430000,19950000,19340000,19460000,19940000
42400000,42720000,42640000,41890000,41290000,41540000
8091000,8112000,8048000,7947000,8012000,8091000
28470000,28300000,29100000,28200000,28820000,29000000
6220000,6217000,6235000,6067000,6165000,6227000
151500000,152800000,150300000,151400000,151500000,150700000
110900000,111600000,108800000,108700000,108800000,106700000
6921000,7009000,7076000,6877000,7071000,7161000
29550000,29140000,28770000,28670000,28170000,28860000
36080000,36100000,35700000,35670000,35880000,34720000
11980000,12010000,11920000,11910000,11840000,11910000
18120000,18000000,18150000,17820000,17900000,17760000
30660000,30330000,30350000,30470000,29560000,30090000
8146000,8117000,8219000,7847000,8256000,8246000
20430000,20580000,20560000,20100000,20330000,20520000
11180000,11140000,11270000,11120000,11420000,11320000
85300000,86040000,88680000,84810000,84800000,86260000
14610000,14630000,14660000,14290000,14430000,14700000
30290000,29820000,29860000,29710000,29890000,29610000
42860000,42410000,43030000,41900000,41500000,42240000
68960000,68220000,68710000,66860000,66230000,67400000
14840000,14730000,14840000,14540000,14730000,14640000
21020000,20890000,21030000,20880000,20890000,20730000
18820000,18960000,19020000,18520000,18730000,18860000
19940000,19750000,19970000,19460000,19420000,19480000
30230000,30530000,30470000,30130000,29620000,29660000
67470000,66030000,67570000,67120000,65500000,65140000
15970000,16000000,15900000,15470000,15490000,15830000
23040000,22570000,22250000,22780000,21790000,22370000
124900000,122900000,124300000,121100000,119400000,119500000
35810000,34700000,35190000,34590000,34410000,34380000
41620000,41130000,41680000,40390000,40610000,40760000
220300000,223900000,219100000,217500000,214600000,212400000
6109000,6119000,6211000,6155000,6249000,6256000
54630000,54790000,54280000,54020000,53350000,52830000
35420000,35020000,35670000,34520000,35180000,34540000
99650000,101400000,97550000,97740000,96420000,93670000
7164000,7237000,7326000,7038000,7211000,7385000
6215000,6256000,6261000,6171000,6243000,6302000
115600000,115100000,117000000,113000000,114200000,114300000
11600000,11490000,11540000,11210000,11390000,11220000
15780000,15910000,15860000,15610000,15730000,15430000
13070000,13130000,13220000,12870000,12850000,12910000
8962000,8937000,8991000,8835000,8959000,8869000
9173000,9323000,9333000,9417000,9335000,9546000
10760000,10640000,10780000,10780000,10670000,10710000
10030000,10060000,10130000,9999000,10030000,10130000
10890000,10900000,10960000,10760000,10820000,10930000
1049000,1020000,1001000,1090000,1075000,1104000
6655000,6667000,6685000,6525000,6673000,6696000
15620000,16540000,15750000,15810000,15960000,16080000
8115000,8146000,8170000,8036000,8109000,8159000
4560000,4440000,4540000,4659000,4489000,4641000
54490000,53700000,55190000,54170000,52380000,53430000
143600000,140800000,141300000,141900000,139800000,137600000
24210000,23590000,24040000,23650000,23320000,23340000
19510000,19260000,19610000,18900000,19000000,19120000
4616000,4625000,4692000,4638000,4709000,4624000
31130000,31560000,31470000,31060000,30060000,30420000
2458000,2303000,2402000,2383000,2387000,2429000
1187000,1187000,1226000,1118000,1231000,1239000
5723000,5724000,5717000,5577000,5651000,5734000
29020000,30010000,29580000,28580000,28990000,28920000
6379000,6307000,6509000,6186000,6599000,6375000
224400000,224700000,227100000,219800000,220700000,222300000
15550000,15680000,15610000,15300000,15620000,15340000
3620000,3647000,3685000,3601000,3690000,3686000
11390000,11530000,11270000,11280000,11330000,11300000
32400000,31940000,32670000,32520000,31780000,31980000
23520000,23420000,23580000,23740000,23820000,24150000
27210000,26940000,27640000,26510000,26520000,27400000
48560000,48600000,48570000,48120000,47610000,48410000
19860000,19730000,20550000,19750000,19760000,19820000
14040000,13970000,14050000,13580000,13830000,13880000
28330000,27550000,27720000,27720000,27620000,27470000
15050000,14720000,15040000,14580000,14620000,14640000
25970000,25660000,26100000,25240000,25270000,25560000
41610000,43420000,42770000,42820000,41920000,43640000
21720000,20920000,21320000,21100000,20950000,20730000
37790000,38690000,38970000,38070000,37830000,37170000
4417000,4478000,4446000,4410000,4475000,4555000
7090000,7172000,7053000,6924000,6960000,7032000
327700,319600,317900,331100,347600,326400
4511000,4527000,4688000,4441000,4523000,4431000
17290000,17520000,17410000,17260000,17340000,17430000
61500000,60540000,62250000,60680000,61400000,60200000
33720000,32850000,33600000,32820000,32440000,32370000
13630000,13470000,13590000,13280000,13430000,13240000
21390000,21530000,21640000,21070000,20820000,21030000
13580000,13430000,13380000,13640000,13410000,12770000
6579000,6600000,6618000,6604000,6663000,6661000
13880000,13760000,13710000,13330000,13430000,13290000
5414000,5536000,5450000,5399000,5463000,5502000
59360000,58810000,59520000,59080000,59210000,58780000
15230000,15050000,15330000,14780000,15040000,14870000
16400000,16470000,16440000,16270000,15690000,15870000
3625000,3633000,3638000,3533000,3610000,3630000
6248000,6087000,6184000,6089000,6185000,6161000
23240000,23190000,22930000,23120000,23300000,23040000
11930000,11830000,11970000,11730000,11730000,11840000
4817000,4684000,4721000,4672000,4750000,4705000
10160000,10180000,10050000,9818000,9760000,9887000
7202000,7150000,7219000,7005000,7194000,7181000
146900000,146400000,146000000,143000000,143100000,144100000
12790000,12660000,13060000,12750000,12800000,12960000
5310000,5353000,5314000,5273000,5181000,5275000
6268000,6364000,6191000,6172000,6172000,6161000
30200000,30800000,30670000,29840000,29470000,29990000
222300,247000,290300,234100,264500,344400
31850000,31930000,31510000,31630000,32050000,31100000
4487000,4613000,4647000,4578000,4522000,4583000
9476000,9451000,9775000,9364000,9495000,9448000
72510000,71360000,73450000,72200000,69710000,70900000
10500000,10690000,10500000,10530000,10390000,10530000
13270000,13250000,13110000,13090000,12870000,13010000
3759000,3705000,3793000,3715000,3736000,3694000
710600,707400,707100,678200,723500,701900
1675000,1698000,1714000,1711000,1653000,1638000
8357000,8292000,8410000,8350000,8249000,8481000
