2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
2073136.563,4484503.296,3422487.336,0,5054476.203,8034396.301,4484503.296,5582208.742,2740314.633,876995.5625,0,0,2059543.734,1438968.5,2104768.156,3996752.063,1216387.75,6172614.068
1604534.495,3411004.51,5951489.013,1903677.13,2939444.375,16118286.11,5748634.708,17808471.02,14674529.61,796721.3438,3286173.984,505887.1719,1670118,686524.6875,1577466.43,3534202.531,11110686.11,31297743.41
372578049.1,178338749.2,155173819.9,913840626,337914273.7,944649914.9,472871805.9,292747308.2,264650645.2,88570817.05,60563487.48,40052729.98,175156370.7,75701152.54,105076642.1,210395957.6,252695312.4,746162227.6
5384700.922,2725282.135,5487634.016,6566976,8881593.409,47448210.66,23230037.51,12380836.83,23820512.34,2361603.453,3589441.195,1752290.43,8700284.292,2563134.682,5281140.688,11064894.32,4399979.625,45431147.68
7967869.875,89517220.25,94046617.15,101817895.3,11798065.47,14021771.79,199811042,48553466.53,24812936.21,938264.8724,0,68694362,51745544.66,40514945.64,3844833.732,214159352.5,19713985.77,149943606.8
11581797.94,11947736.64,9430882.823,11282513.78,6529711.375,34706389.02,12892766.92,6192909.625,5123755.844,2024006.047,4121567.672,3456929.87,15956086.43,7639099.5,6559438.172,22021616.24,4585207.185,33446623.51
4455676.042,4028471.641,5577511.516,8747797.271,3779658.309,6674197.26,9477714.396,27488014.11,10375903.57,9236407.247,3920380.625,5287383.25,9197940.625,3411410.047,7211432.438,7708782.297,12163084.69,24990844
97871211.95,118216323.6,123063198.5,92292718.67,21269093.11,104946899.4,81530431.64,27619783.49,38308704.79,7973631.932,39458285.81,15131600.74,86025731.1,25584765.83,31452342.44,83184932.56,37731482.07,108323629.1
0,0,0,0,0,1850509.563,0,406836.6719,355644.8984,1074267.219,0,0,0,0,0,0,408285.875,701176.2363
20456060.53,0,0,0,0,0,0,0,0,6126293.896,4753599.602,4457108.565,0,0,3293677.924,0,0,0
87439614.61,75731396.13,78771813.88,109745560.7,166475177.2,205013020.2,24230133.75,9185343.901,51213045.73,10409690.96,22315401.88,13954438.07,83892455.59,28841735.56,41142260.17,74779568,25087222.71,292220848.6
72044060.68,55450499.97,64052193.83,89084297.22,46650775.7,51241963.13,8736367.104,48001679.68,69025470.31,15300747.44,39313604.32,21430734.71,135101217.8,47079311.18,15813564.68,55858924.85,112328109.4,148362000
836549299.6,1098365379,1094908878,358192936.9,176639280.1,293467972.5,0,71614567.04,604042519.3,49895722.27,185508896.6,132099279.1,138793363.5,132259849,88032771.1,205659503.4,174316584,219863308.6
0,0,0,0,0,0,0,0,940114.7813,1784033.125,0,0,0,0,1784033.125,1784033.125,0,0
16409266.27,25630558.26,17763665.56,42692783.14,9356947.828,10585122.81,79953042.45,0,522037.5195,4376516.313,1102425,6330462.188,0,4076781.274,4497721.594,0,0,0
5610725.266,12216984.82,9023621.125,10657573.71,13948341.5,4075957.719,0,0,0,733734.9688,3178862.188,2179262.938,4265844.5,3676357.313,2577683.688,2816993,0,8337849.875
4590826.125,5403584.328,4816044.25,1188784.188,6596574.465,19913422.16,5839333.958,3957257.385,7522268.034,4661547,2499094.977,3503632.625,1744793.336,637983.8281,2740183.995,8208569.958,10376097.46,10440415.43
10523650.5,16388073.98,3564845.641,6469201.568,2384885.961,0,0,5400476.855,27979165.88,4535033.063,2747521.674,316153.5469,2729529.583,493226.0938,1490379.719,0,1764495.403,6825403.458
73621377.75,85057443.19,22618931.58,42333734.67,25026557.22,20942848.79,11703932.27,40510835.77,71362971.41,3626459.969,11907936.85,4421152.893,11514334.31,12895272.36,8481582.232,10502434.13,20502654.27,38932986.52
6078273.635,0,30733105.32,45711772.12,2928293.922,31863201.2,3717892.941,6099177.031,8265466.974,11274683.63,7346570.844,4659604.039,7611776.771,2360610.854,3927576.303,7484326.125,10417847.56,17184836.77
52198957.99,42306783.13,41707977.02,40445051.77,68293669.81,39810541.04,4480849,5642820.896,31847557.63,3783828.784,17185555.47,5872006.904,39694701.19,8046301.201,18753325.93,31187435.73,12495342.78,90607875.53
16444457.51,21077588.97,18112208.52,23613036.88,36039970.71,30563126.54,4522613.299,9882464.56,48451517.77,3153343.047,9593780.536,3000505.063,44186515.97,14780700.43,10390232.43,21328940.07,23242745.22,49653735.6
361575518.6,122031255.3,137972874.5,308961855.1,24219390.94,5118409.656,22659024.22,55654319.4,13646665.02,8021665.234,87752370.3,98870169.96,58063098.13,44153012.61,33907379.42,4424295.625,134378636.8,205024789.3
13945245.21,14981218.27,8458832.99,8125144.865,9644401.068,5497355.578,1166168.75,0,6737840.979,643848.8594,3181381.76,6827047.898,8153492.076,4075926.922,6380995.586,4147259.047,1572922.688,15263924.92
16693062.84,31554194.97,16195759.3,29745742.13,18351448.33,49266745.73,15812543.73,52130656.39,136471458.5,9131056.74,5430247.135,6666479.406,12957410.61,9581176.647,3393883.813,20970995.62,57014348.92,40302524.85
7010428.336,10261504.7,15175255.63,13359329.66,3230870.469,42974748.07,4860033.295,3798162.188,5365468.115,4012162.578,4272685.125,14058693.24,20577670.38,3308772.07,2488899.888,24478690.29,15845104.19,24280253.54
11083347.01,14514714.07,9672653.693,13038335.71,36876312.26,18352376.5,9006862.734,46864336.98,114360124,3006276.852,0,0,8883776.646,0,2088382.359,9298839.667,35386124.66,52414115.88
31329250.77,0,21189925.69,0,0,237046925.2,31404533.04,30183546.14,94938826.66,5772536.76,0,0,0,0,28037576.99,0,65257287.38,48574998.89
0,0,0,0,0,189781.2578,868598.6644,508217.5547,0,974515.8379,0,0,0,0,0,0,974515.8379,0
2130605.052,0,1917987.922,2945739.771,5395547.708,6899913.635,2566913.938,11133949.53,19371715.81,1726645.07,1980097.922,2293989.297,4419090.203,2342807.355,2656353.469,6002140.625,26238587.63,25730418.46
11909927.65,13559361.29,9470669.469,13015712.57,38665576.39,20426732.63,9590393.271,46042723.43,104140703.6,2951567.25,1158626.563,0,9743068.958,5435543.273,2154746.924,7999117.549,34706915.33,51737109.18
6457873.62,5438088.609,9558222.5,15589364.72,4956481.5,18674725.87,1448303.063,7341853.313,5764918.25,3795085.5,1234251.531,3968779.984,2117016.25,652422.3438,1886301.25,4455721.688,0,0
