rq_126_sn,rq_130n_sn
198.5813212,552.9028119
665.5908187,703.4683638
10.07886981,12.98847823
174.7960755,169.9105675
1140.612579,825.5305963
2076.937302,1992.057614
69.44380954,66.0246521
444.1300578,100.653113
97.30112943,103.5488783
678.65618,723.0560055
561.5866918,260.8210956
118.4583668,123.9644697
233.9551547,281.4016628
21.50479456,420.1502631
98.95216255,446.907857
18.94650155,188.1946403
223.3254949,70.75730144
128.864438,246.34062
949.3733284,1181.222242
838.3967268,831.0715222
70.14992077,79.00978399
22.36712166,25.62829196
27.11202925,27.41645443
25.26686326,119.330534
10.45844416,168.5297747
5.094875257,283.5134285
0,108.4134252
27.67102341,35.37570435
19.51203076,22.40209073
163.7704956,193.2806609
218.652595,256.6993564
109.8074666,89.50571444
17.18088769,15.51168182
11.77237153,11.8439131
603.7224041,669.8049731
978.0259332,967.3393124
25.30424074,21.14068645
82.45447181,23.11128407
131.9706082,53.91463313
57.60400604,37.57135554
52.02912381,49.49629921
271.4003733,115.3507536
1958.098713,695.7139392
1020.647551,397.0121428
48.61624159,42.17544919
61.90150598,66.51984802
29.7334266,10.96871818
89.58732799,34.03421878
13.18321377,14.2974836
806.7810482,307.5688304
155.506943,92.27917429
1590.653956,546.0296339
1305.680504,551.8169094
256.2053411,99.63796142
706.3144568,396.5890865
493.0410144,242.5212381
87.3234062,56.37632561
43.94248792,17.23375796
579.9442636,235.5647561
478.3137641,187.8021477
48.023611,17.16915307
82.90447418,29.24464735
2677.996662,1201.595462
11.90736313,19.02096699
14.02471888,17.09209073
155.6350932,69.93165265
532.3000642,246.3865209
663.6709794,284.5603988
7.867589726,7.242712245
10.68391788,4.910779816
82.8956684,41.87059736
142.0003646,195.0811758
554.7034024,209.1098695
45.73831259,14.28094975
502.6974352,272.4695091
162.1680496,70.70341912
163.9993706,28.23965637
17.68663685,36.29709183
682.9958584,450.8538454
26.59407275,5.942268264
895.3910815,170.0193443
346.6999846,445.1764535
93.38270652,109.2638032
281.6200539,123.9147322
365.7460877,338.1761602
380.0899141,475.7995085
282.9133488,340.8484976
87.66903327,52.02343707
52.99690173,61.44808236
68.07887656,98.18376879
343.6981731,447.7616745
206.9582833,201.8418415
958.7420338,709.6592739
278.2251725,383.6244024
38.71889249,55.1902305
142.8379557,138.3994128
114.480051,122.2097825
238.7729093,347.4332071
140.7257373,77.48490026
153.8633464,53.0625061
532.8708059,291.3972819
1072.737901,629.363363
453.0516275,171.812891
518.1455591,221.2510868
511.2720543,305.9217372
188.3145336,109.3401132
173.8767987,111.51038
832.5901183,167.2692663
1186.923063,596.1818055
734.808753,531.3167827
1143.141745,185.1188979
1306.693218,887.1606796
1666.609046,1096.66756
28.59322017,20.60034698
2282.441522,1435.658163
339.4700387,137.3342507
13.51538028,10.96341103
1883.118886,1034.250819
2836.347162,1629.469451
1478.058514,256.3696869
2297.336868,1119.717378
2214.974036,1252.955017
1255.407597,2148.45231
61.66008057,30.08109367
61.01720443,51.24601719
77.61821983,28.83697898
88.57694768,42.78415206
131.2980388,85.97819152
145.722372,88.05750621
215.2108496,224.3752985
1321.489203,751.7432163
107.1472437,171.5826491
243.5790864,162.6876287
326.5286061,128.1665172
1462.855382,742.7761288
328.6728083,114.3323363
66.23711661,64.40689256
168.2577948,2862.753889
140.2113233,1014.424077
26.44283507,1402.979204
100.6677242,231.9711065
417.3954262,393.5215741
218.3887134,214.2086365
73.44478443,63.77854663
119.5902232,60.89793088
331.1524608,313.3352977
390.6600028,535.660574
54.47490307,44.89876699
1201.125983,1421.972037
308.7262553,301.7206445
362.7253017,418.2488919
241.1444196,333.5171986
142.8090263,178.7836972
2275.962632,3844.830437
136.0254812,108.9883735
65.94848019,113.5530289
130.6157685,14.63885604
1801.623898,1244.086359
344.2997505,211.7415998
1173.055179,718.1140566
1006.068988,639.5106836
191.7973384,141.4261672
806.9645206,582.4034243
352.173146,152.2623715
666.2335397,523.0221887
639.9013751,608.4022276
618.0080524,171.3307407
49.64139995,21.26765593
829.9417726,433.769517
169.5788098,99.73532445
319.4217181,209.4629658
340.0368099,90.75424474
15.7046637,12.20929278
51.43757869,240.1726655
245.4817557,229.5043223
172.8812131,228.7184938
942.5022838,1403.601441
348.1027612,128.0398759
141.1819822,75.26031339
210.7239163,181.9064787
199.6124547,156.9626699
140.2737625,312.442289
247.0599879,440.9765765
41.13699445,29.60565495
19.6695799,27.16294653
16.52577788,9.006289511
3.282247198,4.678044667
423.920782,214.2680242
1040.590624,799.2632391
95.69932804,61.22224623
191.0646541,164.2266734
178.5831132,152.3380083
300.7818292,221.4178588
163.6669878,121.6376406
39.92395749,362.2779612
17.49595847,106.7275146
327.123005,234.3324503
144.9778597,1225.994648
815.589922,655.4482096
164.7002232,148.734778
62.7438008,139.5415609
350.5472297,261.0816687
533.1380775,414.2555392
78.96716273,1793.654842
27.60459361,278.0066671
207.9503752,108.6180702
184.889862,150.8211213
95.09484907,81.66893385
2144.537654,1401.426278
16.69146169,12.77691568
54.45258824,57.1831436
32.64930372,64.2079663
13.75586529,299.7575146
23.23894191,85.68845393
1100.535819,907.0246506
81.83762955,65.59290576
173.0766948,153.9985856
260.1269907,169.9418335
237.8082727,319.9275954
205.0939716,375.8347694
121.1233209,50.84261674
91.93065865,35.66502277
492.3293586,377.3511653
520.7742687,457.9425548
510.7934912,503.4398474
1703.756932,1692.586784
432.9525215,671.0241591
1420.421468,1443.555143
1056.164539,1042.50831
158.8891133,212.7688545
1762.508734,2399.763781
366.4568284,459.0270072
1009.519105,1446.0943
119.0847348,197.0336051
188.6070019,254.4342164
192.4234268,693.1782026
336.3655689,417.8164527
490.1579955,551.3053855
423.4082145,675.7595577
429.2831687,476.5120423
215.4462685,241.9853077
172.1165694,346.0346417
12.20849811,12.7098462
41.6981505,29.92554972
190.4381602,160.656187
51.66822665,37.8296674
174.256985,153.94255
409.9153096,333.7412353
108.3658309,116.8962939
49.61648261,713.3735347
28.3305556,23.12268236
174.9868353,280.8711153
135.6505257,119.943863
411.5488033,350.6351701
58.84584507,57.15603755
182.2461283,81.32801054
979.0089264,244.2702112
495.0982673,156.153464
1945.996436,653.4067087
563.7192168,172.5238725
85.08344881,32.18321122
82.93940585,23.7666333
125.1996221,31.68920226
116.4271381,62.65961551
402.954629,121.2160009
909.8448941,253.1037755
182.9711603,56.66170291
162.9347058,45.70064799
826.936648,234.0755239
434.7196865,250.0205347
59.91404074,961.6811161
373.2609009,140.4926464
756.546188,186.9444978
61.01712126,61.95084093
51.28437577,22.97285054
103.8917626,39.11881738
42.41145985,20.91251373
70.01840791,58.89990341
178.1701865,53.78300778
47.35121029,34.95701722
43.13427461,30.69390497
70.86344849,100.3033603
142.3667629,99.03629188
746.8718152,622.7555984
73.71039723,105.0761787
89.77245692,101.2335332
45.82669076,53.44277119
99.43337814,126.6834642
418.5434536,548.0649415
204.08544,1140.908327
258.4559827,134.4702465
833.1511302,883.5112661
41.77028812,19.57003237
24.40834147,18.35940491
206.1196917,142.6803086
226.4500357,52.57924595
31.33293803,13.62467176
21.90707128,12.86195313
24.18944255,17.46861618
21.25712524,19.76380994
567.9800996,378.1387545
35.46027008,17.10378046
69.09833718,36.82506633
277.9068653,1239.055094
46.04676607,18.24323411
390.9673535,55.74778411
513.0853804,228.1555133
1923.097275,337.5673463
591.509385,420.5424606
140.5181318,25.92199778
119.5327474,23.9792385
207.1376685,153.1292688
2161.77251,196.7403049
218.0805707,129.0171882
822.2231891,313.8572071
