380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
51.46,59.243,54.82,54.046,51.803,57.706,49.702,44.772,52.026,45.526,56.381,49.42,62.138,66.412,67.671,63.809,65.874,64.487,58.084,53.267,44.706,55.479,57.311,55.255
6.3196,9.2568,8.9868,12.204,8.3255,15.919,13.916,11.453,13.488,10.84,7.0476,8.4375,14.122,13.282,12.834,11.698,16.714,13.972,17.633,16.531,13.909,9.5653,9.8504,14.048
6.3196,2.777,4.4934,3.4868,4.6253,2.9848,4.9702,7.2884,5.7807,3.2519,2.819,4.8214,6.5904,7.748,3.5002,4.254,6.8823,4.2991,7.2605,7.3471,6.9543,7.6522,7.1639,6.5557
2.7084,2.777,1.7974,4.3585,3.7002,1.9899,2.9821,5.206,2.8903,1.084,4.2286,3.6161,6.5904,2.2137,5.8337,4.254,2.9496,3.2243,5.1861,5.5104,4.9674,8.6088,5.3729,4.6827
5.4168,2.777,2.696,6.102,3.7002,2.9848,3.9761,4.1648,4.8172,8.6716,2.819,7.2322,5.6489,4.4274,2.3335,4.254,5.8991,3.2243,3.1117,5.5104,5.9608,3.8261,7.1639,6.5557
18.959,24.068,14.379,20.049,19.426,18.904,14.91,16.659,16.379,19.511,12.686,15.67,25.42,24.351,19.835,24.46,20.647,24.72,21.782,17.449,18.876,20.087,14.328,19.667
23.473,24.993,25.163,22.664,27.752,27.858,24.851,24.989,26.977,23.847,25.371,22.902,30.127,28.778,32.669,30.841,29.496,25.795,30.079,34.899,32.785,27.739,25.074,25.286
5.4168,3.7027,4.4934,5.2302,4.6253,2.9848,4.9702,6.2472,5.7807,7.5877,4.2286,4.8214,7.5318,4.4274,5.8337,6.3809,4.916,10.748,5.1861,4.592,8.9413,7.6522,4.4774,7.4923
10.834,9.2568,12.582,13.076,12.951,10.944,15.905,14.577,15.415,10.84,9.8666,12.054,11.298,9.9617,9.3339,14.889,14.748,18.271,14.521,19.286,9.9347,15.304,17.91,18.731
103.82,116.64,109.64,101.12,94.355,104.47,113.32,116.62,115.61,109.48,133.9,122.95,122.39,158.28,128.34,153.14,130.76,166.59,144.17,123.98,118.22,132,119.1,127.37
3.6112,3.7027,4.4934,2.6151,4.6253,2.9848,0.99403,3.1236,1.9269,1.084,1.4095,1.2054,3.7659,2.2137,1.1667,3.1905,1.9664,4.2991,4.1489,2.7552,1.9869,1.9131,2.6865,2.8096
18.959,19.439,17.075,24.408,21.276,18.904,15.905,20.824,19.269,20.595,15.505,16.875,25.42,23.244,25.668,25.524,32.445,29.019,26.968,28.47,24.837,25.826,26.865,29.033
37.015,33.324,37.745,27.895,32.377,31.838,37.773,39.566,38.538,36.854,43.695,42.188,43.308,44.274,46.67,40.413,50.143,46.215,48.749,51.43,44.706,49.739,49.252,59.002
1.8056,1.8514,2.696,3.4868,1.8501,0.99493,3.9761,2.0824,4.8172,7.5877,4.2286,6.0268,1.883,3.3206,3.5002,5.3175,4.916,6.4487,4.1489,6.4287,4.9674,7.6522,5.3729,3.7461
10.834,11.108,12.582,9.5888,14.801,10.944,5.9642,10.412,8.671,5.4198,8.4571,10.848,13.181,11.069,12.834,6.3809,5.8991,6.4487,9.335,7.3471,9.9347,7.6522,11.641,10.302
67.71,62.02,66.502,67.122,72.154,60.69,91.451,80.173,105.98,105.14,95.847,100.04,61.196,23.244,35.002,76.571,68.823,63.412,96.461,95.513,107.3,88.001,92.235,88.971
3.6112,4.6284,4.4934,7.8454,2.7752,2.9848,10.934,6.2472,5.7807,7.5877,7.0476,6.0268,7.5318,6.6412,5.8337,11.698,8.8487,12.897,10.372,14.694,11.922,8.6088,7.1639,8.4288
5.4168,6.4797,4.4934,5.2302,7.4004,3.9797,4.9702,5.206,4.8172,4.3358,5.6381,3.6161,5.6489,1.1069,5.8337,5.3175,4.916,5.3739,4.1489,4.592,5.9608,5.7392,4.4774,3.7461
11.736,5.5541,8.9868,8.7171,9.2505,9.9493,6.9582,7.2884,11.561,6.5037,4.2286,7.2322,5.6489,12.175,12.834,12.762,11.798,11.823,9.335,10.102,8.9413,8.6088,12.537,12.175
23.473,15.737,19.771,17.434,17.576,17.909,21.869,27.071,24.086,21.679,22.552,24.107,22.595,28.778,26.835,30.841,28.513,31.169,34.228,38.572,40.732,34.435,33.133,24.35
24.376,24.068,18.872,19.178,27.752,18.904,24.851,28.113,27.94,23.847,23.962,30.134,24.478,23.244,21.001,35.095,31.462,34.393,29.042,34.899,32.785,27.739,22.387,25.286
2.7084,4.6284,1.7974,2.6151,1.8501,1.9899,5.9642,3.1236,2.8903,4.3358,0,1.2054,2.8244,3.3206,3.5002,3.1905,2.9496,3.2243,2.0744,4.592,3.9739,3.8261,2.6865,1.8731
15.348,11.108,11.683,7.8454,11.101,13.929,3.9761,5.206,6.7441,7.5877,1.4095,7.2322,9.4148,14.389,15.168,8.5079,9.8319,8.5982,7.2605,6.4287,7.9478,7.6522,10.746,7.4923
5.4168,6.4797,5.3921,5.2302,5.5503,4.9746,4.9702,5.206,4.8172,4.3358,7.0476,4.8214,5.6489,5.5343,3.5002,1.0635,2.9496,2.1496,2.0744,3.6736,2.9804,4.7826,3.5819,5.6192
10.834,8.3311,11.683,14.819,11.101,9.9493,12.922,14.577,11.561,16.259,15.505,13.259,13.181,7.748,9.3339,10.635,12.781,12.897,10.372,15.613,13.909,10.522,14.328,15.921
107.43,104.6,112.34,106.35,97.13,105.46,128.23,110.37,118.5,107.31,108.53,100.04,99.797,88.549,107.34,70.19,80.622,82.758,90.238,112.96,97.36,127.22,115.52,118
18.959,17.588,18.872,3.4868,7.4004,2.9848,4.9702,3.1236,5.7807,5.4198,1.4095,0,12.239,2.2137,8.1672,7.4444,3.9328,10.748,15.558,18.368,13.909,11.478,14.328,8.4288
9.9308,9.2568,10.784,7.8454,11.101,6.9645,13.916,11.453,12.525,7.5877,8.4571,12.054,6.5904,12.175,11.667,8.5079,8.8487,8.5982,12.447,12.857,8.9413,9.5653,10.746,9.3653
18.056,20.365,17.075,22.664,19.426,20.893,17.893,15.618,13.488,18.427,14.095,18.08,22.595,19.923,24.502,20.206,23.597,20.421,20.744,14.694,15.896,18.174,17.91,19.667
7.2224,8.3311,4.4934,13.076,8.3255,11.939,3.9761,4.1648,6.7441,5.4198,5.6381,8.4375,18.83,5.5343,7.0004,20.206,22.613,21.496,9.335,7.3471,7.9478,18.174,19.701,17.794
1.8056,2.777,2.696,5.2302,3.7002,0,0,2.0824,4.8172,1.084,1.4095,0,6.5904,3.3206,1.1667,5.3175,2.9496,5.3739,5.1861,6.4287,5.9608,5.7392,7.1639,5.6192
8.1252,12.034,8.9868,10.46,4.6253,6.9645,9.9403,8.3296,7.7076,4.3358,1.4095,9.6429,3.7659,1.1069,4.667,2.127,1.9664,2.1496,3.1117,3.6736,2.9804,3.8261,7.1639,4.6827
6.3196,9.2568,7.1894,7.8454,6.4754,6.9645,4.9702,5.206,7.7076,4.3358,5.6381,4.8214,5.6489,5.5343,7.0004,4.254,2.9496,4.2991,6.2233,2.7552,2.9804,7.6522,8.0594,7.4923
3.6112,3.7027,5.3921,3.4868,6.4754,3.9797,0.99403,1.0412,1.9269,2.1679,1.4095,2.4107,2.8244,9.9617,5.8337,4.254,5.8991,6.4487,1.0372,1.8368,1.9869,4.7826,4.4774,4.6827
25.278,24.068,26.062,16.562,20.351,22.883,28.827,28.113,32.757,26.015,22.552,32.545,16.005,18.817,23.335,5.3175,8.8487,8.5982,17.633,24.797,27.817,18.174,18.805,14.048
12.639,10.182,10.784,10.46,13.876,3.9797,11.928,10.412,12.525,7.5877,7.0476,7.2322,8.4733,12.175,8.1672,13.825,12.781,16.122,9.335,12.857,10.928,13.391,10.746,13.111
3.6112,0.92568,2.696,2.6151,3.7002,0.99493,0.99403,3.1236,1.9269,2.1679,0,2.4107,1.883,1.1069,4.667,2.127,1.9664,2.1496,2.0744,6.4287,3.9739,2.8696,5.3729,4.6827
12.639,10.182,10.784,7.8454,8.3255,5.9696,6.9582,5.206,8.671,6.5037,7.0476,3.6161,4.7074,9.9617,10.501,0,1.9664,1.0748,8.2977,8.2655,4.9674,4.7826,5.3729,6.5557
12.639,12.959,12.582,13.076,10.176,7.9594,8.9463,5.206,5.7807,7.5877,8.4571,8.4375,10.356,9.9617,10.501,10.635,7.8655,8.5982,8.2977,5.5104,4.9674,11.478,10.746,10.302
12.639,10.182,11.683,9.5888,11.101,12.934,12.922,12.494,9.6345,14.091,8.4571,12.054,10.356,13.282,16.334,12.762,13.765,10.748,15.558,16.531,13.909,10.522,9.8504,13.111
31.598,32.399,27.859,23.536,26.826,27.858,40.755,44.772,44.319,42.274,39.467,37.366,33.893,29.885,33.835,36.159,29.496,30.094,59.121,56.022,52.654,51.653,55.52,54.319
111.95,112.01,115.03,105.48,112.86,99.493,126.24,122.86,132.96,139.83,126.86,128.97,94.148,56.45,73.505,121.24,117,105.33,160.77,138.68,150.01,102.35,126.26,106.76
5.4168,2.777,3.5947,3.4868,0.92505,4.9746,0.99403,1.0412,1.9269,2.1679,2.819,4.8214,2.8244,6.6412,5.8337,2.127,0,1.0748,5.1861,2.7552,5.9608,3.8261,4.4774,3.7461
7.2224,7.4054,6.2908,6.9737,8.3255,5.9696,8.9463,10.412,6.7441,6.5037,7.0476,10.848,10.356,8.8549,8.1672,8.5079,8.8487,12.897,9.335,9.1839,9.9347,11.478,10.746,9.3653
31.598,29.622,31.454,27.023,34.227,31.838,21.869,31.236,33.721,31.435,26.781,34.955,42.367,36.526,35.002,26.587,29.496,32.243,29.042,23.878,27.817,39.218,35.819,39.334
5.4168,3.7027,4.4934,2.6151,3.7002,1.9899,3.9761,3.1236,2.8903,3.2519,4.2286,3.6161,2.8244,1.1069,1.1667,2.127,2.9496,2.1496,2.0744,1.8368,0.99347,4.7826,1.791,1.8731
37.918,38.878,50.326,39.227,41.627,34.822,43.737,37.483,32.757,34.686,49.333,37.366,46.132,68.625,40.836,56.365,41.294,44.066,36.303,42.246,34.772,37.305,37.61,40.271
0.9028,1.8514,1.7974,2.6151,2.7752,2.9848,2.9821,2.0824,2.8903,3.2519,2.819,1.2054,2.8244,2.2137,1.1667,2.127,2.9496,4.2991,4.1489,3.6736,3.9739,2.8696,3.5819,2.8096
18.056,14.811,17.974,13.947,12.951,13.929,15.905,21.865,21.196,24.931,18.324,21.696,18.83,18.817,24.502,13.825,16.714,22.57,21.782,20.205,16.889,20.087,16.119,14.048
10.834,10.182,13.48,14.819,14.801,14.924,14.91,14.577,11.561,9.7556,15.505,9.6429,17.888,13.282,14.001,17.016,13.765,11.823,16.595,14.694,13.909,14.348,12.537,14.985
6.3196,5.5541,6.2908,7.8454,3.7002,3.9797,8.9463,7.2884,8.671,10.84,7.0476,8.4375,9.4148,3.3206,7.0004,8.5079,5.8991,6.4487,8.2977,11.021,8.9413,9.5653,10.746,8.4288
28.89,33.324,25.163,32.253,29.602,26.863,20.875,20.824,19.269,23.847,23.962,16.875,28.244,44.274,42.003,31.905,33.429,34.393,25.93,24.797,24.837,25.826,30.447,28.096
6.3196,7.4054,7.1894,7.8454,6.4754,6.9645,1.9881,3.1236,4.8172,5.4198,5.6381,1.2054,11.298,2.2137,4.667,8.5079,2.9496,2.1496,1.0372,5.5104,5.9608,7.6522,9.8504,14.985
5.4168,4.6284,5.3921,4.3585,4.6253,2.9848,11.928,10.412,11.561,11.923,7.0476,7.2322,5.6489,5.5343,5.8337,8.5079,12.781,11.823,14.521,11.939,9.9347,8.6088,9.8504,12.175
4.514,5.5541,4.4934,6.102,5.5503,4.9746,3.9761,4.1648,2.8903,5.4198,7.0476,4.8214,4.7074,2.2137,4.667,4.254,4.916,4.2991,4.1489,2.7552,3.9739,5.7392,6.2684,4.6827
11.736,8.3311,8.9868,11.332,9.2505,7.9594,10.934,9.3708,12.525,7.5877,9.8666,6.0268,6.5904,6.6412,10.501,4.254,5.8991,3.2243,9.335,8.2655,7.9478,7.6522,9.8504,8.4288
36.112,37.953,35.947,39.227,45.327,36.812,37.773,36.442,40.465,34.686,32.419,31.339,43.308,38.74,44.336,42.54,45.227,41.916,50.824,47.756,49.674,43.044,43.879,44.017
25.278,26.845,26.062,28.766,25.901,32.833,17.893,21.865,17.342,21.679,21.143,22.902,26.361,30.992,31.502,29.778,24.58,26.869,20.744,20.205,19.869,22,22.387,19.667
8.1252,6.4797,7.1894,6.9737,6.4754,8.9543,6.9582,8.3296,5.7807,7.5877,5.6381,6.0268,8.4733,1.1069,2.3335,2.127,2.9496,2.1496,5.1861,5.5104,5.9608,6.6957,7.1639,6.5557
46.946,42.581,52.124,45.329,52.728,43.777,73.558,78.09,69.368,80.212,47.924,68.705,39.542,44.274,61.837,68.063,78.655,66.636,58.084,71.635,75.504,56.435,45.67,45.89
65.905,62.946,70.996,65.378,68.454,75.614,70.576,72.884,75.149,66.121,69.066,62.679,70.611,73.053,80.505,67,71.773,73.085,61.196,63.369,60.602,76.522,68.057,65.557
11.736,7.4054,10.784,11.332,17.576,9.9493,8.9463,10.412,11.561,9.7556,5.6381,3.6161,14.122,21.03,15.168,14.889,16.714,11.823,15.558,19.286,16.889,13.391,14.328,14.985
29.792,31.473,31.454,29.638,32.377,34.822,19.881,27.071,21.196,27.099,29.6,25.313,31.069,33.206,35.002,29.778,29.496,26.869,26.968,22.041,26.824,20.087,23.283,25.286
31.598,34.25,33.251,31.381,34.227,34.822,39.761,35.401,34.684,33.602,42.286,39.777,43.308,47.595,45.503,43.603,47.193,42.991,49.786,44.083,49.674,40.174,38.506,43.081
132.71,128.67,131.21,113.32,126.73,138.29,173.96,157.22,146.44,170.18,183.24,162.72,125.22,139.46,136.51,99.968,117.98,110.7,125.5,146.94,125.18,133.91,121.79,122.69
8.1252,7.4054,6.2908,7.8454,8.3255,6.9645,9.9403,11.453,7.7076,8.6716,7.0476,6.0268,9.4148,5.5343,8.1672,7.4444,5.8991,4.2991,9.335,5.5104,5.9608,6.6957,6.2684,7.4923
19.862,20.365,16.176,16.562,22.201,18.904,22.863,17.7,21.196,18.427,12.686,22.902,21.654,24.351,29.169,36.159,28.513,33.318,22.819,26.633,23.843,30.609,26.865,29.969
22.57,26.845,21.568,20.049,21.276,23.878,26.839,18.742,21.196,17.343,16.914,16.875,32.952,24.351,29.169,24.46,29.496,30.094,28.005,25.715,22.85,35.392,33.133,29.033
28.89,31.473,28.758,28.766,33.302,25.868,25.845,34.36,27.94,37.938,32.419,36.161,32.01,32.099,31.502,27.651,27.529,27.944,33.191,33.062,29.804,30.609,30.447,31.842
6.3196,5.5541,6.2908,3.4868,8.3255,8.9543,5.9642,7.2884,5.7807,8.6716,5.6381,4.8214,6.5904,5.5343,10.501,5.3175,6.8823,7.5234,4.1489,6.4287,6.9543,5.7392,7.1639,4.6827
6.3196,6.4797,4.4934,6.9737,4.6253,6.9645,1.9881,7.2884,6.7441,5.4198,5.6381,3.6161,7.5318,4.4274,4.667,9.5714,6.8823,4.2991,5.1861,5.5104,4.9674,9.5653,5.3729,6.5557
49.654,40.73,46.731,42.714,49.953,44.772,43.737,54.143,53.953,46.61,35.238,45.804,46.132,53.129,68.838,21.27,23.597,19.346,33.191,29.389,26.824,20.087,20.596,25.286
114.66,113.86,113.23,123.78,132.28,117.4,99.403,108.29,101.16,120.32,109.94,119.33,126.16,133.93,106.17,134,110.12,127.9,125.5,110.21,103.32,113.83,108.35,115.19
2.7084,1.8514,0.89868,2.6151,3.7002,2.9848,5.9642,7.2884,5.7807,6.5037,4.2286,8.4375,2.8244,1.1069,3.5002,0,0.98319,0,5.1861,1.8368,3.9739,6.6957,8.0594,5.6192
12.639,15.737,8.9868,11.332,12.026,8.9543,5.9642,6.2472,5.7807,6.5037,4.2286,8.4375,5.6489,7.748,5.8337,7.4444,7.8655,6.4487,7.2605,5.5104,4.9674,4.7826,6.2684,7.4923
6.3196,5.5541,5.3921,10.46,9.2505,9.9493,2.9821,4.1648,2.8903,2.1679,5.6381,2.4107,13.181,6.6412,9.3339,7.4444,6.8823,8.5982,4.1489,3.6736,7.9478,10.522,11.641,12.175
22.57,20.365,20.67,16.562,17.576,15.919,17.893,17.7,22.159,15.175,18.324,14.464,21.654,18.817,22.168,28.714,27.529,31.169,23.856,22.96,26.824,24.87,25.074,25.286
11.736,14.811,14.379,14.819,13.876,9.9493,7.9523,11.453,10.598,11.923,11.276,13.259,18.83,14.389,16.334,15.952,17.697,13.972,9.335,12.857,12.915,10.522,18.805,14.985
4.514,4.6284,3.5947,5.2302,5.5503,3.9797,7.9523,4.1648,6.7441,8.6716,2.819,3.6161,5.6489,6.6412,7.0004,6.3809,8.8487,5.3739,7.2605,9.1839,7.9478,9.5653,10.746,8.4288
16.25,21.291,19.771,22.664,23.126,20.893,16.899,20.824,19.269,22.763,14.095,21.696,28.244,19.923,19.835,19.143,19.664,22.57,20.744,18.368,21.856,20.087,19.701,21.54
0,0,0,0,0,0,0,0,0,0,0,0,12.239,9.9617,12.834,11.698,16.714,9.673,11.409,8.2655,12.915,10.522,10.746,7.4923
4.514,3.7027,4.4934,6.102,5.5503,3.9797,2.9821,3.1236,1.9269,5.4198,2.819,4.8214,5.6489,6.6412,4.667,2.127,3.9328,5.3739,4.1489,2.7552,3.9739,4.7826,5.3729,6.5557
2.7084,2.777,4.4934,3.4868,3.7002,3.9797,5.9642,4.1648,2.8903,3.2519,2.819,4.8214,4.7074,2.2137,4.667,5.3175,4.916,5.3739,5.1861,2.7552,3.9739,1.9131,1.791,2.8096
0.9028,0.92568,0.89868,0.87171,1.8501,0.99493,1.9881,2.0824,1.9269,2.1679,0,3.6161,3.7659,2.2137,1.1667,4.254,4.916,2.1496,5.1861,7.3471,3.9739,4.7826,1.791,2.8096
4.514,2.777,1.7974,4.3585,3.7002,4.9746,3.9761,4.1648,4.8172,3.2519,1.4095,3.6161,2.8244,2.2137,4.667,4.254,3.9328,4.2991,6.2233,7.3471,5.9608,4.7826,2.6865,3.7461
5.4168,2.777,3.5947,6.102,3.7002,3.9797,9.9403,7.2884,11.561,11.923,9.8666,8.4375,4.7074,3.3206,7.0004,7.4444,7.8655,7.5234,10.372,11.021,10.928,8.6088,8.9549,7.4923
2.7084,3.7027,4.4934,3.4868,2.7752,3.9797,1.9881,2.0824,1.9269,3.2519,0,1.2054,1.883,1.1069,2.3335,2.127,2.9496,3.2243,3.1117,1.8368,1.9869,1.9131,3.5819,2.8096
3.6112,3.7027,3.5947,2.6151,3.7002,1.9899,1.9881,1.0412,2.8903,4.3358,0,2.4107,1.883,4.4274,8.1672,6.3809,6.8823,7.5234,3.1117,5.5104,3.9739,1.9131,3.5819,1.8731
15.348,16.662,15.278,14.819,16.651,11.939,15.905,16.659,19.269,17.343,18.324,19.286,20.713,13.282,18.668,14.889,12.781,9.673,11.409,16.531,12.915,20.087,17.91,21.54
9.028,7.4054,5.3921,7.8454,3.7002,6.9645,2.9821,8.3296,5.7807,4.3358,5.6381,6.0268,7.5318,5.5343,7.0004,11.698,7.8655,6.4487,6.2233,4.592,6.9543,6.6957,4.4774,10.302
3.6112,1.8514,2.696,4.3585,2.7752,1.9899,0.99403,3.1236,4.8172,1.084,1.4095,2.4107,4.7074,3.3206,2.3335,5.3175,2.9496,4.2991,5.1861,3.6736,6.9543,3.8261,4.4774,5.6192
13.542,10.182,5.3921,4.3585,2.7752,1.9899,0,1.0412,0,0,1.4095,1.2054,10.356,6.6412,4.667,3.1905,6.8823,5.3739,0,1.8368,2.9804,3.8261,1.791,6.5557
7.2224,3.7027,4.4934,2.6151,6.4754,6.9645,1.9881,6.2472,6.7441,5.4198,2.819,3.6161,7.5318,5.5343,8.1672,18.079,14.748,10.748,7.2605,6.4287,5.9608,5.7392,7.1639,5.6192
5.4168,5.5541,5.3921,6.9737,6.4754,7.9594,3.9761,3.1236,3.8538,6.5037,4.2286,4.8214,11.298,5.5343,9.3339,13.825,9.8319,11.823,7.2605,6.4287,5.9608,9.5653,6.2684,8.4288
16.25,13.885,18.872,19.178,16.651,16.914,10.934,13.536,9.6345,13.007,7.0476,14.464,18.83,15.496,16.334,17.016,13.765,16.122,11.409,15.613,11.922,16.261,16.119,14.985
82.155,81.46,74.591,72.352,71.229,82.579,87.475,80.173,74.185,91.052,91.619,86.786,91.323,88.549,81.672,79.762,83.571,89.206,78.828,99.186,82.458,91.827,88.653,90.844
8.1252,10.182,13.48,10.46,11.101,9.9493,9.9403,14.577,9.6345,7.5877,9.8666,13.259,13.181,8.8549,12.834,10.635,7.8655,9.673,14.521,9.1839,11.922,14.348,13.432,12.175
5.4168,6.4797,7.1894,3.4868,7.4004,3.9797,1.9881,4.1648,4.8172,3.2519,2.819,6.0268,8.4733,9.9617,8.1672,7.4444,6.8823,8.5982,8.2977,7.3471,8.9413,7.6522,9.8504,8.4288
11.736,8.3311,7.1894,6.9737,7.4004,7.9594,5.9642,5.206,3.8538,6.5037,1.4095,6.0268,12.239,7.748,9.3339,7.4444,9.8319,5.3739,9.335,11.939,11.922,9.5653,12.537,14.985
33.404,32.399,40.441,33.125,35.152,24.873,28.827,33.319,30.83,24.931,25.371,25.313,30.127,33.206,38.502,18.079,16.714,22.57,35.265,30.307,21.856,24.87,29.551,31.842
9.028,6.4797,6.2908,6.9737,6.4754,4.9746,5.9642,11.453,8.671,5.4198,7.0476,6.0268,9.4148,8.8549,5.8337,11.698,7.8655,7.5234,8.2977,6.4287,6.9543,3.8261,8.9549,7.4923
79.447,73.129,70.996,75.839,82.33,84.569,81.511,74.967,81.893,80.212,95.847,79.554,91.323,79.694,80.505,131.87,117.98,134.35,102.68,101.94,103.32,109.04,113.73,104.89
5.4168,2.777,3.5947,3.4868,2.7752,3.9797,5.9642,2.0824,5.7807,2.1679,0,2.4107,9.4148,8.8549,4.667,9.5714,11.798,7.5234,6.2233,8.2655,8.9413,6.6957,5.3729,4.6827
26.181,28.696,26.062,21.793,25.901,24.873,29.821,26.03,25.05,29.267,31.009,30.134,26.361,15.496,26.835,9.5714,21.63,6.4487,21.782,26.633,23.843,26.783,22.387,23.413
17.153,15.737,15.278,10.46,18.501,7.9594,3.9761,9.3708,12.525,6.5037,1.4095,2.4107,18.83,3.3206,15.168,4.254,6.8823,7.5234,35.265,26.633,19.869,19.131,20.596,14.985
21.667,36.101,26.96,26.151,25.901,29.848,17.893,14.577,14.452,15.175,21.143,20.491,17.888,23.244,18.668,18.079,20.647,24.72,18.67,13.776,10.928,22.957,19.701,17.794
9.028,12.034,9.8855,8.7171,11.101,11.939,8.9463,10.412,10.598,8.6716,11.276,7.2322,10.356,11.069,8.1672,9.5714,10.815,9.673,11.409,12.857,7.9478,7.6522,8.0594,9.3653
13.542,16.662,13.48,14.819,13.876,16.914,15.905,13.536,17.342,16.259,15.505,16.875,14.122,13.282,18.668,20.206,20.647,17.196,15.558,15.613,21.856,18.174,16.119,21.54
3.6112,3.7027,3.5947,3.4868,4.6253,3.9797,2.9821,5.206,5.7807,4.3358,4.2286,3.6161,4.7074,3.3206,3.5002,3.1905,3.9328,2.1496,5.1861,3.6736,4.9674,2.8696,4.4774,4.6827
1.8056,2.777,1.7974,3.4868,4.6253,1.9899,0,3.1236,0.96345,1.084,1.4095,2.4107,4.7074,2.2137,3.5002,4.254,2.9496,4.2991,2.0744,1.8368,1.9869,3.8261,4.4774,5.6192
2.7084,1.8514,1.7974,2.6151,2.7752,0.99493,1.9881,3.1236,3.8538,3.2519,1.4095,2.4107,4.7074,2.2137,3.5002,4.254,4.916,4.2991,4.1489,3.6736,3.9739,3.8261,4.4774,3.7461
2.7084,4.6284,4.4934,6.9737,5.5503,4.9746,3.9761,6.2472,1.9269,2.1679,4.2286,6.0268,7.5318,6.6412,5.8337,7.4444,6.8823,4.2991,8.2977,3.6736,4.9674,4.7826,4.4774,5.6192
112.85,124.04,111.44,104.6,107.31,111.43,74.552,84.338,93.454,63.953,98.666,84.375,102.62,126.18,129.51,76.571,63.907,77.384,100.61,95.513,75.504,99.479,99.399,90.844
92.989,104.6,80.881,88.914,93.43,84.569,120.28,108.29,101.16,106.23,105.71,106.07,96.972,78.587,82.839,107.41,110.12,118.23,90.238,105.62,102.33,93.74,83.28,85.225
27.084,26.845,26.96,31.381,28.677,29.848,25.845,26.03,26.013,28.183,25.371,26.518,32.01,30.992,30.335,30.841,35.395,31.169,31.117,25.715,25.83,31.565,31.342,29.033
32.501,31.473,27.859,26.151,26.826,29.848,33.797,33.319,27.94,27.099,42.286,33.75,29.186,37.633,33.835,32.968,24.58,27.944,33.191,32.144,33.778,28.696,29.551,29.969
5.4168,7.4054,7.1894,7.8454,6.4754,8.9543,5.9642,7.2884,6.7441,8.6716,9.8666,9.6429,6.5904,8.8549,9.3339,9.5714,7.8655,10.748,7.2605,7.3471,7.9478,6.6957,8.0594,5.6192
0.9028,1.8514,0.89868,3.4868,2.7752,0.99493,4.9702,3.1236,5.7807,6.5037,1.4095,4.8214,2.8244,2.2137,1.1667,6.3809,1.9664,5.3739,4.1489,1.8368,2.9804,2.8696,4.4774,4.6827
6.3196,6.4797,5.3921,3.4868,4.6253,4.9746,5.9642,6.2472,5.7807,3.2519,5.6381,6.0268,4.7074,6.6412,9.3339,6.3809,6.8823,5.3739,5.1861,7.3471,3.9739,5.7392,5.3729,4.6827
55.974,53.689,54.82,50.559,56.428,47.756,38.767,40.607,45.282,45.526,43.695,47.009,69.669,55.343,67.671,49.984,52.109,45.141,40.451,42.246,49.674,56.435,51.938,57.129
1.8056,6.4797,4.4934,3.4868,7.4004,6.9645,6.9582,5.206,7.7076,4.3358,4.2286,1.2054,6.5904,7.748,11.667,14.889,15.731,18.271,7.2605,7.3471,5.9608,7.6522,8.0594,4.6827
152.57,176.8,154.57,145.58,156.33,182.07,150.1,158.26,138.74,150.67,166.32,157.9,173.23,250.15,190.18,213.76,234.98,284.82,184.62,147.86,160.94,205.65,208.65,193.86
0.9028,1.8514,1.7974,1.7434,0.92505,1.9899,1.9881,2.0824,1.9269,2.1679,1.4095,1.2054,0.94148,3.3206,3.5002,5.3175,4.916,4.2991,6.2233,3.6736,4.9674,0.95653,3.5819,2.8096
9.028,10.182,10.784,9.5888,6.4754,8.9543,9.9403,9.3708,8.671,8.6716,9.8666,9.6429,8.4733,9.9617,7.0004,6.3809,7.8655,11.823,9.335,8.2655,5.9608,9.5653,12.537,13.111
2.7084,2.777,2.696,3.4868,2.7752,3.9797,0.99403,2.0824,3.8538,3.2519,5.6381,2.4107,5.6489,5.5343,5.8337,3.1905,1.9664,1.0748,4.1489,5.5104,5.9608,3.8261,4.4774,4.6827
22.57,24.068,24.264,26.151,20.351,19.899,28.827,28.113,27.94,32.519,25.371,30.134,28.244,28.778,30.335,25.524,29.496,29.019,29.042,26.633,27.817,30.609,29.551,28.096
46.043,48.135,50.326,47.944,50.878,47.756,41.749,53.101,46.245,45.526,56.381,54.241,50.84,47.595,54.837,48.921,46.21,49.44,57.047,50.512,47.687,53.566,54.625,57.129
2.7084,2.777,4.4934,6.102,2.7752,6.9645,1.9881,5.206,3.8538,3.2519,1.4095,3.6161,2.8244,2.2137,3.5002,2.127,0.98319,2.1496,3.1117,0.91839,3.9739,2.8696,3.5819,2.8096
44.237,45.358,46.731,42.714,41.627,37.807,40.755,40.607,38.538,42.274,50.743,48.214,45.191,44.274,54.837,51.048,45.227,55.888,48.749,40.409,42.719,49.739,43.879,44.017
1.8056,0.92568,2.696,0.87171,0.92505,0,0.99403,1.0412,0.96345,1.084,0,2.4107,1.883,2.2137,2.3335,5.3175,3.9328,4.2991,6.2233,3.6736,4.9674,4.7826,4.4774,2.8096
