380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
14.445,16.662,12.582,14.819,13.876,16.914,15.905,12.494,11.561,16.259,12.686,13.259,11.298,16.603,12.834,18.079,18.681,19.346,13.484,14.694,11.922,11.478,14.328,10.302
27.084,17.588,20.67,22.664,22.201,20.893,17.893,17.7,16.379,21.679,22.552,15.67,25.42,23.244,19.835,21.27,22.613,21.496,19.707,41.328,39.739,20.087,18.805,14.985
9.028,7.4054,4.4934,6.102,6.4754,6.9645,5.9642,3.1236,5.7807,4.3358,2.819,1.2054,12.239,9.9617,11.667,7.4444,5.8991,6.4487,10.372,10.102,9.9347,12.435,14.328,17.794
3.6112,1.8514,3.5947,1.7434,2.7752,2.9848,1.9881,1.0412,3.8538,1.084,1.4095,0,4.7074,4.4274,1.1667,7.4444,6.8823,6.4487,3.1117,3.6736,1.9869,2.8696,3.5819,2.8096
22.57,20.365,21.568,16.562,18.501,20.893,13.916,12.494,14.452,14.091,12.686,14.464,21.654,17.71,18.668,18.079,11.798,13.972,10.372,14.694,11.922,15.304,18.805,19.667
26.181,18.514,25.163,20.921,28.677,29.848,24.851,27.071,26.977,26.015,31.009,22.902,27.303,37.633,30.335,28.714,38.344,31.169,39.414,43.164,35.765,37.305,38.506,37.461
9.028,8.3311,8.9868,10.46,8.3255,7.9594,14.91,12.494,13.488,10.84,14.095,14.464,9.4148,8.8549,15.168,11.698,12.781,11.823,15.558,13.776,14.902,14.348,14.328,14.985
33.404,28.696,34.15,33.125,37.927,37.807,39.761,46.854,43.355,40.106,35.238,48.214,34.835,52.022,43.169,45.73,45.227,41.916,58.084,59.696,54.641,46.87,44.774,37.461
33.404,35.176,30.555,33.125,31.452,35.817,48.708,43.731,48.172,39.022,45.105,45.804,45.191,33.206,40.836,31.905,26.546,26.869,39.414,39.491,35.765,37.305,40.297,43.081
3.6112,5.5541,3.5947,6.102,5.5503,7.9594,4.9702,3.1236,4.8172,7.5877,1.4095,3.6161,7.5318,4.4274,5.8337,19.143,21.63,18.271,9.335,6.4287,6.9543,8.6088,8.0594,8.4288
20.764,21.291,19.771,14.819,24.976,26.863,27.833,26.03,26.013,26.015,25.371,24.107,24.478,29.885,26.835,27.651,33.429,30.094,28.005,30.307,29.804,27.739,25.074,26.223
4.514,4.6284,3.5947,4.3585,4.6253,5.9696,7.9523,3.1236,3.8538,6.5037,2.819,4.8214,5.6489,5.5343,4.667,10.635,5.8991,6.4487,5.1861,7.3471,8.9413,7.6522,6.2684,5.6192
1.8056,2.777,1.7974,3.4868,1.8501,1.9899,1.9881,2.0824,1.9269,3.2519,2.819,1.2054,1.883,3.3206,3.5002,5.3175,2.9496,4.2991,6.2233,1.8368,3.9739,6.6957,3.5819,2.8096
6.3196,5.5541,6.2908,3.4868,5.5503,5.9696,3.9761,4.1648,5.7807,5.4198,5.6381,7.2322,6.5904,5.5343,8.1672,4.254,4.916,5.3739,4.1489,6.4287,3.9739,7.6522,7.1639,5.6192
33.404,34.25,33.251,35.74,30.527,31.838,38.767,35.401,32.757,36.854,35.238,34.955,47.074,46.488,42.003,44.667,49.16,45.141,52.898,52.348,48.68,50.696,40.297,42.144
42.432,41.655,44.934,31.381,41.627,41.787,45.725,46.854,51.063,39.022,42.286,33.75,48.015,47.595,52.503,38.286,41.294,37.617,42.526,56.94,56.628,64.087,47.461,51.509
2.7084,1.8514,4.4934,6.9737,1.8501,0.99493,2.9821,3.1236,3.8538,2.1679,1.4095,2.4107,1.883,2.2137,2.3335,2.127,3.9328,0,3.1117,3.6736,4.9674,1.9131,5.3729,2.8096
