Plant1-Measurement A,P1-M B,P1-M C,P2-M A,P2-M B,P2-M C,P3-M A,P3-M B,P3-M C,P4-M A,P4-M B,P4-M C
2486.237675,1839.839308,1937.072622,2389.796778,2295.351421,2556.421163,3061.47533,2450.165391,2535.095589,3438.489126,3676.18372,2791.119206
11035.40031,13585.23854,11743.78304,14814.55343,13370.78506,14510.53905,15439.08694,15642.07579,18592.28483,14970.1579,17264.18406,14808.54581
45837.35698,42377.57042,44334.03306,44709.21721,42244.41179,48377.78952,61371.1073,59291.18854,46469.93577,56190.64478,76752.92299,61367.10984
23668.91061,11766.55058,12797.25797,14499.31818,7705.230592,5369.190352,8065.294187,3912.166061,4136.680616,4095.801735,4954.942702,3020.076786
14201.81684,13107.41812,11134.72269,14355.91165,13105.85881,12326.4762,10531.16852,9468.573249,9622.643349,8593.327362,11049.706,7352.85742
16943.45072,13420.61893,15479.06531,13338.68728,12898.43873,15736.69459,17920.92969,25178.02678,21819.80092,21647.60345,19333.33333,16853.2187
4005.684916,4188.587639,2424.113881,4658.677505,7248.961222,8555.373992,4015.027497,4585.262928,3542.884515,3495.976492,2039.22442,2175.152376
22538.08418,25635.50555,23195.21133,19918.26296,23120.61351,22016.58847,24819.01504,22141.03069,22197.40018,19056.90101,19200.31799,19704.91619
78007.54223,68418.34134,69560.24659,88356.12605,75001.31487,73226.03034,102670.8182,87185.5395,104944.6591,89089.27847,113128.515,90941.44475
11201.09823,11225.37431,9288.401617,12925.75455,10569.84953,14328.24292,15505.94982,15442.77686,21932.25406,13348.14346,15439.27136,15641.09565
18233.96139,18252.57071,21314.99606,20666.45561,19105.99496,19843.82985,24046.349,27220.42463,26637.00676,21572.08691,18688.48897,24547.75611
4586.78534,4580.175123,3910.589984,4053.894576,4896.262976,5092.802558,3886.277529,3804.228925,3103.979096,3108.350832,3338.801148,3619.383705
3798.993727,3765.93917,3950.869609,3278.14586,3784.870806,3817.882536,3610.136184,5215.726822,5174.895547,2176.919077,2879.407885,3146.554185
13163.78914,26989.21052,5276.191358,15079.34346,17482.34112,15450.84701,8005.639168,4226.786069,6288.268497,3934.187435,4019.47783,3723.182705
1749.813433,3286.226354,161.4072342,2322.840169,1980.463666,1209.328895,117.400128,84.13886536,192.5274754,187.5239832,0,0
135350.3855,209148.7582,101921.9136,123074.6625,99890.63646,20500.83411,62542.74854,12665.84038,17458.67453,17775.40534,17706.9255,12957.27138
35034.69653,31184.61876,35712.45791,33978.89605,36972.03455,35688.32072,31657.16122,27196.59442,17888.8812,24385.29096,22072.37888,21123.24826
2064.091675,1869.351595,1714.54485,1371.422054,1056.56679,1300.690561,2079.885424,2677.822393,1540.123832,2757.940491,3000.131546,1844.100646
3208.639053,3668.830167,3290.274449,4361.119867,3794.75517,4446.114445,3495.788567,4157.889254,3095.11607,5142.595097,5587.950775,4158.902319
13211.78686,14830.82672,12793.12623,11671.41754,11329.73079,13707.04277,11809.77989,12610.55067,11571.83645,11121.92538,9900.062047,10570.15098
63530.24756,58072.70709,70401.68709,66982.07783,72089.74795,76104.70053,80212.44139,78897.5246,90846.27142,73387.24804,66356.79718,75333.09675
112791.7377,98572.65635,114625.2984,125607.6762,101483.8454,100587.4417,132803.4893,126254.7912,135921.3531,92369.43403,105347.4631,100670.8826
22225.02904,26664.53828,31607.40515,19861.98567,22817.74751,19413.67168,16895.33055,22954.87949,21302.0207,18505.39674,15832.99099,16323.8345
514886.4775,301434.269,507582.7845,547621.1828,957488.5848,511432.6497,275548.2665,237449.6797,210982.1799,302482.7444,546904.6372,317266.4016
12357.94726,11454.37788,4674.020905,11483.4517,13058.29851,11338.92351,8197.757424,1956.090735,1586.333027,3627.808564,1238.543226,2330.394787
33619.06683,40367.73922,35231.42806,40793.56441,39500.62671,43550.07213,43720.53183,52274.215,50703.46726,39335.1493,42301.18974,47850.54649
2157.703532,2801.351199,1928.367557,2958.856999,3300.574257,2696.245914,1621.345836,1105.071857,2224.232063,2832.606853,2741.434116,2989.422851
7118.139028,7256.632215,6738.716792,6598.878961,7218.772215,8051.134749,8398.332351,8908.781043,10276.90305,6761.132351,7758.714709,7904.874067
29167.10999,29043.61435,30914.66604,21327.39684,41998.96873,21490.30546,29568.73115,23747.34978,27146.2568,13024.32331,17338.80472,16197.30123
562466.6794,559899.7537,590407.3808,550146.6266,529160.6137,488093.4344,563418.5461,605886.835,622178.5197,574155.3242,646971.2106,638945.6436
3149.928593,4675.519473,1586.976948,3597.875515,2774.242511,2060.479568,1601.029989,455.2634739,711.6151178,1453.500872,1413.932382,1108.821599
34472.01349,49138.69929,49360.85921,16160.06329,55216.9589,17410.60037,17523.30876,25791.70087,13709.46156,10516.19597,14773.49641,10357.09986
8398.892513,7148.253063,9190.846243,8586.79145,8967.371488,8968.75263,6832.59593,9195.097916,6927.054502,7035.493819,5135.018484,5468.868885
4642.698056,4173.002032,4979.304285,3667.906086,3575.883456,3944.679888,7247.099597,5520.132471,6062.33044,4474.81807,6844.357271,4183.629327
21466.87075,28532.69448,12012.29266,30649.9051,22579.77559,40414.90816,18382.77795,4407.474875,4024.207034,9991.048031,4592.811861,8958.358427
10320.99734,9320.513131,7285.153348,10138.23681,6149.083091,5362.412103,4455.455066,3343.874897,1729.331977,6646.243783,3152.407949,4694.638581
6940.742018,11567.49799,2059.888199,6797.696654,7996.937808,6204.680479,3818.055607,342.8195645,650.6440553,1753.892439,551.2948139,774.2763946
15847.95099,14496.3758,15026.44816,15576.82937,14504.09945,13952.9758,15368.85125,15857.49406,16406.74126,13506.17437,13584.79423,10841.76772
10118.8343,9516.640661,10215.52952,10413.11374,8594.459923,12457.08539,9927.794572,10137.92382,14080.87191,7431.198517,7343.849278,7448.896639
9037.499981,9969.214766,10598.69356,8221.165486,8387.881342,8135.973079,7066.277024,8896.700913,8978.583048,7330.95147,7576.242209,7972.788337
14233.92887,11908.96529,14387.80008,15338.47993,15067.64272,13443.12862,11443.81184,14179.02219,13823.29581,11974.98582,9713.590586,10377.26176
1898.577684,2219.95959,1956.036182,1606.740857,1511.744186,2127.348743,1563.572765,1644.788535,1600.791642,1536.047572,1321.997729,1471.801498
27664.5407,20397.18601,21828.06346,35884.24417,26867.62368,27455.37831,22055.63715,13786.65034,20482.75962,19639.40345,18119.76815,18522.57727
9466.163886,9738.029546,9352.041889,12912.45157,9961.26784,9741.312053,15126.73429,12285.42866,15739.97115,10798.88683,14064.99346,10576.24898
10187.05929,10407.41188,11534.6484,9529.212634,9791.184656,9628.909857,9392.264406,9854.550983,10150.38694,7456.625043,5996.48532,9339.386404
3338.414133,2883.952739,2757.921864,3256.255461,2910.9085,2751.241667,3364.12116,3191.541971,3683.008996,3490.491214,3953.233431,3649.794172
35701.59508,43647.62911,38602.06761,32050.6281,38418.27446,41070.05097,30572.94596,31578.1124,19055.78651,26958.4508,23873.49189,26883.67954
10123.37587,14840.88823,1672.962691,13457.12167,7660.794274,11458.30831,3119.808086,879.4095782,633.1690725,3284.548131,1968.805381,2094.628299
14926.19726,12816.64004,13271.04344,14252.17626,13743.42906,12937.98374,16735.34053,14971.46287,16405.42878,15641.28356,14437.20356,16514.9901
27792.50268,34448.5107,28473.4903,28290.19073,32334.62055,24481.7725,19693.54073,23787.3487,22444.47059,27169.92624,32401.9788,28844.16283
99462.95428,106302.5818,104543.8506,94925.87096,97723.62882,98634.29079,81675.6787,101215.6835,81647.37256,80544.57578,77742.03297,90673.84438
9730.422954,19802.34825,3624.133213,9358.567632,9843.835529,7612.524224,5858.953572,2417.661345,2479.481931,2908.569932,2456.648989,2350.150976
8084.999585,8400.93175,7478.50879,10608.00822,8958.419478,9190.201308,15547.01644,9234.449991,10207.75511,14456.95002,13315.12319,11250.19816
4367.198749,3447.824145,3721.216797,4723.553916,3168.146685,4696.484479,7085.891338,4957.869951,6335.42476,7252.086946,6451.339272,4820.328933
35189.90883,61138.41658,12461.82134,39482.7375,39512.76504,32339.19781,22784.86104,8081.110712,9364.002985,11734.69875,9954.312661,8885.294252
3711.879771,8120.130128,1750.305406,8020.581479,4967.108075,4242.051421,1962.37037,1045.473556,1516.857216,2646.291545,2191.979707,1847.605689
44143.2177,32436.01026,31529.11135,37746.32274,36506.7412,38394.88897,53429.60511,44917.74625,56473.78028,63006.29178,57508.05517,40628.85883
3082.320016,3738.622424,1456.094203,3503.854792,3813.699634,2330.450646,1015.858433,559.8574995,197.601528,1529.071279,230.8143148,1189.823285
80180.81227,85628.53504,72023.67508,96387.49369,99971.30927,96490.7053,69110.57993,54050.06608,39569.05909,75828.77334,44594.69062,73672.57155
26155.52726,23555.39752,26561.45404,23604.51563,23126.29845,25057.21171,30399.24042,27871.14898,37474.49054,19208.57483,24699.80476,25082.07152
1803.784173,1289.918111,1628.93061,1226.858077,1695.03698,2246.192972,1801.924942,1636.964585,2017.997546,1173.510742,1011.193499,1009.074223
34272.31429,35564.33201,35905.11719,29514.83434,30999.08248,40758.83591,42866.35532,48073.56903,46539.94857,37765.82385,39411.64999,31487.01302
4595.311687,3238.505161,3565.36598,3679.133588,2529.032481,1887.03176,2670.993658,1228.800094,2440.800992,1546.585924,1393.943617,1831.572422
16576.51634,17696.59268,16597.25611,22262.93247,20342.73508,19214.78448,23734.36948,19735.26384,17576.17838,24258.12118,23442.20336,20608.71034
2703.085858,3270.865757,3136.929273,2918.398369,3137.118933,2921.546186,3045.896894,3355.591587,3576.648185,3624.701963,3484.10684,3713.620872
55626.52126,117651.0198,21161.29469,74510.24309,66304.48299,67510.81419,36547.58397,14490.33804,6417.794543,20207.89347,17198.70491,9693.843462
2362.222436,2358.063682,2073.794301,2345.141339,1906.506298,1966.58602,4212.610692,3258.294279,3860.606554,2110.278355,4363.33938,2457.131765
26512.62145,53591.92936,14370.98816,44375.28435,50580.55467,48973.58287,27952.6306,2903.422521,5039.339595,10433.55214,6389.342909,13242.35643
10962.21276,16410.70522,2181.506923,16988.10722,13575.86713,10909.36865,4720.967074,300.5984191,292.6461644,2720.120818,227.4711274,1417.431568
4814.845341,6151.871068,1702.523218,4774.434927,3750.995506,4715.561945,2483.742546,192.5432419,241.2205897,1398.856922,237.8400814,884.0077168
42085.81322,46034.20852,43574.35266,50781.44247,49600.49045,51639.53658,32991.15643,39949.66396,42514.19829,32847.58629,42614.61085,42719.94207
7011.930713,5913.030412,6924.380188,5971.304696,6409.96945,7877.147949,11048.01971,7510.070547,9016.625092,8003.341202,9561.591485,8815.526039
13332.04789,19583.39516,2007.239373,15180.533,12139.82936,9779.047195,5947.378763,579.1771969,647.1555459,1066.975707,2378.311382,1137.683219
43170.44553,46578.22845,54853.6955,46877.33883,42111.24798,42189.71696,41659.19357,41579.59412,49523.69856,34731.91226,39602.55196,35576.03031
59251.64653,53485.32373,61931.57161,53160.9238,53014.17464,57523.67189,53438.2485,60596.72329,70788.08238,45830.01296,50530.98412,46870.35005
10202.5638,9732.140013,8962.987803,10173.61776,10380.02434,11727.4367,11642.77952,10606.72009,11980.81924,10870.22573,13325.70464,12145.21433
494.8057065,563.3361658,503.997648,612.2084016,512.7944521,515.7210421,571.5998033,703.5231604,688.8249605,951.4389437,616.1729441,728.7676458
70040.16454,76083.53439,75265.47104,64022.5781,71845.52079,72018.98357,73986.87605,94915.94092,81151.27043,67445.71933,68888.66832,62655.81217
9529.427027,9021.555336,10409.7703,9670.305951,8826.214942,10331.57492,11681.22295,10354.13269,9832.027683,11173.76452,11570.24478,11860.69926
416400.6646,395164.3423,465628.6965,361894.3489,405229.7571,428083.6679,419101.8945,414142.5462,469721.1645,361231.5941,359527.9492,354813.1576
54774.05193,53284.86938,48970.49368,56874.8178,57372.51809,60418.23343,68694.0433,49823.24781,56013.68685,62624.54006,84814.27299,74028.49175
15185.3817,23599.8146,7904.537968,17829.12549,20150.2118,20202.08512,14180.22267,3144.523711,2091.69729,7711.408333,3363.265467,3182.288718
301977.2822,307186.992,290903.0335,301948.158,284501.1432,296232.4527,297198.7921,306689.789,298429.6385,248394.4472,233205.0316,291615.0495
3116.238196,7107.207024,1889.174007,3644.005985,5140.849828,4955.985671,2188.754439,1847.567724,659.0948443,1129.251756,429.4505674,1815.161768
7694.599731,7935.628824,6312.60897,7847.027489,7757.294286,8504.469871,8788.11478,8465.561697,9671.392611,8681.937474,9255.078869,8512.974924
13968.02504,12789.78018,13520.45161,15173.03047,12593.89753,15344.37509,19792.97686,15453.34525,14788.60481,17955.93877,21115.59677,16518.66021
24370.28894,23527.22747,17235.43035,30620.6832,26170.21886,26697.05482,20082.16565,7438.295973,13064.09047,17838.78338,15829.38375,19423.9094
119188.8744,130543.3328,138540.3116,125227.964,128850.0845,134732.5961,153765.4279,142806.0056,147185.6755,133175.3984,149000.3831,151873.8364
493021.9705,511572.0305,559076.3673,428722.5287,498105.5652,414604.6163,497877.632,515822.5379,551872.9217,522302.2714,528297.1412,517720.8226
3789.773007,2716.098201,3543.662411,2461.86721,4238.006358,3277.012437,2702.554824,2799.481916,2391.507305,2238.922297,1440.025529,2193.575719
69422.06833,51814.20232,77403.0835,114088.9151,88187.06549,86818.88788,69997.92875,35351.15371,30828.25705,118527.8557,69523.91332,72644.09985
79952.48984,72525.70343,69536.86293,88699.99256,64249.7787,66061.33604,82596.41591,74877.88045,80039.96146,94124.14934,121085.9228,90694.31606
17202.10379,18518.80731,18857.74971,18279.23732,18294.36367,18797.01548,18788.09817,17518.37943,20670.34251,15737.67893,17006.09846,16437.34099
15174.6824,19025.25169,13682.45215,23709.86463,19459.25729,17568.69478,16996.08793,16208.52652,17763.95608,19640.42267,24309.41305,23025.566
6218.18986,6011.542117,6225.007486,5868.918352,6860.54018,5836.928334,7657.632039,5969.540625,6824.410023,9547.742029,12204.02404,6931.153344
17504.06451,19222.75615,17528.64659,22434.7675,19943.783,22914.20811,15890.63445,14658.49831,8345.783261,14487.40854,11693.10341,16989.21038
55921.60076,59073.49376,58311.89601,54377.59218,57092.3601,66629.46688,58179.69951,51668.30078,37250.35792,45763.95623,38878.24465,41388.86989
61626.74463,56556.85696,58620.98211,60847.52753,56551.62565,60551.09449,63625.58322,63495.52757,65327.9686,58502.15202,61074.47217,57740.4357
168963.3596,100688.5923,150833.9826,212357.5377,183122.6858,156003.0507,135095.3532,95301.78625,87485.47805,132976.6326,110815.4557,111054.1319
7764.934375,8024.36626,8969.822032,7419.033694,8012.867132,7822.229987,7982.359586,9042.020231,7998.535313,7241.708813,7255.776448,7106.842724
8044.912888,7193.227679,7333.137416,6677.987292,6230.88248,6178.523785,6786.288759,7198.035463,6087.904191,6880.194869,7068.191574,6600.340931
13467.0575,14354.41305,12145.15467,10933.69833,11740.82201,12846.20121,11848.07738,14407.20335,13058.93035,11744.09826,10162.48344,9461.941193
14410.55674,11953.35474,12572.71015,12715.19997,16030.7704,13552.45539,20089.2343,16090.63144,14789.99231,16383.03583,16579.57332,17857.75001
7785.078338,9002.852648,7597.523083,9258.264391,8249.57424,9619.006417,7367.940287,7286.096101,5742.990481,7739.552745,9783.502073,9821.205821
10453.31415,8405.800669,10526.60048,8546.331921,8875.40402,8576.740339,8084.902281,7942.46349,5348.948601,7094.372127,7103.04742,7196.573414
29560.08911,43707.11099,15255.97535,27885.31147,24650.79246,17120.49859,17139.38934,8447.457422,8871.738512,13144.81738,15248.59251,9331.446178
7067.439195,6784.287188,6242.286697,9780.720855,7708.155669,7717.253714,5581.974765,6377.742479,7617.267824,7431.952439,9671.745758,9827.797476
2119.850418,2012.072365,1612.09806,2300.643347,1646.64825,2320.783885,2224.208838,2533.552706,2180.014889,1561.375476,1745.897506,1327.335498
11392.02321,15134.97233,15034.60622,9901.101228,11168.5039,12254.83632,13725.05165,15618.83367,19673.52843,12799.5471,11818.35929,12898.77786
7062.496763,6512.875741,5713.508998,6359.72406,5811.511782,6504.095673,5791.343341,4817.729084,4238.24504,6038.79501,5960.590281,5595.925479
21067.13079,32036.43654,13511.68941,23220.64177,30972.4369,29754.56304,17715.83447,9400.476665,10081.86784,16344.25436,7451.858267,14524.29418
9103.911489,9616.2015,10352.69165,10172.68746,9200.4482,9082.538836,13131.06779,10582.93302,13482.23417,9593.743216,12517.35624,10896.56655
38490.99201,38071.97623,28898.91006,34992.97443,32746.96397,35379.53808,40343.37152,41067.6521,33350.69976,30784.40781,27595.25903,22062.44405
11506.48293,9189.729576,12355.02622,10881.58679,10844.10803,9380.890561,8288.527347,9996.307842,9750.562774,8710.435117,8408.107067,7494.321034
13013.8452,12107.13683,12564.90665,14465.966,12098.57608,14839.02261,12227.77721,15409.20633,18802.31782,11798.72629,9760.301508,10403.99879
110057.9817,136744.7736,111986.6849,101974.737,100269.7574,76008.74264,129083.5222,106083.993,145690.5262,145495.6264,118846.8617,134366.1347
18553.90499,18007.24658,20795.31063,21953.35117,22987.39417,17337.11289,16791.97962,18450.49276,23822.73516,14545.60584,15388.30627,14648.7005
5603.15958,4894.318759,4835.932321,4831.795849,4299.306478,4887.945626,6091.55723,5549.009262,7931.61397,4206.708387,4990.639476,5416.920741
2573.457126,2985.235794,1639.806408,2346.88456,2957.835694,3376.261597,2276.099691,2256.329889,1299.890593,1648.491903,694.037908,1391.478555
12840.23392,11879.50433,13204.86881,14443.74598,13883.18964,11802.87586,10534.96013,11763.42284,10930.64045,10386.54077,10363.60104,12367.65576
5605.274862,5315.533515,6132.45713,5602.260866,7952.478411,6370.131442,7427.370271,7160.425358,8291.813138,5433.016687,6320.73215,6277.382368
10161.18707,13652.94854,11256.33853,10382.21865,8755.403888,12006.86027,13740.29929,14458.5491,15401.38033,12294.74862,13026.32817,10665.96567
1005.96802,1700.274538,1632.094127,1507.767473,1649.885901,2561.820301,1179.982643,1215.546524,1219.337235,2079.018926,1814.287619,2219.520704
1992.772983,1353.085635,1264.805578,1282.651382,793.7365615,707.4009966,1123.59452,710.4550388,765.4400585,875.765095,458.9972541,789.835425
7233.498138,8261.563454,6699.928037,5166.393495,5607.62321,5770.015842,6611.410899,5899.160085,7366.532738,6788.18904,9067.514556,6575.921722
5445.679186,4023.536251,3452.806882,3638.289328,2676.85326,3490.32349,4641.440014,4229.27597,3651.863747,6775.761877,5611.534293,4388.891107
1845.855558,1540.980149,1246.902276,1483.170493,1685.970623,1306.289431,2160.715272,1891.965576,2104.058798,1144.168441,1603.791167,1469.690914
51311.78223,52130.92367,47160.79732,55815.73548,50048.0373,56090.29453,62300.90466,58373.87311,57054.94381,56111.99183,66947.90132,55477.0574
28434.0607,27523.13908,28069.76976,29445.9575,26567.46727,34563.35551,34434.75224,37705.98096,52195.67034,29040.99079,33196.13594,37862.8286
19715.74696,15727.50443,15751.73027,15561.48462,18979.22904,19641.62678,16625.05369,15168.54845,14302.48013,15714.94267,11448.74555,11307.875
1769.84572,2440.916929,2574.006299,2365.851328,1971.431196,3440.052686,1859.70232,1110.7145,1362.76302,1818.483824,1225.659762,1763.959257
13408.97783,11981.20887,10929.58452,13466.188,12498.3204,14239.31554,14240.43654,14098.6395,18377.57213,16828.99633,21557.11504,14369.32743
4642.431099,4316.5232,3861.83409,4420.323222,3703.350303,4042.064507,5329.325082,5382.995572,4646.978949,5633.028008,7407.075101,4556.104904
9525.579765,8501.17308,8512.936521,8212.444417,8863.410771,10067.44628,7716.636449,7370.487951,8728.792343,7840.211868,7166.840472,7479.277986
7887.96564,8125.179867,7752.139438,7344.599011,6279.27079,8384.771564,7894.938772,7098.738921,9238.376182,6864.323025,4805.802245,5922.981522
12207.50367,14133.08661,16675.88455,12761.82798,15625.06755,13569.95441,18310.08824,18565.41855,14803.32202,17772.60366,26291.56121,18036.12267
22761.60886,18404.04175,17943.30294,20352.63584,20297.02003,27305.34192,27330.29975,25989.53945,38412.80874,22080.83121,24385.71892,27594.73912
59711.14974,49848.23886,59797.97833,55873.10768,54454.14192,48619.86177,55854.70267,29585.83251,46439.34438,36173.93416,29526.45443,40413.11704
25948.10333,24664.80385,26917.0789,21935.06685,24862.24901,28802.401,24802.93667,25632.76088,30854.53467,20342.29018,21519.90031,21723.2404
11921.58708,14538.85543,14003.19097,13589.32329,14540.08536,10774.11841,10424.22892,11168.57896,9598.586119,13758.98697,12168.54548,13928.22867
22091.14405,23057.13037,22236.48937,21878.03898,19742.76478,18175.4351,17323.62314,19581.74205,23152.54021,17678.83573,14186.68964,18345.66805
53738.4628,43052.37217,48487.15577,47248.26074,50834.114,46411.10203,38855.07969,40749.20135,26305.89417,44515.75836,35180.92477,37699.59982
8713.778799,11561.76004,9801.300433,7972.356406,9733.613752,13288.6801,9123.615799,8708.965595,6491.970648,6237.694721,5209.058378,7728.146019
69628.68804,69259.22619,65266.94634,68106.48856,69457.34783,65228.85175,83939.87336,72093.38895,76185.10992,72789.45871,81854.40179,70001.92764
12642.82178,13286.7706,11694.11465,14306.71837,11766.8979,11501.62925,19748.11745,13471.92288,22296.898,16766.52697,20901.67377,13949.94988
187524.3347,207696.4367,184884.0562,197202.366,204967.5505,200049.5572,214899.151,215820.2752,278687.7331,214285.1545,245652.1625,230936.2425
2542.216608,3336.317801,3441.673404,5338.472536,3675.622659,3903.768994,3891.381995,2911.991752,4096.744753,4065.226856,7994.632749,5406.213989
76912.47639,74975.92204,83814.98561,85934.71299,79421.9088,78321.06688,85043.66594,113047.8948,89898.60158,66191.80881,81100.54858,75121.82415
