TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
5337622.419,4069935.729,60641756.7,56462581.38,10802877.59,11832941.63,54144813.53,55152205.92,27187350.93,27674293.53
414846.273,384785.6055,5115513.392,4911171.315,925138.9043,1038992.321,4508286.504,4857864.434,2291538.527,2346985.871
1762890.825,1917080.905,22023668.97,22163517.68,3639255.73,5397402.441,19964466.93,21905485.02,9948860.981,11089190.65
824997.7262,938148.9255,9357833.153,9380851.282,1746393.019,2469763.559,8246971.111,8991487.529,4141276.87,5584506.578
7416611.052,6341740.743,86026102.3,85990980.63,13923287.98,19005476.73,75669030.09,83157514.28,38799968.46,43669406.84
140480.6272,116872.6638,1626175.954,1464755.287,278099.8274,333563.9206,1421709.694,1370528.157,712422.3188,705016.8224
214387560.7,142187067.5,2421447516,2262373990,397684470.6,440904221.3,2170656111,2219776763,1071911179,1096455155
57980.60719,58437.39629,733122.2588,694681.5795,124954.9926,148410.3881,667617.1578,723747.9777,320592.8076,351893.3545
976106.778,823479.3949,11207340.84,10983194.3,2077985.403,2278005.832,10164815.66,10945427.52,5201535.796,5495004.35
2692855.271,3167337.435,29781798.12,34780645.59,4732474.616,8717214.932,26634662.57,32849603.25,13190621,19608531.17
347279.5864,270447.6729,3929725.034,4008598.861,733023.8648,852185.8447,3678012.613,3932170.663,1779828.326,1968804.839
65179.7912,61165.98113,820420.4492,801891.125,161457.4344,180027.9016,767813.9824,791706.0223,375059.0224,417171.3962
175343.9383,171459.4845,1796748.971,1881314.234,333272.0303,416243.401,1634829.25,1802600.103,807794.6976,929058.2875
1492320.694,1280221.836,16854838.23,16540166.52,2879553.792,3489527.846,15190790.28,16206943.67,7580507.211,8128505.607
129746.4781,122195.8966,1610423.375,1559800.933,282641.3493,343783.5204,1509349.655,1640827.839,741976.5817,778081.4393
54935129.86,53207433.41,651804654.1,702618324.7,109245578.5,159071030.4,570100438.8,679164386.3,285362495,366501211.2
500962.2675,476874.5393,5976793.359,5862228.515,1049139.267,1271279.872,5433939.861,5859600,2784750.368,2917679.507
41062969.55,28710800.03,486044986.6,465228482.2,85392525.69,91876723.38,429773829.6,455402471.9,220538231.1,231115921.6
103457.0048,102481.0045,1187464.228,1190199.798,226676.3144,272742.921,1083476.26,1202635.162,568351.7765,624744.492
838487.7846,725664.8873,9871307.123,9425182.167,1822602.342,2157258.1,8817487.385,9256121.807,4449542.034,4606077.446
36667.90445,36325.65262,385406.9395,373482.3294,50522.89581,90797.58014,347773.1425,378900.2402,174496.0566,193675.3671
584931.8749,443672.2025,5631419.423,5788922.72,989425.8557,1275664.997,5133420.649,5760645.241,2632266.562,2908072.952
2068533.566,1584704.622,22570025.88,23197411.63,4070776,4638543.505,19707609.9,21347060.76,9527761.795,11139114.33
283319.1425,235593.6744,3194415.811,3184821.227,653555.8565,709770.7103,2928675.076,3194514.502,1476708.887,1590512.637
3892405.186,2756419.531,45559291.33,43496276.53,8263619.542,8647235.955,41503913.76,43525065.35,20430433.45,20678737.32
72921.39354,75020.32449,765905.7221,761246.8714,161403.6979,173397.3948,794483.0567,877431.3108,407434.8976,308220.9053
2250326.61,2071772.661,26012241.95,25981547.22,4649791.187,5500869.034,22225141.97,25503049.82,11009914.27,12545100.35
11345418.19,8576728.486,132321109.6,127892562.5,23966048.79,25066990.71,117086938.7,121267577.3,58207631.91,63116001.56
36583955.23,20776167.57,411493410.9,373674372.4,69921086.32,63555459.17,356055072.1,353559361.4,182134487.1,175919222.2
38064.47239,30878.77437,414212.0708,392877.8089,82983.64702,92095.66654,393499.0235,441961.0192,196165.5268,219748.6882
302943.8795,523980.3655,3729963.67,4518479.703,628477.4401,1332709.994,3408304.396,4024003.21,1607425.177,2939268.732
901208.6973,886555.9558,10818106,11137559.78,2007976.899,2537137.099,9900255.999,11113410.71,4902996.896,5548531.454
887065.9969,709869.2498,10133864.91,9906106.222,1773595.512,2101550.195,9092347.185,9855286.327,4484080.166,4908382.547
10214504.33,8772778.505,121505065.4,120959920.6,21919077.67,26300239,101036791.1,112803037.3,52349175.19,59499700.83
559743.7334,466901.205,6341960.984,6065391.433,1114654.756,1229539.765,5668621.329,5840391.961,2782357.736,3055759.188
155114.056,131885.2294,1869267.596,1939339.359,338383.4246,425707.722,1626013.926,1887573.25,860945.4645,969160.1448
3148007.985,1519830.128,31620346.31,28954155.22,5512840.723,5681650.03,25513826.29,24651957.79,12940279.64,12787468.61
88842.33083,95027.7306,1035867.269,983254.4472,168741.4922,227951.0252,932493.5611,1003085.639,434520.7803,484490.5104
325164.0809,288608.3171,3742477.889,3453748.769,661647.4638,760491.5607,3306966.883,3391411.402,1703627.502,1821122.788
666205.3035,538250.7458,8189395.081,8485127.937,1588277.621,1615399.734,7720461.97,8212284.893,3525703.844,4134081.802
188256.8591,216683.4755,2603635.076,2730091.645,483355.2277,595700.7408,2384947.509,2682828.288,1195052.16,1322427.582
