Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
2377100000,1387500000,989590000,2289400000,1303600000,985780000,1835700000,1021700000,813990000
261650000,119310000,142340000,343890000,191970000,151930000,250710000,142390000,108320000
121740000,56071000,65672000,72820000,44005000,28815000,110910000,66701000,44207000
639960000,297080000,342880000,1762700000,1386800000,375930000,889350000,361050000,528300000
397950000,216930000,181020000,351220000,201970000,149250000,371440000,198200000,173230000
12499000000,8131300000,4367300000,12450000000,8274000000,4175900000,9441400000,6207000000,3234300000
3767200000,2868600000,898570000,3664600000,2856900000,807710000,2984700000,2371100000,613630000
15291000000,10303000000,4987200000,13991000000,9209900000,4781300000,11349000000,7329200000,4019900000
373240000,258690000,114550000,420540000,278450000,142090000,318400000,209240000,109160000
1353600000,940860000,412750000,1259100000,849450000,409620000,909160000,609950000,299210000
6899500000,4156400000,2743100000,6621700000,3837100000,2784600000,5078900000,2975500000,2103400000
185230000,116640000,68590000,225670000,147020000,78651000,347910000,173610000,174290000
16299000000,9855700000,6443200000,17327000000,10853000000,6474600000,16143000000,10309000000,5833700000
947200000,613990000,333200000,952170000,651870000,300300000,456940000,309500000,147440000
393970000,274850000,119120000,124010000,97889000,26123000,168490000,111930000,56560000
1716000000,957600000,758360000,1612000000,871000000,740960000,1388000000,775440000,612510000
515060000,354000000,161060000,799200000,500590000,298610000,539520000,299320000,240200000
455470000,438460000,17015000,815470000,736600000,78863000,336320000,312140000,24186000
1065100000,639570000,425520000,1661400000,992850000,668570000,989030000,635210000,353820000
605140000,384080000,221050000,1903500000,609670000,1293900000,564390000,368520000,195870000
376340000,232030000,144310000,269690000,161250000,108440000,328430000,214950000,113490000
3246500000,2127400000,1119100000,2883100000,1990200000,892960000,2908600000,2034200000,874370000
6183300000,3476300000,2707000000,5267900000,2838000000,2429900000,4136100000,2181300000,1954800000
74420000,42953000,31467000,208360000,137930000,70424000,227950000,166680000,61273000
158250000,100750000,57498000,156880000,108380000,48499000,126970000,79686000,47285000
276360000,195220000,81135000,397180000,232860000,164320000,293420000,177580000,115840000
299250000,160840000,138410000,329040000,227510000,101530000,117730000,82909000,34822000
11883000000,6858900000,5024500000,588400000,384060000,204340000,527050000,331740000,195310000
344290000,251080000,93211000,401260000,251300000,149960000,324570000,202580000,121980000
4144100000,2474900000,1669200000,5967100000,3552200000,2414800000,7790100000,4669700000,3120400000
5.5105E+11,3.2156E+11,2.2949E+11,7.5259E+11,4.3515E+11,3.1744E+11,5.837E+11,3.4036E+11,2.4334E+11
668520000,458100000,210420000,921920000,681170000,240750000,1289300000,989060000,300250000
6198800000,3915900000,2282900000,3952100000,2325200000,1627000000,3603200000,2187400000,1415800000
20539000000,12307000000,8231900000,18163000000,10937000000,7225500000,18067000000,10810000000,7256600000
121980000,75566000,46413000,70990000,46969000,24021000,56736000,38489000,18247000
3592000000,2358600000,1233400000,2719700000,1883200000,836480000,2551000000,1783000000,768010000
59275000,42697000,16577000,156140000,100950000,55191000,72103000,55689000,16413000
2892800000,1759600000,1133200000,3787500000,2002100000,1785400000,2694900000,1660700000,1034200000
4575400000,2847500000,1727900000,3867600000,2457600000,1410100000,3627000000,2225600000,1401400000
16590000,13163000,3427200,24143000,24143000,0,17612000,12051000,5560100
45959000,21322000,24637000,120320000,71106000,49214000,65677000,16290000,49386000
26339000,15137000,11202000,94473000,50536000,43938000,48519000,27143000,21376000
205350000,124000000,81348000,105390000,53258000,52132000,27522000,16107000,11414000
28040000,10531000,17509000,67956000,28024000,39932000,80367000,40130000,40237000
0,0,0,66364000,33969000,32395000,98125000,62273000,35852000
