Intensity,Intensity L,Intensity H
5388700,2818200,2570500
2711200,1836300,874820
8453300,3520900,4932400
14226000,5411500,8814800
22695000,13583000,9112800
4847900,854610,3993300
14017000,3181300,10836000
11048000,3115000,7932800
7035700,3762500,3273300
8994300,4840800,4153500
4316500,2251000,2065500
11282000,3375100,7906600
12291000,6664000,5627100
3941700,450120,3491500
10389000,3826900,6562000
6769100,2171100,4598000
2312100,786610,1525400
10724000,716650,10007000
4193100,1194300,2998800
4190400,1642100,2548300
6299900,3131500,3168400
7358900,1282300,6076600
5169000,2356800,2812200
8096600,4315200,3781500
16794000,7814000,8980200
11167000,5384600,5782500
3134800,1067700,2067100
10349000,4156200,6192800
3580800,1236900,2343900
21482000,9196500,12285000
5400600,4103000,1297600
2335800,1724200,611640
10962000,2697300,8265000
15165000,10921000,4243900
8578600,6185000,2393600
16390000,10972000,5418200
10029000,5805200,4224200
90984000,62580000,28404000
21628000,14700000,6928700
15560000,11531000,4028800
6845000,4377000,2468000
15349000,10023000,5326100
5160200,3912500,1247700
34040000,19482000,14558000
11935000,7652800,4282500
5904000,3537700,2366300
22458000,13891000,8566200
24347000,16842000,7505100
29032000,17821000,11211000
17366000,10296000,7070300
9442000,6060800,3381200
7483600,6944500,539100
4949300,2852500,2096800
6537300,3656400,2880900
4646500,2578600,2067900
4269400,2635800,1633700
2086700,1182200,904450
3480300,1823400,1656900
9197400,5492300,3705000
5303700,3777500,1526200
13628000,8257500,5370200
5807400,3712300,2095100
29964000,15280000,14685000
14732000,7467300,7264600
19310000,8247900,11062000
4316700,2020800,2295800
18481000,9067000,9414400
207630000,204910000,2719900
52567000,51357000,1210400
6875800,4971700,1904100
1827400000,1826300000,1125400
7272000,6294100,977870
39143000,38129000,1014300
39877000,37350000,2526800
3252900,2694400,558480
17498000,17277000,221230
8573400,6917300,1656100
5317600,5208200,109380
2735500,2141900,593620
9497100,8237700,1259400
19295000,7667300,11628000
14619000,1242800,13376000
46687000,1734000,44953000
6544100,700980,5843100
23970000,6677500,17293000
16117000,3779500,12338000
9232400,755390,8477000
14657000,71035,14586000
11631000,60712,11570000
11958000,490610,11467000
45925000,2680100,43245000
10180000,461500,9718200
18707000,919360,17788000
42459000,3179700,39279000
3684800,115950,3568900
4139400,172240,3967200
3645300,137360,3507900
26959000,1031200,25927000
82822000,16570000,66252000
18206000,6965600,11240000
36224000,381890,35842000
6222700,1639100,4583600
29661000,2050200,27611000
19510000,942270,18568000
89033000,1305800,87727000
21983000,1279700,20703000
25330000,1217500,24113000
91420000,4738400,86682000
49803000,2690100,47112000
29177000,3638700,25538000
9247000,231090,9015900
11004000,3185300,7818300
991990000,7220400,984770000
16951000,720340,16231000
19190000,597560,18593000
10776000,982280,9793600
7850900,288460,7562400
55613000,3682600,51930000
73409000,2990000,70419000
45024000,806810,44217000
10665000,73008,10592000
32359000,656260,31703000
49963000,10278000,39685000
3032300,477810,2554500
15320000,682350,14637000
8784700,2794200,5990500
11030000,369000,10661000
5873300,549170,5324100
18553000,1996800,16556000
10176000,1344900,8830600
11228000,1171300,10057000
27392000,1631000,25761000
17450000,193130,17257000
38163000,229160,37934000
15701000,740410,14961000
19371000,1175900,18195000
9535100,244330,9290800
20711000,1718500,18992000
12946000,2593300,10353000
5822200,426550,5395600
27169000,3677800,23492000
24442000,916350,23526000
132830000,3937700,128890000
15985000,773210,15212000
7586700,838130,6748600
6487200,1025600,5461500
19336000,1110700,18225000
4645100,398330,4246700
11208000,1331500,9876300
23494000,3316100,20178000
28743000,5377600,23365000
19947000,2750500,17196000
17913000,1273100,16640000
13505000,609980,12895000
92279000,564820,91714000
18100000,2475300,15625000
8083200,661180,7422000
8872600,488940,8383600
2576800,266670,2310200
23815000,2636600,21178000
22860000,3041400,19818000
11593000,358040,11235000
19544000,1568500,17976000
3322000,755580,2566400
11166000,462960,10703000
323730000,2666400,321060000
32276000,2846600,29430000
8233100,540880,7692300
32967000,1146200,31821000
78845000,680310,78165000
35466000,601470,34864000
41567000,2940000,38627000
719400000,2252900,717150000
15529000,508570,15021000
46634000,1086300,45548000
8468900,1987400,6481600
4709300,260200,4449100
53613000,2704500,50909000
17829000,1061300,16768000
31411000,1434900,29976000
16335000,4203900,12131000
19406000,2724500,16681000
9020900,8029400,991540
13316000,1703500,11613000
30044000,4706700,25337000
49101000,673240,48428000
7352200,796710,6555400
24494000,1954000,22541000
11400000,251680,11148000
6959100,825680,6133400
6659900,686700,5973200
7171800,646320,6525500
8425500,808500,7617000
12114000,1371000,10743000
8542000,842000,7700000
8338100,175480,8162600
5359000,325930,5033100
22334000,1758900,20575000
8387200,603040,7784100
16534000,413990,16120000
5173600,519510,4654100
3156600,236080,2920500
5054200,1467100,3587100
18185000,3764800,14420000
36474000,940300,35534000
13412000,1247600,12164000
7563000,1535100,6027800
11056000,471830,10584000
2629800,121120,2508700
40487000,1951100,38536000
5727600,1298600,4429000
24548000,4022900,20525000
10331000,1265800,9064800
10195000,341670,9853400
26133000,1361700,24772000
19888000,3216300,16671000
139350000,8350300,1.31E+08
18216000,1316900,16899000
5766300,205920,5560400
13936000,651980,13284000
9558600,725830,8832800
11943000,918850,11024000
5840700,807020,5033700
3447500,139290,3308200
12570000,587840,11982000
20945000,2378000,18567000
7777900,2414300,5363600
7732700,7052900,679850
4667400,3995900,671510
11342000,7396300,3946000
4839700,4167000,672690
1671600,1490900,180740
24529000,19437000,5091600
6503800,5575800,928000
34185000,25577000,8608100
37500000,30153000,7346600
8659000,6057800,2601200
37020000,27892000,9127600
24293000,19352000,4940900
9358500,7295700,2062800
9819600,6390900,3428700
14190000,9854300,4335300
3556300,2646700,909550
16226000,9836100,6389600
18014000,12879000,5134900
5048300,3690700,1357600
3263800,2319600,944170
7059000,2614400,4444600
6382100,2674400,3707800
11086000,6193100,4893200
18765000,4931000,13834000
9165400,3592300,5573000
8203200,3533400,4669700
6715300,3382800,3332500
13272000,7038800,6233300
8847700,5560000,3287700
13769000,8823800,4945200
10894000,7447700,3446300
11422000,6409700,5012700
9103500,5917500,3186000
6483200,3065400,3417800
6216300,3166400,3049900
5310500,2388500,2921900
8301400,5781000,2520500
13614000,10273000,3340800
12714000,2407300,10307000
7361100,1674100,5687000
5908900,3055200,2853700
27867000,14348000,13520000
17329000,9955500,7373600
5008800,2886400,2122300
5822900,2567600,3255400
1111100,611470,499640
2757600,1523000,1234600
25247000,11908000,13339000
12364000,11935000,429570
4368800,3874300,494470
76420000,39248000,37171000
10478000,5422400,5055700
7417900,3999500,3418400
16084000,7708800,8375600
19552000,10440000,9112400
54502000,28735000,25767000
8626300,5374200,3252100
15801000,9169100,6631900
90434000,46799000,43635000
2226800,928290,1298500
25280000,13041000,12239000
17078000,8908500,8169400
15734000,9070800,6663400
46175000,23587000,22589000
3028600,1546800,1481800
22528000,12166000,10362000
2863100,1336600,1526400
7253900,2377900,4876000
6997300,2781100,4216200
4824400,1233400,3591000
13028000,3327300,9700700
7446900,2033900,5413000
6992800,2241500,4751300
11196000,3269500,7926400
6580000,1326800,5253200
11492000,2718400,8773400
6151300,2152800,3998500
19009000,3651800,15357000
4810900,1098300,3712600
15727000,8802200,6924400
17406000,9147200,8259100
3901400,1805800,2095600
76466000,12650000,63816000
23633000,13142000,10492000
7096300,3178100,3918200
16854000,8889300,7964400
8106100,6160200,1945900
7017200,5655700,1361400
10187000,8121100,2065600
5710300,3857300,1853000
13027000,10187000,2840400
8219900,6940100,1279700
60137000,45205000,14932000
9650800,6889100,2761700
24750000,17869000,6881300
6642300,3183100,3459200
6985900,5142300,1843600
26688000,20109000,6579100
7159900,6033700,1126200
9187700,7339700,1848000
1905400,737660,1167700
14921000,5288200,9632600
3738700,1984600,1754000
8181700,4097200,4084400
23943000,12021000,11922000
37587000,16560000,21027000
38497000,22803000,15694000
12439000,6106700,6332500
11135000,4784500,6350200
6508100,3005800,3502300
26605000,12255000,14350000
13971000,7239200,6732000
29672000,11762000,17909000
17664000,7549200,10115000
17579000,8796700,8782400
12763000,6644400,6118900
5905400,3837900,2067500
6669100,3307700,3361400
16807000,7224300,9582600
6067400,4466100,1601300
5138800,3132100,2006700
12557000,3616700,8940400
5676800,2186700,3490000
7120500,5147900,1972700
3910800,2120200,1790600
3566200,2482100,1084100
12051000,7589200,4462200
6245200,4569600,1675700
5026700,3800800,1226000
5689100,4095900,1593200
9124100,6389900,2734300
9077300,6348100,2729200
7952000,4627500,3324500
52640000,15653000,36987000
5802700,4118300,1684300
23868000,17296000,6571700
11131000,7097800,4032800
14081000,10444000,3637000
2173600,1920400,253200
8214500,4974000,3240400
17459000,10597000,6861800
7875300,4295900,3579300
13948000,6004800,7943500
5442300,2720400,2721900
9508300,5259800,4248500
21708000,8763800,12944000
22604000,9686600,12918000
23184000,9227000,13958000
13185000,5104600,8080100
40214000,17845000,22370000
9547600,4160800,5386800
16507000,7742500,8764900
4660800,1620500,3040200
13318000,5151300,8166500
4211300,2404000,1807300
12552000,4512700,8039100
9839200,2800600,7038700
2944900,1851900,1093000
8747200,3339700,5407400
42169000,25035000,17134000
5301500,3155400,2146100
14125000,6305500,7819600
10018000,4855800,5162600
15319000,11041000,4278300
9957800,7730100,2227700
1817600,1432900,384630
12236000,5834200,6402200
11717000,5959300,5757600
3473400,1603900,1869500
6614200,2557300,4057000
9309500,5009600,4299900
6281700,3308700,2973000
3119100,1390900,1728200
14695000,10611000,4084000
10124000,7996600,2127500
12185000,5857600,6327300
16341000,10535000,5805600
8898600,4434800,4463800
5936700,2456500,3480200
5905100,3377900,2527200
23744000,11543000,12201000
11198000,5782600,5415000
5157500,2304200,2853300
