Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
0,0,0,2509000,1418200,0,810500,202750,0,0,0,401690,0,0,0,108650
0,310270,1088800,4317000,2092900,534360,226630,0,908710,3211200,1555000,6309600,1.21E+07,1.26E+07,563870,379230
298030,0,551930,3876600,0,26485,0,0,1614400,139290,2320600,186170,2507200,226910,235340,39247
3323900,1.62E+07,6.32E+07,2808000,3.29E+07,667430,3.20E+07,382300,1.88E+07,3.17E+07,4.67E+07,7.30E+07,1.07E+08,6.86E+07,2.49E+07,512740
0,0,0,0,0,0,0,0,0,1.09E+07,0,0,0,0,1012400,0
0,2431900,1333300,1578700,700510,0,0,49192,1980200,9227000,5237800,1865700,5457400,6843800,690970,452680
1677400,0,945030,720340,421330,446860,262440,81842,1231900,8342400,2343500,906190,6579000,1144100,423170,54786
1176300,1748500,1166600,2155100,0,339390,35381,77280,2158800,270150,1.76E+07,0,1114300,70849,54802,0
0,607680,1337300,3858100,0,0,0,0,612030,571270,0,0,0,0,0,0
3.46E+07,7.14E+07,4.13E+07,1.97E+07,1.70E+07,9847500,2.11E+07,2477600,3.10E+07,2.70E+07,4.63E+07,1.65E+07,5.09E+07,1.67E+07,4073800,1069300
2.89E+07,2.03E+07,1.26E+07,1.67E+07,1.08E+07,1.50E+07,7681600,1.12E+07,3.87E+07,1.13E+07,1.60E+07,8905700,0,8348100,0,2947400
1.61E+07,1.14E+07,2.27E+07,571350,5190100,9005800,2758500,2283600,1.66E+07,3.95E+07,2.27E+07,2513100,1.10E+07,8298900,675890,603240
0,2307400,2327500,1207900,1826700,634800,493960,107040,2237700,7511100,0,1953100,1366000,0,966360,310740
1.92E+07,1.92E+07,3.10E+07,2.44E+07,2.33E+07,1.88E+07,1.29E+07,4545400,9.33E+07,3.70E+07,1.22E+08,5.48E+07,9.00E+07,2.82E+07,1.04E+07,3710700
0,0,0,0,0,590040,0,0,0,0,0,0,0,0,0,0
1.41E+07,2.52E+07,0,0,0,0,0,0,0,3.24E+07,3.16E+07,0,4597700,0,0,0
8990800,1.10E+08,1.47E+07,2.24E+07,1.15E+07,1.27E+07,0,1.74E+07,5.93E+07,5.76E+07,3.01E+07,1.89E+07,2.94E+07,6960900,4635400,0
2.55E+08,6.79E+07,3.57E+08,4.06E+08,3.25E+08,3.62E+08,1.25E+08,7.87E+07,1.02E+08,1.64E+08,2.24E+07,4769100,8276300,1.11E+07,2.50E+07,5821500
1033600,1038600,1030000,3378900,2865900,3366000,973520,662440,4403800,7371200,2462000,2364400,6343600,4278300,445350,219170
500060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4387200,0,910910,1336500,919740,499310,0,0,1410700,893300,588760,0,0,241990,0,0
5.71E+07,4.83E+07,4.29E+07,4.67E+07,5.93E+07,2.92E+07,2.90E+07,6489700,8.05E+07,8.06E+07,1.31E+08,1.26E+08,2.74E+08,1.53E+08,1.85E+07,3089600
2878500,6731400,1.07E+07,6718700,1.59E+07,1402000,7062500,2112200,7.62E+07,3.23E+07,2.01E+07,2.23E+07,8052500,1.14E+07,1.41E+07,2161300
0,0,0,0,0,0,0,0,0,0,2442300,0,0,0,0,0
61431,1370200,1631800,605340,8794400,7384200,16485,363780,7358500,7150100,1.54E+07,241410,198250,1.27E+07,391230,1057600
3.27E+07,0,1.69E+07,6583900,1.44E+07,747910,1.99E+07,1481500,1.57E+07,5109300,0,1423900,3718200,4450200,0,129640
8288700,0,2.09E+07,3175100,699510,7965600,0,1069400,0,0,527450,0,0,125460,0,0
1.02E+07,820820,6277400,335780,1331400,4472900,5812400,0,208970,857280,272730,362640,539360,7372600,271770,0
0,0,82293,85902,429730,212380,0,0,190750,173750,0,88242,153160,0,0,0
0,0,0,885390,658280,1136900,0,0,1095300,3002800,0,2016200,3057200,2482100,172980,0
2.53E+07,1.29E+07,6542400,1.46E+07,4.46E+07,1.96E+07,3.82E+07,1.68E+07,3.14E+07,138770,3.33E+07,4.88E+07,2.21E+07,3.40E+07,6282300,3894700
1.03E+07,1.77E+07,1.19E+07,2318900,920450,1382300,664220,175040,6957500,6524900,1.09E+07,1093100,732550,663030,0,103940
8467700,3.54E+07,9879800,8707100,5864800,6912900,5142600,1992000,1.41E+07,4.01E+07,2.48E+07,1.50E+07,1.82E+07,7062000,1.01E+07,3557700
1.46E+07,2.29E+07,1.59E+07,8874400,5875700,1.16E+07,7098000,5519200,2.38E+07,2.67E+07,3.33E+07,1.01E+07,2.70E+07,2.74E+07,5496000,4980700
1029800,0,3080500,0,0,0,0,321510,5948700,1.22E+07,0,0,0,0,0,0
341670,380840,3690700,1.19E+07,5251500,1.08E+07,1966800,2141200,225060,5601300,270220,0,0,0,1017300,0
254300,2806500,2094900,1370300,940410,687300,306070,164570,2391900,591470,499210,666420,0,0,0,64772
3.13E+08,1.93E+08,5.82E+08,2.64E+08,1.46E+08,1.16E+08,3.46E+07,7055700,6.26E+07,4.68E+07,1.94E+07,4848400,4517300,4229700,3243400,3003100
1573800,282070,2231900,1585200,1111500,277240,1424300,168490,1.40E+07,7528300,1764300,1327000,997120,427190,0,112620
1583900,1032300,6466700,2537800,3791900,542210,1931400,135960,6632000,3526400,5880600,4511700,3160600,2812100,188380,68636
0,932170,0,0,0,2073600,0,0,4079100,0,0,1113500,1871600,0,0,0
3803200,1.36E+07,1.28E+07,4533300,7668700,5953100,3426500,1019000,1.90E+07,1.87E+07,3.21E+07,1.46E+07,3.12E+07,1.68E+07,1599700,207600
4769400,4650700,1.90E+07,1.40E+07,1.80E+07,1.03E+07,1.31E+07,5522300,1.11E+07,2.19E+07,1638800,1.07E+07,1.85E+07,3702600,1.23E+07,4403500
2914200,3906700,4671700,8892200,7328200,5987700,3115200,2049300,6909800,2.48E+07,1.49E+07,1.03E+07,3.03E+07,1.06E+07,6099700,1680000
9949200,3344000,9527000,2206600,1.16E+07,6802200,2307900,413080,2.97E+07,1.55E+07,1.01E+07,1.30E+07,1.10E+07,9620900,2401700,376900
8.62E+08,1.93E+07,2.50E+07,3.44E+07,2.70E+08,2.67E+07,1.40E+07,1.23E+07,5.92E+07,4.61E+07,4.88E+08,2.19E+07,7.93E+08,5.57E+08,1.85E+07,925630
1.04E+07,1.39E+07,1.58E+07,8602900,1.39E+07,5453000,4590700,2449700,5.88E+07,1.63E+07,1.72E+07,4546000,831120,3073800,750980,114300
0,0,0,0,0,0,0,0,211090,0,774410,112270,134860,79301,563800,46571
0,0,0,0,0,0,0,0,1120900,2193700,0,377720,291960,631590,809460,0
0,0,0,0,0,0,0,0,3986500,393330,0,303510,0,2613000,627950,0
0,0,2313000,0,539290,654390,0,0,0,865480,0,0,1809600,0,0,0
1.15E+07,1382400,1.18E+07,4794700,7412000,7832600,2962200,2581600,678210,2.47E+07,3.71E+07,7968600,5.25E+07,1.35E+07,5181200,4807500
5362300,4928500,1.13E+07,1.73E+07,7293700,1.42E+07,9638000,2162300,6135500,7957100,1.03E+07,266030,3099200,3747500,2587600,123020
7259400,1098300,8653700,6088400,1143800,8908600,6369300,1371600,7460500,1.17E+07,9807500,5206400,943700,4502600,2982300,565150
5.72E+07,8.20E+07,1.78E+08,5.98E+07,1.18E+08,7.10E+07,6.93E+07,2.46E+07,2.80E+08,2.53E+08,2.82E+08,1.68E+08,2.21E+08,1.69E+08,2.03E+07,3.20E+07
1.64E+08,1.19E+08,2.94E+08,1.10E+08,1.76E+08,1.94E+08,2.96E+08,7.45E+07,5.87E+08,4.20E+08,4.45E+08,2.31E+08,3.10E+08,3.58E+08,6.03E+07,5.73E+07
2402500,90234,1302800,4308200,689820,2147600,2081900,207910,9698900,0,533430,0,0,0,60356,0
3.19E+08,1.67E+08,4.64E+08,2.29E+08,6.43E+08,4.09E+08,2.54E+08,6.33E+07,3.96E+09,3.72E+09,1.10E+09,5.68E+08,2.19E+09,1.73E+09,3.27E+08,3.61E+07
5308900,266790,4984200,2968400,533420,4303600,1363900,597540,6545100,2466700,3.02E+07,5086500,2563300,4691900,253720,77387
7157600,886010,9558300,1493000,411250,1042900,2520300,206200,9115200,1.47E+07,6.92E+07,1.83E+07,6044700,8573300,1034800,1498500
409550,1541700,488360,351240,0,0,314740,0,1996700,2906700,625530,0,0,0,155510,0
289230,367940,2694800,1020500,1366000,616030,0,147790,1548100,5472300,2721600,2521600,3712300,0,36758,0
2.37E+07,1.24E+07,1.76E+07,707600,1.01E+07,8280900,1.06E+07,938390,7.26E+07,5790700,1.34E+07,1.79E+07,7982300,6259700,3091600,2133200
7.51E+07,4.39E+07,1.05E+08,4.98E+07,8.31E+07,3.77E+07,4.47E+07,4462900,2.00E+08,2.80E+08,1.36E+08,3.87E+07,1.72E+08,5.78E+07,1.36E+07,3963300
1.05E+08,6.88E+07,2.08E+08,1.40E+08,1.67E+08,1.17E+08,1.11E+08,4.24E+07,3.31E+08,4.60E+08,4.21E+08,2.34E+08,3.98E+08,2.54E+08,1.09E+08,1.96E+07
1.25E+07,9229800,1.81E+07,7279400,2.27E+07,2.11E+07,1.38E+07,3383500,1.45E+07,1.87E+07,5542700,9530700,1780100,3560700,4851300,2038700
1.18E+08,1.35E+07,5.60E+07,7402700,1.18E+07,2.10E+07,3275600,1.09E+07,1.05E+08,1.13E+08,3.06E+07,2.47E+07,3.61E+07,3.20E+07,7397100,539590
2.35E+07,0,8939400,745480,0,2952800,1335500,1744200,0,0,0,0,4367500,3702600,754520,0
0,0,0,0,0,328110,0,0,3631900,0,383690,127890,6749600,152430,0,0
9.76E+07,0,1.27E+07,1.50E+07,5.55E+07,6.46E+07,7971400,1.67E+07,1.03E+07,5470400,4230400,7649700,2620900,3656300,55240,61811
2.95E+09,3.30E+07,1.12E+09,1.78E+08,1.92E+09,8.07E+08,4.88E+08,4.35E+08,1.18E+09,8.63E+07,3.83E+08,3.60E+08,1.53E+08,7.46E+07,1.04E+08,2.30E+07
3.39E+07,400070,3.89E+07,2271100,3.82E+07,4092700,2703500,7729000,1.46E+07,132190,1.91E+07,4723600,285200,1164900,68185,277350
3.35E+08,2.31E+09,1.60E+08,2.67E+08,3.28E+08,2.37E+08,1.28E+08,7.72E+07,1.94E+08,5.17E+08,1.22E+08,1.91E+08,1.92E+08,5391500,3.17E+07,7.82E+07
1.89E+07,1.37E+08,1.97E+07,5221200,6809800,1.04E+07,8271300,1927300,1.52E+07,6126800,9617500,4206500,8712100,547650,1797300,1901200
0,0,1088500,777130,0,0,80141,0,0,0,440990,260370,0,467360,193750,0
0,0,0,0,576710,0,0,0,0,0,0,0,0,0,0,0
386390,0,1395400,767770,0,0,223370,272470,0,0,370400,1763300,1254900,1106900,185890,0
210920,519790,723540,0,776420,359450,208660,32134,1062600,747540,1792800,679550,1000700,170880,21215,0
732900,0,0,0,0,0,0,0,0,0,0,979530,3434200,0,0,0
0,220340,0,0,598920,0,193180,60672,3134500,1301800,550640,1312400,3809700,1972800,432040,0
3657200,472760,6085100,1.50E+07,9508600,2.19E+07,3843300,3621000,1.49E+07,1568800,153530,2068400,382330,3829200,4571000,781470
198160,216480,0,0,1683200,106610,281320,0,5007700,814760,1.08E+08,4069800,8736100,6.01E+07,1876300,180540
0,0,0,0,0,0,0,0,0,1233000,0,0,977520,310640,0,0
3634700,1634000,5211200,462510,2970600,1403100,2043500,68543,1.05E+07,1.33E+07,1.33E+07,593240,1193800,2333700,0,335930
0,0,1081900,0,0,0,0,0,0,0,1622800,0,0,0,0,0
2341700,470370,2486400,0,1556100,0,1339100,0,5873400,2921600,1.10E+07,150720,431100,1187600,0,0
0,0,0,0,0,0,0,0,314470,504380,0,0,0,0,0,0
0,0,0,0,0,0,0,0,762670,2071600,0,0,0,0,0,0
624620,0,1014500,70920,0,0,0,0,1504700,1406900,1081100,0,0,0,0,0
0,0,104470,0,365500,0,24957,0,148360,0,184720,65038,900060,279650,90334,0
4199900,2609300,4483600,1583600,5618200,2710900,2281800,18968,8309500,9735200,7212300,4471500,5118200,2848400,629570,116820
0,827290,0,0,0,0,0,0,2069900,1.06E+07,300420,0,0,0,0,0
1.17E+07,2361300,2.03E+07,2138500,1481300,7012300,1368000,2718000,4474100,447370,6310000,546780,506100,324590,11228,198370
0,0,0,0,0,0,0,0,0,1433300,1016200,0,0,0,0,0
1.47E+10,1.50E+10,4.11E+10,2.22E+10,1.63E+10,1.68E+10,1.04E+10,6.52E+09,2.10E+09,1.23E+08,1.97E+08,3.91E+07,8.79E+07,8.64E+07,3.23E+07,2.92E+07
0,0,0,0,1150800,0,0,0,0,0,641940,0,0,0,0,0
1328700,426190,744240,973130,5308400,1181800,457140,50709,1789100,0,1985200,577880,986690,176540,385700,0
7695000,9367100,1.85E+07,5544500,6117500,1893200,3553200,21810,1.06E+07,2.07E+07,3532700,1.49E+07,5323100,1199800,0,379800
0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E+07,0,0
2033000,1.35E+07,4575500,0,0,0,0,0,6905000,6209300,4666600,0,0,0,0,0
0,0,0,0,0,0,430720,0,746910,0,1487800,657220,0,1011800,1473400,165470
2116100,0,0,0,1417900,0,0,84009,2669300,0,0,396960,0,0,185650,0
7847200,7869200,1.30E+07,2954700,2.90E+07,1779300,5622900,81442,4.10E+07,6.31E+07,2.36E+07,5403900,2.38E+07,4.08E+07,1.23E+07,89132
1.08E+08,7.47E+07,1.95E+08,7.92E+07,1.39E+08,8.98E+07,6.53E+07,3.29E+07,4.49E+08,4.40E+08,2.93E+08,1.32E+08,2.71E+08,2.92E+08,1.37E+08,3.26E+07
3675600,7053900,3676600,3.48E+07,0,6438500,2867000,2545400,0,0,2201900,1.05E+07,1.29E+07,0,2269400,7584800
0,0,0,1935700,2268900,2011300,2859800,307930,633790,0,1449200,1846400,280380,2438500,5169100,0
3.33E+07,2.66E+07,3.22E+07,5.02E+07,4.05E+07,3.81E+07,2.70E+07,2.36E+07,1.57E+08,4.87E+07,8.98E+08,6.03E+07,6.88E+07,5.63E+07,1.82E+07,3804100
0,0,0,0,0,0,133100,0,860960,321060,5028100,0,0,0,0,0
3.52E+07,1.11E+07,2.31E+07,8454300,1732500,2815800,3880800,565040,8177800,2.61E+07,3866900,210500,0,1276900,1538000,18277
0,0,0,0,687870,0,0,0,0,822790,0,0,0,0,0,0
3.95E+07,3.30E+07,7.40E+07,4.73E+07,4.44E+07,5.76E+07,5.56E+07,9208000,2.15E+08,2.85E+08,4.37E+07,6.58E+07,9.73E+07,1.06E+08,6.43E+07,7586500
1361200,4258400,1749600,0,90551,1871800,29459,13508,995940,769410,2869300,0,0,0,0,0
3.17E+07,8516700,4.61E+07,3.34E+07,1.84E+07,2.23E+07,2.13E+07,8527600,1.85E+08,1.67E+08,5.55E+07,5.37E+07,3.03E+07,4.62E+07,1.71E+07,8122200
5.68E+07,8399300,7694900,1143000,2.37E+07,4029400,1.22E+07,188400,1.99E+07,0,0,0,5181900,640070,442880,588240
1.10E+08,1.18E+08,3.12E+08,1.28E+08,7.24E+07,6.89E+07,6.00E+07,1.36E+07,1.50E+08,2.34E+07,2.20E+07,5648200,3543100,3003600,9774200,1908800
778770,2278900,3281900,446680,283580,0,0,0,2395500,582850,1228000,0,0,0,0,0
1.34E+07,9766100,2.07E+07,3525100,1503600,5008600,7725200,2206500,2.09E+07,3.38E+07,3.21E+07,3179200,6784600,4450900,3986800,874900
7.85E+08,1.70E+08,3.82E+08,1.03E+08,2.94E+08,2.47E+08,2.06E+08,5.84E+07,5.63E+08,6.36E+08,1.40E+08,1.51E+08,2.95E+08,9.56E+07,1.27E+08,6579200
1.58E+09,1.56E+08,5.73E+08,1.66E+08,3.56E+08,2.21E+08,1.53E+08,4.47E+07,1.22E+09,9.61E+08,2.09E+08,1.98E+08,4.11E+08,1.13E+08,1.60E+08,4963200
0,0,0,0,0,0,0,0,0,734890,0,0,0,0,0,0
1866000,1.52E+07,1.51E+07,7356700,1.35E+07,3.15E+07,1.38E+07,4617600,2.10E+07,3.11E+07,3610900,4629500,4626300,3.82E+07,4250300,3894200
1.21E+07,1.61E+07,3.26E+07,8431400,133980,3150000,271120,0,0,2361800,0,2012600,760260,655150,164400,4728500
470060,0,1099100,0,2796500,135860,305070,55882,0,2592100,0,0,283470,2334200,1103600,0
6146100,3403200,876010,0,0,0,0,0,1361600,6277500,1891500,0,0,2080100,0,0
2.13E+09,2.60E+08,4.44E+08,9.32E+07,3.40E+08,1.88E+08,2.07E+08,2.29E+07,2.14E+09,1.04E+09,2.68E+08,1.72E+08,3.64E+08,1.05E+08,7.41E+07,2822800
2276800,0,0,0,0,0,0,0,988410,137510,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,814900,0,0,0,0,0
1.99E+07,1.43E+07,1.60E+07,1018500,2388000,694640,94106,0,4261300,0,0,0,0,0,0,0
9.89E+08,7.43E+08,9.47E+08,6.43E+08,3.08E+08,4.07E+08,3.33E+08,1.44E+08,1.02E+09,7.82E+08,1.88E+09,3.49E+08,3.96E+08,2.26E+08,1.89E+08,7.88E+07
0,0,0,1076400,2541200,3982400,880170,140780,0,0,247310,487860,1634900,476300,0,2239500
1.86E+07,3692700,1.35E+07,1.58E+07,9885800,1.47E+07,1.19E+07,2500900,4.82E+07,3525500,4.42E+07,1.48E+07,4.38E+07,1.24E+07,3872400,3544300
2.46E+08,1.19E+08,1.70E+08,6.58E+07,1.99E+08,7.47E+07,6.44E+07,2.32E+07,3.21E+07,0,4657800,4575600,3537300,4877300,1578100,51731
4.65E+07,2.85E+07,7.02E+07,1.18E+08,9.81E+07,4.45E+07,3.30E+07,1.73E+07,1.58E+08,7.00E+07,1.44E+08,7.23E+07,4562000,2.77E+07,6.84E+07,1.92E+07
1303300,561710,817060,817420,3629200,407130,449130,129350,0,3773700,1.11E+07,2168300,1.24E+07,1.11E+07,1335400,119330
1490600,327280,6248800,2366100,1763100,2210300,1364100,0,1060300,296130,3173600,358050,1828200,1422900,1472200,16672
8306600,6465300,1.72E+07,941970,5162500,5424100,2228400,621620,2.40E+07,2.14E+07,8358900,4550100,1.15E+07,1490600,1557200,1994200
142140,3270600,0,0,1224100,0,0,0,0,0,0,0,0,1884600,0,0
407480,0,166620,550200,7044100,9397000,0,0,5060200,0,1.02E+07,1590200,2052400,1.43E+07,0,0
245370,5373200,6277700,1086600,4905200,1409400,7986600,154740,1.23E+07,2.78E+07,1.67E+07,1977600,1.33E+07,1.11E+07,5265600,58639
9.39E+07,4.24E+07,5.57E+07,5.25E+07,4.51E+07,4.62E+07,3.05E+07,5493900,1.20E+08,5.39E+07,1.28E+08,1.19E+08,1.48E+08,3.48E+07,1.62E+07,8647500
5187100,5246100,7286900,2153000,337420,1518300,363870,0,1.08E+07,4086200,7477400,707440,766020,300110,0,51869
9534600,1360600,1.01E+07,2270300,1714000,5351000,2037700,732160,3.07E+07,1.48E+08,1.80E+07,2.89E+07,1.61E+08,7.92E+07,1.26E+07,989870
5.46E+07,3666400,3.60E+07,4.62E+07,4.55E+07,3.35E+07,1.16E+07,7602200,9.37E+07,4988800,2.35E+07,2.00E+07,2.18E+07,2.02E+07,1.02E+08,1313700
0,0,1607700,0,132930,429140,172390,85410,0,257110,2144800,368180,468020,296740,770540,34817
1.18E+07,4930700,1.27E+07,629700,1479700,2283500,1869300,61608,1.17E+07,1.86E+07,8578300,1485000,287450,181500,588440,0
9.82E+07,2.15E+07,1.50E+08,2.29E+08,3.07E+08,1.20E+08,8.16E+07,2.29E+07,2.89E+08,8.57E+07,8.54E+07,7.66E+07,5.10E+08,2.09E+08,2.24E+07,160660
1.36E+08,7.15E+07,8.07E+07,8.93E+07,1.22E+08,9.92E+07,5.80E+07,2.08E+07,2.73E+08,6.27E+07,8.94E+07,4.13E+07,7.47E+07,5.83E+07,3.41E+07,6007600
7.03E+07,1.30E+08,1.73E+08,1.18E+08,1.03E+08,9.10E+07,9.30E+07,2.87E+07,2.20E+08,5.26E+08,1.44E+08,1.17E+08,2.67E+08,1.60E+08,1.35E+08,3.46E+07
1.87E+08,8.95E+07,3.22E+08,1.41E+08,2.06E+08,8.00E+07,7.94E+07,2.96E+07,5.17E+08,7.20E+08,6.58E+08,2.91E+08,5.61E+08,1.97E+08,2.01E+08,5.70E+07
1.21E+07,2.29E+07,2.80E+07,1.84E+07,5.12E+07,2.77E+07,1.09E+07,6107500,5.81E+07,4.82E+07,2.01E+07,2.36E+07,2.93E+07,3.13E+07,4495900,6987800
3614700,0,0,404790,816390,623160,211130,164200,0,0,1844000,630010,0,1359800,0,0
2090400,1.42E+07,7084600,4834400,6487700,7636700,5440100,1291300,3.63E+07,2.57E+07,2.09E+07,6502600,1.72E+07,1.45E+07,5077500,1066300
1.28E+07,4126400,1.19E+07,3240500,2107900,3733200,2995900,8517900,8.54E+07,1.25E+07,9.91E+07,4.68E+07,2.83E+07,7.98E+07,2.55E+07,5534200
0,1299300,719960,671040,1162000,0,0,0,0,0,1149100,704640,1838100,983760,0,0
1.26E+07,1.04E+07,5061800,4061500,1.21E+07,6668600,920420,2974800,4.29E+07,1.07E+07,1.58E+08,2.91E+07,4.00E+07,3.10E+07,6080500,586060
1.20E+08,4.45E+07,7.14E+07,3.15E+07,3.96E+07,2.73E+07,2879700,2024500,6.93E+07,1.07E+07,5.10E+07,1.07E+07,2.06E+07,1.43E+07,4536000,6532800
1.35E+08,1.30E+08,1.38E+08,1.00E+08,1.95E+08,1.26E+08,1.14E+07,1.30E+07,6.02E+07,9.04E+07,7.44E+07,8.03E+07,9.63E+07,3.98E+07,8007100,1.21E+07
5.69E+07,9.26E+07,8.39E+07,2.26E+07,2.49E+07,3.30E+07,2.79E+07,6477900,2.61E+08,7.07E+07,6.04E+07,2.96E+07,2.33E+07,3.48E+07,3.03E+07,4954700
2.61E+09,6.05E+08,1.09E+09,2.85E+08,1.14E+09,7.97E+08,7.76E+08,1.42E+08,2.20E+09,1.05E+09,1.16E+09,1.21E+09,1.58E+09,1.60E+09,4.92E+08,4.73E+07
2.15E+09,2.91E+09,2.74E+09,6.88E+08,1.33E+09,2.54E+09,1.71E+09,3.57E+08,6.25E+09,3.17E+09,1.52E+09,6.36E+08,1.24E+09,1.07E+09,8.89E+08,1.68E+08
6033300,404730,2984300,1092000,4149700,3333400,1074900,407850,705440,0,639010,624990,4681200,1335400,251890,0
1.23E+08,4.40E+07,5.36E+07,1.53E+07,4.14E+07,1.80E+07,3.38E+07,5607100,1.32E+08,1.84E+08,1.19E+08,1330000,7.52E+07,5.21E+07,5181100,9708700
6.78E+07,3.22E+07,3.02E+07,3277700,1.70E+07,1.50E+07,2.70E+07,4481200,8.08E+07,1.03E+08,1.04E+08,6392600,3.96E+07,2.00E+07,9772900,1203900
376820,2.32E+07,360900,83467,293120,0,40315,0,163350,319260,74637,136910,0,0,55440,0
2277000,247870,2226200,2391400,1519400,1170900,416660,325010,180740,30455,167190,9993800,6618400,5479600,0,29426
8.80E+07,5.91E+07,5.53E+07,1.73E+07,1.20E+07,2.01E+07,1.37E+07,970830,1.03E+08,1.04E+08,4.14E+07,5775700,1.04E+07,1357000,4201700,2012800
4337900,1.04E+08,7491700,1982300,2944900,1238200,1189000,549620,1972600,373840,2.51E+07,2321400,1858800,1199300,1203900,0
3470500,2.77E+07,3.08E+07,5855700,8381700,1.65E+07,1.27E+07,2662200,1462200,515580,0,0,0,0,0,619690
9902100,1308400,2.40E+07,4.54E+07,2.22E+07,3.64E+07,0,2.12E+07,3474600,0,7574400,0,5735600,0,1274000,0
2625100,8209200,8001700,1.04E+07,5953500,3068100,4057000,471920,3415700,1.73E+07,6.76E+07,3.70E+07,5.82E+07,2.06E+07,946750,1716100
5.94E+08,3.22E+07,2.82E+08,6.93E+07,1.70E+08,1.98E+08,4.92E+07,6.70E+07,8.69E+08,5.93E+08,1.63E+08,1.77E+08,7.17E+08,4.12E+08,1.76E+08,6955400
2.12E+07,1.49E+07,2.01E+07,5.99E+07,7.55E+07,2.65E+07,2.16E+07,6676400,8172200,9106300,5.17E+07,2.27E+07,1.50E+07,5.85E+07,2.46E+07,2288800
1.18E+07,5591000,8196600,5.24E+07,4.16E+07,2.15E+07,1.01E+07,4348100,1.90E+07,7210100,2.40E+07,3.18E+07,3.01E+07,3.59E+07,4536100,62208
6244300,1.44E+07,2651900,833440,1553100,5833700,2905900,257030,5107500,4067700,1.07E+07,4419200,8546000,1.14E+07,1231300,19298
7523400,6659100,9735500,4568900,1009400,5720700,1243000,1020500,5.26E+07,2.22E+07,1.83E+07,1914000,1.76E+07,1.32E+07,512140,101790
4143300,47196,4667100,113010,0,0,14255,0,1.33E+07,4682700,2228300,0,0,1925800,1604300,0
2.11E+07,3978200,4682500,2.94E+07,1.08E+07,6.38E+07,3.22E+07,4260900,0,1.76E+07,1.57E+07,9667400,2.82E+07,1.07E+07,5.04E+07,1834700
1.18E+07,3268900,1.12E+07,2859200,2994600,2267700,1919700,886610,1.26E+07,4048100,2.15E+07,737890,1.50E+07,1.21E+07,6617400,148870
1505600,0,1860100,0,1025400,2519900,469210,29533,2654700,2092800,3959400,5843600,2581600,5042400,521530,0
460520,0,0,0,69507,324830,330120,0,2144300,1202100,1309800,316590,0,1968000,503520,50098
0,0,0,182600,34787,210640,10524,290000,0,0,196990,525730,1576800,0,73949,26272
1.50E+07,1.62E+07,1.92E+07,1.29E+07,2.26E+07,1.78E+07,3183000,895050,2.20E+07,2.11E+07,6.16E+07,2.63E+07,4.21E+07,1.55E+07,3766900,324920
0,0,395230,0,0,0,0,0,571480,0,1453600,0,5.88E+07,1463100,0,0
6341100,284770,1.56E+07,2.38E+07,1.28E+07,4942200,6448200,1105200,895820,332380,647890,89167,0,0,0,0
0,0,0,0,0,0,0,0,0,1609500,935840,0,0,0,0,0
0,64071,221990,0,0,0,29256,22770,573840,128340,0,0,0,0,171460,0
130400,1119500,1047100,231590,451020,101840,77830,0,1949200,2346800,2289200,684230,783160,972890,773160,129770
0,0,0,0,0,0,0,0,0,0,0,0,0,933390,108840,0
389950,0,1194900,0,701390,0,268370,550620,2110800,1.01E+07,1.47E+07,1.21E+07,6729900,1.51E+07,1.93E+07,4440100
0,417110,0,0,989810,358400,0,0,234600,0,62117,0,0,319200,0,0
0,0,0,0,0,532010,0,294200,0,0,0,0,0,109420,86481,172010
4448800,36071,1.09E+07,4568700,958430,1065500,4056500,2721100,2843100,5572800,9991500,9676300,1.85E+07,7515600,2700300,1463500
67683,0,166690,0,0,0,0,0,215250,1373900,0,306080,0,0,0,0
1240600,2236000,2859300,1359200,2901200,1021200,565060,59426,3256700,5370700,6869200,3593000,381630,1176100,2793300,0
782130,0,100850,728690,0,0,0,0,0,554240,405710,9725500,356200,0,0,70049
546130,0,2867900,727370,522780,1717700,952730,130940,6363400,9755700,1310300,1450900,1.52E+07,1.25E+07,1698300,60803
353310,3458100,3134100,1415500,2395700,2439400,1161300,31466,4769000,4784900,7084000,2979200,3285900,2063400,1198200,0
1.48E+07,670160,3026600,1.65E+07,3.43E+07,2.82E+07,2.06E+07,30613,7609100,3348700,1473300,1.94E+07,2.43E+07,2.14E+07,797470,371430
2.61E+07,1.14E+07,4.96E+07,1.27E+07,8887000,1.07E+07,7566700,1454500,2.65E+07,2.64E+07,2602600,1.32E+07,1.31E+07,4931800,433200,1812300
6.79E+07,3633500,3.10E+07,2.55E+07,3.32E+07,1.32E+07,2.16E+07,3250200,6.13E+07,4725400,3.44E+07,1.11E+07,7.21E+08,8.84E+07,3.19E+08,0
0,0,397130,0,0,0,321540,0,0,0,626340,360880,0,0,0,0
