Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
1.88E+08,1.83E+08,2.55E+08,1.70E+08,2.21E+08,1.51E+08,1.25E+08,7.44E+07,5.65E+08,3.45E+08,6.10E+08,3.72E+08,2.42E+08,7.58E+07,3.12E+07,3.81E+07
1.13E+07,5508200,9199400,9857000,1263800,4150500,5081000,776250,1.05E+07,1.15E+07,4841200,549760,1.47E+07,1.48E+07,1329300,750560
2.41E+08,3.18E+08,4.02E+08,3.54E+08,4.60E+08,3.42E+08,2.56E+08,1.33E+08,3.15E+08,1.96E+08,2.30E+08,1.93E+08,1.46E+08,2.10E+08,1.24E+08,2.85E+07
2.13E+07,1.03E+07,1.14E+07,2.12E+07,2.26E+07,1.19E+07,1.14E+07,1946600,3.37E+07,4.44E+07,3.27E+07,3.53E+07,3.36E+07,1.83E+07,1569700,167210
0,1240800,2066100,0,424870,452900,289470,0,0,0,0,0,0,0,0,0
231130,410470,336770,289950,259150,0,165070,55258,677610,1635100,567710,623220,1166400,0,80176,0
442000,2.18E+07,3001000,0,0,0,0,0,1686500,3151600,1805900,341970,0,0,0,0
7.95E+07,5.76E+07,1.20E+08,4.53E+07,4.54E+07,6.83E+07,3.21E+07,1.38E+07,1.97E+08,8.47E+07,5.87E+07,3.38E+07,8.86E+07,2.88E+07,2.66E+07,4206500
0,0,0,0,0,0,0,0,670860,0,0,0,0,316650,393630,0
960730,0,413760,3286800,5362700,670760,3652300,75444,0,98139,63866,0,4505300,0,70578,0
232880,9882400,7558000,2853700,6228700,7294500,890610,1910800,1.06E+07,4.66E+07,3883900,2096100,1.31E+07,2939700,1.70E+07,1852800
0,0,0,0,0,0,0,0,0,0,1399800,594370,0,0,0,0
2.39E+07,7822800,0,0,0,2.98E+07,1.94E+07,3131100,5.27E+07,0,571710,0,0,0,206710,0
2.16E+08,3.78E+08,1.88E+08,1.21E+08,2.15E+08,2.08E+08,1.07E+08,8.09E+07,9.98E+07,5.12E+07,9.97E+07,2.78E+07,7.96E+07,9775900,251930,4668500
5467100,1.73E+07,1.05E+08,9569200,6404000,1.48E+07,9820400,2598000,2.26E+07,2.59E+07,3.38E+07,1.02E+07,1096300,2765800,5595500,848200
5119000,1286500,5196500,1138300,1.19E+07,6907900,385550,20632,8786600,1.12E+07,8652700,4860300,1.26E+07,4866000,1635300,368580
4.35E+07,2.55E+08,1.52E+08,6.21E+07,7.82E+07,5.96E+07,5.95E+07,9466200,2.98E+08,1.07E+08,5.69E+07,1.03E+08,1.21E+08,9.48E+07,1.92E+07,7586900
1.03E+09,1.37E+09,1.11E+09,7.23E+08,5.02E+08,1.02E+09,8.78E+08,1.39E+08,1.28E+09,1.06E+09,2.47E+09,6.20E+08,6.36E+08,3.07E+08,5.46E+07,2.96E+08
1.34E+07,3.41E+07,3.22E+07,9.59E+07,7.16E+07,7.44E+07,9045600,1645000,7.47E+07,9.85E+07,4.86E+07,1.06E+08,1.98E+08,1.29E+08,1.15E+07,1163700
2.14E+07,2349300,1.58E+07,5966000,2103200,1.19E+07,4052600,218680,7783000,1.45E+07,2.09E+08,2.10E+07,6.52E+07,2.20E+07,18237,1027400
1.27E+07,4.43E+07,2.59E+07,0,0,0,5566500,2337700,2042400,1191600,0,0,0,2.07E+07,5685500,2831000
1.81E+07,1.60E+07,2.99E+07,5.61E+07,2.30E+07,3.19E+07,2.17E+07,1.43E+07,2247400,7610600,4.43E+07,2.79E+07,1.01E+07,3.54E+07,4029400,360290
8.93E+07,2.05E+07,9.42E+07,4.91E+07,3.25E+07,2.79E+07,3.34E+07,4022000,8.54E+07,1.06E+08,1.64E+08,5.94E+07,8.86E+07,3.58E+07,8686200,3591500
2.66E+08,1.32E+08,2.37E+08,1.38E+08,1.38E+08,2.27E+08,1.45E+08,6.99E+07,8.91E+07,6.85E+07,7.07E+08,2.30E+07,1.56E+08,1.01E+08,6.96E+07,1.04E+07
6.23E+08,4.65E+08,7.41E+08,7.72E+08,3.13E+08,5.51E+08,3.25E+08,7.43E+07,2.58E+08,1.35E+08,4.74E+08,4.75E+07,1.35E+08,3.72E+07,974850,3873600
1.82E+08,6.10E+07,1.25E+08,1.68E+08,7.77E+07,7.48E+07,4.78E+07,2.11E+07,1.15E+08,2.39E+08,4.61E+08,1.11E+08,1.21E+08,4.55E+07,2.21E+07,5673700
1.31E+09,1.24E+09,1.48E+09,6.07E+08,5.92E+08,5.23E+08,3.81E+08,1.13E+08,1.39E+09,6.09E+08,4.40E+09,1.46E+08,7.76E+08,3.33E+08,1.27E+07,6833900
0,5279100,5846600,5241300,4360600,1.39E+07,5298300,1153400,1.12E+07,1.22E+07,1818100,6202100,2.13E+07,7249800,1674400,35895
7.29E+08,2.51E+08,8.12E+08,6.93E+08,4.40E+08,7.01E+08,5.76E+08,1.59E+08,4.12E+08,5.70E+08,1.94E+09,5.24E+08,8.04E+08,3.17E+08,2.37E+08,1.74E+08
1.28E+07,4376000,1.68E+07,1947100,0,0,0,0,1.36E+07,5511300,3.89E+07,0,0,0,0,0
5.33E+07,2.81E+07,5.77E+07,6.88E+07,2.09E+08,1.12E+08,5.13E+07,8828000,1.59E+08,8.18E+07,2.17E+07,4.86E+07,1.77E+08,1.44E+08,1.21E+07,1.44E+07
5.76E+07,3.14E+07,5.44E+07,5.45E+07,7.34E+07,6.01E+07,3.92E+07,1.64E+07,1.53E+08,1.22E+08,9.41E+07,5.58E+07,1.26E+08,2.93E+07,2.85E+07,6719000
366140,3.31E+07,1.43E+07,2559300,602830,229990,2540000,748560,4.63E+07,2.49E+07,8485800,2999900,1.05E+07,0,776220,162150
0,0,0,0,0,0,0,0,0,0,0,531480,0,0,0,0
6216000,2.04E+08,5135700,419280,1900400,278280,2445100,78306,5151900,3609600,1.56E+08,2537500,1137700,1028400,2504000,295910
1845700,1.11E+08,2156700,771950,0,437450,0,0,1827200,1080300,4.17E+07,2.05E+07,0,1.17E+07,0,246220
6124400,6809800,9881500,5447100,1.57E+07,1.59E+07,1.38E+07,1275100,1.90E+07,4.35E+07,2.70E+07,3703000,2.20E+07,3.01E+07,1.87E+07,2972200
1.51E+08,2.92E+08,2.76E+08,1.04E+08,1.29E+08,1.24E+08,3.08E+07,2.48E+07,3.53E+08,3.73E+08,3.19E+08,1.97E+08,4.42E+08,4.22E+08,1.43E+08,7417900
1.94E+08,3.76E+08,2.16E+08,1.74E+08,1.15E+08,1.64E+08,6.43E+07,3.76E+07,2.40E+08,1.95E+08,9.38E+07,4.00E+07,1.01E+08,3.95E+07,2.48E+07,2.80E+07
2.23E+09,2.81E+09,2.04E+09,1.48E+09,6.63E+08,9.05E+08,5.55E+08,3.03E+08,1.10E+09,5.57E+08,2.54E+09,6.35E+08,2.31E+08,3.99E+08,1.78E+08,9.52E+07
0,2603300,703090,0,0,0,0,0,0,0,2511800,0,0,0,0,0
1.49E+08,1.18E+08,1.93E+08,1.81E+08,6.56E+07,1.17E+08,7.54E+07,4.79E+07,1.42E+08,1.20E+08,3.27E+08,1.64E+08,9.18E+07,8.13E+07,8.81E+07,3.16E+07
1.19E+07,5.76E+07,2.93E+07,3.39E+07,8432400,2.05E+07,3717600,2426400,1.25E+07,2.20E+07,1.15E+07,1849100,1.32E+07,1830600,867400,133240
4.87E+07,1.52E+07,4.65E+07,7.55E+07,6.13E+07,5.66E+07,3.65E+07,2.27E+07,1.33E+08,3.60E+07,1.26E+08,4.80E+07,1.25E+08,7.88E+07,9108300,1.08E+07
