LFQ.intensity.1.Plasma.1,LFQ.intensity.2.Plasma.1,LFQ.intensity.3.Plasma.1,LFQ.intensity.4.WB.1,LFQ.intensity.5.WB.1,LFQ.intensity.6.WB.1
23.779,22.570,23.236,31.395,31.876,30.971
22.843,22.618,22.045,29.120,29.331,29.001
23.636,22.683,23.103,30.584,30.041,30.692
23.633,22.933,23.240,29.752,29.493,29.679
22.453,23.245,23.133,29.689,29.769,30.237
22.898,22.064,23.224,30.129,29.990,30.327
22.510,22.777,22.440,28.921,28.804,28.418
20.918,22.384,22.879,31.801,31.651,31.884
22.825,23.752,22.607,30.356,30.425,30.363
22.492,22.764,24.055,31.767,32.123,31.651
22.561,23.751,21.943,31.991,32.366,31.799
32.013,32.011,32.035,23.377,24.817,23.754
21.682,22.245,21.941,27.978,27.956,28.159
23.658,23.007,23.077,29.617,29.448,29.776
22.761,22.694,22.229,28.618,28.572,28.579
22.804,22.682,22.957,28.529,28.727,28.488
21.870,22.680,21.103,30.219,30.342,30.026
23.168,24.046,22.509,31.419,31.645,31.321
22.836,23.437,21.600,31.738,31.811,31.628
23.101,23.573,23.637,30.402,30.728,29.851
22.706,22.681,21.698,29.646,30.153,29.612
22.471,24.278,22.761,32.380,32.389,32.382
24.501,24.254,23.237,31.726,31.389,31.631
23.468,23.396,23.966,29.700,29.980,29.584
21.953,22.120,22.674,28.408,28.384,28.482
22.842,21.951,23.864,32.095,31.808,32.041
22.578,22.274,22.497,28.512,28.112,28.677
24.372,24.574,24.703,30.217,30.182,30.525
23.183,23.426,22.738,29.193,29.128,29.459
23.700,23.985,22.948,30.995,30.502,31.349
24.226,25.159,24.379,31.216,31.119,31.077
23.432,22.371,23.231,30.229,30.199,29.769
22.892,23.647,24.600,32.148,31.939,32.381
22.554,23.046,24.120,31.218,31.595,31.242
23.443,23.146,23.206,29.278,28.890,29.524
20.992,22.580,22.236,30.155,30.320,29.985
23.255,23.008,22.950,28.827,28.563,29.045
24.025,23.138,21.821,32.705,32.897,32.613
22.571,22.147,21.914,28.060,28.023,28.140
22.629,22.722,21.386,30.074,29.909,30.498
23.443,23.896,22.206,31.743,31.523,32.198
23.246,24.214,22.771,30.866,31.124,30.947
22.078,23.015,22.456,29.113,28.747,29.014
22.268,23.626,22.278,30.656,30.902,30.412
22.221,22.736,22.520,28.138,28.026,28.223
22.922,22.900,24.298,31.211,31.346,31.146
26.312,24.440,24.304,34.552,34.686,34.886
21.795,22.035,21.444,27.423,27.486,27.359
23.024,22.933,22.191,28.936,28.957,29.311
23.492,21.848,21.690,31.393,31.102,31.553
22.135,22.755,21.605,28.949,28.973,29.452
23.560,23.234,22.488,30.101,29.864,30.621
22.588,22.543,23.084,28.537,28.408,28.338
22.201,23.515,20.712,33.537,33.322,33.705
26.794,26.254,25.075,34.167,34.399,34.146
23.446,22.342,21.465,31.159,31.170,31.248
22.069,22.298,22.514,28.037,28.308,27.768
23.221,23.212,22.638,28.677,28.799,28.973
23.015,23.853,23.179,29.394,29.316,29.434
21.831,22.461,22.787,28.530,28.596,28.456
23.217,22.506,21.333,30.929,31.207,30.700
21.621,23.498,22.711,31.075,31.495,30.968
23.273,22.000,23.922,31.742,31.496,31.974
25.525,25.131,22.609,36.684,36.624,36.450
22.159,21.606,22.538,28.126,28.190,28.102
22.579,22.764,23.379,28.773,28.749,29.045
27.100,27.999,26.522,34.539,34.468,34.943
20.580,22.326,21.402,29.304,29.291,29.580
22.747,23.603,23.730,29.585,29.597,29.719
23.851,23.701,23.486,29.003,28.897,29.300
22.660,22.852,22.884,27.913,27.967,27.855
25.806,26.637,23.743,36.947,36.714,36.971
23.109,23.865,23.342,29.818,30.296,29.439
22.718,23.937,24.209,31.089,31.089,30.975
22.625,23.359,22.892,28.816,29.007,28.560
22.950,22.680,23.310,28.393,28.641,28.466
22.183,20.959,22.005,28.472,28.531,28.414
21.100,22.976,22.089,30.297,30.571,30.126
22.345,21.726,23.504,30.379,30.566,30.827
22.249,20.158,22.197,31.221,30.946,31.347
22.727,23.391,21.219,31.570,31.972,31.448
22.049,22.443,22.569,27.624,27.856,28.101
21.918,22.285,22.385,27.369,27.439,27.660
23.553,22.050,22.758,29.828,29.871,29.862
23.813,23.795,21.993,31.878,31.695,32.088
23.260,23.640,21.839,31.018,30.883,31.150
23.277,21.194,21.948,30.982,30.732,30.735
23.855,22.372,22.055,31.121,30.987,30.762
22.435,22.927,22.145,27.998,28.189,28.273
22.882,23.318,22.010,29.283,29.441,29.498
22.554,24.180,22.977,30.758,30.673,30.730
24.302,23.576,23.524,29.610,29.447,29.814
22.180,23.224,23.070,29.476,29.835,29.093
23.867,23.771,22.857,29.760,29.541,29.845
22.496,23.522,22.651,29.430,29.885,29.138
23.963,23.038,22.648,29.908,29.779,29.863
22.812,21.831,22.311,28.301,28.602,28.164
22.688,23.378,22.352,29.055,29.551,28.922
23.368,22.101,21.611,30.207,30.033,30.496
26.472,24.295,25.721,34.272,34.203,34.427
22.432,22.492,23.105,28.175,28.360,28.036
23.929,22.515,22.489,30.365,30.158,30.528
23.587,23.550,23.290,29.313,28.632,28.828
22.724,23.092,23.832,29.708,29.579,29.241
21.970,22.928,20.600,30.863,31.356,31.037
21.283,21.713,22.865,29.241,29.108,29.322
22.237,23.521,23.836,30.497,30.727,30.600
21.840,22.352,22.360,27.350,27.598,27.816
22.808,20.907,22.491,30.292,30.295,30.662
22.816,23.126,23.079,28.582,28.325,29.174
22.486,22.368,20.344,31.116,30.962,30.924
23.293,22.984,21.118,31.540,31.799,31.463
22.301,22.398,21.635,27.584,27.813,28.063
22.545,22.127,22.281,27.401,27.195,27.433
23.325,21.817,22.675,29.433,29.590,29.431
21.607,21.912,22.856,28.459,28.497,28.669
24.380,23.824,22.574,31.299,31.204,31.423
21.489,20.818,21.101,26.565,26.282,26.658
23.300,24.015,22.545,29.919,30.300,30.137
22.692,21.022,22.601,30.180,29.766,29.807
20.481,20.835,21.534,26.991,26.721,26.848
22.863,22.372,22.798,27.743,28.298,27.941
29.741,29.646,29.881,24.836,24.403,24.102
23.812,22.219,21.370,31.820,32.065,31.584
24.028,22.644,22.380,30.323,30.455,30.332
22.855,22.114,23.842,30.218,30.112,30.437
24.446,24.190,23.939,29.384,29.741,29.189
23.299,22.590,23.415,28.550,28.559,28.548
21.908,21.642,23.269,29.600,29.422,29.744
22.885,23.861,22.203,29.997,29.944,30.075
23.121,22.656,23.412,28.210,28.281,28.368
22.497,23.252,23.280,28.323,28.453,28.483
23.388,23.010,22.503,28.460,28.251,28.550
22.816,23.015,23.096,27.682,27.675,27.990
22.495,22.376,21.146,28.560,28.671,28.498
23.018,22.860,22.179,28.156,28.879,28.851
22.714,21.033,22.687,29.808,29.686,29.690
22.813,22.071,23.744,29.814,29.841,30.163
22.927,22.460,22.763,27.594,27.443,27.590
22.498,22.898,22.923,27.732,27.877,27.482
23.567,21.726,22.888,30.064,30.325,30.026
22.103,22.299,22.999,27.999,27.814,28.256
23.287,22.569,23.879,29.475,29.405,29.240
22.464,23.448,22.923,28.497,28.573,28.309
21.523,22.168,22.315,27.282,27.179,27.507
22.885,23.395,22.378,28.866,28.342,28.829
32.049,32.646,31.641,37.636,37.538,37.730
21.297,22.590,22.995,29.399,29.290,29.621
21.560,21.764,22.682,27.992,27.749,27.817
22.358,23.016,22.831,28.205,28.545,27.803
22.268,24.649,22.219,32.765,32.876,32.549
23.036,22.870,22.091,28.526,28.434,28.040
25.750,27.598,25.643,34.602,34.814,34.302
22.300,24.130,23.283,30.508,30.315,30.660
28.545,27.918,27.049,34.462,34.296,34.126
21.713,21.570,22.279,27.340,27.679,26.945
23.273,22.016,22.682,28.505,28.488,28.558
23.199,22.460,21.275,29.765,29.672,30.197
23.140,21.629,21.781,28.830,28.912,29.146
22.875,22.387,23.694,29.252,29.187,28.842
23.885,23.361,23.879,28.701,28.523,29.052
23.910,24.815,23.992,29.774,29.839,29.501
23.750,22.002,21.675,30.480,30.793,30.546
23.331,24.407,22.816,30.545,30.427,30.013
22.028,23.181,23.756,30.261,29.941,30.759
24.326,22.806,22.570,30.547,30.534,30.400
23.075,23.366,24.431,29.815,29.732,29.709
21.329,22.336,22.429,27.973,27.711,28.304
22.908,24.125,21.747,31.398,31.143,31.525
22.263,23.222,22.822,28.146,28.288,27.910
23.343,21.736,21.242,30.151,30.415,29.878
23.013,22.902,21.646,28.850,29.290,28.826
25.996,25.771,24.540,31.843,32.050,31.749
23.083,21.559,23.480,30.272,30.030,30.319
22.940,24.287,21.861,31.941,32.283,31.398
23.067,23.531,21.214,31.027,31.487,31.012
22.286,23.062,22.231,27.709,27.575,27.943
24.187,23.318,22.798,29.335,29.420,29.521
22.518,22.579,23.759,29.109,28.898,29.511
22.623,22.505,22.000,27.077,27.067,27.367
22.097,22.270,21.879,26.510,26.550,26.466
21.071,22.665,22.330,28.440,29.047,28.842
22.450,23.027,22.234,27.768,27.434,27.498
20.696,23.075,24.022,33.617,33.981,33.287
22.803,22.972,22.598,27.162,27.356,27.151
23.652,24.161,23.007,29.164,28.930,29.321
22.125,21.955,22.900,27.600,27.556,27.378
23.966,21.644,22.162,30.854,30.997,30.729
22.235,24.056,23.354,30.029,29.929,30.182
24.294,22.286,21.564,32.077,31.777,32.152
23.046,23.620,22.580,28.346,28.250,28.673
23.568,22.057,23.717,29.930,29.807,30.042
22.706,23.280,24.383,29.946,30.022,29.845
