Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,0.5571,ND,ND,ND,ND
0.273,ND,0.1601,0.0342,0.1234,0.0332
ND,ND,-0.3528,ND,ND,ND
ND,ND,-0.1743,ND,ND,ND
0.8491,ND,0.3158,ND,ND,ND
-0.0139,ND,-0.0948,ND,ND,ND
-0.1516,0.1963,-0.1593,ND,ND,ND
ND,ND,0.1137,ND,ND,ND
ND,0.3294,ND,ND,ND,ND
-0.0731,0.125,-0.1766,ND,ND,ND
-0.2441,0.3116,-0.3183,-0.199,0.2727,-0.3081
0.0439,0.3067,ND,ND,ND,ND
ND,ND,ND,0.0776,ND,0.0194
-0.0143,0.122,-0.1485,0.0502,ND,ND
0.0346,0.0891,ND,ND,0.1363,-0.0459
0.7951,ND,0.1459,ND,ND,ND
ND,ND,ND,0.5601,ND,ND
ND,ND,ND,-0.175,0.2444,-0.0397
ND,ND,ND,0.0043,ND,0.2516
ND,ND,ND,ND,ND,0.0568
ND,ND,ND,ND,ND,0.5396
ND,ND,ND,ND,-0.1591,0.3017
ND,ND,ND,0.1301,ND,0.1244
ND,0.2236,ND,ND,ND,ND
ND,ND,ND,0.2062,0.2383,ND
ND,ND,ND,ND,0.1012,0.1406
ND,ND,ND,-0.0232,ND,-0.1505
ND,ND,ND,ND,ND,0.232
ND,-0.1284,0.1006,0.1607,0.1577,0.1467
0.1096,-0.3682,ND,ND,ND,ND
ND,ND,ND,0.0643,ND,ND
ND,ND,ND,ND,ND,0.1546
ND,ND,ND,0.3722,0.0544,-0.0362
-0.0458,ND,ND,ND,ND,ND
ND,ND,ND,0.0313,ND,ND
0.1664,0.2091,0.0402,ND,0.1177,0.0416
ND,ND,ND,ND,0.0937,ND
ND,ND,ND,0.0439,0.4299,0.0604
ND,ND,ND,0.0238,0.1067,0.0652
0.2621,0.031,ND,ND,ND,ND
ND,ND,ND,-0.3995,-0.0114,ND
0.1295,ND,ND,ND,ND,ND
ND,ND,ND,ND,ND,0.0034
ND,ND,0.282,ND,ND,0.3608
ND,ND,0.0859,ND,ND,ND
ND,ND,ND,ND,ND,0.1324
ND,-0.0092,ND,0.2073,ND,0.1346
ND,ND,ND,0.1329,ND,-0.0347
ND,ND,ND,0.118,-0.1571,ND
0.0655,0.2469,-0.1398,ND,0.1542,-0.0905
ND,ND,ND,0.0802,ND,ND
ND,-0.0792,ND,-0.1726,0.0596,0.0297
ND,-0.055,-0.0312,0.1652,ND,ND
ND,ND,ND,ND,ND,0.1718
ND,ND,0.0861,0.1443,ND,0.0927
ND,ND,ND,0.2455,0.1095,-0.0923
ND,ND,ND,ND,ND,0.2708
0.2009,0.0453,-0.1797,0.156,0.1105,-0.0459
ND,0.0836,0.595,ND,ND,ND
ND,ND,ND,0.4676,ND,ND
ND,ND,ND,ND,0.0699,0.0808
0.0294,0.2621,0.1271,ND,ND,ND
0.1319,0.0305,0.0948,0.0394,0.1319,-0.0334
0.2491,0.0036,ND,-0.1139,ND,0.0795
ND,ND,ND,0.1043,0.2231,0.0695
0.3553,0.0699,0.2604,ND,0.0744,ND
0.2291,0.5448,-0.0139,0.1848,0.067,-0.042
ND,ND,ND,ND,0.0956,0.053
0.0728,0.1026,0.0032,-0.0031,0.2191,-0.1621
0.7099,ND,ND,ND,ND,ND
0.2112,0.0843,ND,ND,ND,ND
0.1762,0.1205,0.1667,-0.0724,0.0293,ND
0.223,0.1777,ND,ND,ND,ND
0.2609,0.2407,0.0166,ND,ND,ND
ND,ND,ND,ND,0.0717,ND
ND,ND,ND,ND,0.3591,ND
ND,ND,ND,0.3464,ND,ND
0.2794,0.0114,0.1957,0.1813,0.0257,0.1654
ND,ND,-0.3622,0.1453,ND,ND
ND,ND,0.1937,0.195,-0.0688,0.2081
0.1516,0.2984,ND,0.1546,ND,ND
ND,ND,ND,0.1515,ND,ND
