Intensity,Intensity Brain1,Intensity Brain2,Intensity Brain3,Intensity Liver1,Intensity Liver2,Intensity Liver3,Intensity Muscle fiber1,Intensity Muscle fiber2,Intensity Muscle fiber3
608640000,0,0,0,0,0,0,0,0,0
599850000,0,79941000,86745000,210730000,107270000,115160000,0,0,0
599850000,0,79941000,86745000,210730000,107270000,115160000,0,0,0
598400000,0,0,0,231150000,216540000,150710000,0,0,0
589330000,0,0,0,0,0,0,0,589330000,0
589330000,0,0,0,0,0,0,0,589330000,0
553120000,0,0,0,244400000,308720000,0,0,0,0
534240000,0,0,54255000,50111000,88965000,88842000,40288000,28596000,76709000
534240000,0,0,54255000,50111000,88965000,88842000,40288000,28596000,76709000
532090000,0,11152000,9870900,25600000,37369000,57048000,145450000,107410000,138190000
532090000,0,11152000,9870900,25600000,37369000,57048000,145450000,107410000,138190000
529850000,0,0,0,0,0,0,0,0,0
529850000,0,0,0,0,0,0,0,0,0
524480000,0,0,0,232360000,228640000,0,16813000,0,0
513940000,0,0,0,151000000,93624000,132920000,28626000,30800000,34492000
501900000,0,0,501900000,0,0,0,0,0,0
498040000,0,0,0,31560000,220630000,91067000,154790000,0,0
498040000,0,0,0,31560000,220630000,91067000,154790000,0,0
486370000,0,0,0,0,0,0,486370000,0,0
464550000,0,0,0,0,0,0,74220000,40479000,0
456490000,62780000,117300000,73898000,0,105680000,96832000,0,0,0
456490000,62780000,117300000,73898000,0,105680000,96832000,0,0,0
446440000,0,0,0,121950000,141350000,183150000,0,0,0
446440000,0,0,0,121950000,141350000,183150000,0,0,0
446440000,0,0,0,121950000,141350000,183150000,0,0,0
439640000,0,0,0,0,0,0,0,439640000,0
439640000,0,0,0,0,0,0,0,439640000,0
437900000,0,0,0,0,0,0,289390000,148510000,0
437900000,0,0,0,0,0,0,289390000,148510000,0
432710000,0,0,432710000,0,0,0,0,0,0
429450000,21051000,32458000,39012000,133250000,86483000,117200000,0,0,0
420320000,0,0,0,0,0,0,192820000,227500000,0
420320000,0,0,0,0,0,0,192820000,227500000,0
410570000,131920000,127900000,123210000,0,11482000,13089000,0,0,0
410570000,131920000,127900000,123210000,0,11482000,13089000,0,0,0
400210000,0,0,0,0,0,0,0,31934000,22653000
400210000,0,0,0,0,0,0,0,31934000,22653000
398980000,0,0,0,114010000,157750000,127230000,0,0,0
398250000,0,0,0,0,0,0,80456000,38156000,71820000
398250000,0,0,0,0,0,0,80456000,38156000,71820000
398210000,0,0,0,0,0,0,0,0,0
382840000,0,0,0,0,382840000,0,0,0,0
382840000,0,0,0,0,382840000,0,0,0,0
364880000,182360000,182520000,0,0,0,0,0,0,0
364880000,182360000,182520000,0,0,0,0,0,0,0
347530000,0,347530000,0,0,0,0,0,0,0
340190000,0,64581000,0,0,0,0,275610000,0,0
328820000,0,0,0,50298000,104610000,121660000,20770000,0,31487000
313440000,0,0,0,0,0,0,57718000,40498000,65441000
313440000,0,0,0,0,0,0,57718000,40498000,65441000
