C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
2.700540304,2.042953253,4.755652428,1.645199537,0.554897666,0.775550783,1.106080532,1.515009761
0.097046919,0.053051695,0.151329935,0.249367863,0.561484039,0.360252887,0.344919086,0.352693975
1.285372376,1.112885952,1.06573534,0.953183711,1.041689992,0.837635279,0.768988669,0.879672825
5.461984634,4.112039089,8.324612617,1.933415055,1.675973892,0.044192888,3.03697443,2.47461772
0.717329264,0.104743332,0.144685656,1.445751309,0.730731487,0.847086489,0.938814342,1.131265998
0.193496734,0.265342832,0.355484933,0.208547249,0.117779568,0.055469312,0.05622739,0.07529448
2.366229296,2.522286415,2.693234921,1.390353203,1.247232318,1.42716074,1.849439621,1.532214642
15.23658752,9.590341568,18.8534832,9.155237198,6.122127056,9.405879021,7.361649036,9.211979866
1.447163224,1.621517181,1.975238204,3.116082907,6.124228954,6.555533886,2.482290983,3.701500893
3.298957825,3.32474494,4.202158451,1.598536491,1.524138212,2.536957502,2.083183527,3.057773829
3.676804304,4.020759106,4.994860172,3.176231861,2.889188528,1.760103106,2.473471165,2.983927965
1.577074528,1.489970207,1.898336649,1.354187489,0.517621875,0.766034424,0.955831528,1.495114684
0.96873796,1.162170172,1.411278129,0.656922817,0.535909474,0.549960911,0.771582782,0.794498742
0.193670377,0.230015829,0.422200114,0.180081978,0.057923485,0.051717509,0.091112763,0.096241325
0.142153442,0.074926414,0.095419034,0.179710373,0.227133557,0.171203226,0.159895524,0.173205197
0.35382092,0.229500547,0.085868306,0.533943772,0.357798487,0.480152518,0.304323494,0.576465607
3.928985119,9.385697365,9.269294739,15.03103352,24.49446106,12.99635029,15.01175976,17.68054199
0.8979159,0.86050272,1.143898368,0.528273702,0.328226596,0.455481708,0.621748745,0.563579679
4.659591198,3.83488512,8.497476578,4.242203712,1.924467564,2.149785042,1.746264577,2.209324598
32.73986816,31.69715309,47.90225601,31.99065208,9.923274994,7.396689415,15.95012474,18.64804459
4.719027519,4.724133968,6.231544495,3.548731804,4.43070364,3.059118748,4.176466465,3.335811138
0.437900394,0.186143175,0.254359007,0.089636125,0.05041936,0.148686618,0.101730898,0.060567956
0.110444918,0.186421007,0.21367912,0.078127503,1.151520491,1.247783899,1.195109367,0.979007304
3.152026176,2.896499634,4.210241318,1.454601169,1.382146835,1.834278464,1.252075315,2.746849298
1.109532952,1.467297196,0.097713143,1.871274233,2.393462658,2.875733376,1.877870798,2.207412958
0.277325362,0.556627035,0.441767842,0.076627582,0.125381857,0.140825838,0.054535661,0.246502399
0.165461227,0.208229944,0.173902065,0.129089728,0.120340504,0.137661323,0.157612756,0.101798356
0.157213435,0.082027256,0.100708954,0.468239993,0.274488509,0.22243081,0.429510236,0.324702621
3.130528688,1.838087559,3.17996645,1.989694238,1.460271835,1.512710214,0.956696212,2.044533968
1.014550328,0.738341451,1.134647727,1.308252215,1.975161076,1.829552889,1.460569978,1.393231273
0.965766132,1.151385784,1.564427137,0.616734326,0.492642969,0.557978094,0.685805202,0.970652699
0.793940544,0.739335239,0.97336942,0.547850788,0.312664658,0.314688444,0.359746814,0.534444928
0.193076044,0.263057142,0.261904329,0.349092036,0.419737965,0.409790128,0.418718874,0.375318617
0.551215768,0.372888237,0.233694464,0.610336363,0.493623853,0.656042278,0.626418114,0.656117201
1.83056736,2.460892916,2.117734909,0.711286545,1.676289201,1.775844097,1.508404851,1.334041357
26.94326019,20.73908043,16.19650459,16.52708626,12.70039272,16.52978516,11.00581169,12.46530724
0.078117713,0.046358213,0.104787134,0.651022911,1.13929379,1.279689789,0.723298311,0.705359697
2.378965616,2.862195969,3.454868317,1.571450472,0.811343849,0.637628794,1.576300502,1.6004318
5.91200304,9.898411751,5.328442574,13.72078609,16.53061676,15.50058556,16.77331161,10.33736801
0.103436284,0.173458621,0.126468122,0.064318351,0.069156386,0.078493685,0.085777156,0.07782498
32.6792717,23.81427574,57.90505981,21.48303032,21.58176994,13.10161495,17.62866783,13.36023903
1.435507536,1.429607272,0.353436083,0.094074726,0.121444032,0.189407989,0.055293791,0.07378111
2.707140207,4.097316742,4.181133747,2.739981651,2.376401424,2.381110668,2.776632547,2.625530958
0.143006563,0.209989309,0.212548703,0.091115624,0.108817972,0.083564736,0.109317936,0.127984256
4.763025284,5.30310297,5.465800285,3.902765989,2.907160759,3.967866182,4.357014656,4.397479534
