Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
2.16687,-2.83359,-1.82293,0.06340,-0.19592,0.12275,1.20730,2.68245
3.58171,-1.47145,-0.96961,0.28716,-0.32872,0.70674,1.75364,4.28088
-0.74685,-0.96500,-2.33589,-3.31051,-0.23760,3.21151,-0.07927,-0.41671
0.35462,-3.91895,-1.58638,-1.29012,0.00719,5.52589,0.04018,0.15076
0.02062,-1.32787,-0.10999,0.58179,-0.02174,-0.86140,1.00469,-0.30469
0.47569,-5.46534,2.55543,3.47458,0.35917,-4.27824,3.17890,0.20829
-2.12679,4.27044,-7.67183,-3.36859,-0.72449,2.00764,-0.80875,0.26332
-0.03352,8.74225,7.97742,0.13116,4.69747,0.55162,-0.52463,-0.97911
0.04518,0.82180,0.00300,0.87160,0.34625,0.50638,-0.79250,-0.88750
4.36075,0.41259,0.85645,3.20152,0.82265,-0.03142,-1.30021,0.05802
-0.93045,11.22732,11.78212,-0.67544,0.35447,-0.52513,-5.42789,-2.66591
0.69719,-0.62684,-0.02637,5.53482,0.15888,-0.10932,0.90617,3.96526
1.86068,6.66306,8.55590,0.95508,2.27175,-4.55502,-0.75559,-4.78699
1.26281,9.31651,19.40274,2.59554,2.14659,-10.36325,-0.08626,-2.79502
1.67044,6.57193,10.60721,1.46721,2.21491,-6.62290,-1.20203,-6.30207
1.35353,3.79672,7.95681,2.65329,2.99608,-5.05559,-0.15844,-3.49309
-2.91892,-0.16974,-8.30113,-1.03472,-1.31967,7.00820,-0.97595,0.08423
0.84610,8.61708,2.80693,1.70094,0.65011,-3.66674,0.12275,-2.95527
3.30807,0.29043,0.05950,4.97707,1.45346,-0.54177,-0.18665,0.22738
-0.07572,0.12855,-0.05916,0.15435,0.47409,-2.59384,1.06569,-1.91417
4.19975,4.84831,6.91613,0.27964,0.41496,-1.63180,-0.20732,-1.48065
-0.26419,3.67731,2.48828,1.13640,-0.35063,-1.51275,-0.55939,-2.61610
-0.14855,6.29463,8.98890,-0.27586,0.33997,-4.59736,-0.03388,-4.79260
0.10376,-2.43470,-4.12378,-0.27008,-2.57109,1.61926,-0.55137,0.38460
0.17517,-2.01422,-3.24629,0.27338,-2.00643,1.21304,-1.15421,-0.29759
-3.40710,-1.17820,-0.08937,0.96584,0.98208,-1.12076,8.33190,0.74820
-5.56054,-3.25082,-0.72780,1.15333,0.11526,-2.79847,8.35408,0.39023
-2.30056,0.57535,-0.02156,-0.05126,0.68394,0.70063,-1.00480,0.75036
-1.71253,-6.56605,-3.21621,0.78990,-0.44467,-0.77970,1.47110,3.53929
-0.78645,-2.01355,-0.61646,1.05382,-0.47840,-0.71656,1.22008,2.62192
0.97572,-1.44432,0.17774,5.49882,0.83073,-2.20120,1.06821,0.46108
-0.09410,-0.18592,-2.05147,-1.01594,-0.20789,-0.29491,1.40090,-1.13735
2.20248,-0.55280,-1.11239,-0.05997,-0.75379,-1.19501,0.47409,-1.09409
1.30264,-0.13921,-0.73554,-0.32714,0.16053,-1.73168,0.46627,-0.58393
2.19994,2.00813,2.89542,-0.21024,2.43557,-4.51761,0.19407,-1.74948
2.97749,10.73283,5.78997,0.08138,1.32869,-2.42197,-1.43457,-3.80351
1.91376,6.82803,4.62794,-0.35768,0.93309,-0.93128,-0.51209,-3.39155
-1.56072,1.28813,1.00620,0.96676,2.59523,-5.10859,2.27166,-1.35796
-3.38685,-2.32498,-1.17280,1.24227,0.93989,0.16770,0.97715,0.27437
-0.42174,0.96155,0.44009,0.96825,0.12330,-1.01782,-0.10846,-0.09930
1.26437,-1.85040,-1.19701,0.16946,-0.89624,0.07885,-1.27755,2.23298
0.82958,0.74674,1.47771,0.10348,0.39685,-3.91931,-2.44224,-3.35048
-0.03372,-5.44686,-4.18198,-0.14420,-0.70765,0.71867,2.23182,4.28784
0.42075,7.03839,9.81347,0.85926,1.93527,-2.95270,-0.15023,-1.23664
1.55377,0.19673,3.30471,0.99046,3.18792,-1.10188,0.55148,-0.50983
1.81907,-1.71956,-0.08168,0.17379,-0.00558,-0.40740,1.61219,0.01057
3.88625,-0.79250,0.33294,0.30788,-0.10275,-0.01196,-0.60195,0.73455
-5.69027,0.08032,-2.93297,-0.32735,-0.57790,-0.03768,-0.18671,-0.02832
-0.21175,0.94762,-2.09045,-1.83245,-0.04103,11.82499,-2.90440,-0.17121
-0.07580,2.20439,0.80833,-1.70945,-1.79171,4.88677,-1.97765,0.52693
-0.49198,-0.40036,-0.61872,-0.08002,-0.12761,8.80882,-1.91183,0.71598
-0.27245,-0.10966,-5.00159,-4.95869,-3.50005,0.28382,-7.72678,-0.37402
0.11851,-0.03788,-2.21479,-3.09669,-2.48165,1.00189,-4.23856,0.47947
-0.47741,-0.02000,3.05495,3.08881,2.61002,-0.63244,0.08901,-0.00146
0.13630,-3.52041,-1.71259,-0.53929,-0.09944,2.04974,-0.74360,1.59630
2.49457,9.92457,10.75719,2.79504,0.56133,-4.28868,-0.53556,-2.67944
0.33834,3.86572,4.74163,1.32483,0.59358,-0.08784,1.72722,0.03093
-4.27464,14.63868,-1.87616,-1.17848,-2.31321,6.09977,-3.02278,-0.34707
-1.17576,9.98790,-0.56513,-1.19768,-0.98652,2.08646,-4.08747,-0.11129
0.70782,10.43880,17.36695,-0.20401,1.34889,-4.86662,-1.68849,-7.73377
1.33223,9.51943,12.17939,2.14375,1.50874,-4.00243,-0.01560,-1.96028
-0.80161,-3.67651,-6.94970,0.01579,-0.87693,1.37942,1.88706,2.00293
-3.20010,0.01475,-4.40006,-2.69181,-0.22819,0.16836,0.54345,0.46470
1.47208,0.09696,3.01259,3.15831,0.70468,-2.46988,0.74723,-0.67440
-1.35297,-0.50226,1.74496,-1.84794,0.42409,-0.77631,-0.61147,-2.09278
-1.04796,-0.57348,-0.69518,3.07333,-0.38896,-1.45204,1.82610,0.43790
-1.16964,1.47874,1.66332,-0.23904,1.92255,-0.32331,0.02794,-0.49350
0.56377,1.81454,3.18928,0.66441,1.98221,-0.65717,1.17299,-2.17413
-4.45686,6.36933,0.72205,-0.64440,0.08544,2.61072,-1.16610,-2.20734
0.08568,3.48334,0.11471,1.14012,-0.53787,-0.70694,0.23542,-0.71772
2.24729,3.95938,1.76219,1.55154,-0.48187,-7.62314,-2.40032,-3.78278
