Cancer_1,Paracancer_1,Normal_1,Cancer_2,Paracancer_2,Normal_2,Cancer_3,Paracancer_3,Normal_3,Cancer_4,Paracancer_4,Normal_4,Cancer_5,Paracancer_5,Normal_5,Cancer_6,Paracancer_6,Normal_6,Cancer_7,Paracancer_7,Normal_7,Cancer_8,Paracancer_8,Normal_8,Cancer_9,Paracancer_9,Normal_9,Cancer_10,Paracancer_10,Normal_10,Cancer_11,Paracancer_11,Normal_11,Cancer_12,Paracancer_12,Normal_12,Paracancer_13,Normal_13,Cancer_14,Paracancer_14,Cancer_15,Paracancer_15,Normal_15,Cancer_16,Paracancer_16,Normal_16,Cancer_17,Paracancer_17,Normal_17,Cancer_18,Paracancer_18,Normal_18
6517.9,0,0,29348.7,0,0,3578.65,0,0,2936.23,0,0,0,0,0,14868.6,0,0,0,0,0,14875.1,0,0,25901.9,0,0,4796.09,4143.47,0,3191.12,7843.08,0,0,2085.36,0,0,0,2860.27,0,0,0,0,5348.95,0,0,0,0,0,8328.65,0,0
0,0,0,0,0,0,874.985,0,0,0,0,0,0,0,0,0,0,0,2541.93,0,0,0,0,0,0,0,0,0,0,0,3150.13,3566.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2547.39,0,0,0,3808.69,0,1566.21,714.947,0,0,0,0,1995.57,0,0,0,0,0,4627.84,0,0,0,0,0,0,0,0,3042.13,0,0,7586.58,0,0,0,0,0,0,0,2292.91,0,3810.07,0,0,1701.12,0,0,0,0,0,5420.95,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.91
5979.26,0,0,0,0,4638.11,7590.6,5897.81,0,17228.3,0,3923.7,12802.3,0,0,0,0,0,13932.9,0,0,26374.7,0,0,0,0,0,7582.73,0,0,17760.4,0,0,0,13411.4,0,0,0,11584.7,0,0,0,0,13232.3,0,0,0,0,0,0,0,0
8590.83,0,0,22372.2,0,0,7516.09,0,0,3782.36,0,0,7434.77,0,0,0,0,0,5135.56,0,0,5276.75,0,0,19336.9,0,0,4033.46,0,0,5366.79,0,0,4136.53,0,0,0,0,5253.18,0,0,0,0,4762.65,0,0,0,0,0,7374.26,0,0
0,0,0,0,0,0,1352.78,0,0,1026.94,0,0,0,0,0,0,0,0,1600.74,0,0,1642.66,0,0,0,0,0,390.211,0,0,695.629,0,0,1811.34,0,0,0,0,1229.64,0,0,0,0,1493.63,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6154.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2097.66,0,0,0,0,0,0,10111.5,0,0,0,0,0,12938.2,0,0,0,0,0,0,0,0,1037.72,0,0,0,4714.22,0,9248.47,0,0,0,0,5510.9,0,0,0,0,0,0,0,0,0,0,0,0,0
19665.5,3864.57,16384.9,50265.1,0,59976.6,14779,0,9184.75,18349.1,0,38550.4,85693.1,0,35570.9,0,0,11293.4,20745.6,51939,73356.3,17174.4,0,0,39789.6,0,38680.7,24564.9,24817.6,0,30622.9,20364.6,67499.4,25705.1,27688.4,72889.2,58488.6,9404.38,33611.3,28316.1,0,0,32957.1,13788.3,0,57957.6,50130.2,0,17920.1,20120.7,0,11862.8
46791.3,56828.4,50281.2,102005,85232.3,50819.3,61915.8,122862,68903,52258.7,125333,49911.7,44695.8,247132,87286.1,123655,210575,34174.6,41855.6,53484.3,48249.9,67175.3,132644,131343,70365,114866,108429,25815.4,77685.3,78576.6,32145.3,55972.3,83821.6,77324.9,59906.9,83268.1,105934,120024,51857,109292,143717,146463,85578.9,73547.4,95414.4,67782.4,84903.7,98964.7,140093,33770.2,122436,135373
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21801.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818.91,0,0,0,16253.3,0,5253.86,0,0,6618.41,0,0,0,0,0,0,0,0,12182.7,0,0,0,0,0,0,0,0,2190.78,0,0,9851.54,3703.75,0,0,1947.8,0,0,0,13768,0,0,0,0,0,0,0,0,0,0,4777.05,0,0
