Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-0.8774834,-3.458579,-0.9608803,-0.8387566,-3.053225,-2.963328,-1.117985,-1.049505,-2.082336,-3.554265,-1.174196
0.6403732,-2.338913,0.453764,0.3889751,-4.259405,0.01562881,0.05426216,0.7665997,-1.988249,-0.1494179,0.5917244
-0.696928,-3.843653,-0.9856396,-2.291273,-3.390919,-0.8854885,-0.8352318,-1.047844,-4.252913,-3.400851,-0.5418415
0.6403732,-2.338913,0.453764,0.3889751,-3.139418,0.01562881,-0.1557503,-2.426401,-4.034614,-0.1494179,0.5917244
-0.696928,-3.843653,-0.9856396,-2.335342,-3.390919,-0.8854885,-0.8352318,-1.047844,-3.398511,-3.665683,-0.5418415
-0.7354107,-3.893881,-0.80089,0.3182812,-2.495565,-0.2540989,-3.563127,-0.4802227,-3.867728,-0.139328,0.1248608
-2.171195,-4.700725,-1.376531,-0.4196892,-2.553496,-2.170889,-1.263,-1.600876,-3.502878,-3.700687,-1.163042
1.835501,-0.2333775,1.579763,1.871044,0.181551,1.401695,1.254066,0.2361126,-0.3840523,1.730709,0.8196239
-3.885867,-4.352703,-0.6508617,-0.5450401,-3.154744,-1.123095,-1.239489,-1.458723,-3.574583,0.2366028,-1.233027
-1.971295,-4.248679,-0.6633186,-0.6601181,-3.631624,-0.5609741,-0.964035,-3.149369,-4.164422,-0.1335793,-0.9416275
-3.667652,-5.141848,-2.704979,-0.8620796,-3.939978,-0.2749348,-1.371798,-2.818502,-3.30536,-0.7503262,-1.742764
2.621675,0.1084614,2.365583,2.390495,0.09017563,2.774343,2.407568,1.459297,0.4381599,2.04723,2.819298
0.904892,-3.217015,1.396816,1.198099,-0.1079502,0.9076061,1.40876,0.8996964,-0.4763336,0.7165909,1.389839
-0.3702507,-2.842118,-1.532782,-0.4951363,-2.118525,-0.5755692,-0.5712948,-0.6545353,-3.172863,-1.530872,-0.5371857
-0.3702507,-3.536666,-1.532782,-0.4951363,-2.118525,-0.5755692,-0.5712948,-0.6545353,-3.584255,-1.530872,-0.5371857
3.765032,1.728725,3.941492,5.045977,2.009106,3.483913,4.015772,3.985846,0.6387749,4.693758,3.213493
-2.191679,-3.470909,-2.433025,-1.769903,-3.532845,-2.791189,-1.910566,-2.956618,-3.424658,-2.232346,-2.200758
-2.740217,-3.450187,-2.882711,-1.640486,-3.531438,-2.787605,-3.044531,-2.433361,-3.518538,-3.03302,-2.071487
2.471279,0.7383575,2.314289,2.294949,-0.5186081,3.738029,3.096331,2.110424,1.096081,2.976894,3.022762
-0.1129322,-1.120195,1.191132,0.1861134,-3.268329,1.321501,0.9414158,-1.30216,-3.247472,1.643057,0.7760258
2.471279,0.7383575,2.314289,2.294949,-0.5186081,3.738029,3.096331,2.110424,1.096081,2.976894,3.022762
-2.361805,-3.142927,-2.247894,-2.458538,-3.862684,-2.224514,-2.892855,-1.548341,-3.788924,-1.426516,-2.315672
-2.478101,-4.252305,-2.560595,-2.962711,-3.094018,-1.839237,-4.013084,-2.348875,-4.924723,-1.868822,-2.564463
3.404333,0.06942368,3.21228,2.639475,0.6249065,2.790497,3.370815,0.09441948,-0.8938465,4.164249,1.786867
-0.5151997,-3.202388,-1.163729,-0.3218117,-2.639104,-1.715384,-2.421759,-1.801867,-3.692155,-1.105198,-1.575613
1.517412,0.02957153,3.212807,1.450554,-3.612187,1.92651,2.849194,1.382244,-3.463772,0.5933266,3.571472
0.5076733,-5.362709,-0.1298122,-0.1637802,-3.681975,0.253418,-0.7282333,-1.24118,-1.202536,-0.2251186,-0.5465126
0.5076733,-5.362709,-0.1298122,-0.1637802,-3.710395,0.253418,-0.7282333,-1.24118,-1.202536,-0.2251186,-0.5465126
-0.1732731,-3.306467,1.803766,0.615551,-3.012551,-2.516439,0.8725338,-0.4543343,-2.321283,0.8301601,1.596163
-0.1732731,-3.306467,1.803766,0.615551,-3.124051,1.754713,0.8725338,-0.4543343,-2.321283,0.8301601,1.596163
-1.298424,-3.369186,-1.021688,-0.4992542,-4.643257,-1.698053,-1.093483,-1.07053,-4.372941,-0.8725662,-3.317837
-0.6939468,-3.554907,-0.6436729,-0.5802345,-3.12948,-0.445755,-0.6862926,-2.579451,-3.814854,-0.375309,-0.4619751
