Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
15650000,15700000,15850000,15780000,15960000,16010000
14060000,13910000,14010000,14080000,14070000,14190000
5236000,5348000,5318000,5270000,5310000,5309000
7153000,7146000,7271000,7251000,7160000,7213000
6057000,6031000,6187000,6029000,6196000,6196000
7973000,8089000,8084000,8140000,8157000,8243000
12820000,12890000,12760000,13210000,13210000,13050000
15990000,15980000,15960000,16300000,16380000,16270000
2662000,2722000,2683000,2634000,2705000,2718000
5753000,5752000,5822000,5808000,5964000,5917000
7481000,7653000,7332000,7555000,7512000,7480000
3098000,3196000,3148000,3108000,3175000,3145000
7078000,6961000,7036000,6985000,7167000,7108000
2166000,2140000,2199000,2182000,2241000,2243000
6791000,6640000,6805000,6815000,6773000,6848000
7231000,7204000,7201000,7141000,7298000,7237000
16580000,16920000,16710000,16800000,16830000,17030000
7093000,7158000,7054000,7049000,7152000,7207000
8215000,8133000,8162000,8223000,8380000,8395000
1671000,1770000,1688000,1638000,1678000,1699000
6310000,6400000,6434000,6418000,6536000,6555000
11200000,11190000,11390000,11500000,11630000,11350000
5235000,5172000,5248000,5277000,5247000,5290000
3286000,3232000,3341000,3313000,3382000,3374000
10010000,9817000,10140000,10210000,9850000,9858000
1353000,1367000,1377000,1374000,1377000,1391000
3014000,3014000,3075000,2995000,3026000,3045000
6785000,6710000,6743000,6939000,6819000,7077000
1362000,1383000,1360000,1381000,1410000,1423000
4394000,4364000,4430000,4436000,4390000,4558000
3708000,3737000,3789000,3739000,3826000,3804000
4581000,4546000,4634000,4575000,4682000,4604000
1176000,1202000,1191000,1203000,1227000,1234000
1388000,1442000,1405000,1405000,1426000,1464000
4600000,4650000,4572000,4647000,4732000,4707000
847300,862500,861200,853100,858800,876000
3791000,3786000,3796000,3822000,3811000,3772000
12710000,12800000,13020000,12990000,12990000,13220000
2131000,2111000,2219000,2186000,2201000,2262000
581800,585900,593400,571700,596900,605400
4949000,4878000,5014000,4944000,5105000,4976000
9081000,8945000,9169000,9216000,9182000,9241000
2211000,2286000,2211000,2209000,2249000,2230000
4791000,4718000,4781000,4823000,4859000,4824000
11230000,11700000,11540000,11710000,11570000,11620000
14200000,14180000,13910000,14460000,14370000,14600000
1987000,1984000,1978000,1971000,2012000,2068000
14110000,13950000,14260000,14570000,14600000,14330000
739500,739100,784800,735100,732300,746800
3803000,3679000,3845000,3794000,3822000,3901000
6052000,6181000,6036000,6240000,5902000,6216000
2262000,2288000,2272000,2223000,2233000,2190000
2660000,2645000,2656000,2061000,2102000,2130000
5788000,5562000,5787000,5780000,5860000,5889000
7036000,6928000,7011000,7070000,7094000,7087000
2452000,2379000,2419000,2295000,2396000,2404000
2862000,2875000,2972000,2914000,2878000,2831000
3681000,3656000,3681000,3703000,3749000,3691000
4583000,4500000,4589000,4556000,4720000,4593000
5191000,5179000,5234000,5205000,5272000,5226000
1053000,1073000,1068000,1057000,1059000,1070000
1212000,1216000,1232000,1222000,1202000,1239000
11470000,11160000,11380000,11450000,11360000,11300000
52660000,52460000,53520000,54170000,53480000,53730000
1105000,1075000,1112000,1082000,1113000,1127000
1156000,1162000,1175000,1141000,1189000,1154000
1246000,1236000,1248000,1264000,1272000,1265000
1358000,1355000,1356000,1343000,1354000,1375000
1483000,1502000,1451000,1448000,1500000,1501000
1798000,1800000,1877000,1801000,1838000,1895000
2088000,1967000,2058000,2076000,2121000,2105000
2153000,2187000,2200000,2165000,2195000,2200000
2381000,2361000,2371000,2450000,2428000,2448000
4313000,4287000,4286000,4321000,4279000,4352000
8745000,7980000,8243000,8227000,8277000,8821000
1564000,1585000,1564000,1562000,1587000,1592000
2610000,2607000,2582000,2622000,2671000,2640000
7766000,7677000,7774000,7839000,7859000,7993000
9512000,9574000,9482000,9629000,9642000,9712000
79410000,79670000,78380000,82370000,79740000,81540000
1033000,1028000,1003000,947000,1036000,971100
1179000,1230000,1164000,1180000,1197000,1215000
1481000,1487000,1530000,1514000,1520000,1523000
1628000,1607000,1605000,1595000,1633000,1643000
2102000,2160000,2162000,2156000,2224000,2218000
3349000,3395000,3382000,3404000,3370000,3409000
13550000,13610000,13630000,13520000,13730000,13680000
15930000,15450000,15940000,16030000,15770000,15500000
15530000,15520000,15740000,16160000,15770000,15710000
676400,718500,733500,679800,707400,704900
1399000,1414000,1421000,1402000,1418000,1441000
1695000,1712000,1738000,1757000,1736000,1742000
2026000,1970000,1999000,2027000,2026000,2037000
3206000,3201000,3243000,3215000,3143000,3192000
3559000,3520000,3558000,3500000,3580000,3564000
6167000,6248000,6194000,6322000,6202000,6179000
6919000,6956000,6909000,6951000,6936000,7044000
9882000,9904000,9753000,10000000,10100000,10030000
1001000,990700,1014000,1016000,1006000,1015000
2603000,2652000,2590000,2648000,2586000,2674000
17670000,17630000,17860000,17940000,18310000,18430000
628300,628000,636800,619400,638000,643300
976300,978500,972800,980200,1009000,1004000
1666000,1770000,1721000,1730000,1726000,1726000
2432000,2473000,2505000,2505000,2460000,2513000
3167000,3131000,3198000,3170000,3161000,3192000
4388000,4570000,4480000,4429000,4494000,4526000
6003000,5920000,5977000,6071000,6047000,6037000
7075000,7022000,7101000,7154000,7096000,7010000
12280000,12170000,12070000,12490000,12430000,12160000
1126000,1130000,1162000,1116000,1155000,1145000
1731000,1749000,1754000,1756000,1802000,1770000
2165000,2236000,2213000,1785000,1783000,1772000
2650000,2636000,2643000,2726000,2671000,2709000
2833000,2960000,2877000,2888000,2737000,2890000
2822000,2871000,2843000,2919000,2878000,2831000
4226000,4266000,4312000,4234000,4337000,4308000
5885000,5660000,5929000,5967000,6034000,6162000
6172000,6353000,6268000,6424000,6221000,6334000
6738000,6857000,6731000,6779000,6768000,6794000
561300,598500,583300,570500,588900,592000
798900,787400,795700,800000,822200,816100
1117000,1151000,1110000,1122000,1130000,1166000
3142000,3260000,3095000,3219000,3214000,3151000
3539000,3609000,3536000,3572000,3622000,3627000
4818000,4770000,4809000,4894000,4861000,4911000
5778000,5864000,5754000,5815000,5934000,5747000
5807000,5741000,5933000,6046000,5990000,5898000
6271000,6279000,6131000,6196000,6274000,6104000
6102000,6081000,6082000,6218000,6098000,6256000
7329000,7254000,7390000,7365000,7286000,7176000
7334000,7278000,7477000,7507000,7513000,7545000
2282000,2247000,2314000,2305000,2351000,2327000
3447000,3615000,3445000,3539000,3504000,3472000
3556000,3580000,3461000,3569000,3584000,3672000
3800000,3825000,3847000,3820000,3800000,3854000
4285000,4283000,4306000,4341000,4288000,4495000
5770000,5773000,5949000,5754000,5844000,5812000
6255000,6183000,6141000,6337000,6367000,6250000
29380000,29910000,29760000,29650000,29720000,30190000
819700,802200,815000,821400,797100,806200
935500,1026000,923100,923800,925000,949800
1005000,996200,1031000,991900,1016000,1034000
2244000,2239000,2239000,2228000,2304000,2322000
2739000,2668000,2730000,2717000,2735000,2720000
3211000,3248000,3217000,3294000,3287000,3350000
4267000,4219000,4274000,3316000,3380000,3327000
3365000,3297000,3369000,3317000,3451000,3408000
3438000,3404000,3351000,3437000,3414000,3395000
4462000,4490000,4483000,4456000,4415000,4579000
5528000,5517000,5573000,5552000,5506000,5428000
10270000,9900000,10150000,10080000,10000000,10040000
458800,487000,472600,462300,486400,484600
932300,937800,938300,924800,953800,971900
1450000,1522000,1499000,1528000,1530000,1544000
1869000,1822000,1884000,1851000,1836000,1860000
2301000,2281000,2272000,2344000,2292000,2329000
3735000,3642000,3684000,2952000,2853000,2807000
2983000,2974000,3136000,3012000,3263000,3219000
4413000,4487000,4446000,4517000,4450000,4540000
5090000,5058000,5086000,5212000,5107000,5181000
10990000,11210000,11130000,11240000,11170000,11460000
13180000,13380000,13320000,13580000,13550000,13510000
14340000,14260000,14140000,14490000,14540000,14450000
709300,736100,724800,728700,729200,752800
1057000,1080000,1098000,1042000,1072000,1066000
1078000,1071000,1060000,1065000,1072000,1093000
1168000,1209000,1199000,1191000,1191000,1228000
2061000,2025000,2064000,2047000,2061000,2106000
2555000,2593000,2434000,2587000,2594000,2571000
2753000,2709000,2743000,2675000,2672000,2686000
2889000,2840000,2830000,2851000,2882000,2873000
5001000,5091000,4961000,5070000,4966000,5074000
6590000,6653000,6562000,6530000,6676000,6545000
11540000,11350000,11740000,12090000,11800000,11920000
12270000,12180000,12200000,12110000,12560000,12270000
696100,696600,703500,698100,729100,707600
747700,744000,739500,730100,724400,756300
1177000,1169000,1162000,1182000,1176000,1188000
1394000,1408000,1393000,1400000,1394000,1429000
1670000,1664000,1701000,1671000,1717000,1661000
2108000,2167000,2104000,2091000,2140000,2165000
2759000,2879000,2762000,2774000,2808000,2930000
5529000,5601000,5644000,5604000,5543000,5679000
6515000,6373000,6455000,6552000,6370000,6524000
9309000,9235000,9395000,9538000,9265000,9501000
13180000,12750000,13250000,12840000,13160000,13020000
14080000,13860000,13230000,13650000,13400000,13870000
700900,694000,716800,694600,734700,726100
1260000,1277000,1290000,1311000,1297000,1284000
1538000,1523000,1564000,1527000,1553000,1589000
1609000,1579000,1611000,1591000,1601000,1632000
1637000,1664000,1625000,1656000,1682000,1691000
1704000,1687000,1727000,1684000,1737000,1725000
1875000,1859000,1887000,1909000,1930000,1933000
2231000,2212000,2241000,2220000,2206000,2251000
2386000,2479000,2383000,2412000,2438000,2419000
2930000,3049000,2982000,3014000,3036000,3006000
3216000,3121000,3231000,3187000,3333000,3246000
3343000,3365000,3364000,3367000,3468000,3287000
4051000,4066000,3928000,3974000,3989000,3980000
4415000,4417000,4487000,4512000,4584000,4405000
4805000,4900000,4796000,5023000,4914000,4966000
9882000,10040000,10090000,10090000,10070000,9924000
773900,797000,776900,783700,794300,812600
884200,850400,882500,861200,897200,872700
864100,899000,878700,872600,875800,909400
1064000,1078000,1057000,1058000,1054000,1077000
1080000,1149000,1097000,1112000,1130000,1142000
1234000,1231000,1246000,1222000,1247000,1289000
1268000,1298000,1305000,1309000,1314000,1316000
1518000,1519000,1538000,1466000,1491000,1522000
1470000,1454000,1491000,1476000,1460000,1512000
1497000,1491000,1506000,1522000,1535000,1513000
1750000,1737000,1724000,1757000,1711000,1781000
2169000,2143000,2141000,1759000,1804000,1772000
1839000,1889000,1851000,1812000,1855000,1859000
2086000,2197000,1970000,2020000,1986000,2003000
2205000,2204000,2181000,2197000,2203000,2248000
