Control_1_F670,Control_13_F823,Control_14_100565,Control_15_100291,Control_17_F796,Control_18_100649,Control_19_101928,Control_21_F821,Control_22_G461,Control_26_101060,Control_29_G114,Control_31_F699,Control_34_102333,Control_35_F675,Control_36_E701,Control_38_102300,Control_39_D681,Control_4_100448,Control_40_F824,Control_41_F305,Control_44_D751,Control_46_F026,Control_47_F104,Control_5_100369,Control_51_F320,Control_53_E696,Control_57_101582,Control_58_G777,Control_7_G274,Control_9_F644,T1D_10_F797,T1D_11_F789,T1D_12_F403,T1D_16_100905,T1D_2_G419,T1D_20_F717,T1D_23_100682,T1D_24_F780,T1D_25_102069,T1D_27_F769,T1D_28_F734,T1D_3_F835,T1D_30_D728,T1D_32_F468,T1D_33_F688,T1D_37_D702,T1D_42_F646,T1D_43_F249,T1D_45_D841,T1D_48_F124,T1D_49_D654,T1D_50_F433,T1D_52_F842,T1D_54_F311,T1D_55_F829,T1D_56_100749,T1D_59_F371,T1D_6_F817,T1D_60_F525,T1D_8_100980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10777,12769,5783,10174,7291,4507,5964,9587,6418,5655,7181,9924,6127,9665,5837,11014,14894,10953,6743,9873,10046,17600,10809,6896,10508,4064,12365,5185,9556,9632,2997,3225,6908,10769,11615,4243,8419,3133,5645,7964,7774,6101,8003,5821,7477,6226,5101,2098,10120,10345,14467,5112,7294,6925,7025,5827,8531,1429,10143,8213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345397,455313,306544,355634,378664,500272,390637,374647,469842,335589,361163,313666,340187,362570,351012,350359,372071,426215,348847,485034,269713,383380,299410,337443,282392,381897,301119,313918,281328,320552,438534,390995,345171,365277,351768,548923,393726,466903,471317,407519,349176,349639,379965,436830,412569,362161,458225,283590,325540,474748,320246,369188,316550,401231,360199,409815,435677,425035,272499,291042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20128,25367,26686,23722,21356,20970,21560,24490,13454,29574,19077,31205,33647,29930,19388,28858,22281,19703,27214,26510,20718,24656,23697,21553,36003,27015,25135,21216,23346,22060,24512,23161,23630,18236,20542,20332,15513,17761,18526,21501,16077,21592,26024,19739,20266,24663,20658,21484,23584,16463,28058,20224,23234,23169,11930,27701,19518,13083,27713,30594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,6908,8495,5933,6442,4230,6275,7791,3643,6311,8896,7151,7736,6921,3688,6467,5122,6107,5304,8499,7917,6822,6773,4917,10144,5578,10063,7065,7554,6757,4372,5082,9028,8185,5587,2789,6856,3696,3090,5784,8509,3691,6447,6092,920,4384,929,6995,10276,2702,8029,2906,6015,4938,491,5011,4844,3343,8847,6849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15391,7197,6975,4877,15052,62794,5758,20633,17174,1963,6495,6201,6377,6306,2419,7773,4382,19461,2438,3604,4987,6064,2919,12017,2836,3365,7387,1843,8455,27733,53424,47323,2206,4910,10048,33547,5751,41279,34435,22298,32385,11027,4716,2581,66033,2507,59879,10177,5429,4186,4982,2537,36160,4931,244540,13754,4688,22992,1690,18568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128540,136135,126463,135824,130638,116790,138470,107996,88165,116010,137516,120160,121952,115054,116579,133224,127100,216823,118091,160087,138093,120415,129425,119293,129736,105020,133905,125394,129524,147939,98651,117744,133484,128708,118103,103214,132353,100335,85368,146166,130828,120291,122607,103427,106048,105877,76353,124327,114946,134459,139448,112877,117103,113843,92391,128645,104133,104400,122404,121897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66882,65958,69447,71262,67074,49258,75042,70202,43295,69641,70152,68055,79740,57498,85211,66039,81174,79968,49115,62592,71113,67648,68953,58571,77770,73159,70049,73811,81509,76384,53237,60736,71916,102496,87618,50398,110146,47106,46579,61254,69725,56615,75350,53946,51799,57594,45800,61846,75195,97078,90857,43597,65613,72653,82332,45457,67497,59147,90037,68554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74188,52600,69875,68779,63604,44401,70863,64362,42705,90869,71475,82667,102917,70799,79211,75529,63903,73748,59576,50692,78115,85159,71756,57254,93602,65238,91506,71140,91368,71400,73272,131507,125595,72720,64610,126403,47456,43820,47223,47338,68293,62682,54359,63620,52972,68878,32062,91910,92981,76123,87632,41254,74957,62867,52739,74613,65406,66183,34399,93847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43728,52156,35898,49147,39854,38411,33297,46792,25568,40674,33059,40337,41698,37804,30139,40835,46475,46359,46826,43250,30671,35963,32522,46466,52831,26016,37755,31183,39407,38288,42559,40014,36428,31909,31710,42091,34641,36320,19981,51800,36295,38571,45758,40100,32787,31722,49435,29537,35947,28942,37210,22363,44845,28750,31916,31419,41243,55541,35392,46596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28807,26662,23284,33183,27739,22031,27024,27222,15153,21848,21021,22915,22047,19873,30070,25416,34596,34976,22268,34130,26736,28801,20778,27851,27502,23785,22909,25137,19483,29288,28117,20736,22541,22008,35511,15250,26548,18748,16612,31313,26653,21184,29887,23521,16543,19644,15938,18923,21426,28809,32853,23542,23797,21059,19979,17827,19544,23945,23175,33825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534653,1339647,1682932,1498118,1305820,1879167,1596078,1760178,2527290,1883391,1600630,1703773,1877570,1713230,1950643,1848072,3610992,1297104,1724292,3002020,2748488,1912394,1680187,1580115,3700544,1576971,1987189,1605391,4364851,1596576,3182881,2927065,1898273,1509409,1586311,3580017,1331700,1425238,2614814,1436474,1681474,1414701,1496124,1272445,1567319,1616892,1420956,1824490,3535680,3668065,3182346,1413763,3725308,1694660,3612996,1479300,1382396,1548129,1793452,1464468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32498,78159,28322,34374,38723,44009,39471,45067,29765,34715,34942,34174,35171,30958,44766,38881,41497,43276,72331,43028,28116,19900,38893,37371,36667,33275,26561,59604,26197,35029,33037,34548,37158,68584,31899,35167,33896,38497,63363,46865,32884,27729,36201,45254,28836,33725,27404,19652,33952,35682,31270,29349,41788,34198,20303,32308,37863,36590,29684,40885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229502,250556,185008,237776,210530,219422,215552,219024,167553,210094,213893,231169,210634,198166,215186,194103,245462,221054,207976,230958,186899,247811,212706,226200,238405,233112,185893,163092,193419,219773,225249,190024,217836,187156,208685,198404,209425,183105,143148,238488,215055,190094,250953,195705,202143,174289,240708,164068,260871,249309,248850,191266,235380,165691,193622,186348,205987,219229,158717,210026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116469,40919,48274,41593,48898,156572,64473,49063,155696,48494,56898,30144,29880,39537,73276,38265,162820,45038,51860,34149,20084,30614,42087,47590,42909,95807,23730,50336,26087,34685,77692,95990,36720,44139,39780,130891,56213,96567,134968,36123,35272,90142,26237,67980,121975,69520,68762,55311,38925,41852,51242,94620,42718,40079,195249,56161,54373,67035,41551,77495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779216,2469604,1840287,2341796,2027767,2135523,2203089,1996417,1556216,1818655,2054200,1936445,1850778,1610987,2001207,2102085,2213262,2071246,1859105,2447925,1807545,2070354,1954945,1970459,2004384,2229907,1722121,1917494,1888616,2071919,1944456,1916528,2015048,2141459,2072113,1935060,1993086,1846763,1914143,2117838,2226679,1713728,2480582,1561021,1808257,1956676,1815075,1680915,1966626,2461879,2225286,1675863,1752090,1891321,1772710,1748353,1888094,1910407,2260683,1977935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39903,35865,51799,72114,60446,49783,46739,49133,48507,35490,25482,42572,49528,42167,45121,41546,27433,41935,57288,41352,42967,34059,41537,38969,39428,41167,38590,27829,35435,28321,101262,36684,34374,28250,70550,34713,34639,67233,37529,60220,69148,35624,65252,51022,35715,51582,98257,58621,34843,45028,53765,54020,55115,46317,536050,39711,34044,89881,93106,40727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46689,36591,48920,56333,43869,49221,42186,58196,28591,52160,43607,46537,59925,48936,40370,41015,35488,49370,54117,52631,44181,35436,53858,36816,52270,46275,48933,42058,46588,27131,64198,39912,57677,55159,27846,44730,41407,49717,27886,41605,47001,41492,56755,51469,40154,34971,53278,48564,46250,32825,44146,25029,49709,30441,34538,34863,24445,54058,38682,49220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566203,541446,633689,676824,621165,834132,540658,792370,665338,696834,298145,519643,686027,640395,510589,543599,613975,664132,668816,385454,516114,526286,657398,466366,678958,581629,679970,538262,595765,402410,785087,600720,522193,490230,534631,688621,545755,629808,529323,579806,563539,520586,586505,560513,395593,491957,727770,620819,568271,491080,518363,429408,692950,553962,197796,444458,539211,808530,724725,722821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188065,292902,139464,175876,129117,458451,104314,377881,292718,178359,124735,130030,217450,182122,256446,221495,405270,256408,267219,283961,95716,294597,204736,203014,304256,364513,151483,153872,114673,132020,383367,222082,186969,153130,137804,515272,202452,292729,94186,159517,132387,161664,197702,204974,359231,183309,482655,183438,251911,253117,230508,186012,280790,328098,343736,220002,298414,405242,203946,312986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30696,30719,40136,44366,40245,27869,75106,33451,26703,27177,22010,53887,37772,38813,30154,45712,33386,32898,47076,35155,64320,36941,32918,39430,50538,34427,44393,43552,46042,41480,33763,30979,46369,17137,38448,23761,39122,35561,21594,46416,36146,33497,48759,29690,22031,37988,32372,34529,40823,45239,46380,27513,74258,33340,15678,31434,27976,31658,44901,40876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363196,308566,376183,338299,331136,283370,363563,363596,286849,352320,354956,341015,427798,314995,367429,329695,346006,396171,306544,355448,379296,357169,351149,331956,398640,363856,357113,306019,349815,332574,269748,328972,428479,355804,370128,277907,333580,284127,254519,270293,274533,342883,345862,292970,284477,311171,191813,362053,403554,445896,326955,310643,322273,301996,342915,311408,296590,307116,305732,393390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73213,3077,1601,2261,12320,4027,2152,4941,1378,1365,2306,2683,1787,1795,1,2481,1451,3639,1079,1420,1106,915,1578,1826,984,954,2070,1741,2930,10147,13826,17270,1221,5178,1279,10094,1251,47106,14634,5555,6783,7682,1812,1930,215539,1509,32486,3724,2165,698,2812,2800,6202,1631,421426,6382,849,15096,2901,26094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143834,140810,123620,195362,164490,192523,121358,172450,127097,147509,108391,133886,131045,136861,121410,160684,148516,129480,159901,132334,134510,154046,133116,116897,159708,109163,161101,136865,129582,111219,270892,154201,150098,122722,93993,171162,133701,214089,144074,238046,203118,130000,169571,200512,151099,129190,450364,153632,154192,103020,141426,111024,155013,132416,61495,141104,138621,276791,195436,123296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54130,40910,76840,71558,75189,81579,43130,76565,19516,59680,59572,86539,54641,70222,58191,74819,45694,134046,56534,63762,64777,65747,84265,53727,85056,95524,66204,55419,77669,78574,50601,13509,23046,51109,66043,78653,38065,22810,88529,37150,10076,80081,30075,32262,45958,63529,14862,67656,63515,50724,28518,62081,59710,70456,46667,60431,72424,18916,72648,88642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224321,315109,203796,251878,234661,338543,219355,227878,202431,234191,216133,167720,199529,209242,192202,201716,153761,284241,228143,292175,208279,249472,180256,220284,176505,256178,212237,189352,208504,233130,357827,235408,256054,286445,204676,246431,255970,280381,227181,246710,206256,187759,240219,258234,288244,198852,361498,233365,219061,192205,235883,224492,237020,213539,143612,279569,238048,332135,199816,150222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28728,35793,25241,37370,34194,26290,32662,32461,21253,31073,29253,34132,29833,30744,30504,30807,34349,30471,31859,37558,30326,28871,26191,27319,38856,20553,28520,27358,25192,30497,38809,28856,33934,16565,31178,24924,26401,24543,25019,43125,34164,23848,38660,24263,30938,24441,23908,26267,26113,37961,31125,19418,23240,26600,21713,25748,25243,27137,29912,35970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18167,16237,13877,19734,21849,21181,20585,19452,32313,21314,22406,28873,18222,17013,23096,17773,24605,21135,17907,16890,15960,24123,17011,19341,27457,44423,15934,20159,18635,22230,16315,22167,13517,21204,24762,31747,31985,19786,55987,21376,35821,22595,21493,23775,35090,48782,28417,15702,23671,20700,15341,24527,17133,22170,26943,20986,34160,26349,18961,19546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171996,162577,154270,181134,163021,138660,163737,178597,155247,165003,138010,184427,167221,143174,165925,172288,204929,170791,176490,163300,175930,153893,153242,136886,179019,143791,151159,151025,162437,161259,153475,158228,174307,146944,154429,150409,151128,135135,132321,167295,162424,137347,172063,150314,146620,168695,152781,180035,171281,142624,150538,143723,147206,144065,185390,139147,177185,147344,168525,170398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192273,215336,190593,160223,171181,157113,173669,210730,225367,196027,151508,222132,186026,147425,230428,189765,208986,173546,207967,275812,171170,247688,178508,231160,177058,276295,152491,155198,148019,183094,151008,201842,149976,199085,137218,256777,199063,176742,215039,130937,117805,194543,184455,190363,283374,208299,180830,152788,189480,171876,118873,195413,227542,177932,139381,254142,247294,160202,117367,225138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117343,160916,105126,153163,105290,115099,125675,127951,157435,119498,122730,122371,112850,122441,120192,110494,136385,121946,121035,150532,98281,123900,125255,132935,104551,113911,108248,121870,105811,110485,109051,109924,111754,128571,123048,93808,122713,86366,104983,119244,121099,105490,136544,92741,105140,94107,77753,95978,115943,151665,149979,102908,105433,122896,100134,115325,111864,85196,121815,133939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74217,82052,78774,70314,76296,99967,67320,103754,64905,77455,44110,92645,79068,88236,67837,72264,95820,81474,90633,63803,78530,104182,82381,58801,107818,72569,61276,55590,95503,67965,78292,57931,87364,61037,69322,66857,45749,64436,60706,76940,59414,43517,74820,68455,76205,71042,70111,53391,86755,81522,71174,75273,88288,74733,45759,67248,71814,63009,73739,88014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33411,33851,34903,35623,40376,29019,43489,37094,32720,35109,40194,35170,41233,33568,42726,39184,46184,28925,37450,34378,40772,38729,34563,43712,34136,36642,32980,35827,35348,35481,27775,34127,34398,40620,37410,32118,37987,27468,30610,44510,41433,32745,34551,36453,33003,31435,22196,30276,37660,54111,36251,35753,32421,40584,30950,31748,34346,29943,35729,28067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33232,33139,25742,25689,27301,24939,36410,24530,41370,24382,25256,29254,23190,31690,27023,30099,21694,33584,29432,31324,27430,38063,26589,32323,24277,18511,32828,35402,24479,26033,11524,21820,13901,36388,34632,20962,26692,22567,32284,24129,23187,34624,25047,19050,25158,25684,17890,22382,22361,36295,29964,27140,20628,31465,23022,27599,31858,42418,28536,40950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20212,16630,29210,5694,38533,55470,35375,20807,119139,33172,34314,11956,13219,28219,23399,26230,8873,13740,35489,40964,15821,13402,33393,22738,10436,45051,33689,27728,11618,23020,35151,47873,12095,18264,15468,102509,28548,58671,53459,13837,13877,65157,19291,57970,28555,29715,101066,34769,37775,17974,7410,90894,25755,30481,20040,69637,38547,55154,10317,19079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8436,9571,2565,2790,3103,6529,2210,5655,20372,9361,5223,3874,3189,6012,4122,5240,n. def.,6422,1197,4642,281,4058,3074,26114,12110,7438,3540,2650,3842,500,10322,6487,240,3470,21492,6066,6166,8645,8127,5447,6905,9959,6883,11102,4541,4481,65266,4200,4172,987,4083,4424,6571,7489,5091,2138,5904,14315,4650,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35652,27451,35661,25886,32284,24487,28564,23329,30663,23675,27953,30100,29710,23722,27823,30667,32971,28623,27071,16374,36652,34898,29396,23723,23722,26722,32697,26920,36764,30121,9848,30571,28893,19252,38285,23585,15504,20030,25023,23103,24723,28545,20663,30101,25332,32617,13980,44885,41344,34663,28458,29821,28316,23424,27655,22651,23367,32221,38375,31383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42266,34634,37137,34152,40477,27991,40666,38094,37673,46274,38979,42288,39973,32560,38501,31550,42581,44791,33693,29215,29475,32838,35524,34834,39993,42758,35068,30212,34326,38494,42287,43174,39541,36202,42319,33883,47223,53628,63364,38804,62697,30849,36969,32909,201081,33617,58354,31572,36628,46234,39105,35377,58238,35398,65403,32268,36140,44507,34476,51112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39102,15189,17980,46156,39057,18853,15831,24430,38773,14873,25520,22021,32915,19334,29464,14473,45644,15074,19593,28969,28844,17738,46005,45125,131600,38696,13226,13235,17047,16411,21512,40615,11035,34922,61132,47257,22154,29873,96081,25186,25500,24727,22077,36343,70641,28096,39416,12292,15028,31791,26194,47386,53569,16054,112352,28060,35565,22949,63152,36793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31682,32938,48370,30329,49493,62308,58197,52603,132557,55300,52935,37415,37450,50236,56999,51031,27820,30453,51470,77254,26662,41232,48168,40263,24731,92835,36531,50094,30250,32336,62719,78182,47744,44830,30649,95919,59789,62239,143546,40363,36239,69042,30095,66825,66621,67979,74844,49161,25607,67821,30373,102681,53209,62696,57076,70942,58562,56210,18423,27147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42018,41833,38348,45581,33670,30777,34773,35545,16371,34491,34258,53381,41171,37183,25948,33351,35904,35409,40058,40769,49601,32056,39543,27416,46907,26449,41929,30285,33556,38000,27160,27129,37096,38907,24010,23226,35810,31482,25260,43601,38844,34672,34988,39785,20005,37462,39413,34454,42494,47135,35862,26021,44712,29599,18292,31119,27155,32173,35843,43963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25468,24818,32793,29842,35629,26581,34998,30758,25547,33673,33506,33234,32648,27431,37057,30091,38537,28789,24880,29950,40632,25254,33021,28662,34926,33063,32148,29188,31615,31576,23229,28302,35684,22026,37779,23191,24161,25172,37343,25036,13339,33370,29008,32941,23373,33473,17512,32321,36775,40279,26976,28376,27842,30538,29871,29516,30211,24789,34248,34572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81073,80253,114750,90842,98789,64519,96271,87470,80161,118660,128619,136758,93873,104788,132756,113969,107360,66679,106844,92007,125872,110173,113233,90047,126785,64636,130994,136549,137013,99933,68156,94209,104661,97357,84617,82658,103165,69022,82738,98483,111491,84235,90899,83517,89076,99110,70948,122750,117955,94573,60184,103822,94558,101243,131597,109897,105939,80193,127823,76118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18499,25243,19608,22080,17190,15815,21192,22290,17789,23126,23097,31676,26652,23629,24421,27290,30904,15780,17736,23653,23547,36119,29276,22910,35275,27851,23582,19292,22278,28414,11974,13502,19939,25826,33662,6288,27042,11308,16800,15854,21044,23194,18090,22738,17807,25257,10447,16795,41639,38271,29763,25409,22508,26241,14997,19191,27249,11547,19176,24044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13776,10585,12695,12056,9617,9500,10891,13709,8157,13139,12252,11779,13012,9345,10191,10939,13730,12382,11815,10232,12582,9442,9188,10490,12557,6721,12429,9749,12571,13089,10187,8927,10873,2189,9443,8478,2499,9306,5554,11653,8834,10801,13453,12535,8803,7845,8850,11029,11558,7862,10841,9414,10518,9832,10670,11479,8622,10194,9872,11133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37041,41764,57567,59080,43777,43758,42468,43429,33515,47365,29117,57820,68621,57444,44628,35187,54563,33958,54419,39847,57556,44429,55014,42293,66005,38725,64927,45626,54139,47880,53167,45303,44791,41361,33297,44564,29163,38428,27657,45258,53741,43527,50389,52396,26908,50676,56662,56760,60605,38610,48591,36778,43780,44610,14065,44443,46316,50003,54245,52803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25619,17648,20814,20054,24927,17031,25918,25532,24451,19552,26842,24787,21372,23348,15645,25312,23507,26814,19064,22754,29347,25821,26571,27072,23104,19694,24545,22851,23052,24414,23412,27954,27206,24368,30975,18540,22824,21164,36238,24559,28236,30289,30422,23697,17786,14700,21309,30238,30165,25821,34282,28139,18337,26511,23978,19849,19493,30430,17719,26318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213594,214607,186427,187142,201984,301135,195533,334777,258912,274927,146998,177933,274167,142393,264075,174590,352099,248654,218907,183132,175035,179912,165437,176464,258979,330472,161702,138487,181962,191659,194454,205955,177003,226019,213383,264577,185352,182725,186772,166429,141554,183477,220121,173293,173280,174747,158920,140085,232056,285566,145086,134178,228712,186054,117338,152700,153392,203154,174927,398537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61745,54790,57676,58078,54041,45612,50748,62033,51051,72862,59488,43898,64890,26239,67802,42802,66349,50778,49146,41278,52007,54643,45226,47721,54708,73484,52036,49729,55932,65636,44206,49786,56727,13895,60030,42762,55698,41866,64317,45254,37990,59515,51509,48243,30778,37098,36269,45765,49786,88851,40179,42070,66928,41355,37551,42464,33246,42355,45902,70241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3833438,3352275,4487484,3835589,3493059,3884925,3927592,4050003,4170297,4621273,3979642,3927551,4703064,4325293,4568607,4203229,4940768,4294576,3974078,3566349,4728647,4603378,4110279,3597886,4978347,5466853,4582527,3849974,4186974,4031890,3521080,3654399,4382291,4466406,4167810,3987539,4240737,2938899,3557006,3309500,3454640,3771882,3138710,3305775,3792640,3782810,3444473,4455632,4873922,4241972,3971031,3780056,4516791,4169390,4501166,3736767,3421270,3224693,3961389,4295704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8564034,6451939,7422829,5822977,5136454,7193295,4709051,8227331,6216862,7356653,3717519,6499957,10722595,9465328,6996405,7343310,7071428,8468175,8706427,5565550,6821024,9877234,6931798,5266598,8313429,7007788,6833469,5827924,8818901,5328077,7282501,4684267,7393004,7351326,5622872,6390205,5774037,6032378,4075482,5613471,6457915,5845273,4422363,6034174,5390642,5967210,7768140,11381379,10983259,5383337,7190182,5411224,7745414,5832659,3612401,5416529,4832519,8009349,7860113,8987051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10841684,13414879,8900088,11251391,9630120,14154194,9274040,11280514,9588777,9108784,8347244,8675635,8519517,9729015,10089427,9414997,11408044,12385298,11218447,12814819,8459871,12019491,9249213,10542588,9814940,10234101,8524020,7590322,8718663,9839909,13724160,9473283,11224797,10042278,7680971,12658744,10742980,11108824,9443953,12501842,9891123,9339208,11037543,10033383,12327922,10249556,15436403,8347007,10379108,9083874,10230872,10386178,10936055,9419627,4294296,10272778,10231159,12471789,8525805,11244406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144380,150125,155322,168594,142672,180199,127245,154923,122381,151078,113642,128811,190760,161310,129364,149833,168058,172160,177850,167092,149095,131462,150644,117748,161698,121921,186013,151690,154570,106271,164762,119687,133152,168979,111580,157636,150264,144753,102300,165299,144963,115011,148783,153796,107861,138291,146950,154160,140324,100728,144645,110024,173855,137776,21240,135847,142216,164592,142156,208371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48659,64794,41702,60977,57279,56221,48692,64150,19077,37790,29409,48912,49140,49313,44967,46647,76910,57287,55087,57635,45334,54931,59249,61784,43251,28471,27117,24994,31700,43222,33490,35548,41807,62900,52423,23540,57598,30208,33105,72521,62977,25695,55073,45518,50140,22117,38413,22373,57810,59391,37422,34021,45821,46516,37847,31415,39458,30105,48695,58871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67665,66116,86965,37935,76032,58276,77128,85084,69565,99624,97596,80701,104939,83928,88155,84758,77776,70729,83134,76291,90113,77676,89340,81793,112971,79656,84625,90750,89080,84960,62853,79438,82773,70777,68964,64582,94610,64134,68986,74113,88909,71416,207179,39365,69041,77743,64663,88256,77834,92357,74461,75487,144297,80127,46954,77742,71448,58625,87078,73406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
