Intensity,Intensity LEIBR,Intensity LEIDO,Intensity LEIIN,Intensity LEIAM,Intensity LEIMA,Intensity LEITA,Intensity LEITR
3766900,3766900,0,0,0,0,0,0
39541000,21286000,0,0,0,0,18255000,0
1292900000,1201200000,28910000,0,0,62766000,0,0
225290000,148860000,0,0,0,0,76428000,0
46583000,46583000,0,0,0,0,0,0
44292000,44292000,0,0,0,0,0,0
7039100,7039100,0,0,0,0,0,0
1902600,1902600,0,0,0,0,0,0
5032800,5032800,0,0,0,0,0,0
40414000,40414000,0,0,0,0,0,0
23385000,22381000,0,0,1004900,0,0,0
2749500,2749500,0,0,0,0,0,0
7138100,7138100,0,0,0,0,0,0
34663000,34663000,0,0,0,0,0,0
16270000,13790000,0,0,0,0,2480500,0
2950900000,2950900000,0,0,0,0,0,0
206470000,206470000,0,0,0,0,0,0
28757000,28757000,0,0,0,0,0,0
90395000,90395000,0,0,0,0,0,0
281920000,281920000,0,0,0,0,0,0
132970000,0,132970000,0,0,0,0,0
74500000,0,9247400,65253000,0,0,0,0
212210000,0,11730000,153770000,0,0,0,46710000
48798000,0,0,48798000,0,0,0,0
3399800000,0,634300000,1677700000,485930000,421580000,72717000,107580000
285910000,0,135330000,147980000,0,2597800,0,0
311370000,0,47734000,133950000,0,2739000,126940000,0
1632500,0,0,1632500,0,0,0,0
27929000,0,0,27088000,0,0,0,840580
9518100000,21245000,3713500000,4147500000,1392200000,19209000,57094000,167390000
392790000,0,257960000,21376000,0,26473000,81779000,5200400
1366500000,0,580590000,430340000,0,334750000,0,20859000
8903200,0,0,8903200,0,0,0,0
6653900,0,0,6653900,0,0,0,0
2793600000,12668000,1594600000,438060000,59133000,53381000,631070000,4697400
43882000,0,22103000,0,0,21779000,0,0
156080000,8903800,125060000,10489000,0,1539200,9379700,712330
165750000,0,33335000,50715000,7395800,19942000,54362000,0
69269000,8033900,60388000,0,0,0,847650,0
3917400,0,0,3917400,0,0,0,0
89372000,0,65457000,20564000,0,1478600,0,1871600
9251700,0,0,9251700,0,0,0,0
8576900,0,0,8576900,0,0,0,0
116440000,0,41839000,34470000,37468000,1138800,0,1529000
576330,0,576330,0,0,0,0,0
7026800,0,7026800,0,0,0,0,0
86580000,0,29511000,57069000,0,0,0,0
760970000,88628000,475490000,15979000,6094400,2083800,168880000,3819100
7797000,0,7797000,0,0,0,0,0
241820000,0,54972000,15251000,0,4679300,164740000,2183000
6012200,0,0,0,0,0,6012200,0
824000000,1422300,0,0,46458000,25368000,743900000,6845600
41808000,0,10917000,19599000,0,9232300,0,2060800
2075900000,58883000,244050000,300330000,99856000,1182300000,92214000,98289000
9991300,0,0,9991300,0,0,0,0
12966000,0,0,0,0,12966000,0,0
19156000,0,2583600,16572000,0,0,0,0
7927800,0,2525000,0,0,0,5402800,0
586200000,0,178330000,96750000,49511000,14566000,242960000,4075500
1608600000,0,448370000,76675000,18095000,0,1032900000,32577000
2773700000,81363000,215250000,663210000,131100000,385180000,1267300000,30216000
278740000,11035000,22293000,75062000,68584000,6709000,95054000,0
32261000,0,0,21269000,0,9877700,0,1114600
151590000,0,38499000,91892000,12448000,0,8750200,0
38688000,0,0,0,13946000,12623000,12119000,0
2742400,0,654960,405120,0,1682300,0,0
589860000,86907000,293200000,77441000,0,13171000,101340000,17795000
5558200,0,0,5558200,0,0,0,0
473820,0,0,473820,0,0,0,0
196990000,3278600,163920000,29794000,0,0,0,0
8564700,0,0,1613600,0,0,0,6951100
2642600,0,0,2642600,0,0,0,0
4287400,0,0,0,0,3029300,0,1258000
6262600,0,0,0,6262600,0,0,0
12467000,0,479410,11987000,0,0,0,0
48766000,18101000,13329000,1744800,0,0,15591000,0
83095000,0,21819000,61276000,0,0,0,0
9528300,0,0,9528300,0,0,0,0
9247100,0,1143000,8104200,0,0,0,0
29331000,0,0,29331000,0,0,0,0
44857000,0,4237700,27067000,0,8187700,0,5364600
6894700,0,0,6523600,0,0,0,371140
15124000,0,3610400,0,0,1565300,7652800,2295200
7252800,0,7252800,0,0,0,0,0
5607400,0,3283100,0,0,2324300,0,0
406160000,37061000,36450000,104430000,0,194590000,0,33631000
2223500,0,0,2223500,0,0,0,0
20556000,0,8582200,11463000,0,0,0,510790
4681500,0,0,0,0,4681500,0,0
8388200,0,8388200,0,0,0,0,0
2850000,0,0,2850000,0,0,0,0
336400000,43317000,171770000,24609000,0,1194300,79868000,15647000
41282000,0,0,41282000,0,0,0,0
191710000,47929000,12770000,79743000,10142000,28786000,0,12335000
1514600000,0,0,0,1421800000,78756000,0,14021000
688370,0,0,0,0,0,0,688370
71901000,8780400,0,0,8567800,0,54553000,0
190340000,0,12486000,0,44480000,14978000,117510000,877760
