LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.Std.Wash,LFQ.intensity.5.Std.Wash,LFQ.intensity.6.Stad.Wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.Std.1.wash,LFQ.intensity.11.Std.1.wash,LFQ.intensity.12.Std.1.wash
29.4571476,29.3439064,29.37918854,28.87061882,28.98019218,28.79159927,28.0995388,28.47965813,28.25790787,29.17700195,29.07283211,29.2021904
25.35225296,24.85486031,25.17493248,23.92614746,24.19475365,,23.58336639,24.07936287,23.82133484,25.20385361,24.78720856,24.73158836
28.16633797,28.1523819,28.27493286,27.75728989,27.70127487,27.63913536,27.62498665,27.79847717,27.67720985,27.80026817,27.92925644,28.16887474
,,,,,23.37238884,24.13226128,23.31340599,,,,
23.52552032,,23.64019775,24.98324585,24.77057076,24.65102577,23.84900093,24.22618866,24.22508621,25.57712555,25.22276688,24.34901619
26.09377861,26.37615204,26.73814964,25.92601204,25.83088875,25.04589462,24.94462967,25.71790314,24.91437912,26.03588486,26.09996986,26.23520279
,,,25.57062721,25.53255272,25.40291786,26.13905144,25.77741051,26.24249077,,23.54933739,22.96463966
26.55224228,25.96859932,26.77215767,26.68458557,26.95349312,26.42000389,25.78494072,25.89772224,25.62870216,26.91227913,26.93168068,26.59662056
,,,21.87335014,,,,22.07939529,22.09908676,,,21.4575367
28.35665894,28.48192978,28.31475449,27.99069595,28.20074272,28.54137611,28.48243141,28.16451645,28.31241989,27.04239082,27.29719162,27.51178932
,23.30270958,22.72864342,25.21456337,24.44581795,24.546278,24.18146896,25.198843,24.6417408,23.78126717,24.61532021,24.52157211
,,,23.00718689,,23.66817284,22.40815735,22.32682419,22.60909843,22.99927521,23.09696579,22.60982132
23.98745918,23.92243195,23.73148537,,,,,,,,,
23.52802658,23.43745995,24.02892685,24.78471565,24.74827003,25.03372192,25.88934326,25.36663055,25.51186562,24.94547653,24.19091606,24.71319008
,,,,,22.84701347,23.50688171,,23.85756874,,23.00417137,
,,,,,,22.41774178,,22.2991066,,,
,,,,24.17440033,23.57334518,22.76330376,22.83259964,,,23.05882263,23.4432888
,,,26.85090828,26.48434448,27.3731842,27.93049812,27.40494919,27.75181198,26.32920074,26.58305168,26.71082878
,25.09026909,24.50730515,,,,,,,,,
,,,21.97270584,21.98627853,,23.03037643,22.82692909,,,23.17194366,23.54262352
27.9036293,27.15160751,27.55054092,,,,,,,,,
,,,,23.8080368,,23.54592514,,23.05804634,,,23.11216164
,,,24.5366478,24.51292038,,25.04606056,25.1640377,25.66003418,24.83725548,,25.10109329
28.84891129,29.41610909,29.15455627,27.54693985,26.69218826,24.91806984,25.52629662,26.08699417,25.93219948,26.92761803,27.09687805,26.67276573
23.7923336,23.50675964,23.86759377,26.18712616,26.10655403,26.22273064,27.0376873,26.35676003,26.95847893,25.53344345,25.5736351,25.13226128
,,,21.76506615,21.89829445,,,,,,,
,,,,23.1590786,22.30332184,,,22.85972977,,,23.17878151
,,,22.97345924,22.87801933,23.00853729,23.52838516,22.88218689,22.92716217,,22.63342857,
,,,26.55618095,26.60498428,27.09214592,27.53734398,27.2976284,27.26391792,26.24298096,26.68845749,26.4659729
,,22.49580002,,,,22.37697792,,,22.83805466,22.75270653,
,,23.48542023,23.82609558,24.10693359,23.68933868,23.60523796,23.55520058,23.78676033,,23.43249893,
25.80259895,25.48259163,25.60090637,24.53830719,24.96221352,24.32367897,25.86684036,26.09420204,25.71800804,24.6673069,24.73887253,24.74185753
,,23.31713676,24.59126472,24.18895721,24.04026031,23.9671917,24.72093201,24.08212852,24.27746201,24.0372467,24.62449837
27.15508842,27.07173347,27.00506783,26.52412987,26.59192085,26.67976189,26.627285,26.40752983,26.62547302,25.99546051,26.42513657,26.1595993
26.1906147,25.59900665,25.33279037,,,,,,,,,
22.68063164,24.6738987,25.00530243,27.85269547,27.73647308,28.13653183,28.30587006,28.21960449,28.34988594,27.10349655,27.26704788,27.2380867
,,,23.51641083,,23.41222191,,23.45475388,,23.43211555,,23.28573799
,,,,,23.30159378,,,,23.12231064,23.04563522,
,,,27.47490883,26.93269539,27.53704834,27.44624329,27.77561569,27.67667198,26.56411362,26.94380188,27.2296772
,,,25.70033455,25.61169624,26.50538254,26.58462906,26.43601418,26.67922401,25.25367737,25.57836533,25.49194717
23.36759758,,23.15472794,22.88371658,23.16732597,23.53824806,23.55203819,23.16459846,23.2244091,,,
,23.46051407,,23.32553291,23.39806557,,22.80540085,22.25005913,,23.27483368,23.14315796,
,,,24.90921402,24.64372444,25.23242378,25.49689102,25.34807014,25.46967125,24.09385872,24.12770271,24.36459541
28.98476219,30.10036659,30.06522369,32.71894073,32.3564682,31.92358589,31.75871277,32.11442947,31.39161491,32.41805267,32.60882568,32.85324097
,,,24.85519409,,24.42803001,,,24.4964962,,,25.26999283
,,,25.13684464,25.67095757,25.20052719,24.29873085,24.58966637,24.24278069,,26.09039116,25.63901138
,,,24.93916702,25.22585869,25.05287361,24.67335892,24.80862617,24.19467735,25.51809311,24.96732521,25.39253998
,25.39515877,25.4996624,27.95814705,27.74348831,28.13897324,29.05501747,28.86861801,29.0525322,27.68043137,27.62275314,28.02104568
25.37660027,26.49125862,26.66695595,27.44490051,27.23150826,27.48339272,27.06404305,26.96949959,27.04489326,27.01456833,27.18120384,27.05330849
,,,,23.75704956,24.41763878,24.27646828,24.11743546,23.97140884,,,23.93867493
,,,27.10089302,27.19694901,27.42574501,27.58484268,27.60731316,27.63561058,26.65239334,26.69418335,26.66451645
,,,,22.69638252,22.58272362,23.73221016,23.07213402,23.45625877,,,
,,,23.10666275,23.56022644,,22.37938499,22.69225883,,23.62421799,23.36265755,23.54439354
29.07599831,28.91290665,28.8447876,28.85299301,28.60133934,28.24803162,28.09441376,28.62811852,28.22605133,29.21893501,29.46242332,29.47045517
,,,,,,,,,24.14647102,23.16307831,23.9185257
26.37835503,26.31565285,26.28679657,,,,,,,,,
25.45409584,25.92077637,24.53421593,27.1791172,27.4814682,27.6666851,27.11227417,27.97339249,27.29920197,27.63650894,27.84044075,27.88954163
,,,,,,,,,22.90556526,22.56811142,
,,,,,,,,,21.75045967,,21.6667881
25.55528831,25.24416161,25.47824669,25.08444214,25.03447914,24.77344131,24.07291985,24.18774986,24.46494484,25.12907982,25.31260872,25.23033714
24.94185638,24.28404427,24.63765717,24.37497711,23.87614632,24.41570663,24.35984421,24.3528595,24.54939651,24.62995338,24.35050011,24.44303703
26.55499649,26.52890587,26.46268463,27.39827728,26.71960258,27.49838448,26.94246101,26.58305168,26.32666588,27.51893425,27.86236572,27.4276638
24.22361374,,24.7564373,23.3334713,,,,,,,,
,24.04084587,24.49789619,24.7940197,25.05407524,24.50057411,24.16453552,24.37841988,24.24785995,24.76870537,24.91775131,24.92895126
,,,27.590065,27.40088463,27.69928932,23.03664398,23.19701958,23.37504196,27.60045433,27.90655708,27.32457352
25.59149361,25.70141983,25.49222183,26.11567116,26.26965332,25.74727249,25.87893105,25.93889809,25.69016457,25.83455849,25.95384789,25.92406464
,23.05533409,,,24.04784966,,25.91991234,26.01130867,25.8761692,25.23721123,25.00041199,24.51983261
23.69072533,23.74857712,23.49387169,22.87631416,,,24.12581253,23.94654846,23.86154938,22.772192,23.0290947,22.71906281
25.96622467,26.47630119,26.46999741,26.5767231,26.36748123,26.36681366,26.57830811,26.57845116,26.80353546,26.72793198,27.03716278,27.39689064
23.53943062,,,22.70482635,22.74127197,,21.59304428,,,22.4247036,,22.47055435
,,,24.74596596,24.84402657,24.58302307,26.23516655,25.6542263,26.42867088,24.42675209,,24.8759594
,23.00264549,23.85956001,24.20351791,23.75959015,23.48246956,23.40950394,23.68816566,23.26870918,24.19775581,24.32051659,24.11227417
23.52480316,25.21752548,24.92492676,24.82759857,24.49838448,25.29778671,25.84864235,26.21907806,26.30417252,24.21111488,23.57692528,24.36959457
,25.64908028,26.11644363,27.57816315,27.52559471,27.6410656,26.49335289,28.02205086,27.2634716,27.92360115,28.31505775,27.74008179
,,,23.19496346,23.31782722,23.42483139,23.25245667,23.26970863,23.07473373,,23.24456787,
26.51284409,26.162117,26.86029434,26.07439041,26.19629288,25.77152824,24.72385216,25.23165512,24.57201576,25.83294296,25.68805885,25.76126671
23.93562126,23.61717224,23.23651695,24.01410103,24.55268288,,23.56558037,23.85271835,24.58399773,24.43872833,24.48080635,24.46382332
32.0909996,32.17378998,32.4419632,32.5561142,32.41482925,32.04221344,31.80147171,31.82763672,31.78838348,32.91547012,33.0382309,33.03706741
25.57001877,25.34268951,25.55835724,24.67976189,24.83956528,24.61481667,24.07381821,25.02415657,23.64812088,24.76172256,24.68249702,24.69694328
,23.65719986,,25.82713699,25.4084034,25.48971367,26.49015808,26.5883503,26.32249451,25.73871803,25.8479023,25.28429222
,,,23.60116196,23.54262352,23.26083565,23.99938011,24.30249977,22.91378593,23.47852516,23.08477402,
,,,25.79520988,25.26284409,25.83074379,25.63948059,25.47790718,25.80884743,25.44953728,25.66307831,25.44452286
23.43096733,,,21.90437126,,,21.69119263,22.30908012,22.3073864,,21.95964241,
,23.68495941,23.47370338,,,,,,,,,
,23.85690308,23.43885612,22.93419838,23.7565403,,22.96218681,22.96216965,,23.53445244,23.48222351,
,,,23.36345863,23.98372269,23.09863663,23.77122498,24.9190712,23.93391037,,,23.12900925
,23.16548729,,23.58198929,23.88706779,22.9665947,,,24.0274086,24.54639626,24.11012459,
28.59843254,28.34975815,28.59899902,29.50506401,29.44407272,29.28612709,28.74480438,28.80076218,28.90003395,29.47514153,29.51638031,29.33579445
,,,23.08406067,,,24.01937103,23.92025375,24.17980003,,,
,,,22.14491653,21.90994644,,,,,,,
23.71785164,,,23.07688713,22.95739555,,,22.65274429,22.65981483,23.21731186,23.47184372,23.34759712
23.19123268,23.51929283,23.94815445,23.48995781,23.40963364,,,,,,,23.25268936
27.44592667,27.9860363,27.48015976,27.74983025,28.49297142,28.19774628,27.30539131,27.71378136,27.44339943,28.25966072,28.23936081,28.36177063
,24.16353798,23.90398598,23.37238884,23.56127548,22.41866875,23.31630898,22.83741951,22.81456375,23.22579193,23.50069427,23.74416924
,,,22.88086128,23.15197563,23.02350616,22.68056679,,22.72999191,23.66524887,23.34462166,23.26627922
,,,,,,21.76660347,22.03932381,21.93858528,,,
,24.35413742,24.35521317,25.42204285,25.62647629,25.16626167,25.24803925,25.63023186,25.07148743,25.64913559,25.39998817,25.97195625
,23.39217949,23.39623642,27.36244011,26.84613228,27.54155922,28.19704247,27.96389008,28.416996,26.27822495,26.67868805,26.65198326
23.18787003,25.08707428,24.92619324,23.24781609,23.60896492,24.2448864,23.38534927,,24.42758369,23.36573029,22.42111206,22.61024857
,,,23.81509209,25.00996399,,25.96939087,24.76329422,25.45835686,25.07850838,,24.63599777
,24.7425766,24.95748329,28.69905853,28.6376152,28.96077347,29.30003166,29.65628624,29.48513985,28.17278862,28.35573578,27.95980644
,,,23.89504242,23.04670143,23.8429718,26.23196602,25.32988548,24.85908508,22.99846649,23.25421715,23.76931
,,,22.81293869,22.78588295,23.26556396,23.25853729,22.93508148,23.3448925,,,
,,,,24.41151047,,24.54821968,24.82478523,24.34861183,24.44373131,,
24.85690308,24.70186996,25.22062874,25.05295753,24.89272881,24.64201736,24.08220863,23.95916557,23.97123337,25.29778671,24.66416359,25.2653141
,,,,,,21.92810249,22.58529282,,,,
,,,,24.95571136,24.87445831,24.99800301,25.50930023,,,25.03946495,
,24.29991722,24.05994415,,,,,,,,,
25.06459808,25.47568321,25.15911674,26.14953613,26.34786797,25.73866653,25.63134193,25.99884224,25.63939667,25.90384674,25.70537949,26.43926811
,,,23.19454193,23.57323074,23.31202126,23.19864082,23.28432655,23.29712105,22.3273716,22.91365814,
,,23.79243279,24.86636734,24.82885742,24.02791405,24.62148285,24.71429253,24.41073418,25.4815464,25.19140625,24.88413429
22.67078972,,,24.43230629,24.71497345,24.48707771,23.27213097,23.58508682,22.83433723,,23.68206787,23.78686142
25.93546295,26.70147324,26.83038139,27.55924797,27.52954674,27.59327507,28.22940254,28.17897415,28.28246307,26.86384201,27.09335518,26.82735634
25.9510479,26.53491211,26.46985817,27.32911491,27.35422134,27.60179901,27.73731232,27.88785744,27.94436073,26.95681953,27.26257515,26.90598297
26.07769394,26.68458557,26.48417664,26.63754654,26.67290115,26.71855736,25.81970215,25.41525459,25.74126625,26.9077034,27.01563263,26.80168724
,,,24.42265129,24.36151886,24.66914749,,,,24.31305885,23.62209702,23.72171593
,,,22.89971542,22.1068058,22.89209938,,22.65937996,22.53114891,,,
,22.8750782,23.07391739,23.82880974,23.50130272,23.62187386,23.99688148,24.52199173,24.36472893,23.33442688,22.63307381,22.82778168
,24.97311783,25.39021301,25.88602066,25.76877975,25.80634117,25.2269249,25.36929512,25.4342804,26.27503014,26.10057068,26.21826553
26.07345009,26.08397484,26.11402321,26.91159439,27.16259766,26.83267593,26.27038574,26.45313835,26.31115532,26.74278259,26.85138512,27.03454208
24.032547,,24.51526833,23.79322624,24.15800095,23.87633324,22.81148911,,,23.93093681,23.65414429,23.83643723
24.81928825,24.13829041,24.18358994,,,,,,,,,
,,,,,,,,,,22.71542358,23.10056305
27.59028053,27.51404953,27.98945236,26.41377068,26.4197464,27.19478989,28.47142601,28.31085968,28.38352203,27.10109329,26.92614746,26.75989532
24.85305214,25.85915756,26.05407524,26.87654495,26.66125679,27.00260162,26.51246834,26.47659492,26.54561615,27.56891823,27.77423286,27.67242813
,,,23.85899162,23.3259449,,23.43262482,22.98072815,,,,23.12981033
29.0812912,29.41179276,29.56893539,30.59930038,30.49695587,30.395298,30.26270866,30.46343803,30.43061638,30.79846191,30.69602585,30.96939087
,23.87145424,23.5825634,24.2547226,24.24408913,24.40321159,24.19422722,24.01852226,24.26535034,24.42796707,24.50063515,24.58943748
26.26622581,26.71554947,26.81494522,26.77001572,26.56678581,26.24941444,25.25511932,25.3760376,25.38373566,26.30935097,26.21515656,26.02951622
,,,25.18449974,24.64663887,,25.765522,24.78890228,25.35481071,28.2404995,27.58999443,27.46925354
28.16954422,27.79222107,27.76572418,28.72487831,28.87376022,28.78596878,28.10893822,28.48308372,28.13721466,29.80475044,29.75571632,29.64785576
23.2463665,23.97097015,,,,,,,,,,
24.21526909,24.83812332,24.73758316,23.43593407,24.30549431,23.70229149,26.85066986,26.9049511,26.43737984,25.24655533,24.79540825,25.07553291
,22.54757309,23.04169846,24.38732338,24.55145073,25.23954391,26.25618172,26.06058311,26.52559471,27.33039856,27.24535942,27.16489983
24.35386848,24.97009277,24.56494141,23.8066597,23.41635132,24.2524147,24.27483368,24.14304733,24.38909721,24.56342888,24.78561401,25.00470352
31.39253616,31.65859604,31.83013153,31.51596642,31.2354641,31.53333855,32.26265335,31.94834137,32.12099075,30.94020653,31.11414909,31.10880089
29.87288094,30.1728363,30.72216225,31.33718872,31.24541473,31.06695747,32.03084946,31.88772774,31.97120667,30.34487915,30.57262611,30.63694191
27.15528107,27.24063492,27.13035774,25.63724327,25.22769547,25.76124001,25.20661354,24.56952667,26.06289101,26.22740173,26.36544609,26.62296295
26.84373856,26.83869934,26.68699074,27.78188133,27.78156853,27.71705437,27.80611992,27.66377068,27.86437416,27.36252213,27.58024979,27.18876839
29.68769073,29.46785545,29.22550011,29.51371002,29.50479889,29.04476357,28.73013687,28.92258072,28.76296997,30.86489105,30.76880264,30.86680794
,23.27824211,,23.85214806,23.91889,23.25286102,23.66242599,23.72202873,23.76708794,23.61683655,25.23491096,24.09127808
24.35407066,23.93831635,23.73396873,,22.48355293,,23.56465149,,22.47565842,23.28135872,23.40015221,23.53670692
24.7644577,25.18378067,,,,,,,,,,
27.22885132,27.91570282,27.32474518,25.81645966,25.75457954,25.33786774,24.61543274,25.67616081,24.83272552,25.76271057,25.84040642,25.54977798
27.61428261,27.80747223,27.67296791,28.31246185,28.68404961,28.96160126,28.83890915,28.63284111,28.85967255,28.79649734,28.85355759,29.03524971
26.1018734,27.37260437,26.11127853,24.69131088,24.32278633,,24.50239563,25.20452499,24.6280632,25.29323196,25.46522522,25.46650124
29.17302704,28.96010971,28.64526367,27.29561615,27.2541275,26.72155952,27.08405685,26.87876701,27.05992317,27.79847717,27.54561615,27.77391815
,,,23.25235558,,22.88578415,25.16905594,25.62759018,25.30730247,,,
34.88558197,34.21501923,34.34341049,34.25743484,34.20689392,34.58776855,34.46575165,33.75473785,34.46951675,33.66278076,33.44677734,33.84642029
