C1_liver,C2_liver,C3_liver,V1_liver,V2_liver,V3_liver
0.121972673,0.464281201,0.679576218,0.432341933,0.710998952,0.668315351
0.681123257,0.706742406,0.558816791,0.249748886,0.316963792,0.863384306
0.063794583,0.057420619,0.071084015,0.504648268,0.821640432,0.106630452
0.079355173,0.056206767,0.064344719,0.120071232,0.148271531,0.041254733
0.215132594,0.31939581,0.162436262,0.169339269,0.749093592,0.490557581
0.465453327,0.654243767,0.640485704,0.171565458,0.193714395,0.233041063
0.512393832,0.126783371,0.802803457,0.644808531,0.098417103,0.127100855
0.836262763,1.943308711,0.889210641,1.063009739,0.775124907,0.737335145
31.28999329,48.09804535,38.79767609,52.64113235,19.20636559,38.63533783
1.335690737,1.20943892,0.920601547,0.629599273,0.526139915,0.666142106
0.258942634,0.658400655,1.812049747,0.33290115,0.882458091,0.753821969
0.059994169,0.16049166,0.488730252,0.129524499,0.147433698,0.097218819
0.335916102,1.064843893,0.649896383,0.253624231,0.200150385,0.089925371
0.391783684,0.874702096,0.451548159,1.540160298,1.100766897,0.898156524
0.508753717,0.265123338,0.398966819,0.408406049,0.280887544,0.20528008
1.107679009,0.878249824,2.102563381,1.278824687,0.832233369,0.918764949
1.955174208,1.169948578,1.628080726,1.307070374,1.191391945,1.223958373
0.080525935,0.127447367,0.080879278,1.076402545,1.841840506,0.064904056
0.252490908,0.189912856,0.150820956,0.186290294,0.179412201,0.36104992
4.380308628,0.209509999,2.008818388,1.760641217,0.462648928,0.727930129
1.799930692,1.911486983,1.498798966,1.023651004,1.102872133,1.751236558
3.109550953,2.638978004,3.621137619,1.551914573,1.549080253,1.918465257
0.92088753,0.990378261,1.10480082,0.856705248,0.730447233,0.833932877
0.306354642,0.358212531,0.312579393,0.350169182,0.043986775,0.064877428
0.56137979,1.059540272,1.61909771,0.86642921,1.544402003,1.521732569
2.159230471,1.130780697,2.502155304,3.801959038,3.642712831,3.439898014
4.764430523,16.39461899,3.481293917,2.445984125,9.807689667,1.521844983
72.62263489,50.67459869,49.93254852,133.1397858,130.8783417,162.2227325
0.774865687,1.674759388,1.142147422,1.122244,0.985447168,1.067558408
1.095094442,1.340811014,1.657168269,1.895707965,3.353327513,1.792753339
23.22377968,22.02361679,23.70602798,11.82332993,6.351438999,16.62619972
0.474432319,0.334460944,0.543450356,0.535173655,0.435581654,0.270166367
0.156661689,0.188129812,0.066513821,0.10035976,0.245803744,0.049464721
0.121369377,0.145670205,0.128189266,0.149852172,0.113334782,0.160257161
4.370601654,4.429950714,4.272646427,6.702047825,6.971646309,7.063474655
0.042401426,0.095394552,0.1126168,0.061232418,0.182716697,0.072980359
