Intensity trophozoite 1,Intensity trophozoite 2,Intensity trophozoite 3,Intensity trophozoite 4,Intensity  pseudocyst 1,Intensity  pseudocyst 2,Intensity  pseudocyst 3
2073400000,3647900000,3657200000,3144700000,10833000000,11615000000,8250500000
17650000000,15027000000,12721000000,13331000000,28406000000,31264000000,26345000000
9754500,69160000,0,45954000,34750000,29118000,0
11375000000,21711000000,18915000000,15777000000,17683000000,8997800000,5084900000
6462500000,8387100000,6345200000,7280900000,7776800000,6188100000,4983900000
124040000,136780000,14315000,95675000,648380000,615640000,442790000
53444000,47850000,41480000,97652000,771670000,922680000,626920000
124020000,372370000,241560000,154670000,455220000,252660000,138600000
965720000,1293500000,1532400000,1745500000,3789900000,2703200000,1715900000
709620000,1548700000,1551500000,1375900000,10971000000,10352000000,3877500000
17989000,184250000,150110000,170390000,54073000,70455000,87442000
5667700000,2923200000,5631200000,26365000000,8756900000,20404000000,2663400000
173160000,164110000,118740000,148480000,0,26517000,0
1060900000,664500000,400470000,666700000,346610000,322820000,294610000
427300000,0,0,0,113160000,139560000,7739100
223850000,483480000,172180000,206380000,137600000,53570000,7668200
1415200000,2271800000,2428400000,2535200000,2225300000,2788400000,1432400000
4032700000,7630900000,6687000000,6287700000,9321100000,10614000000,6427400000
1044700000,3654300000,4086100000,4374300000,2477900000,2235800000,1908400000
26126000,245290000,157120000,290290000,857170000,827990000,884740000
77596000,0,0,45303000,0,0,0
8126900,0,0,7694700,630020000,563650000,327910000
276020000,438480000,428960000,492260000,538410000,335410000,70467000
488240000,896020000,662450000,518410000,323560000,411680000,186050000
32201000,37374000,45388000,58400000,125190000,156070000,154750000
570470000,319720000,272070000,429780000,910080000,935030000,846120000
5302400000,4658000000,5150900000,6045200000,14921000000,21498000000,20005000000
96542000,330720000,233770000,250420000,890790000,1030300000,702470000
106450000,205380000,281260000,248630000,57520000,78101000,65673000
3461700000,9886000000,6717000000,7165700000,6322700000,7156000000,3448000000
201320000,694510000,313150000,22806000,84078000,0,0
917120000,915020000,865080000,866990000,783410000,757040000,711490000
978820000,1055700000,1117100000,1068300000,6109100000,7952100000,8805400000
0,42744000,51737000,0,1618300000,2641400000,222200000
236540000,311750000,252930000,292710000,1232500000,981350000,882380000
0,12184000,9803500,14245000,0,0,0
115690000,58388000,150820000,75664000,1121300000,1374100000,709950000
44199000,217020000,140020000,261930000,109680000,457420000,0
19290000,108060000,21574000,0,83921000,49887000,49844000
550240000,1362200000,1236500000,1433000000,3204600000,2666100000,1551300000
631960000,1143900000,1121700000,1185700000,4939700000,5053500000,3385700000
481150000,907180000,1012000000,804230000,4626900000,1749800000,1429300000
60591000,154080000,266900000,383150000,248520000,434310000,53072000
12904000,187560000,115750000,54010000,0,19823000,0
80401000,227640000,0,209730000,23097000,70049000,43361000
36093000,34985000,57195000,82674000,226180000,160760000,152920000
531820000,1305400000,1234500000,1180200000,1977700000,1062600000,790880000
0,0,0,0,244200000,89600000,0
0,17978000,12507000,0,34316000,62055000,19979000
2619800000,5398900000,4935000000,4561000000,1561300000,1344700000,755190000
151000000,101160000,238170000,258330000,2883700000,469940000,166200000
72585000,96562000,43177000,58733000,89225000,190430000,20998000
199140000,190150000,162010000,103480000,72994000,32057000,0
25372000,15508000,0,15440000,323270000,192240000,141380000
132490000,640950000,701940000,448950000,267450000,309080000,74124000
210440000,960320000,678190000,1209800000,1008000000,850540000,300920000
15399000,0,0,0,67603000,65356000,60088000
15621000000,17875000000,16997000000,18879000000,9002000000,10311000000,7417800000
116240000,183760000,141880000,88981000,361750000,0,0
0,35639000,217380000,365530000,316380000,173270000,40292000
280820000,498830000,359610000,401090000,90845000,227400000,261570000
819870000,1538000000,1891000000,514650000,90795000,269090000,0
45794000,121160000,49952000,27848000,0,0,0
0,0,0,0,184320000,180350000,0
0,68269000,0,0,64074000,199540000,0
2101600000,1751600000,1405400000,1497900000,1395400000,1670600000,1287500000
633660000,877970000,775560000,856840000,413870000,667030000,273160000
4903800000,9492500000,5924900000,6667700000,32511000000,26560000000,9335700000
466900000,1615700000,979700000,1476500000,450340000,131990000,58158000
14783000,37738000,4656600,0,0,0,0
12589000000,14224000000,12380000000,11870000000,14586000000,17172000000,6438100000
17114000,0,69135000,19029000,527100000,370890000,1046600000
120730000,21830000,83861000,190240000,721960000,744400000,530480000
159930000,262190000,260690000,572630000,0,0,0
47638000,113650000,65413000,100540000,13501000,0,0
300110000,252160000,302910000,310550000,575290000,488370000,134000000
0,69951000,99583000,73968000,464520000,335210000,73506000
1190400000,2416500000,2448900000,2475000000,544950000,479380000,291840000
83876000,280740000,270870000,281310000,65199000,76804000,0
35326000,18654000,41085000,0,62174000,87324000,23708000
190320000,2119000000,1904900000,1340900000,208880000,182670000,28226000
4200600000,9870000000,8801400000,8480500000,4994100000,5311800000,2179900000
199030000,154520000,167690000,173630000,0,0,0
1924000000,1645900000,1894700000,2174100000,1488400000,1702100000,794400000
0,21553000,56957000,80900000,0,0,0
1434900000,1454700000,1122800000,1395100000,651640000,725970000,304860000
18343000,41688000,46350000,68868000,0,0,137610000
45311000,31699000,30621000,34263000,0,0,0
71713000,1143700000,1242900000,697930000,259030000,112020000,96387000
7312000,110070000,139450000,192440000,162480000,59599000,0
31777000,21175000,10633000,34383000,16089000,38089000,45907000
22152000000,37793000000,36306000000,35120000000,25125000000,33009000000,22266000000
17667000000,27514000000,23748000000,26246000000,1.1582E+11,1.0704E+11,43135000000
44950000,331940000,279720000,404480000,563810000,1068400000,897790000
52580000,11698000,18331000,24500000,1024800000,983850000,1003300000
147470000,296650000,132600000,152000000,284530000,352200000,154110000
98296000000,1.9534E+11,1.5891E+11,1.7697E+11,3.0606E+11,2.5426E+11,1.47E+11
0,8063100,0,0,2038600000,1924700000,1320700000
223100000,959010000,841900000,886350000,2449800000,1831300000,1031800000
67747000,326540000,277610000,274550000,0,0,0
57336000,16928000,17187000,12222000,29164000,30245000,0
7926500000,280860000,164180000,86141000,7907600000,6056800000,1999400000
0,23364000,18801000,27920000,57076000,71123000,39947000
7892600,0,0,3273300,0,154400000,27463000
54700000,65965000,0,41637000,43220000,6462300,0
0,84458000,126800000,112470000,94392000,0,0
596610000,1136600000,987560000,1102200000,1743000000,1247400000,584260000
468420000,1114300000,1065600000,1184700000,503660000,324400000,142070000
103880000,178300000,119390000,107340000,27108000,522290000,0
12842000,0,34144000,0,291220000,351650000,91268000
92657000,41922000,251670000,169460000,2418700000,2619400000,2457900000
39515000,25454000,27470000,30311000,0,0,0
204970000,1009600000,243180000,269860000,0,0,0
160390000,130140000,126900000,191410000,259820000,423670000,214230000
32101000,70582000,67027000,109070000,146390000,19556000,0
378290000,49917000,169140000,342240000,439760000,161550000,74099000
225870000,881480000,599230000,695030000,1031700000,921470000,426590000
306520000,91492000,63758000,126610000,0,0,0
9194100000,10818000000,8269600000,10203000000,7841600000,8356800000,6309900000
582630000,833990000,610790000,746870000,20473000000,20935000000,7691800000
320890000,470340000,324510000,252510000,103310000,162160000,177970000
50725000,135370000,62597000,74344000,0,0,0
302900000,299870000,274320000,213110000,882090000,938110000,515010000
73092000,18263000,45269000,57809000,25266000,206930000,0
64235000,214900000,44232000,49126000,105090000,181980000,100160000
755330000,1925900000,2449100000,2027000000,476240000,765850000,1718200000
5641600,0,0,0,244190000,184480000,0
713550000,592970000,487230000,683790000,1054100000,1326100000,436200000
3173800000,1852800000,2332000000,3348400000,113630000,100530000,116110000
175400000,82103000,298730000,227850000,32523000,183990000,88126000
0,56698000,151670000,132420000,109900000,145860000,0
949580000,3743100000,3891100000,2079000000,429340000,67464000,0
339330000,276780000,210930000,455280000,780440000,1027800000,325940000
4758300000,8640900000,6823700000,8440400000,43024000000,45730000000,28390000000
186160000,107290000,178290000,123980000,97513000,255490000,61824000
86841000,273620000,437070000,408180000,0,0,0
118660000,108650000,27058000,48658000,127020000,51496000,44207000
303910000,2959400000,3305000000,4309900000,112150000,159650000,145220000
511390000,575780000,567590000,800650000,604480000,975120000,311730000
366440000,163720000,250850000,449200000,0,0,0
