1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51830,62159,51705,74969,59338,68336,83213,42491,56906,53959,47218,61272,66643,86123,80219,90989,95279,82592,85331,33750,62954,355067,45083,59614,41839,46861,51060,37365,18812,42217,35070,66994,77078,79370,87768,85086,101531,79324,82460,67932,60502,56247,301644,87234,65902,95198,161088,117731,60646,102744,66356,69821,403411,44240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154938,199347,254569,150425,224875,172346,78313,144961,328710,168448,183524,212258,224413,264886,184655,280930,57069,86715,101447,111123,49929,159256,112141,153556,131747,63055,115464,128546,145565,87058,208171,246086,257622,116494,391857,424333,292716,396267,218612,523781,273905,259779,340738,283920,172290,163757,245478,219865,83138,212737,78028,158451,309969,59023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39608,130779,21272,17382,66984,37463,19096,27425,14076,17396,54766,21816,24218,126172,45007,20113,17874,34171,33824,26138,18759,33941,20290,38089,68033,16926,17349,32525,57887,44644,70920,163737,162029,21877,39932,100230,30278,33371,44211,49018,35089,48815,98336,50789,35089,24490,122523,212363,43758,194064,27695,41558,42593,23054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181847,271279,105515,138858,320155,124306,111896,136457,163060,88467,259728,92573,106320,116199,115339,123793,108079,91276,298419,255878,183819,110087,84700,148780,140174,109826,184466,163370,1572986,157727,340109,1431633,578661,160196,156619,102274,137882,311298,288983,236067,617810,419222,4821677,711631,341942,384373,221905,104694,186157,116498,155477,147569,534035,108586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75310,78767,87025,56007,76168,78056,49234,80850,188453,57117,117698,143432,141483,23258,31556,70283,8216,148704,22700,108583,48741,16702,13977,25407,43286,14071,2857,32706,31585,12877,41393,121098,103197,46065,98210,167024,136979,82312,94751,179574,141223,121757,245044,284335,149927,27109,138688,79889,78453,167946,49743,8645,61616,15853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,1852,582,405,1845,702,60,614,1424,585,979,1191,383,0,0,30,0,427,28,279,376,15,0,19,4,55,0,47,13,28,0,1729,2409,343,885,1786,539,1397,237,1075,1015,800,1636,801,185,0,202,911,874,1016,492,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144564,158275,124513,145772,174391,117465,135271,175694,144302,152520,191696,124630,127471,123229,104377,128289,102091,132209,112116,159857,122368,97311,120559,121065,145592,109514,99152,110607,102057,115461,116466,178979,168324,148932,140551,176972,145304,174960,267080,182589,268829,248901,122515,255170,178210,188374,126349,119100,176387,113187,147405,89752,136682,111512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91959,210910,117210,112347,176165,90242,169733,123158,204687,93117,125485,103047,93303,169632,119130,147379,107063,85547,132071,122130,105238,163907,184610,166175,196934,104122,111608,168654,147407,152725,181097,183587,226403,112513,197693,465143,136270,169657,145160,140346,195532,112320,182621,438267,117749,135608,223521,199591,114538,231265,119206,172982,201667,128865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14212,8888,10488,9411,9792,9689,9220,12194,17752,11973,12021,12902,14325,17804,11849,14142,6877,11809,7585,12874,9537,12352,12321,10644,10049,8236,9496,14137,17212,11396,10792,10349,11720,8365,11920,23649,18494,21832,12728,19439,41763,13432,14187,43228,29421,9412,14223,10295,9028,14023,9231,9040,52934,10916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179586,192811,155744,133537,176929,172159,149386,207164,199985,114817,200307,221090,195122,59821,223578,96145,30046,247468,113365,92492,133143,49490,38324,37052,54492,34854,32985,70039,54224,27519,37976,202040,225033,138093,184251,273891,207270,183371,183729,269257,219331,191480,388523,394932,226039,77201,379845,215735,129844,76834,89207,38443,133514,36922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
