1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11323649,10763783,8063265,8246645,11421846,9383209,7181973,10170458,10737443,9029312,13504258,8792497,9415655,12702125,11745404,9733192,11096632,10153114,8835193,7653596,8744251,9814923,9754798,9713059,14540312,9942484,10583904,13420572,11170424,11091234,11340065,13250194,14016538,8095134,9589143,12932816,10071838,8592408,8233622,11358572,10052166,10008668,9883547,11790235,12084804,9873117,15015818,11516721,9138470,12395212,7823350,10842826,9038153,10646873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192529,1222541,1382403,1352990,1218253,1315000,1243082,1264450,1290424,1220750,1439917,1307631,1350719,964779,1360453,1394646,967639,1302038,1174238,1179191,1233817,853907,1190796,1398485,1284501,1211890,1064993,1178810,1241147,1057104,1164103,1302959,1295848,1320367,1642836,1319307,1408041,1537296,1552203,1529922,1691713,1253473,1388439,1211554,1059827,1105933,1272146,1038308,1107274,1002525,1054097,939710,1157280,995820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118323,149085,136059,111680,146212,128773,86861,124587,132410,114691,121924,149131,152588,190765,145757,144134,119544,111626,114871,160852,121602,136522,114299,139300,173041,166417,114789,152818,172981,133410,166491,125621,125500,126050,125961,167079,134531,172240,141494,176417,172779,109801,185169,193803,158540,119038,150041,112394,108187,142089,118663,111224,166089,123105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504494,598805,580509,631636,482388,612039,666433,668737,537216,551625,582404,628139,589719,671153,530362,583030,450169,457452,564760,523534,596012,1136524,540204,726959,458091,578657,513702,601165,461373,564516,726301,670562,624159,647471,527325,819331,810853,476586,631121,624796,434050,640732,543337,701495,511929,527179,768308,427851,516810,529271,601257,646382,732223,601977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11882581,11951633,10853934,10942567,12475258,11608679,11099492,10351357,11816298,10040336,13234121,10354750,10253691,12774363,11317033,15024070,13817842,10752809,10741636,15263614,10568514,13233770,11938624,15486141,19382400,13008980,12439088,15515054,16456406,13643802,17086076,14665831,14647259,10838991,13427937,14795611,12509439,11742795,11688359,12133201,12763805,11068572,15669608,15176383,12015503,12655162,14421685,10996499,10841418,12612550,10335035,12306069,22445225,12449112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731706,897816,819796,633186,922622,819356,510876,515777,857466,486014,709314,727732,661262,961057,797644,933324,533799,515636,617863,762006,496305,682609,623349,767962,812640,874765,664618,1222718,1070093,733319,928804,919091,794311,683232,799549,1091557,802497,895240,724541,865449,803425,597080,830264,886474,763197,725994,822706,777913,563890,958443,492474,516102,938178,575683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385521,340538,368822,331850,325914,358762,348529,320648,409387,299148,499555,402616,464597,460740,488306,618819,263044,371833,425569,381562,289125,452671,425453,488480,515765,448058,347738,438549,394152,373778,379650,442333,374415,322416,460482,479350,435157,231438,495450,637152,612249,383943,430373,531180,367689,440808,395541,339368,395342,416915,274069,381257,472834,314676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541771,4218336,2786957,2918989,3984129,3191189,2639049,2804547,3643323,2384718,3349763,2407143,2552616,4017551,3291238,3344773,4485832,2807161,2979559,2986269,3277349,3891554,3767461,4199170,4738722,3589954,3689909,4274925,3501231,4019976,4175137,5712731,5538319,2719911,2922912,4283216,3011994,3007167,3038619,3296165,2838567,2657048,4414976,3463470,3246919,3290540,5019674,3482749,3332949,4546199,2801206,3252416,3980413,3415493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69993,62291,59919,51617,62258,52592,43880,81741,77326,78454,101964,88321,106043,127475,136131,112340,74780,83075,76801,54134,58153,91819,73970,111436,100616,83999,80536,91803,82726,71732,113286,70286,75412,45571,78649,110125,79346,55730,89428,125907,78385,100212,100338,103099,88847,95508,104671,69490,72720,83810,70871,81402,99068,79686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84163,54399,51040,40880,55683,61557,40907,37401,46146,35429,69813,63771,50875,63742,60815,94151,54305,43824,37218,44372,33038,69153,52454,63530,63985,51739,50819,56901,56133,51591,59197,69118,47135,39172,55304,112197,83203,48591,58058,69301,54001,44230,62530,116112,70945,50620,40040,37999,50613,48175,30987,47124,75357,46270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34653,23862,26808,24780,20703,19116,26212,27142,32825,29779,30401,25518,31260,20204,33371,36665,39855,34569,27359,33245,31473,24267,31485,23969,24736,36299,36794,31328,32558,40502,22415,26302,28388,26738,34528,22109,30427,27346,34383,37327,24835,25594,34891,33372,32395,30453,30901,28432,34624,26412,28042,28423,33322,31553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243435,206856,196601,213357,221573,184728,253798,236643,203609,218212,252417,230254,303502,212414,201309,245436,205981,214245,208555,192139,181577,249805,344897,228908,239719,177643,282051,269560,239085,230652,197658,222663,303779,229355,276913,208161,263502,178767,286679,263572,154034,231556,217269,225206,155903,271025,231178,212745,237005,225528,244150,225812,314549,244846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963531,1171969,831344,835099,1126048,850569,786305,896183,1215162,893286,1066577,803051,947151,1309987,1004889,1187331,1038143,950416,833906,950105,857567,1189082,1096911,1491206,1709216,897778,970373,1247654,1283343,1090491,1339673,1289871,1572005,690841,1065238,1432988,951268,1029349,877213,1019727,927060,869821,1739361,1148405,920062,1014443,1569183,1133720,939822,1229948,800133,866200,1691066,831285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758644,640761,683689,685872,693058,717867,669540,587654,511729,488661,695801,554893,629769,378908,691067,607458,701086,722126,627995,703322,607619,545094,535599,431603,504492,900260,526209,554448,567958,495548,590914,657108,638555,780028,767184,710694,772034,1061067,713738,660285,607151,543744,527651,557721,569606,575386,557868,462042,698664,458794,529759,583002,533970,618367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62799,84530,74009,58037,80857,82747,45942,63416,72045,59336,92524,67706,73328,78587,86770,84584,49270,53676,52264,59489,44266,39856,67541,70160,66359,62968,57653,61346,56504,49482,84148,77942,96107,51354,91733,97328,68381,69918,64921,95106,66212,76109,68272,67104,55359,62840,69195,58095,68943,71269,50993,36517,56588,55563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132207,86726,113094,116385,106681,143001,80583,96804,150643,112839,138903,132285,133075,72506,154226,170464,95700,111964,93514,103698,84986,68296,126883,103674,96587,121759,108085,98578,97626,78057,84733,90813,90576,111770,153525,109794,164023,116877,141587,180148,126538,125590,115325,148432,117643,121933,76852,76577,128876,82565,86787,82127,99237,95361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13277,15426,11253,11772,12059,9954,9604,21314,16330,16391,15620,13013,11293,14458,12767,8130,17669,11734,8807,26550,9977,9589,11872,11894,11545,11101,10008,14744,14437,16441,13624,13069,14472,11130,15644,14506,12131,17251,12509,12349,23154,16969,10028,14847,13850,10922,14401,8073,13498,11293,12170,12094,14798,15224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595407,473201,543193,506527,524936,540129,471502,592082,716681,548806,555153,381753,629856,371512,711136,677753,528910,558351,590515,734862,600531,494860,632027,646180,583576,551071,487906,599218,603671,550736,461684,545662,516640,491839,699366,662279,674283,1458899,648553,649134,636582,492123,596066,692245,574655,542016,441939,423072,462148,465135,456465,520851,705430,422636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77630,55836,77674,43196,32690,31982,69695,134908,81946,81077,100496,88804,109895,103613,98836,104530,64749,89221,64700,61966,66407,99585,78962,107529,68348,103720,65541,85265,93294,129287,74194,79497,52982,76024,72405,56635,63013,83278,112664,93136,153356,62429,98691,90958,102309,105953,101156,90741,87446,49550,96592,99188,58273,70838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376998,2148540,1400224,1221062,1741305,1190788,1159753,1891517,2280709,2009907,2486468,1700609,1461663,2947766,1602517,1512404,2019711,1110859,1315549,1701775,1503307,1914139,1713740,2535340,3316919,1923797,1424208,2384635,2379411,2202773,3316051,2525415,2612484,1120397,1669738,2185616,1273239,1766001,1282593,2309379,2491723,1386425,2918009,2137542,1953907,1907132,3484471,2272245,1328935,2045154,1155008,1569286,2794461,1804960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170,6736,7647,10106,7636,7278,12034,11398,7841,7591,7855,7439,9625,6316,9796,10676,8150,11379,5991,5579,7924,12800,6349,7107,6398,7904,8923,6251,5487,13363,3952,6805,7126,9568,8910,6924,12666,5782,14493,9590,5749,7514,8219,10334,8743,7515,8648,7898,9209,5472,10833,11285,7243,8094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20400,15546,21116,25684,15883,18245,27353,36152,24608,26655,26879,25295,37902,22763,30779,27225,27436,34234,17853,22356,24114,29251,27693,17963,16365,22597,27289,26610,18983,39494,17434,19560,18443,28931,26201,18509,32050,19583,34494,32146,23954,26494,25001,21507,25857,25910,28306,23155,32999,19816,32980,28664,17954,25545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459224,286628,431599,187603,184150,196020,225616,486203,484400,397087,584862,573427,695574,596231,729425,763491,266159,578706,485702,447690,426456,626980,585243,803519,449971,464004,410532,577099,627572,577348,451500,411321,330534,288328,446236,421878,484682,513577,552558,488184,1040100,432659,727448,689976,610903,604097,485623,478860,566766,350773,405422,474582,473071,263965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93782,144338,91074,87840,133535,103994,96378,96207,113457,83176,132311,216193,121695,153816,146885,164400,90103,106827,88822,103327,71777,134023,107053,124697,158258,84298,73702,125323,114707,176513,147660,133530,150149,76535,118909,171855,125702,107321,110286,170376,109584,118321,135422,138708,110723,138428,130171,125140,92974,150237,83297,91507,145950,78505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11508,10933,12904,10591,9716,18079,12793,6578,9877,8026,10246,16067,13302,21113,20438,45674,11789,15435,12040,12040,11139,11837,14292,19886,14931,13114,13169,18283,18257,12108,13672,11125,12421,11130,15513,21735,15474,8686,12487,18909,13241,11093,27722,24072,14258,20772,15026,15531,13306,19520,9567,8875,23412,6728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340009,319615,386579,408866,318459,341771,982805,553046,381164,528388,437080,432939,587203,454805,594521,835410,665714,735138,353544,454848,470918,387220,662822,223634,384940,428535,588695,261189,288548,253119,338073,335197,355086,485081,399502,383245,456335,315429,548221,447660,466447,474068,463231,438424,359490,861477,475519,246850,525444,606849,712774,674536,538602,395485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10931,7053,10296,12785,7726,9995,14389,11362,10192,8447,8551,8417,10996,6905,10416,8512,11433,12372,7017,8722,9527,8174,11148,3974,7123,8150,11795,8772,4317,10358,3813,8594,12015,15423,12737,7562,13256,9832,10464,8821,7007,9180,6723,6437,7838,7941,12497,7212,15350,6030,13297,6768,5939,9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615474,659118,589651,558061,771286,609307,523346,613107,991999,587028,792866,615160,748359,762479,696884,924811,442290,590304,501773,581453,489082,667506,812822,732606,764044,563742,623628,804119,727510,608499,712626,822043,899242,447134,912006,805848,863799,555938,738723,1200712,612071,696308,842567,645657,490686,623725,654345,604703,621993,790509,529237,432811,824794,490437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27598,42193,39275,24574,45201,38349,13644,24705,34184,22533,33788,34784,22998,53735,33357,45073,18164,14532,27735,30426,19759,32022,29927,45973,85006,28615,36952,50854,55510,27913,63572,37326,42900,22648,40904,61742,39405,47195,18079,56164,31774,27675,74187,53427,30598,24847,43033,36465,18815,40126,15461,19430,77857,25342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645486,861104,474238,420651,715293,640787,309968,417167,453225,706562,590956,516880,373912,561522,460145,443521,467077,380095,346779,986505,412863,753308,414936,514433,649886,622309,447531,954501,920315,849498,569036,741069,848556,474003,677958,771989,562137,821996,427894,544397,948062,437500,565065,571990,673216,404607,619202,476650,466122,568144,314886,510841,627784,592305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15891,6483,25957,10222,15553,13684,8961,12463,10622,10197,8777,9858,18281,6382,11435,16388,6804,9122,13054,11808,13118,23199,15854,17067,14891,19176,11827,17956,18464,18542,10063,20211,7405,10987,15175,12587,19405,13664,15494,23788,28826,8907,16859,31288,15890,9040,4691,9984,11823,18210,8257,10846,24788,9295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116074,171145,120578,90211,183065,115086,77374,91454,147945,132727,170253,116751,115244,202056,97861,77110,73081,59997,104915,109502,82308,58798,115626,173456,85589,60340,29604,110061,109416,51251,162912,189231,207192,75188,109409,169755,129604,155082,65104,124672,118857,140788,132670,77777,115516,86273,146555,156510,93812,170322,60756,70276,45986,55304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13166,33776,14241,11636,22622,15832,7895,12240,20450,12431,19193,14603,12800,36817,14661,19738,12116,7626,12799,14380,9048,37151,15814,31441,33761,14396,12259,36406,30969,22728,36079,32928,39716,9521,16167,36745,14665,15176,9715,26065,13858,11561,40965,16763,11345,16558,34862,31050,13129,30814,9222,11946,41830,13173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4194,4900,5528,3135,5654,4946,1313,2986,5119,3966,4772,4932,3438,3694,2519,6469,2010,2802,2690,3273,1636,3724,3118,6033,11338,3582,3129,4175,5047,3123,5544,4308,5897,2317,6122,5972,4774,5111,2729,9627,3847,4645,7929,4863,3123,3196,4238,4741,2258,3837,1711,2315,4928,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235200,264432,198252,204807,184144,212615,133050,197157,114660,100799,81246,158359,127528,130012,126433,218935,124721,87786,129413,143758,131365,196594,82900,128655,142969,200454,106005,187864,139202,207233,125460,219773,83409,199324,192980,218205,218786,214210,229238,160053,168390,87763,303173,157310,163709,130296,111095,94439,98069,175999,109450,179940,167581,109061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4816,4538,5543,2308,4627,4362,2250,4206,10090,7828,12858,7588,8315,5616,7811,8617,3691,4404,1906,6600,3184,2290,7185,7907,9260,3319,3598,7667,4840,2055,5627,5728,5160,2850,6417,8291,5735,4464,3788,14002,7609,7886,7247,8850,3846,4163,5217,4531,6196,10034,1991,2377,9439,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265010,476213,308429,215796,502753,346702,126987,176781,273571,172070,247951,169431,202446,468679,245828,365989,224163,155677,243978,251113,200370,217266,239970,454036,518080,191552,151793,356344,361991,225459,497044,483703,610578,164784,420649,301893,208175,351502,165094,292604,244043,227538,374466,238802,190380,264261,395941,398046,211867,396951,155630,211784,361732,208361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32474,41513,26056,22990,27825,29626,15808,19300,20233,14478,23330,14375,15662,22221,19518,22493,26065,12279,16254,18875,19407,31726,23428,59888,48694,28113,22841,41856,31651,46507,33017,46921,45569,18151,25045,33575,27235,35495,17349,21891,76690,12143,37960,19128,17384,36281,43631,22444,16929,29136,16593,20438,24352,21271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27808,53956,48931,28629,49857,54335,21913,26224,55597,39672,39678,50592,36848,58508,41667,56632,19341,17848,29791,25194,18500,37896,41385,51284,59212,23496,29226,47545,35945,28542,62473,48374,63388,29756,59160,51489,39791,39928,35308,80316,42110,42094,67889,35262,20467,35683,34634,45130,28253,44160,22801,14805,62525,23156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16215,16009,11050,10134,18348,11489,4667,6249,16652,4214,9390,9625,5813,21814,13572,20117,9605,6390,10193,20457,7500,22122,9680,19706,28199,14928,11482,31985,28519,20024,25935,16066,15806,6996,17062,32120,16406,17047,6856,10411,6575,6102,21077,32268,19073,17832,15285,17224,6356,22779,6149,14286,34062,12307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94954,62530,81211,147223,72602,88856,140071,246940,62173,163545,155093,96280,134782,69985,107622,263323,499271,154079,79728,158436,165189,148035,105887,27539,32168,157010,96728,25376,28853,62662,29141,64555,49344,147691,92570,60849,67984,100312,135402,99341,112882,96493,148112,100979,96628,125178,122173,38929,172201,168441,235999,137603,86954,148640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48303,77266,32570,34484,73385,38556,30683,36568,55998,32227,38536,32281,41344,66235,36576,39365,39856,32683,40913,31783,35804,79540,43630,102618,86543,38214,35295,78018,69995,76409,66146,90417,93716,34377,52895,83299,49564,49607,41750,39582,71990,27380,67450,44339,42328,33225,80429,63505,36149,69593,29399,39299,51456,32388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24818,24017,32677,17069,30857,20432,12798,17405,47838,19426,26386,51444,28486,49142,27065,31085,11607,16112,19964,19162,12011,21948,26513,43166,78837,17490,34335,30302,34297,18366,42141,25534,22573,16072,23284,58555,32557,28007,20448,41050,50450,29603,31800,66761,35854,20847,30456,30352,15558,51665,10934,13958,26533,18194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856847,619641,645510,581115,650686,645655,468646,579254,771529,473662,698981,618851,508714,695278,676383,862974,658845,594852,659392,726305,643509,800025,732541,914279,1237214,927422,1002907,1035988,1028210,735638,1406995,753941,704888,584884,908091,944364,916007,776167,644437,760564,588717,488067,727846,1246100,852933,800991,859331,735041,568378,631813,476201,893563,1169465,892457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3790,2959,20906,5169,2831,2427,6143,8453,2421,5038,1653,3559,3096,4548,2727,1793,4641,2494,1747,3902,5114,19593,3297,4978,2947,3860,6460,5435,5311,30196,2245,3456,3996,4503,2000,3501,4588,4134,55315,2085,3844,2034,5573,3526,5724,2813,10735,4339,3943,4080,8637,6922,3809,7548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45517,23508,23896,22203,28632,29684,22027,32671,26709,15115,12267,23599,18487,25311,19040,35179,13782,16501,98769,19234,22782,73573,21745,29790,25969,16994,19962,37090,44536,117421,30129,59453,31668,21067,34439,69548,31481,33903,28366,34278,34335,19007,48247,33144,18651,42937,25849,23123,14854,27346,18544,26767,43533,10668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16560,11596,15324,15208,11012,14220,32888,21178,12148,15275,12170,20557,24924,10086,17620,23670,12393,23616,16828,6527,14433,22331,14866,12750,11121,11119,12490,8196,6239,18032,1399,8069,8358,18077,18136,10438,24101,13549,24030,19081,17537,16971,20069,15097,13870,10106,13153,7675,13845,14368,26286,12403,13514,10080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11272,8797,9748,5139,6516,4906,5032,5982,8979,6406,9395,5387,6273,7228,8728,9509,8497,7285,7629,4873,6663,2607,6578,9696,8295,6920,5230,4762,5615,3203,5347,10791,12561,6274,9225,7117,7938,5767,6972,9512,4353,5446,8510,6721,5250,7423,9045,7454,8268,4494,3136,3670,5825,10343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591560,353134,350042,336549,362117,410677,269156,264671,302861,207863,367557,285622,310424,300586,310575,449197,315421,373526,381347,1699477,322234,405473,243485,317286,302921,399062,290936,435547,462216,332712,438743,462339,402356,423962,440566,523644,631572,450702,352860,273939,440490,273781,284156,746276,478701,348928,235113,247698,345534,250158,226588,452391,426998,374487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7074,23724,6560,3379,21226,8190,2411,9375,7235,2866,7760,6317,1966,19116,7058,5794,8408,2257,5512,6998,4448,9236,6042,20543,16842,7307,5190,18440,17725,15529,23507,24355,30140,3429,9535,13510,4444,17225,3305,5122,4125,3935,17433,4696,9543,9159,42489,19519,4599,17193,3344,8301,7581,5824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198512,261303,238350,139393,269881,178578,149750,174834,585948,188941,251916,296227,258091,542380,386934,446065,118847,170572,255895,313550,156491,428852,296444,419475,582481,179168,252333,602860,573332,147478,814968,296885,288269,122939,251059,388640,261058,260819,150946,356572,321145,329201,407948,401440,280549,444354,373000,508298,145078,506961,156496,290354,865135,173067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15196,9193,17010,21188,11921,14379,13505,20964,9686,10719,10037,17161,18095,9764,10140,20472,14778,14960,18474,73280,16357,20182,10503,10341,12110,24873,12377,20823,19725,22046,9507,16100,8879,19480,20847,19457,22994,25952,27153,14521,26880,10015,15929,27245,24596,15576,7430,7581,10478,11812,14905,20625,20041,12151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59463,33665,54573,21840,18562,21475,29388,39449,52501,47331,69379,67171,71705,54810,71900,73219,34917,74469,46215,46184,50278,53290,56859,84232,50898,63612,48167,56081,59957,40033,54184,42657,30699,38111,47146,51132,54211,50566,66220,65416,136354,46963,66036,106065,72820,55645,47472,41087,64523,29460,32900,34601,54512,33835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141285,446736,114280,110494,307429,163586,126331,146067,155173,90698,146652,139393,93211,377354,165830,148482,179757,118294,125448,173150,112238,199403,99816,415249,378039,188127,371476,417393,303815,177556,653749,378204,458914,93375,133049,309447,133229,276412,137301,123756,118800,110933,251665,176207,205928,215726,403868,333819,101062,300815,124469,209454,900412,96740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,5378,6729,3795,4767,4426,4846,7569,7812,4844,9524,4798,6890,5223,6992,8891,4689,7377,6641,5215,6455,10953,9444,9942,9713,9210,7159,8341,8976,11334,6960,9072,9128,5436,10287,7122,12655,5243,7380,10805,32024,1479,5336,12334,7962,5159,5976,4743,7924,5190,5287,6259,11740,7776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38733,22156,45364,37812,45273,50097,15927,24704,48178,25734,53579,48173,43610,61270,52896,66567,33056,37476,41771,89921,41352,43908,91870,120377,94536,49734,1852,82538,68543,36460,43557,46196,69516,21232,62629,47100,81751,33872,33977,78390,23852,40146,61616,40897,37608,30280,53477,71998,48371,81227,30131,62896,32875,39800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741220,1846099,2583393,2731416,1655950,2139263,4761185,1025652,1081533,705795,1174436,750594,853043,848069,2388618,3546296,2540289,2571597,1453065,514054,8805877,716368,19537536,880618,2600356,619299,3056626,679916,594390,937883,661559,1823300,2731583,2627681,3618775,1156162,2381891,1947284,1226563,1188750,1138653,1150409,796540,1150031,856948,2764807,3598820,3985963,1418924,9536052,1200521,753722,673131,2048132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
