Abundance Ratio: (129) / (126),Abundance Ratio: (130) / (127),Abundance Ratio: (131) / (128),Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
1.39,1.746,1.387,6767,6956,10960,9405,12140,15200
0.918,100,0.661,7884,0,12980,7235,22280,8578
1.501,100,100,7977,0,0,11970,5549,11920
4.664,1.044,2.634,8292,31840,16890,38670,33240,44490
0.743,0.47,2.001,11290,11860,9742,8388,5577,19490
1.498,0.414,0.854,13380,30050,28340,20050,12440,24180
0.942,0.668,0.676,16940,17080,17040,15970,11410,11530
0.336,0.688,1.276,17020,18790,13770,5713,12920,17570
1.482,1.447,1.636,19470,19770,20370,28850,28600,33330
0.591,2.56,0.916,19880,12090,25710,11750,30950,23550
2.877,1.631,1.806,20800,49160,40240,59820,80200,72650
0.475,1.507,0.992,21380,21680,28250,10150,32670,28020
1.445,0.822,1.149,21500,26870,26580,31080,22100,30540
1.329,0.781,1.159,21550,31340,32690,28640,24490,37890
0.843,1.314,1.434,21600,22190,23040,18210,29150,33040
1.2,1.452,0.97,24370,20550,26370,29240,29840,25580
0.864,1.022,1.088,26210,29180,30420,22650,29820,33090
1.259,1.328,0.889,27000,21590,36560,33990,28670,32510
0.859,1.048,1.681,28460,22060,21030,24450,23110,35360
1.117,0.891,1.368,29310,35290,27840,32730,31450,38080
1.653,0.944,1.292,29560,35940,31820,48840,33940,41130
1.28,1.21,1.2,29690,36910,29800,38000,44650,35770
0.83,0.906,1.123,30660,29180,25700,25440,26430,28850
1.354,1.282,1.063,30770,43680,40690,41670,55990,43260
1.101,0.692,1.178,31240,40630,32140,34390,28120,37860
0.756,1.013,1.087,31250,43800,40400,23640,44350,43910
0.985,1.309,1.028,31360,23970,35160,30890,31370,36130
1.217,0.918,0.889,31400,41000,39520,38210,37640,35130
1.431,0.946,0.692,31720,55140,59410,45400,52180,41120
1.02,1.818,1.404,31790,29430,29700,32420,53500,41690
0.477,0.91,1.648,32180,18000,18210,15350,16380,30020
1.22,1.119,1.143,32710,34050,32720,39900,38090,37400
1.028,0.92,1.25,32750,30240,25490,33680,27820,31870
1.032,0.69,0.837,32860,45160,38750,33920,31180,32430
1.125,1.308,1.37,32930,32960,29520,37060,43100,40440
0.964,1.023,1.217,32960,30910,35750,31780,31640,43520
1.099,2.119,1.313,33200,21800,36610,36490,46200,48060
0.743,1.463,1.05,34060,26230,31290,25310,38370,32860
0.988,0.991,0.956,35260,37690,57120,34830,37360,54580
1.931,2.009,2.178,35370,34060,33860,68280,68440,73730
